timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.0123001  -0.05713838 -0.04961889 -0.1387578 ]
 [ 0.00133137  0.00413217  0.          0.        ]]",[-3.86194777 -4.86971569],-0.290057528007,[-3.55308678 -4.19683031],-3.40437,"[ 0.84495513  1.44330218  0.01481302  0.86587754 -0.43839308 -1.20766213
  0.69820407  0.33037345  2.12419429  1.67937934  0.        ]",[-0.81440812 -0.62385762]
1,"[[-0.05194886 -0.09676897 -0.04961889 -0.1387578 ]
 [-3.95305125 -3.95400361  0.          0.        ]]",[-2.79157329 -4.04172802],-0.28364815554,[-2.46916086 -4.26450913],-3.34872,"[ 0.84299175  1.4396386  -0.04993069  0.7564447  -0.43839292 -1.20766122
  0.58646254 -0.29270565  2.11266602  1.54656395  0.        ]",[-0.81440812 -0.62385762]
2,"[[-0.16990149 -0.21477622 -0.04961889 -0.1387578 ]
 [-7.82934203 -7.83379101  0.          0.        ]]",[-1.29164433 -2.74411821],-0.262799019653,[-0.63067653 -2.96441052],-3.15097,"[ 0.82287544  1.41764192 -0.24135583  0.43374557 -0.43839276 -1.20766031
  0.47692773 -0.90345112  2.02558509  1.16049025  0.        ]",[-0.81440812 -0.62385762]
3,"[[ -0.34995522  -0.40961395  -0.04961889  -0.1387578 ]
 [-10.16834465 -11.63729336   0.           0.        ]]",[ 0.17271431 -1.17886078],-0.22516476284,[-0.49614122 -1.00796993],-2.71178,"[ 0.7516371   1.34581581 -0.52527617 -0.07899774 -0.4383926  -1.20765939
  0.410833   -1.50218703  1.73830473  0.61501587  0.        ]",[-0.81440812 -0.62385762]
4,"[[ -0.5709929   -0.67976722  -0.04961889  -0.1387578 ]
 [-11.92976714 -15.36558337   0.           0.        ]]",[ 1.68680286  0.92996413],-0.169513098767,[ 1.55306354  0.79958721],-2.2238,"[ 0.60053373  1.178055   -0.84815052 -0.71701497 -0.43839244 -1.20765848
  0.3610593  -2.08908104  1.14954401  0.10549058  0.        ]",[-0.81440812 -0.62385762]
5,"[[ -0.76755149  -0.95227118  -0.04961889  -0.1387578 ]
 [ -7.73987078 -11.89637025   0.           0.        ]]",[ 1.34758282  1.44668615],-0.112398083182,[ 0.92880927  2.71574977],-1.8579,"[ 0.41285298  0.94017677 -1.09961684 -1.23251636 -0.43839228 -1.20765756
  0.47945557 -1.54296573  0.47336353 -0.10238942  0.        ]",[-0.81440812 -0.62385762]
6,"[[-0.8839611  -1.14811702 -0.04961889 -0.1387578 ]
 [-3.91364089 -7.70219058  0.          0.        ]]",[ 0.78149998  1.12260354],-0.0740154868453,[ 1.56199864  0.75585358],-1.40592,"[ 0.28102384  0.73626548 -1.22849871 -1.50189145 -0.43839212 -1.20765665
  0.58757546 -0.88272964  0.0322234  -0.07723527  0.        ]",[-0.81440812 -0.62385762]
7,"[[-0.9217668  -1.27061234 -0.04961889 -0.1387578 ]
 [ 0.11975334 -4.55781022  0.          0.        ]]",[ 0.07142752  0.70372111],-0.0551017604123,[-0.43266866  1.29903709],-1.43522,"[ 0.23527251  0.59861325 -1.26675357 -1.62178671 -0.43839196 -1.20765573
  0.70154926 -0.38775023 -0.16126882 -0.00636091  0.        ]",[-0.81440812 -0.62385762]
8,"[[-0.9365837  -1.32113135 -0.04961889 -0.1387578 ]
 [-1.59571349 -0.50759215  0.          0.        ]]",[ 0.0052705   0.07710026],-0.0474427327329,[-0.23157179 -0.25548182],-1.32105,"[ 0.21697463  0.54017089 -1.28124141 -1.65976598 -0.4383918  -1.20765482
  0.65307395  0.24982348 -0.23502528  0.03031851  0.        ]",[-0.81440812 -0.62385762]
9,"[[-0.97737334 -1.34132996 -0.04961889 -0.1387578 ]
 [-2.48031204 -1.50893042  0.          0.        ]]",[ 0.35480005  0.45858532],-0.0394802768649,[-0.7632716   0.42839759],-1.3467,"[ 0.16557871  0.51658373 -1.31962491 -1.6730382  -0.43839163 -1.2076539
  0.62807703  0.09219559 -0.32487309  0.05198175  0.        ]",[-0.81440812 -0.62385762]
10,"[[-1.05679617 -1.35418244 -0.04961889 -0.1387578 ]
 [-5.45206539  0.21794034  0.          0.        ]]",[ 0.89122653  0.45270896],-0.0275025357145,[ 1.00501099  0.55272036],-1.27754,"[ 0.06146916  0.50151635 -1.38784369 -1.68091014 -0.43839147 -1.20765299
  0.54410209  0.3640347  -0.47340894  0.08419417  0.        ]",[-0.81440812 -0.62385762]
11,"[[-1.12505576 -1.32791675 -0.04961889 -0.1387578 ]
 [-1.38744063  2.4013317   0.          0.        ]]",[ 0.30628431  0.0060962 ],-0.0227488550473,[ 0.8094082  -1.61312539],-1.2934,"[-0.03185083  0.53225967 -1.43932084 -1.66434178 -0.43839131 -1.20765207
  0.6589585   0.70773792 -0.57055073  0.08792519  0.        ]",[-0.81440812 -0.62385762]
12,"[[-1.12038377 -1.32010225 -0.04961889 -0.1387578 ]
 [ 1.84387524 -1.60652191  0.          0.        ]]",[ 0.22634527  0.68322384],-0.0240165623144,[ 0.06841635  0.68562438],-1.32045,"[-0.02535988  0.54136865 -1.43601242 -1.65905255 -0.43839115 -1.20765116
  0.75026752  0.07683235 -0.55659338  0.07892996  0.        ]",[-0.81440812 -0.62385762]
13,"[[-1.08116205 -1.32467557 -0.04961889 -0.1387578 ]
 [ 2.07751506  1.14003751  0.          0.        ]]",[-0.22543174  0.01364274],-0.0277814884055,[-0.08076585 -0.85940738],-1.2812,"[ 0.0285407   0.5360396  -1.40698907 -1.66216485 -0.43839099 -1.20765025
  0.75686927  0.50918829 -0.49226372  0.06745099  0.        ]",[-0.81440812 -0.62385762]
14,"[[-1.04322315 -1.33624269 -0.04961889 -0.1387578 ]
 [ 1.71757473 -2.28533569  0.          0.        ]]",[ 0.07661267  0.65259868],-0.0311885109977,[ 0.22013468  0.06439361],-1.29635,"[ 0.07961818  0.52253424 -1.37680429 -1.66978869 -0.43839083 -1.20764933
  0.74669784 -0.03002503 -0.43558518  0.06451161  0.        ]",[-0.81440812 -0.62385762]
15,"[[-1.0004729  -1.3789389  -0.04961889 -0.1387578 ]
 [ 2.55466806 -1.9852806   0.          0.        ]]",[-0.17413762  0.54165745],-0.0321666029156,[ 0.148945    0.19135873],-1.31124,"[ 0.13583125  0.47237473 -1.34035951 -1.69480677 -0.43839067 -1.20764842
  0.77035176  0.01720887 -0.39649789  0.08794742  0.        ]",[-0.81440812 -0.62385762]
16,"[[-0.94397431 -1.41064871 -0.04961889 -0.1387578 ]
 [ 3.09339986 -1.18835286  0.          0.        ]]",[-0.49189958  0.28064275],-0.0366440570348,[-0.28927029  1.10686998],-1.37862,"[ 0.20777268  0.43484654 -1.28835097 -1.71018197 -0.43839051 -1.2076475
  0.78557467  0.14265919 -0.32607306  0.10093388  0.        ]",[-0.81440812 -0.62385762]
