timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.02589457  0.01489518  0.18190658 -0.16174337]
 [ 0.00411903  0.00176281  0.          0.        ]]",[-3.61348414 -2.53842688],-0.160416285361,[-3.72930396 -2.88981625],-2.56563,"[ 0.84440498  1.443347   -0.00640809  1.06612143  1.57104779 -1.40665314
  0.69746222  0.32986239 -0.35472869  1.97745947  0.        ]",[-0.80868649 -0.63290769]
1,"[[-0.06548806 -0.02478231  0.18190658 -0.16174337]
 [-3.95030748 -3.95632556  0.          0.        ]]",[-2.17000604 -1.3058219 ],-0.147855240959,[-2.59404277 -0.30926958],-2.49552,"[ 0.84161516  1.44310986 -0.07101762  0.95631584  1.57104612 -1.40665186
  0.58575514 -0.29364419 -0.36139287  1.84412243  0.        ]",[-0.80868649 -0.63290769]
2,"[[-0.18339649 -0.11539435  0.18190658 -0.16174337]
 [-7.82763636 -5.10106466  0.          0.        ]]",[-0.57911789 -0.3546527 ],-0.113198986371,[-0.61325298  0.26222791],-2.25826,"[ 0.81905318  1.43548292 -0.2620366   0.706234    1.57104445 -1.40665058
  0.47622599 -0.47397163 -0.42451724  1.48425554  0.        ]",[-0.80868649 -0.63290769]
3,"[[ -0.3627413   -0.20597533   0.18190658  -0.16174337]
 [-10.09928696  -3.96082731   0.           0.        ]]",[ 0.81012368  0.19728482],-0.067156240053,[ 0.84780008  0.38244949],-1.91639,"[ 0.74454572  1.41806597 -0.54378668  0.45885104  1.57104278 -1.40664929
  0.41205496 -0.29435302 -0.60968432  1.01954744  0.        ]",[-0.80868649 -0.63290769]
4,"[[-0.52907963 -0.26922409  0.18190658 -0.16174337]
 [-6.54636217 -2.36935369  0.          0.        ]]",[ 0.98724008  0.31388226],-0.0375401853063,[ 1.09352057 -0.86525437],-1.72502,"[ 0.63401549  1.40017191 -0.78866912  0.28874644  1.57104111 -1.40664801
  0.51241983 -0.04365238 -0.85714754  0.65573629  0.        ]",[-0.80868649 -0.63290769]
5,"[[-0.61900421 -0.35053044  0.18190658 -0.16174337]
 [-2.45971114 -5.75001275  0.          0.        ]]",[ 1.19346905  1.48982   ],-0.0403899984143,[ 0.97273127  1.57180783],-1.65185,"[ 0.55871681  1.37037401 -0.91198423  0.07449527  1.57103944 -1.40664672
  0.62786166 -0.57619857 -1.06541822  0.4505453   0.        ]",[-0.80868649 -0.63290769]
6,"[[-0.62911663 -0.42467525  0.18190658 -0.16174337]
 [ 1.43553245 -1.67803042  0.          0.        ]]",[ 0.26059064  0.74344087],-0.0472485893124,[ 0.93668093  0.56672035],-1.67407,"[ 0.54960183  1.33669188 -0.92538984 -0.11544582  1.57103777 -1.40664544
  0.73789645  0.06525032 -1.15599114  0.39010333  0.        ]",[-0.80868649 -0.63290769]
7,"[[-0.56352044 -0.43540143  0.18190658 -0.16174337]
 [ 5.11184765  0.59783956  0.          0.        ]]",[-0.83927125 -0.04189485],-0.0410151348326,[-0.35024367 -0.07183619],-1.68081,"[ 0.60641592  1.33131514 -0.83673995 -0.14242911  1.5710361  -1.40664416
  0.84174674  0.42376223 -1.06114653  0.48020678  0.        ]",[-0.80868649 -0.63290769]
8,"[[-0.47619888 -0.4264114   0.18190658 -0.16174337]
 [ 3.62525967  0.30214389  0.          0.        ]]",[-1.00703979 -0.17826892],-0.0386363310981,[-1.22543029 -0.21206781],-1.71618,"[ 0.67330523  1.33582804 -0.71297319 -0.11982226  1.57103443 -1.40664287
  0.79975231  0.37718189 -0.92220978  0.62489245  0.        ]",[-0.80868649 -0.63290769]
9,"[[-0.44410207 -0.42883848  0.18190658 -0.16174337]
 [-0.40216934 -0.54204799  0.          0.        ]]",[-0.41573715  0.08947369],-0.0403453750415,[-0.84545715 -0.16189777],-1.72567,"[ 0.69529047  1.33461693 -0.66599434 -0.12593469  1.57103276 -1.40664159
  0.68598278  0.24419832 -0.87977327  0.67690848  0.        ]",[-0.80868649 -0.63290769]
10,"[[-0.48562133 -0.44599121  0.18190658 -0.16174337]
 [-3.73865296 -1.1711289   0.          0.        ]]",[ 0.44542646  0.53253603],-0.0386381309468,[ 0.04194074  0.36992578],-1.66319,"[ 0.66658127  1.32588149 -0.72661942 -0.16893745  1.57103109 -1.40664031
  0.59173154  0.14510067 -0.95401945  0.59566626  0.        ]",[-0.80868649 -0.63290769]
11,"[[-0.55799328 -0.45448543  0.18190658 -0.16174337]
 [-3.49933245  0.31674769  0.          0.        ]]",[ 0.63564396  0.38353512],-0.0417824104724,[ 0.76565906 -0.51336666],-1.68191,"[ 0.61094893  1.32143676 -0.82909208 -0.19010361  1.57102942 -1.40663902
  0.59849176  0.37948224 -1.07146918  0.47674793  0.        ]",[-0.80868649 -0.63290769]
12,"[[-0.59688723 -0.46861963  0.18190658 -0.16174337]
 [-0.4003856  -1.72336737  0.          0.        ]]",[ 0.51140594  0.92823422],-0.0468800553303,[ 0.71808859  1.54348665],-1.63179,"[ 0.57820083  1.31386902 -0.88232486 -0.22512863  1.57102775 -1.40663774
  0.6860324   0.0581076  -1.14812671  0.41125083  0.        ]",[-0.80868649 -0.63290769]
13,"[[-0.57632749 -0.46302723  0.18190658 -0.16174337]
 [ 2.4468796   2.26930577  0.          0.        ]]",[-0.43524921 -0.20422834],-0.0441017898712,[-0.13006872 -1.54322322],-1.73093,"[ 0.59575508  1.31688747 -0.85435273 -0.21129985  1.57102608 -1.40663645
  0.76646334  0.68706408 -1.10915996  0.44429155  0.        ]",[-0.80868649 -0.63290769]
14,"[[-0.53302361 -0.45781756  0.18190658 -0.16174337]
 [ 1.88537963 -1.73499471  0.          0.        ]]",[-0.20299409  0.63063633],-0.0402246073674,[ 0.26868183  0.53446625],-1.65736,"[ 0.6309319   1.319669   -0.79422059 -0.19838266  1.57102441 -1.40663517
  0.75060138  0.05627555 -1.03605548  0.51276761  0.        ]",[-0.80868649 -0.63290769]
15,"[[-0.48503342 -0.47094329  0.18190658 -0.16174337]
 [ 2.91022886  0.41525826  0.          0.        ]]",[-0.7625187   0.03372137],-0.0392138852843,[ 0.01182063 -0.15538264],-1.66674,"[ 0.66700307  1.31260121 -0.72576775 -0.23086286  1.57102274 -1.40663389
  0.77955158  0.39500006 -0.97702638  0.5796103   0.        ]",[-0.80868649 -0.63290769]
16,"[[-0.42693496 -0.46889342  0.18190658 -0.16174337]
 [ 2.89965255 -0.20819377  0.          0.        ]]",[-1.01523006  0.01316936],-0.0409589405207,[-1.23129989  0.08786277],-1.72707,"[ 0.70646013  1.31371592 -0.64056497 -0.2258044   1.57102107 -1.4066326
  0.77925243  0.2967889  -0.89290619  0.67646574  0.        ]",[-0.80868649 -0.63290769]
17,"[[-0.40921103 -0.46951056  0.18190658 -0.16174337]
 [-1.11389511  0.14529496  0.          0.        ]]",[-0.45806557  0.03277397],-0.0422775200501,[ 0.03721788  0.69516782],-1.68065,"[ 0.7175595   1.31337937 -0.61410434 -0.22732776  1.5710194  -1.40663132
  0.6658749   0.35247312 -0.86953074  0.7060749   0.        ]",[-0.80868649 -0.63290769]
18,"[[-0.42980068 -0.4390166   0.18190658 -0.16174337]
 [-0.94562963  2.89493665  0.          0.        ]]",[-0.72239846 -0.71218944],-0.0412402098614,[-0.49595477 -0.94635508],-1.72133,"[ 0.70462329  1.3294628  -0.64482298 -0.15149273  1.57101773 -1.40663003
  0.67062787  0.78561812 -0.86959765  0.6935948   0.        ]",[-0.80868649 -0.63290769]
19,"[[-0.46819694 -0.4192823   0.18190658 -0.16174337]
 [-2.88753419 -0.90882953  0.          0.        ]]",[ 0.13646474  0.2813879 ],-0.0389816502243,[ 0.37316437 -0.62973415],-1.69848,"[ 0.67891626  1.33933251 -0.70132757 -0.10182828  1.57101607 -1.40662875
  0.61577144  0.18641853 -0.90436295  0.64337945  0.        ]",[-0.80868649 -0.63290769]
20,"[[-0.51055394 -0.46230192  0.18190658 -0.16174337]
 [-1.35328151 -3.38487932  0.          0.        ]]",[ 0.37555766  1.08643973],-0.0394203391078,[ 0.07808498  0.80969827],-1.65755,"[ 0.64820523  1.31726886 -0.76239689 -0.2095031   1.5710144  -1.40662747
  0.65911172 -0.20362859 -1.00642886  0.54484783  0.        ]",[-0.80868649 -0.63290769]
21,"[[-0.5342638  -0.49716077  0.18190658 -0.16174337]
 [-1.01880584 -0.11191321  0.          0.        ]]",[ 0.23464924  0.53233588],-0.0426436527833,[ 0.02548607  1.19907418],-1.63464,"[ 0.62995661  1.29792826 -0.79596279 -0.29508592  1.57101273 -1.40662618
  0.66855991  0.31195529 -1.07731955  0.48664894  0.        ]",[-0.80868649 -0.63290769]
22,"[[-0.55344055 -0.45964939  0.18190658 -0.16174337]
 [-0.89926748  3.84984826  0.          0.        ]]",[-0.15463059 -0.55370545],-0.0417450725604,[-0.33120772  0.2893174 ],-1.65962,"[ 0.61465054  1.31868506 -0.82276991 -0.20292787  1.57101106 -1.4066249
  0.67193641  0.93604349 -1.06950859  0.48043922  0.        ]",[-0.80868649 -0.63290769]
23,"[[-0.58439783 -0.37191838  0.18190658 -0.16174337]
 [-2.19215051  4.91968836  0.          0.        ]]",[-0.13434787 -1.06568027],-0.0388533015847,[-0.26781559 -0.54118712],-1.68287,"[ 0.58892614  1.36126722 -0.8653747   0.019124    1.57100939 -1.40662362
  0.63541392  1.10457262 -1.03159361  0.48936583  0.        ]",[-0.80868649 -0.63290769]
24,"[[-0.6384273  -0.29599812  0.18190658 -0.16174337]
 [-3.20741199  2.67980309  0.          0.        ]]",[ 0.389808   -0.68302786],-0.038728510475,[ 1.04867077 -1.53353851],-1.71955,"[ 0.5410916   1.39117394 -0.93763982  0.21758984  1.57100772 -1.40662233
  0.60673388  0.75172741 -1.04389862  0.45762106  0.        ]",[-0.80868649 -0.63290769]
25,"[[-0.66223247 -0.2826775   0.18190658 -0.16174337]
 [ 0.81349968 -1.33436036  0.          0.        ]]",[ 0.29829484  0.18494818],-0.0401712524419,[ 0.21995668  0.01568317],-1.70731,"[ 0.51885984  1.39574139 -0.9685897   0.25292416  1.57100605 -1.40662105
  0.72031896  0.11938378 -1.06935866  0.43046472  0.        ]",[-0.80868649 -0.63290769]
26,"[[-0.63739389 -0.30847983  0.18190658 -0.16174337]
 [ 1.66751561 -1.24616502  0.          0.        ]]",[ 0.06425296  0.17803782],-0.0394022857988,[ 0.80026859  0.29453167],-1.68061,"[ 0.54204048  1.38670529 -0.93628249  0.18461046  1.57100438 -1.40661976
  0.74444343  0.13327698 -1.05416309  0.45065348  0.        ]",[-0.80868649 -0.63290769]
27,"[[-0.57261524 -0.32146627  0.18190658 -0.16174337]
 [ 4.7999215  -0.05643533  0.          0.        ]]",[-0.88865387 -0.33182865],-0.0362583121478,[-1.41086441 -1.09503021],-1.73315,"[ 0.59886281  1.3818679  -0.84925629  0.15043659  1.57100271 -1.40661848
  0.83292933  0.32069286 -0.96609976  0.54311589  0.        ]",[-0.80868649 -0.63290769]
28,"[[-0.51724576 -0.36229609  0.18190658 -0.16174337]
 [ 0.7504961  -4.01337119  0.          0.        ]]",[ 0.00968415  0.78698611],-0.0371070079883,[ 0.26382227  0.77369552],-1.67398,"[ 0.64312921  1.36541265 -0.77191304  0.04398032  1.57100104 -1.4066172
  0.71853806 -0.30263622 -0.92197968  0.60370582  0.        ]",[-0.80868649 -0.63290769]
29,"[[-0.49192503 -0.41103288  0.18190658 -0.16174337]
 [ 1.77816651 -0.87077856  0.          0.        ]]",[-0.54675549  0.13590467],-0.0380730498438,[-0.37514866 -0.29347356],-1.69193,"[ 0.66201071  1.34332048 -0.73570381 -0.08093645  1.57099937 -1.40661591
  0.74756804  0.19241098 -0.93039325  0.6099466   0.        ]",[-0.80868649 -0.63290769]
30,"[[-0.47160071 -0.43992888  0.18190658 -0.16174337]
 [ 0.25931724 -2.01501101  0.          0.        ]]",[-0.24640848  0.51949787],-0.0388534162863,[-1.12740128  1.1710699 ],-1.70423,"[ 0.67653627  1.32898222 -0.70628052 -0.15377812  1.5709977  -1.40661463
  0.70466222  0.01216193 -0.92822872  0.62283322  0.        ]",[-0.80868649 -0.63290769]
31,"[[-0.50617279 -0.44008634  0.18190658 -0.16174337]
 [-3.70332105  1.98593012  0.          0.        ]]",[ 0.23013656 -0.20294185],-0.0385330559688,[ 0.38117552 -1.26713569],-1.69866,"[ 0.65149197  1.32890047 -0.75613992 -0.15417236  1.57099603 -1.40661334
  0.59272261  0.64242347 -0.97844214  0.56658411  0.        ]",[-0.80868649 -0.63290769]
32,"[[-0.56435973 -0.44049573  0.18190658 -0.16174337]
 [-2.12065559 -2.01354086  0.          0.        ]]",[ 0.62277848  0.8546201 ],-0.0414030171849,[ 0.61667641  1.31489969],-1.63202,"[ 0.60571696  1.32868959 -0.83788921 -0.15519731  1.57099436 -1.40661206
  0.63743058  0.01239313 -1.06746795  0.47577886  0.        ]",[-0.80868649 -0.63290769]
33,"[[-0.58188956 -0.44064786  0.18190658 -0.16174337]
 [ 0.3594221   1.98500376  0.          0.        ]]",[-0.0791658  -0.15013282],-0.0430156840952,[ 0.78667875 -0.06171389],-1.66516,"[ 0.59105409  1.32861048 -0.86194993 -0.1555781   1.57099269 -1.40661078
  0.70748924  0.64227745 -1.09539677  0.44940166  0.        ]",[-0.80868649 -0.63290769]
34,"[[-0.54354666 -0.40380531  0.18190658 -0.16174337]
 [ 3.46452266  1.70020575  0.          0.        ]]",[-0.82429063 -0.43990901],-0.0382040655675,[-0.8332122   0.09540423],-1.68176,"[ 0.62260492  1.34675747 -0.80897259 -0.06256994  1.57099102 -1.40660949
  0.79520393  0.5974134  -0.99958963  0.53173625  0.        ]",[-0.80868649 -0.63290769]
35,"[[-0.50801695 -0.36633603  0.18190658 -0.16174337]
 [ 0.09965904  2.04556485  0.          0.        ]]",[-0.54788673 -0.65778756],-0.0374057452037,[ 0.17867419  0.33150472],-1.66023,"[ 0.65010947  1.36367419 -0.75877181  0.03353345  1.57098935 -1.40660821
  0.70015054  0.65181703 -0.91243893  0.61600498  0.        ]",[-0.80868649 -0.63290769]
36,"[[-0.4989566  -0.31266376  0.18190658 -0.16174337]
 [ 0.80402771  3.31742478  0.          0.        ]]",[-0.97916508 -1.23244905],-0.0387371801886,[-0.54629708 -0.3460772 ],-1.71921,"[ 0.65685224  1.38515648 -0.74580691  0.17358545  1.57098768 -1.40660693
  0.72004772  0.85217083 -0.85255199  0.67268844  0.        ]",[-0.80868649 -0.63290769]
37,"[[-0.50471347 -0.26071483  0.18190658 -0.16174337]
 [-1.37246186  1.88224945  0.          0.        ]]",[-0.54042065 -1.01455641],-0.0401090299299,[-0.9903689  -1.27969188],-1.76889,"[ 0.65258032  1.40281218 -0.7540516   0.31147972  1.57098601 -1.40660564
  0.65856438  0.62608945 -0.81685887  0.70513172  0.        ]",[-0.80868649 -0.63290769]
38,"[[-0.57118381 -0.26315657  0.18190658 -0.16174337]
 [-5.26163366 -2.1131079   0.          0.        ]]",[ 0.945517   0.2855581],-0.0354519513987,[ 1.14687172  0.52352446],-1.6705,"[ 0.60005476  1.40205083 -0.8472858   0.30495217  1.57098435 -1.40660436
  0.5487     -0.00329358 -0.91162348  0.58938827  0.        ]",[-0.80868649 -0.63290769]
39,"[[ -6.35689383e-01  -2.84215817e-01   1.81906584e-01  -1.61743371e-01]
 [ -1.20242932e+00   1.41043144e-04   0.00000000e+00   0.00000000e+00]]",[ 0.345999   -0.14355686],-0.0378342904967,[ 0.90712586  0.58146202],-1.66575,"[ 0.54359966  1.39520738 -0.93403826  0.24883709  1.57098268 -1.40660307
  0.66336709  0.32960355 -1.02849713  0.46998861  0.        ]",[-0.80868649 -0.63290769]
