timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.0645549  -0.00900834  0.0563245  -0.14140565]
 [ 0.0021143  -0.00386459  0.          0.        ]]",[-3.41182637 -3.547616  ],-0.198889297036,[-3.01460969 -3.4849405 ],-2.53152,"[ 0.84650943  1.47829771 -0.08685067  0.98359644  0.47733506 -1.23147733
  0.70888576  0.33148813  0.97919378  1.58991361  0.        ]",[-0.78132039 -0.55259925]
1,"[[-0.1041881  -0.04879726  0.0563245  -0.14140565]
 [-3.95227488 -3.96184123  0.          0.        ]]",[-2.08139539 -2.50895834],-0.190028458386,[-2.75841355 -1.81289381],-2.5138,"[ 0.84141702  1.47691197 -0.1514499   0.87236393  0.47733485 -1.23147626
  0.59574652 -0.28395402  0.96534467  1.4602444   0.        ]",[-0.78132039 -0.55259925]
2,"[[-0.22212505 -0.16695973  0.0563245  -0.14140565]
 [-7.82854386 -7.84147587  0.          0.        ]]",[-0.21133676 -1.05405176],-0.162722246474,[ 0.08948114 -1.36695632],-2.17212,"[ 0.81222592  1.46160389 -0.341705    0.54398687  0.47733465 -1.23147519
  0.48484242 -0.8872142   0.87252399  1.08428985  0.        ]",[-0.78132039 -0.55259925]
3,"[[ -0.37357833  -0.36196086   0.0563245   -0.14140565]
 [ -7.3185479  -11.64594925   0.           0.        ]]",[ 0.91936839  0.5114128 ],-0.122359875682,[ 0.38887962 -0.88405556],-1.59112,"[ 0.74452493  1.40034038 -0.57832518  0.01838241  0.47733445 -1.23147411
  0.49943369 -1.4787862   0.61392721  0.60607489  0.        ]",[-0.78132039 -0.55259925]
4,"[[ -0.50305559  -0.62769348   0.0563245   -0.14140565]
 [ -5.63487658 -14.91640417   0.           0.        ]]",[ 1.59127998  2.04096246],-0.0784008089851,[ 1.59162233  3.09386411],-1.24966,"[ 0.6608003   1.24887638 -0.76997433 -0.63377398  0.47733425 -1.23147304
  0.54760498 -1.98731944  0.1923799   0.22156113  0.        ]",[-0.78132039 -0.55259925]
5,"[[ -0.57496269  -0.88334387   0.0563245   -0.14140565]
 [ -1.56920203 -10.66279338   0.           0.        ]]",[ 1.01715887  1.96198523],-0.0457345496807,[ 0.72959862  2.17181272],-0.954824,"[ 0.60453907  1.03843367 -0.8709039  -1.15283883  0.47733404 -1.23147197
  0.66392771 -1.32590721 -0.20829509  0.05764462  0.        ]",[-0.78132039 -0.55259925]
6,"[[-0.57708783 -1.05476257  0.0563245  -0.14140565]
 [ 1.34709945 -6.49295505  0.          0.        ]]",[ 0.31080753  1.42472231],-0.0309490778725,[-0.76459389  1.54568501],-1.00525,"[ 0.60277392  0.86853275 -0.87381882 -1.42390785  0.47733384 -1.23147089
  0.74736566 -0.6775222  -0.40938613  0.05078745  0.        ]",[-0.78132039 -0.55259925]
7,"[[-0.58077947 -1.14359572  0.0563245  -0.14140565]
 [-1.70609065 -2.40399834  0.          0.        ]]",[ 0.58102632  0.96203148],-0.0245066776433,[ 0.62873154  0.6164781 ],-0.934428,"[ 0.59969413  0.77329969 -0.87887319 -1.53675022  0.47733364 -1.23146982
  0.66001044 -0.04171399 -0.5175471   0.05882829  0.        ]",[-0.78132039 -0.55259925]
8,"[[-0.5896082  -1.16671333  0.0563245  -0.14140565]
 [ 0.81483848  0.08394756  0.          0.        ]]",[ 0.15581298  0.5289064 ],-0.0232375890137,[-0.37638966 -0.25190693],-1.02075,"[ 0.5922587   0.74784018 -0.89091197 -1.5628551   0.47733343 -1.23146875
  0.73213642  0.34514664 -0.55901726  0.05734265  0.        ]",[-0.78132039 -0.55259925]
9,"[[-0.58841365 -1.17505488  0.0563245  -0.14140565]
 [-0.69037349 -0.91477597  0.          0.        ]]",[ 0.41524306  0.75161684],-0.0228114796786,[ 0.39772647 -0.51553388],-1.00414,"[ 0.59327021  0.73859053 -0.88928659 -1.57193663  0.47733323 -1.23146767
  0.6890704   0.18985096 -0.56637354  0.05988894  0.        ]",[-0.78132039 -0.55259925]
10,"[[-0.58628881 -1.21365377  0.0563245  -0.14140565]
 [ 0.89756753 -2.93836523  0.          0.        ]]",[ 0.26416385  1.09052885],-0.021140756858,[ 0.07424821 -0.28682603],-1.02233,"[ 0.5950652   0.69538086 -0.88639264 -1.61161876  0.47733303 -1.2314666
  0.73450265 -0.12480527 -0.60629809  0.07032515  0.        ]",[-0.78132039 -0.55259925]
11,"[[-0.56556538 -1.28323302  0.0563245  -0.14140565]
 [ 1.17385082 -4.01596631  0.          0.        ]]",[ 0.29122409  1.35668409],-0.0180809336484,[ 1.22540571  1.42304989],-0.938626,"[ 0.61227217  0.6159509  -0.85796065 -1.67325519  0.47733283 -1.23146553
  0.74240701 -0.29236587 -0.64900991  0.10203321  0.        ]",[-0.78132039 -0.55259925]
12,"[[-0.50262735 -1.32303553  0.0563245  -0.14140565]
 [ 5.10687702  0.02228284  0.          0.        ]]",[-0.59718096  0.51922548],-0.0136883229387,[-0.74170644 -0.24976835],-1.06963,"[ 0.66111274  0.56974531 -0.76935625 -1.70269352  0.47733262 -1.23146446
  0.85493449  0.3355585  -0.58971532  0.15079013  0.        ]",[-0.78132039 -0.55259925]
13,"[[-0.43094967 -1.33250948  0.0563245  -0.14140565]
 [ 2.07100199 -0.9664018   0.          0.        ]]",[-0.30005202  0.65792751],-0.0158408375147,[-0.72713892  1.53594425],-1.06144,"[ 0.71028165  0.55867542 -0.66466799 -1.70906754  0.47733242 -1.23146338
  0.7680745   0.18182362 -0.48586457  0.2009523   0.        ]",[-0.78132039 -0.55259925]
14,"[[-0.41881977 -1.31191111  0.0563245  -0.14140565]
 [-0.84828907  3.01297413  0.          0.        ]]",[ 0.04631459  0.08116047],-0.0191963935792,[-0.41189273  0.82667036],-1.03727,"[ 0.71790469  0.58270898 -0.64658929 -1.69489116  0.47733222 -1.23146231
  0.68455016  0.80059361 -0.443476    0.20582321  0.        ]",[-0.78132039 -0.55259925]
