timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.04527633 -0.07610012 -0.00831546  0.10392405]
 [-0.00478801  0.00043649  0.          0.        ]]",[-0.14875552 -2.37299466],-0.241162780211,[-0.99048405 -1.84002061],-3.01531,"[ 0.84250284  1.41130671  0.12106795  0.82702204 -0.07632384  0.89807767
  0.6869417   0.32763109  1.70230305 -0.77105273  0.        ]",[-0.87455601 -0.71276307]
1,"[[ 0.00588404 -0.11580404 -0.00831546  0.10392405]
 [-3.92141079 -3.95764163  0.          0.        ]]",[ 0.04717153 -1.95779443],-0.24634968177,[ 0.41815335 -2.73949152],-3.0375,"[ 0.84407126  1.40673525  0.05694022  0.71872162 -0.07632382  0.89807722
  0.57728973 -0.30350284  1.69672945 -0.90693051  0.        ]",[-0.87455601 -0.71276307]
2,"[[-0.05515453 -0.23390522 -0.00831546  0.10392405]
 [-2.18823493 -7.83953601  0.          0.        ]]",[-0.29496601 -1.6689477 ],-0.255826849488,[-0.58032506 -2.256881  ],-3.06683,"[ 0.84172996  1.38206151 -0.04241941  0.40018806 -0.0763238   0.89807677
  0.62581237 -0.92248869  1.65251971 -1.18058671  0.        ]",[-0.87455601 -0.71276307]
3,"[[ -1.21506101e-01  -4.28857838e-01  -8.31546099e-03   1.03924055e-01]
 [ -4.43950526e+00  -1.16430530e+01   0.00000000e+00   0.00000000e+00]]",[-0.32046723 -1.54194379],-0.265825806766,[-0.39376121 -0.39598299],-3.11172,"[ 0.83261678  1.30596778 -0.15003616 -0.10420861 -0.07632378  0.89807632
  0.56278444 -1.52897598  1.51866411 -1.53381585  0.        ]",[-0.87455601 -0.71276307]
4,"[[ -2.25045387e-01  -6.75131825e-01  -8.31546099e-03   1.03924055e-01]
 [ -5.90962404e+00  -1.29798890e+01   0.00000000e+00   0.00000000e+00]]",[-0.3958506  -1.62071204],-0.274683589277,[-0.21986805 -1.47804084],-3.03952,"[ 0.80483154  1.1511838  -0.3160573  -0.67742874 -0.07632376  0.89807588
  0.52162605 -1.74213877  1.22200078 -1.95240584  0.        ]",[-0.87455601 -0.71276307]
5,"[[ -3.50792004e-01  -9.71875501e-01  -8.31546099e-03   1.03924055e-01]
 [ -6.66272976e+00  -1.66821358e+01   0.00000000e+00   0.00000000e+00]]",[-0.82976049 -1.58822393],-0.276927318874,[-1.26080404 -2.00277998],-3.01465,"[ 0.74926664  0.8905936  -0.51228472 -1.22811168 -0.07632373  0.89807543
  0.50054153 -2.33247476  0.73176779 -2.30265393  0.        ]",[-0.87455601 -0.71276307]
6,"[[ -5.22437351e-01  -1.34191940e+00  -8.31546099e-03   1.03924055e-01]
 [ -1.04894973e+01  -2.03101614e+01   0.00000000e+00   0.00000000e+00]]",[-1.58011663 -1.38737726],-0.266701498487,[-1.16018584 -1.15622956],-2.82063,"[ 0.63637914  0.48582103 -0.76528558 -1.63363895 -0.07632371  0.89807498
  0.39340519 -2.91097168  0.01037874 -2.45565509  0.        ]",[-0.87455601 -0.71276307]
7,"[[ -7.69886023e-01  -1.78380290e+00  -8.31546099e-03   1.03924055e-01]
 [ -1.42433440e+01  -2.38663319e+01   0.00000000e+00   0.00000000e+00]]",[-2.73985481 -1.47064972],-0.234816610905,[-3.20340078 -1.44322511],-2.43025,"[ 0.40495988 -0.04081035 -1.08620941 -1.64316847 -0.07632369  0.89807453
  0.28831039 -3.47800486 -0.80348091 -2.19079558  0.        ]",[-0.87455601 -0.71276307]
8,"[[ -1.09169151e+00  -2.29610359e+00  -8.31546099e-03   1.03924055e-01]
 [ -1.79251766e+01  -2.73521500e+01   0.00000000e+00   0.00000000e+00]]",[-3.4380219  -1.61159945],-0.173898843083,[-4.20077642 -1.84233383],-1.87989,"[ 0.00476012 -0.58388235 -1.39784173 -1.01531322 -0.07632367  0.89807408
  0.18523174 -4.03381169 -1.24939822 -1.45068311  0.        ]",[-0.87455601 -0.71276307]
9,"[[ -1.48640574e+00  -2.87743167e+00  -8.31546099e-03   1.03924055e-01]
 [ -2.15338319e+01  -3.07693951e+01   0.00000000e+00   0.00000000e+00]]",[-3.81601739 -2.09384155],-0.1023253987,[-3.29339691 -1.34640897],-1.61122,"[-0.58181608 -0.94669413 -1.57540804  0.31983683 -0.07632365  0.89807364
  0.08420181 -4.57867349 -0.90620863 -0.74297558  0.        ]",[-0.87455601 -0.71276307]
10,"[[ -1.95252452e+00  -3.17440682e+00  -8.31546099e-03   1.03924055e-01]
 [ -2.50660763e+01  -2.23036354e+00   0.00000000e+00   0.00000000e+00]]",[-1.96248364 -1.15628028],-0.0980819281365,[-1.97856715 -1.44717929],-1.82075,"[-1.29315312 -0.98772719 -1.463982    1.12528383 -0.07632363  0.89807319
 -0.01468888 -0.02806785 -0.49644622 -0.70486487  0.        ]",[-0.87455601 -0.71276307]
11,"[[ -2.48858899e+00  -3.14556544e+00  -8.31546099e-03   1.03924055e-01]
 [ -2.85289255e+01   3.11900821e+00   0.00000000e+00   0.00000000e+00]]",[-1.94155192 -1.099298  ],-0.0998928454177,[-1.7963487  -0.88423486],-1.81668,"[-1.94986659 -0.98836402 -0.94211236  1.04626016 -0.07632361  0.89807274
 -0.11163674  0.82490003 -0.49620043 -0.72462225  0.        ]",[-0.87455601 -0.71276307]
12,"[[ -3.09322590e+00  -3.08504226e+00  -8.31546099e-03   1.03924055e-01]
 [ -3.19234598e+01   2.60719133e+00   0.00000000e+00   0.00000000e+00]]",[-1.89517832 -1.06737447],-0.0989230103008,[-2.27678783 -1.34752351],-1.65964,"[-2.2684093  -0.98645218 -0.03137536  0.8804799  -0.07632359  0.89807229
 -0.20667202  0.74328945 -0.48423799 -0.71192357  0.        ]",[-0.87455601 -0.71276307]
13,"[[ -3.76507934e+00  -3.04444248e+00  -8.31546099e-03   1.03924055e-01]
 [ -3.52507934e+01   1.48895223e+00   0.00000000e+00   0.00000000e+00]]",[-1.79159713 -0.78626949],-0.103220473512,[-1.86074474 -0.69104732],-1.65709,"[-1.97724345 -0.98270655  0.99823081  0.76955278 -0.07632356  0.89807185
 -0.2998259   0.5649837  -0.43610578 -0.7495648   0.        ]",[-0.87455601 -0.71276307]
