timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.01440134  0.08415742 -0.10382615  0.18196449]
 [ 0.00299126  0.00291328  0.          0.        ]]",[-1.67332852 -2.20258045],-0.359438765306,[-1.58325502 -3.19520653],-1.49585,"[ 1.06057143  2.12941187 -0.02623705  0.97557748 -0.91503121  1.59317284
  0.72584203  0.35871196  2.17439664 -1.31538757  0.        ]",[-0.15595499 -0.16799365]
1,"[[-0.05401721  0.04450268 -0.10382615  0.18196449]
 [-3.95141466 -3.95520161  0.          0.        ]]",[-1.54618037 -2.12363029],-0.365908016209,[-2.36976463 -2.12257436],-1.56149,"[ 1.05865161  2.13288356 -0.08610417  0.85296416 -0.91502803  1.5931622
  0.54109501 -0.18525896  2.17534214 -1.41807894  0.        ]",[-0.15595499 -0.16799365]
2,"[[-0.1719367  -0.07352841 -0.10382615  0.18196449]
 [-7.82764398 -7.83497799  0.          0.        ]]",[-1.40464151 -2.0219841 ],-0.382754028807,[-1.13400947 -1.3779297 ],-1.77056,"[ 1.03986294  2.13051477 -0.26317977  0.48748682 -0.91502486  1.59315156
  0.36000062 -0.71846295  2.14011687 -1.72124026  0.        ]",[-0.15595499 -0.16799365]
3,"[[ -0.3666136   -0.2683842   -0.10382615   0.18196449]
 [-11.62747976 -11.6379142    0.           0.        ]]",[-1.23758149 -1.86646557],-0.40220443375,[-1.2243513  -2.22824793],-1.86812,"[ 0.96675133  2.08512745 -0.54650911 -0.10654483 -0.91502169  1.59314093
  0.18247539 -1.24110322  1.96245301 -2.18541398  0.        ]",[-0.15595499 -0.16799365]
4,"[[ -0.63654084  -0.53854199  -0.10382615   0.18196449]
 [-15.35307226 -15.36539901   0.           0.        ]]",[-1.07994664 -1.63371944],-0.41103706725,[-1.8487357  -2.55320203],-1.89511,"[ 0.78381175  1.94016964 -0.90332299 -0.87409324 -0.91501852  1.59313029
  0.00841876 -1.75336596  1.51216554 -2.67058244  0.        ]",[-0.15595499 -0.16799365]
5,"[[ -0.9802584   -0.88250572  -0.10382615   0.18196449]
 [-19.0069561  -19.01871662   0.           0.        ]]",[-1.03235745 -1.39568329],-0.391818755248,[-1.13069479 -1.37750513],-1.84051,"[ 0.43409756  1.63416953 -1.26053136 -1.67800086 -0.91501534  1.59311965
 -0.1622877  -2.25542137  0.75935841 -2.89324152  0.        ]",[-0.15595499 -0.16799365]
6,"[[ -1.39635853  -1.29880463  -0.10382615   0.18196449]
 [-22.59173356 -22.59913639   0.           0.        ]]",[-1.09874105 -1.24270487],-0.328676593112,[-1.92191596 -1.56876246],-1.38752,"[-0.10776452  1.13172142 -1.4936753  -2.26950546 -0.91501217  1.59310901
 -0.32976549 -2.74743609 -0.04744175 -2.54920501  0.        ]",[-0.15595499 -0.16799365]
7,"[[ -1.88347979  -1.78599488  -0.10382615   0.18196449]
 [-26.10925078 -26.10812921   0.           0.        ]]",[-1.1567986  -1.15440071],-0.222796340968,[-2.21297149 -0.15784492],-0.840854,"[-0.78806143  0.47079445 -1.44329203 -2.31191626 -0.915009    1.59309838
 -0.49410073 -3.22960326 -0.38214797 -1.6879729   0.        ]",[-0.15595499 -0.16799365]
8,"[[ -2.44027846  -2.30920949  -0.10382615   0.18196449]
 [-29.55898979 -26.21305399   0.           0.        ]]",[-1.11490333 -1.08024943],-0.140150639649,[-1.46024655 -0.96785012],-0.573736,"[-1.43330956 -0.15913019 -0.98012472 -1.57632933 -0.91500582  1.59308774
 -0.65526903 -3.24395215  0.02525809 -0.99767118  0.        ]",[-0.15595499 -0.16799365]
9,"[[ -3.06537179  -2.86668977  -0.10382615   0.18196449]
 [-32.93854209 -29.52423042   0.           0.        ]]",[-1.08452964 -1.02859926],-0.185907348255,[-1.23747786 -2.03104549],-0.793479,"[-1.76286657 -0.55571475 -0.11958177 -0.1259669  -0.91500265  1.5930771
 -0.81315763 -3.69888456  0.60357676 -1.12072689  0.        ]",[-0.15595499 -0.16799365]
