timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.03897431 -0.04074757  0.10089882  0.09196681]
 [-0.00042608 -0.00395469  0.          0.        ]]",[ 0.69799399 -0.88973856],-0.140275619334,[ 0.8411138  -1.08278239],-0.626143,"[ 1.03356787  2.14992851  0.03135261  0.61963714  0.88071905  0.80061342
  0.72014873  0.35766463  0.61995837 -0.603059    0.        ]",[-0.18430217 -0.1666123 ]
1,"[[ 0.07236556 -0.0805667   0.10089882  0.09196681]
 [ 3.32846253 -3.96475268  0.          0.        ]]",[ 0.49383241 -0.85578144],-0.13848976681,[-1.80421076 -0.60123707],-0.641584,"[ 1.03091836  2.1465811   0.08208444  0.49568882  0.8807165   0.80061129
  0.86539503 -0.18506202  0.61848687 -0.58162379  0.        ]",[-0.18430217 -0.1666123 ]
2,"[[ 0.09859257 -0.18294438  0.10089882  0.09196681]
 [-0.69238855 -6.26535613  0.          0.        ]]",[ 0.79149795 -0.70749164],-0.141647684075,[ 0.9330945   0.27075585],-0.661349,"[ 1.0277259   2.12802624  0.12184833  0.17930845  0.88071396  0.80060915
  0.68995228 -0.50030088  0.61373549 -0.6285359   0.        ]",[-0.18430217 -0.1666123 ]
3,"[[ 0.12191274 -0.29626466  0.10089882  0.09196681]
 [ 3.01208827 -5.07064368  0.          0.        ]]",[ 0.56360435 -0.73982048],-0.145473174697,[-0.33749838 -2.28183495],-0.694118,"[ 1.02406806  2.09094955  0.15711932 -0.16382416  0.88071142  0.80060702
  0.85158683 -0.33659476  0.60181944 -0.68979599  0.        ]",[-0.18430217 -0.1666123 ]
4,"[[ 0.16817535 -0.43639279  0.10089882  0.09196681]
 [ 1.61877907 -8.92931382  0.          0.        ]]",[ 0.62997007 -0.60912454],-0.147174184201,[ 0.55995096  0.05789129],-0.734739,"[ 1.01454207  2.02178771  0.22677383 -0.57151174  0.88070888  0.80060488
  0.79079064 -0.86532747  0.57902732 -0.73457671  0.        ]",[-0.18430217 -0.1666123 ]
5,"[[ 0.22245336 -0.61091328  0.10089882  0.09196681]
 [ 3.80178091 -8.52407131  0.          0.        ]]",[ 0.45843825 -0.58610153],-0.148790532849,[ 1.53362856  0.62158553],-0.766059,"[ 0.99953749  1.90160741  0.30779082 -1.04225574  0.88070634  0.80060275
  0.88603879 -0.80979682  0.53771597 -0.7932975   0.        ]",[-0.18430217 -0.1666123 ]
6,"[[ 0.33742006 -0.75501986  0.10089882  0.09196681]
 [ 7.68203695 -5.89530738  0.          0.        ]]",[-0.00302464 -0.6662212 ],-0.139804813548,[-1.345196   -0.28339856],-0.776282,"[ 0.95431819  1.7763165   0.47583858 -1.39057022  0.8807038   0.80060061
  1.0553421  -0.44958861  0.50327661 -0.72723519  0.        ]",[-0.18430217 -0.1666123 ]
7,"[[ 0.44984486 -0.88299919  0.10089882  0.09196681]
 [ 3.57406422 -6.89931948  0.          0.        ]]",[ 0.06135276 -0.5700776 ],-0.129918565817,[ 1.012026   -1.35763255],-0.766885,"[ 0.89293368  1.64750591  0.6337535  -1.66295829  0.88070126  0.80059848
  0.87609674 -0.58716263  0.46431055 -0.65517888  0.        ]",[-0.18430217 -0.1666123 ]
8,"[[  0.56032627  -1.05935379   0.10089882   0.09196681]
 [  7.46117594 -10.72334419   0.           0.        ]]",[-0.4256053  -0.59631777],-0.121775441051,[ 0.79027362  0.13708324],-0.76971,"[ 0.81682912  1.44703363  0.78080968 -1.97291992  0.88069872  0.80059634
  1.04569928 -1.1111482   0.39750071 -0.62916353  0.        ]",[-0.18430217 -0.1666123 ]
9,"[[  0.73944354  -1.26624965   0.10089882   0.09196681]
 [ 10.44072261  -9.96869252   0.           0.        ]]",[-0.96414489 -0.64937496],-0.104955286338,[-1.20096672 -1.23224683],-0.765151,"[ 0.66266801  1.18566161  0.99752732 -2.2284548   0.88069618  0.80059421
  1.17570107 -1.00773828  0.30174282 -0.53464625  0.        ]",[-0.18430217 -0.1666123 ]
10,"[[  0.90649303  -1.50335841   0.10089882   0.09196681]
 [  6.27789835 -13.72973515   0.           0.        ]]",[-0.97046536 -0.5816617 ],-0.0911564807176,[-0.85337108 -0.10044038],-0.745629,"[ 0.48843259  0.86514706  1.17019675 -2.36485228  0.88069364  0.80059207
  0.99406176 -1.5230893   0.17480253 -0.49519284  0.        ]",[-0.18430217 -0.1666123 ]
11,"[[  0.99691686  -1.77920912   0.10089882   0.09196681]
 [  2.77600864 -13.8549783    0.           0.        ]]",[-0.82648224 -0.51922739],-0.0911112055145,[-0.6635161  -1.87080401],-0.745741,"[ 0.38358218  0.48697631  1.2500151  -2.30443182  0.8806911   0.80058994
  0.84126182 -1.54024235  0.01691243 -0.58066738  0.        ]",[-0.18430217 -0.1666123 ]
