timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.02721278 -0.09558505 -0.15075795  0.10105219]
 [-0.00458188  0.00074819  0.          0.        ]]",[-2.49225378 -2.58357215],-0.375682950253,[-3.09658302 -2.65893579],-2.30371,"[  9.34620613e-01   1.86295952e+00   5.80013473e-04   6.06936504e-01
  -1.32045855e+00   8.75727254e-01   7.30584084e-01   3.50553122e-01
   2.79405781e+00  -7.62288214e-01   0.00000000e+00]",[-0.33504918 -0.27917582]
1,"[[-0.01255317 -0.13528266 -0.15075795  0.10105219]
 [-3.95885904 -3.9573227   0.          0.        ]]",[-2.373806  -2.4093709],-0.378576526073,[-2.01651644 -2.25536882],-2.37007,"[ 0.93504219  1.85703523 -0.06243752  0.49068828 -1.32045544  0.87572592
  0.59425563 -0.2133083   2.78599597 -0.87373456  0.        ]",[-0.33504918 -0.27917582]
2,"[[-0.13062109 -0.25335564 -0.15075795  0.10105219]
 [-7.83506915 -7.83704386  0.          0.        ]]",[-2.30616665 -2.23828983],-0.384634461491,[-1.78045805 -2.91289269],-2.39347,"[ 0.92278888  1.82753756 -0.24897079  0.14934173 -1.32045232  0.87572459
  0.46061876 -0.76600772  2.71858633 -1.19749695  0.        ]",[-0.33504918 -0.27917582]
3,"[[ -0.32544791  -0.44825203  -0.15075795   0.10105219]
 [-11.63508593 -11.63990406   0.           0.        ]]",[-2.14463472 -2.01606798],-0.386208903492,[-1.92919614 -2.53700857],-2.43933,"[ 0.85895395  1.74098587 -0.54927489 -0.38939345 -1.3204492   0.87572326
  0.32960881 -1.30775581  2.4746606  -1.67826946  0.        ]",[-0.33504918 -0.27917582]
4,"[[ -0.59553114  -0.71844867  -0.15075795   0.10105219]
 [-15.36110662 -15.36729153   0.           0.        ]]",[-1.9885937  -1.83187389],-0.371251403642,[-1.95896682 -2.01667706],-2.36262,"[ 0.68525468  1.54894707 -0.93156653 -1.052214   -1.32044608  0.87572193
  0.20114999 -1.83874794  1.92245609 -2.15058988  0.        ]",[-0.33504918 -0.27917582]
5,"[[ -0.93941542  -1.06244925  -0.15075795   0.10105219]
 [-19.01561259 -19.02051254   0.           0.        ]]",[-2.01975322 -1.85366774],-0.325883449855,[-0.77180235 -2.5740117 ],-2.06202,"[ 0.34035889  1.20456089 -1.32185905 -1.68704105 -1.32044296  0.8757206
  0.07515673 -2.35916693  1.06249514 -2.31058083  0.        ]",[-0.33504918 -0.27917582]
6,"[[ -1.34663464  -1.47878634  -0.15075795   0.10105219]
 [-21.69790319 -22.60119099   0.           0.        ]]",[-2.10289454 -1.87514496],-0.242608959644,[-2.76806467 -1.99354917],-1.40264,"[-0.19380166  0.69353284 -1.58774271 -2.04735354 -1.32043985  0.87571926
 -0.01731832 -2.86924016  0.22259051 -1.87956374  0.        ]",[-0.33504918 -0.27917582]
7,"[[ -1.81605928  -1.96602032  -0.15075795   0.10105219]
 [-25.23323862 -26.11048682   0.           0.        ]]",[-2.12907767 -1.86816645],-0.137752981016,[-1.65150055 -1.08980314],-0.738368,"[-0.86895869  0.07632586 -1.57996059 -1.83254632 -1.32043673  0.87571793
 -0.13920306 -3.36912823 -0.04301272 -0.99540472  0.        ]",[-0.33504918 -0.27917582]
8,"[[ -2.35550685  -2.52274434  -0.15075795   0.10105219]
 [-28.69987829 -29.55058333   0.           0.        ]]",[-2.21498752 -1.86307168],-0.116891796147,[-1.62173825 -1.57018041],-0.566984,"[-1.54223782 -0.47958293 -1.16396377 -0.82188823 -1.32043361  0.8757166
 -0.25871943 -3.85913704  0.48511655 -0.38787372  0.        ]",[-0.33504918 -0.27917582]
9,"[[ -2.96357571  -3.14759958  -0.15075795   0.10105219]
 [-32.09437003 -26.55727947   0.           0.        ]]",[-2.11965513 -1.78875399],-0.189249324469,[-2.59433349 -1.94618147],-0.9865,"[-1.94517033 -0.71957574 -0.32317356  0.90602243 -1.32043049  0.87571527
 -0.37574836 -3.43269097  1.03510191 -0.71017647  0.        ]",[-0.33504918 -0.27917582]
