timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.048729   -0.05896132  0.19159866 -0.16685961]
 [-0.00114513  0.00227361  0.          0.        ]]",[-3.9760375 -2.2763536],-0.171581248213,[-3.53917833 -2.1107086 ],-2.48869,"[ 0.84529596  1.46116123  0.1054046   0.85049714  1.64985991 -1.45347891
  0.70443103  0.33133777 -0.4441524   2.06956008  0.        ]",[-0.80156279 -0.58353466]
1,"[[ 0.00903119 -0.09862871  0.19159866 -0.16685961]
 [-3.95547925 -3.95582546  0.          0.        ]]",[-2.54690909 -1.07757759],-0.158942997854,[-2.40769346 -0.89872511],-2.39112,"[ 0.8470511   1.45740514  0.04049987  0.74034225  1.64985789 -1.45347742
  0.59192811 -0.28734067 -0.44754723  1.93797406  0.        ]",[-0.80156279 -0.58353466]
2,"[[-0.10897106 -0.2126486   0.19159866 -0.16685961]
 [-7.83187269 -7.43456999  0.          0.        ]]",[-0.64277762  0.4281621 ],-0.121826780061,[-0.35408264  0.11887523],-2.14911,"[ 0.83802826  1.43616067 -0.15217062  0.42671701  1.64985587 -1.45347593
  0.48164269 -0.83109246 -0.50884318  1.55703434  0.        ]",[-0.80156279 -0.58353466]
3,"[[-0.27811245 -0.35513501  0.19159866 -0.16685961]
 [-9.07813524 -6.81612337  0.          0.        ]]",[ 0.69086552  1.22265863],-0.074619627995,[ 0.68983504  1.90630894],-1.80331,"[ 0.7882603   1.38820614 -0.42335593  0.04599166  1.64985385 -1.45347444
  0.44618574 -0.73442452 -0.70942689  1.07027097  0.        ]",[-0.80156279 -0.58353466]
4,"[[-0.43050996 -0.45038546  0.19159866 -0.16685961]
 [-6.17124569 -2.72256611  0.          0.        ]]",[ 0.6892792  0.9039976],-0.050654242913,[ 0.94822572  0.45958709],-1.6122,"[ 0.70735563  1.34332502 -0.65693106 -0.1980306   1.64985183 -1.45347296
  0.52888795 -0.09457252 -0.96306512  0.71709275  0.        ]",[-0.80156279 -0.58353466]
5,"[[-0.5150802  -0.48605132  0.19159866 -0.16685961]
 [-2.29865375 -0.85026299  0.          0.        ]]",[ 0.30336952  0.69323909],-0.0516791787876,[ 0.2897461   1.21564861],-1.57335,"[ 0.64838777  1.32396851 -0.78005497 -0.28668967  1.64984981 -1.45347147
  0.63906481  0.19808173 -1.1169852   0.55819475  0.        ]",[-0.80156279 -0.58353466]
6,"[[-0.54911084 -0.46316412  0.19159866 -0.16685961]
 [-1.10837094  3.1257315   0.          0.        ]]",[-0.25592744 -0.3269572 ],-0.0525551011887,[-0.4683797   0.41715751],-1.61192,"[ 0.62194496  1.33654487 -0.82802214 -0.22997918  1.64984779 -1.45346998
  0.67292863  0.81955775 -1.14623385  0.52097401  0.        ]",[-0.80156279 -0.58353466]
7,"[[-0.58965517 -0.38469079  0.19159866 -0.16685961]
 [-2.93995639  4.71630249  0.          0.        ]]",[-0.12619892 -0.87037992],-0.050896960569,[-0.25023381 -0.70974475],-1.6538,"[ 0.58846865  1.3753517  -0.88387545 -0.03077176  1.64984578 -1.45346849
  0.62081881  1.06817469 -1.13233078  0.50919926  0.        ]",[-0.80156279 -0.58353466]
8,"[[-0.65779195 -0.31949454  0.19159866 -0.16685961]
 [-3.87062173  1.81299909  0.          0.        ]]",[ 0.66831899 -0.21233493],-0.0529756080823,[ 0.48227007 -0.31729623],-1.66405,"[ 0.52752724  1.40238367 -0.97432681  0.13967876  1.64984376 -1.45346701
  0.59434064  0.61436723 -1.17729722  0.44993968  0.        ]",[-0.80156279 -0.58353466]
9,"[[-0.7152893  -0.29620759  0.19159866 -0.16685961]
 [-1.88572641  0.52000472  0.          0.        ]]",[ 0.73426962  0.09858432],-0.0583004709231,[-0.02682107  0.22599677],-1.67811,"[ 0.4717135   1.41086762 -1.04705992  0.20149991  1.64984174 -1.45346552
  0.65081164  0.41226271 -1.24933601  0.38249142  0.        ]",[-0.80156279 -0.58353466]
10,"[[-0.75369749 -0.27693211  0.19159866 -0.16685961]
 [-1.95486154  1.40459439  0.          0.        ]]",[ 0.76729113 -0.09920628],-0.062246241909,[ 1.68655158 -0.72006846],-1.71231,"[ 0.43228905  1.41741824 -1.09368434  0.25300656  1.64983972 -1.45346403
  0.6488444   0.55053027 -1.29559915  0.34150735  0.        ]",[-0.80156279 -0.58353466]
11,"[[-0.75270462 -0.27774126  0.19159866 -0.16685961]
 [ 2.04084079 -1.47590383  0.          0.        ]]",[ 0.4869456  0.4987368],-0.0621678738274,[-0.34657399  0.77253943],-1.68744,"[ 0.43332902  1.41715042 -1.09249877  0.2508385   1.6498377  -1.45346255
  0.76252385  0.10028734 -1.29470871  0.34235314  0.        ]",[-0.80156279 -0.58353466]
