timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.02892506 -0.07358391  0.04051662  0.10139696]
 [ 0.00261276 -0.00429008  0.          0.        ]]",[ 0.78550118 -1.61980116],-0.204611354476,[ 1.03460318 -1.60582393],-2.62646,"[ 0.84369001  1.3983003   0.00516724  0.83913893  0.34851469  0.87279924
  0.68243142  0.32589573  1.16787756 -0.9087462   0.        ]",[-0.8982448  -0.75663745]
1,"[[ 0.01083266 -0.1134121   0.04051662  0.10139696]
 [ 3.95997937 -3.9653218   0.          0.        ]]",[ 0.35845745 -1.43792093],-0.202427564411,[-0.0208509  -1.65841746],-2.60466,"[ 0.84425216  1.39383214  0.06978647  0.73092875  0.34851459  0.87279883
  0.79276918 -0.30929565  1.16826394 -0.86556504  0.        ]",[-0.8982448  -0.75663745]
2,"[[ 0.08843391 -0.23165799  0.04051662  0.10139696]
 [ 3.80066666 -7.84633191  0.          0.        ]]",[ 0.51944381 -0.63862872],-0.199834602004,[ 0.02328049 -0.61226283],-2.6235,"[ 0.83823108  1.36945598  0.19574028  0.41321     0.34851449  0.87279843
  0.78832693 -0.93165453  1.15800209 -0.82946841  0.        ]",[-0.8982448  -0.75663745]
3,"[[  0.16462554  -0.41134981   0.04051662   0.10139696]
 [  3.81842229 -10.11528593   0.           0.        ]]",[ 0.70004195 -0.1822848 ],-0.199185223674,[ 0.66175003 -0.44591137],-2.65146,"[ 0.82319486  1.30132865  0.3185699  -0.05141971  0.34851438  0.87279803
  0.78882166 -1.29550343  1.1231714  -0.86875991  0.        ]",[-0.8982448  -0.75663745]
4,"[[  0.26650813  -0.62937016   0.04051662   0.10139696]
 [  6.36139363 -11.68150369   0.           0.        ]]",[ 0.34341705 -0.13194217],-0.195537025921,[ 1.00253261  0.45288291],-2.67287,"[ 0.78912091  1.17135459  0.480277   -0.56662748  0.34851428  0.87279762
  0.85972364 -1.54666092  1.05705255 -0.89308025  0.        ]",[-0.8982448  -0.75663745]
5,"[[  0.43216253  -0.84269905   0.04051662   0.10139696]
 [ 10.19139745  -9.65806473   0.           0.        ]]",[-0.47554886 -0.44261736],-0.183143052868,[-0.48948297 -0.7738408 ],-2.6877,"[ 0.70053315  0.99961437  0.73299502 -0.99728291  0.34851418  0.87279722
  0.9665102  -1.22218132  0.972986   -0.77670962  0.        ]",[-0.8982448  -0.75663745]
6,"[[  0.61454829  -1.06467528   0.04051662   0.10139696]
 [  8.05421752 -12.53001847   0.           0.        ]]",[-0.67795736  0.11800848],-0.167493340275,[-0.33729984 -0.59739396],-2.68019,"[ 0.55814649  0.78256361  0.98942384 -1.34711373  0.34851408  0.87279682
  0.90692154 -1.68272625  0.85286802 -0.64796749  0.        ]",[-0.8982448  -0.75663745]
7,"[[  0.76064925  -1.33651371   0.04051662   0.10139696]
 [  6.56075981 -14.64679561   0.           0.        ]]",[-0.63168353  0.60104829],-0.154761476442,[-1.08665424  0.06395214],-2.60634,"[ 0.41323014  0.47903434  1.17278352 -1.61469119  0.34851397  0.87279641
  0.86528099 -2.02216986  0.67631746 -0.65628049  0.        ]",[-0.8982448  -0.75663745]
8,"[[  0.85085295  -1.62399005   0.04051662   0.10139696]
 [  2.4730679  -14.10272352   0.           0.        ]]",[ 0.2352929   0.93995732],-0.146500238125,[ 0.37244894  1.68604103],-2.42306,"[ 0.31148415  0.13625377  1.27429706 -1.68538307  0.34851387  0.87279601
  0.75130883 -1.93492014  0.45590661 -0.77250818  0.        ]",[-0.8982448  -0.75663745]
9,"[[ 0.91460349 -1.86351698  0.04051662  0.10139696]
 [ 3.89738379 -9.86407623  0.          0.        ]]",[ 0.35594189  0.64066994],-0.140004850366,[ 0.9607734   0.96538307],-2.27641,"[ 0.23446689 -0.14654691  1.34009256 -1.57315583  0.34851377  0.87279561
  0.79102086 -1.255211    0.24058556 -0.86549218  0.        ]",[-0.8982448  -0.75663745]
10,"[[ 1.02992971 -2.02048905  0.04051662  0.10139696]
 [ 7.62293845 -5.8464718   0.          0.        ]]",[-0.36112428  0.15456279],-0.129123307148,[-0.0163511 -0.0198049],-2.17048,"[ 0.08551447 -0.32211048  1.44565474 -1.41792393  0.34851367  0.8727952
  0.89489531 -0.61094896  0.09426437 -0.82299834  0.        ]",[-0.8982448  -0.75663745]
11,"[[ 1.18022737 -2.13704161  0.04051662  0.10139696]
 [ 7.40754012 -5.80891505  0.          0.        ]]",[-0.72924405  0.42737818],-0.116108214477,[-0.22668236  0.51799943],-2.06431,"[-0.12434623 -0.44438849  1.55526048 -1.26329851  0.34851356  0.8727948
  0.88888921 -0.60492615 -0.01954679 -0.72682874  0.        ]",[-0.8982448  -0.75663745]
