timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.07645444 -0.0275964  -0.1741782   0.11297497]
 [-0.00065571  0.00471499  0.          0.        ]]",[-3.34826422 -4.20300484],-0.40539625187,[-2.80645169 -4.31252236],-4.24699,"[ 0.83969174  1.428387   -0.08371316  0.95409726 -1.51799544  0.97824904
  0.69212772  0.32927583  3.48021235 -1.08294629  0.        ]",[-0.83935869 -0.66608071]
1,"[[-0.11614251 -0.06721544 -0.1741782   0.11297497]
 [-3.95499279 -3.95343161  0.          0.        ]]",[-3.4425838  -3.94768763],-0.408140643881,[-3.88866115 -2.99516072],-4.29091,"[ 0.83377766  1.42612973 -0.14815411  0.84512295 -1.51799398  0.97824848
  0.58093982 -0.29801383  3.46256397 -1.21698177  0.        ]",[-0.83935869 -0.66608071]
2,"[[-0.23413338 -0.18521137 -0.1741782   0.11297497]
 [-7.83122148 -7.83323159  0.          0.        ]]",[-3.55729055 -3.64707875],-0.413607106642,[-2.81546885 -3.65942257],-4.33054,"[ 0.80193301  1.40828985 -0.33758421  0.52295509 -1.51799252  0.97824793
  0.4719482  -0.91288683  3.35714843 -1.60431676  0.        ]",[-0.83935869 -0.66608071]
3,"[[ -0.42888283  -0.38003236  -0.1741782    0.11297497]
 [-11.63118207 -11.63617717   0.           0.        ]]",[-3.58832884 -3.372679  ],-0.413694671234,[-2.71108926 -3.13794849],-4.2279,"[ 0.70385349  1.34310302 -0.63751622  0.00855219 -1.51799106  0.97824737
  0.36510111 -1.51557895  3.02315033 -2.17117131  0.        ]",[-0.83935869 -0.66608071]
4,"[[ -0.69888668  -0.65015538  -0.1741782    0.11297497]
 [-15.35705625 -15.36365634   0.           0.        ]]",[-3.59589601 -3.23218346],-0.39571944414,[-4.17927222 -3.24260017],-3.97095,"[ 0.48087977  1.18368161 -1.00866584 -0.63683143 -1.5179896   0.97824681
  0.26033718 -2.106309    2.30762661 -2.70905744  0.        ]",[-0.83935869 -0.66608071]
5,"[[ -1.04268787  -0.99408416  -0.1741782    0.11297497]
 [-19.01134929 -19.01696627   0.           0.        ]]",[-3.64177322 -2.93720579],-0.345336997369,[-4.0019066 -3.4420011],-3.37212,"[ 0.07535984  0.882393   -1.36820832 -1.27833233 -1.51798814  0.97824625
  0.15758597 -2.685281    1.22789579 -2.84768434  0.        ]",[-0.83935869 -0.66608071]
6,"[[ -1.45888007  -1.41034823  -0.1741782    0.11297497]
 [-22.59652761 -22.59741347   0.           0.        ]]",[-3.62173772 -2.799891  ],-0.254639980947,[-3.93311319 -3.15410329],-2.41554,"[-0.53250128  0.41912634 -1.5802534  -1.68836271 -1.51798668  0.9782457
  0.05677813 -3.2527001   0.19183324 -2.25425755  0.        ]",[-0.83935869 -0.66608071]
7,"[[ -1.94609923  -1.89750506  -0.1741782    0.11297497]
 [-26.1141732  -26.10653312   0.           0.        ]]",[-3.76828694 -2.78538799],-0.14521194967,[-3.96427996 -1.60749554],-1.41721,"[-1.27367534 -0.15851526 -1.47691035 -1.57806503 -1.51798522  0.97824514
 -0.04213084 -3.80880741 -0.08811997 -1.1143345   0.        ]",[-0.83935869 -0.66608071]
8,"[[ -2.50299438  -2.45414752  -0.1741782    0.11297497]
 [-29.56382599 -29.54637088   0.           0.        ]]",[-4.07108974 -2.95521545],-0.137357026774,[-5.40441613 -3.23662441],-1.1718,"[-1.94997352 -0.70161277 -0.93150659 -0.7173895  -1.51798376  0.97824458
 -0.13912798 -4.3539247   0.63694009 -0.37764189  0.        ]",[-0.83935869 -0.66608071]
9,"[[ -3.12817838  -3.07891571  -0.1741782    0.11297497]
 [-32.94205905 -26.8397439    0.           0.        ]]",[-4.39540195 -3.38839555],-0.212211403453,[-4.17130502 -3.33136699],-2.1102,"[-2.25524695 -0.97219452  0.01901106  0.85759717 -1.5179823   0.97824403
 -0.23411694 -3.92496424  1.32223872 -0.8049256   0.        ]",[-0.83935869 -0.66608071]
