timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.03559019  0.00810111 -0.15276177 -0.08041099]
 [-0.00214112  0.00028467  0.          0.        ]]",[-3.25364089 -4.05842686],-0.370095643839,[-2.79503364 -3.57369749],-3.48901,"[ 0.85581604  1.52515849 -0.05753409  1.01801985 -1.33686676 -0.70090608
  0.7180473   0.33518147  3.11552637  0.99605674  0.        ]",[-0.66813534 -0.48405591]
1,"[[-0.07530764 -0.03160565 -0.15276177 -0.08041099]
 [-3.95644432 -3.95777434  0.          0.        ]]",[-2.66538835 -3.60443377],-0.366982106289,[-3.12278178 -2.64825734],-3.4499,"[ 0.85249848  1.52459204 -0.12241808  0.90565447 -1.33686526 -0.70090566
  0.6025726  -0.27111346  3.10727497  0.86946983  0.        ]",[-0.66813534 -0.48405591]
2,"[[-0.19332706 -0.14968759 -0.15276177 -0.08041099]
 [-7.8326187  -7.83749086  0.          0.        ]]",[-2.28175044 -3.20066261],-0.355317852967,[-2.40430723 -2.81476166],-3.25098,"[ 0.82869422  1.51166803 -0.31367837  0.5730187  -1.33686376 -0.70090524
  0.48937949 -0.86540763  3.03206228  0.50046842  0.        ]",[-0.66813534 -0.48405591]
3,"[[ -0.3881036   -0.34459298  -0.15276177  -0.08041099]
 [-11.63248691 -11.64035888   0.           0.        ]]",[-2.33729768 -2.90075779],-0.328564758785,[-2.51453679 -3.25054692],-2.87603,"[ 0.74468961  1.45408354 -0.61852821  0.03899543 -1.33686225 -0.70090482
  0.37841473 -1.447929    2.75210397 -0.05095043  0.        ]",[-0.66813534 -0.48405591]
4,"[[ -0.65813222  -0.6147989   -0.15276177  -0.08041099]
 [-15.35822183 -15.36776639   0.           0.        ]]",[-2.23025036 -2.37259817],-0.277780074028,[-2.25988135 -1.92193751],-2.38981,"[ 0.54200726  1.30370032 -1.00011488 -0.63737853 -1.33686075 -0.7009044
  0.26961485 -2.01888876  2.10892584 -0.59927398  0.        ]",[-0.66813534 -0.48405591]
5,"[[ -1.00195501  -0.95880919  -0.15276177  -0.08041099]
 [-19.01233974 -19.02100609   0.           0.        ]]",[-1.6133163  -1.84995234],-0.195733449903,[-2.13841033 -1.39935437],-1.83945,"[ 0.1615161   1.01049934 -1.37790281 -1.32148697 -1.33685925 -0.70090398
  0.16290635 -2.57848299  1.09364357 -0.79578701  0.        ]",[-0.66813534 -0.48405591]
6,"[[ -1.41816529  -1.37515328  -0.15276177  -0.08041099]
 [-22.59735157 -22.6013725    0.           0.        ]]",[-0.86058152 -1.3051573 ],-0.0854527691189,[-1.10653235 -0.72356367],-1.10884,"[-0.42112197  0.55073297 -1.61654754 -1.78115807 -1.33685774 -0.70090355
  0.0582159  -3.12690761  0.06922762 -0.30028045  0.        ]",[-0.66813534 -0.48405591]
7,"[[ -1.90540036  -1.85140601  -0.15276177  -0.08041099]
 [-26.11486467 -25.01580246   0.           0.        ]]",[-0.54420203 -0.91902167],-0.0578761453235,[-0.08628933 -0.54050874],-1.09214,"[-1.1451435  -0.01939856 -1.5448214  -1.72444825 -1.33685624 -0.70090313
 -0.04450343 -3.49672847 -0.28315584  0.75246448  0.        ]",[-0.66813534 -0.48405591]
8,"[[ -2.42601464  -2.36819993  -0.15276177  -0.08041099]
 [-25.94685805 -26.65824769   0.           0.        ]]",[-2.12848186 -1.72950077],-0.151423377358,[-1.49832196 -0.43274775],-1.77577,"[-1.78761029 -0.54993293 -1.07278083 -0.98201868 -1.33685473 -0.70090271
 -0.03959723 -3.74829238  0.29107294  1.50149627  0.        ]",[-0.66813534 -0.48405591]
9,"[[ -2.97957319  -2.91324435  -0.15276177  -0.08041099]
 [-29.39690755 -27.84248074   0.           0.        ]]",[-3.34358931 -2.69677448],-0.188514190647,[-3.17633    -2.26313762],-1.98168,"[-2.13751845 -0.86261035 -0.26325307  0.35441565 -1.33685323 -0.70090229
 -0.14034651 -3.92966394  1.0014769   1.31873596  0.        ]",[-0.66813534 -0.48405591]
10,"[[ -3.60139178  -3.17667986  -0.15276177  -0.08041099]
 [-32.77352461  -1.5789723    0.           0.        ]]",[-2.6180253  -2.56593156],-0.174533094054,[-3.40526253 -2.08859479],-1.77398,"[-2.00073506 -0.89326449  0.72681539  1.09437903 -1.33685173 -0.70090187
 -0.23895139  0.09328625  1.03717218  0.97116553  0.        ]",[-0.66813534 -0.48405591]
11,"[[ -4.29007471  -3.1424615   -0.15276177  -0.08041099]
 [-36.08382361   3.16165116   0.           0.        ]]",[-2.61459565 -2.62080336],-0.171875245493,[-3.41450642 -1.34940434],-1.77733,"[-1.26792057 -0.89400789  1.49319741  0.99755231 -1.33685022 -0.70090144
 -0.33561962  0.81943772  1.00839315  0.9689556   0.        ]",[-0.66813534 -0.48405591]
12,"[[ -5.04430899  -3.08257162  -0.15276177  -0.08041099]
 [-39.32879444   2.54190094   0.           0.        ]]",[-2.12280631 -2.23829627],-0.170270449766,[-3.01098744 -3.56546898],-1.71524,"[-0.15916529 -0.8919015   1.54764289  0.82814581 -1.33684872 -0.70090102
 -0.43038009  0.7245061   0.99994719  0.94820819  0.        ]",[-0.66813534 -0.48405591]
13,"[[ -5.86279813  -3.04310549  -0.15276177  -0.08041099]
 [-42.50951747   1.44358685   0.           0.        ]]",[-1.5924288  -1.69772911],-0.162811508118,[-2.12849674 -3.07173399],-1.77371,"[ 0.72555882 -0.8881454   0.66847228  0.71680003 -1.33684722 -0.7009006
 -0.52326435  0.55626987  0.92727697  0.92455204  0.        ]",[-0.66813534 -0.48405591]
14,"[[ -6.74426984  -3.02215469  -0.15276177  -0.08041099]
 [-45.6272633    0.71877002   0.           0.        ]]",[-1.36939108 -1.39211929],-0.156603912883,[-1.18478286 -1.53257115],-1.78989,"[ 0.69939591 -0.88538893 -0.72731293  0.65785652 -1.33684571 -0.70090018
 -0.61430948  0.44524469  0.82649239  0.9854089   0.        ]",[-0.66813534 -0.48405591]
15,"[[ -7.6874772   -3.01207192  -0.15276177  -0.08041099]
 [-48.68328881   0.33378286   0.           0.        ]]",[-1.49433553 -1.62658322],-0.16249585147,[-1.26365752 -0.72954874],-1.8747,"[-0.40047317 -0.88387405 -1.61293785  0.62954038 -1.33684421 -0.70089976
 -0.70355217  0.38627348  0.81184037  1.12766119  0.        ]",[-0.66813534 -0.48405591]
16,"[[ -8.69119808  -3.00719768  -0.15276177  -0.08041099]
 [-51.67881648   0.16826951   0.           0.        ]]",[-1.76388848 -2.23088741],-0.178493920543,[-1.93863673 -1.85759255],-2.00601,"[-1.76961908 -0.88309766 -1.09483609  0.61586468 -1.33684271 -0.70089934
 -0.7910281   0.36092053  0.9379815   1.23137036  0.        ]",[-0.66813534 -0.48405591]
