timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.04830863  0.0470435   0.04121533  0.13084957]
 [-0.00420589 -0.00093828  0.          0.        ]]",[ 0.42535985 -0.75108963],-0.204038881094,[ 0.66806639 -0.54015289],-1.69978,"[ 0.85536456  1.52589831  0.07864725  1.12774954  0.34279585  1.13773497
  0.71823347  0.33510969  1.12766061 -0.89539952  0.        ]",[-0.66691929 -0.46333548]
1,"[[ 0.07474959  0.0255555   0.04121533  0.13084957]
 [ 2.63949576 -2.14072747  0.          0.        ]]",[ 0.29979187 -0.59114689],-0.202075773078,[ 0.15378872  0.24235918],-1.6968,"[ 0.8529148   1.52683978  0.12182567  1.06695108  0.3427957   1.13773391
  0.79551707  0.00753242  1.1254577  -0.86366986  0.        ]",[-0.66691929 -0.46333548]
2,"[[ 0.13311573 -0.00720759  0.04121533  0.13084957]
 [ 3.19526916 -1.13891895  0.          0.        ]]",[ 0.41956049 -0.61368382],-0.196636610461,[ 0.22337714 -0.91352357],-1.64359,"[ 0.84379378  1.52720136  0.21679307  0.97419656  0.34279554  1.13773284
  0.81176362  0.16089785  1.11603138 -0.77782911  0.        ]",[-0.66691929 -0.46333548]
3,"[[ 0.20526698 -0.06605525  0.04121533  0.13084957]
 [ 4.01711591 -4.73386383  0.          0.        ]]",[ 0.40523636 -0.30764005],-0.191033337098,[-0.22567528  0.14140655],-1.64401,"[ 0.82549535  1.52459202  0.33313304  0.80771702  0.34279538  1.13773178
  0.83578835 -0.38944739  1.10165373 -0.69238731  0.        ]",[-0.66691929 -0.46333548]
4,"[[ 0.27585242 -0.15417057  0.04121533  0.13084957]
 [ 3.04466612 -4.07984989  0.          0.        ]]",[ 0.66033846 -0.22048001],-0.187364495272,[ 0.80687577  0.39309655],-1.66743,"[ 0.80016701  1.51287784  0.44527309  0.55982776  0.34279523  1.13773072
  0.80735988 -0.28932509  1.08704931 -0.64307967  0.        ]",[-0.66691929 -0.46333548]
5,"[[ 0.36816084 -0.21935225  0.04121533  0.13084957]
 [ 6.17575889 -2.44376052  0.          0.        ]]",[ 0.20793085 -0.39274535],-0.179023968361,[-0.6246224  -0.05610238],-1.61177,"[ 0.75617519  1.49823478  0.58849066  0.37852051  0.34279507  1.13772966
  0.89889145 -0.0388581   1.05313937 -0.5262772   0.        ]",[-0.66691929 -0.46333548]
6,"[[ 0.4656594  -0.26996061  0.04121533  0.13084957]
 [ 3.58272737 -2.61650743  0.          0.        ]]",[ 0.32287008 -0.27138421],-0.168863920599,[-0.59652053  0.443517  ],-1.58888,"[ 0.69672358  1.48340233  0.73429176  0.23951519  0.34279492  1.1377286
  0.82308796 -0.06530371  1.00381065 -0.38660559  0.        ]",[-0.66691929 -0.46333548]
7,"[[ 0.51291952 -0.30414167  0.04121533  0.13084957]
 [ 1.15137904 -0.80763334  0.          0.        ]]",[ 0.59903383 -0.35174221],-0.164465287156,[ 1.38877965  0.61378819],-1.60238,"[ 0.66326535  1.47169176  0.80253726  0.14670284  0.34279476  1.13772754
  0.75201109  0.2116148   0.97818845 -0.33093391  0.        ]",[-0.66691929 -0.46333548]
8,"[[ 0.57540058 -0.2957643   0.04121533  0.13084957]
 [ 5.08363209  1.63723234  0.          0.        ]]",[-0.42948377 -0.9313398 ],-0.155398883122,[-0.19899397 -1.64756084],-1.48803,"[ 0.61454553  1.47468483  0.88998579  0.16936248  0.34279461  1.13772648
  0.86696333  0.58589649  0.92596062 -0.20220753  0.        ]",[-0.66691929 -0.46333548]
9,"[[ 0.66818118 -0.30306904  0.04121533  0.13084957]
 [ 4.19738049 -2.3544063   0.          0.        ]]",[-0.64639497 -0.28134   ],-0.143125331179,[-0.17764993 -0.12727831],-1.4705,"[ 0.53316141  1.47207597  1.01333262  0.14960074  0.34279445  1.13772542
  0.84105465 -0.02517958  0.84038096 -0.03796224  0.        ]",[-0.66691929 -0.46333548]
