timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
16,"[[ 0.91479366 -1.38329295  0.05057009  0.10039584]
 [ 1.46692127 -3.68743719  0.          0.        ]]",[-0.06775926 -0.14615886],-0.129630703063,[-0.55502063 -0.20194574],-1.49129,"[ 0.29988437  0.62205898  1.27042203 -1.86131908  0.42326698  0.86907795
  0.77627275 -0.21015608  0.53560478 -0.44865291  0.        ]",[-0.50659674 -0.36170787]
17,"[[ 0.92180487 -1.46432744  0.05057009  0.10039584]
 [-0.75842082 -4.4136009   0.          0.        ]]",[ 0.36726734  0.0324873 ],-0.129769777851,[ 0.23653791  0.67066993],-1.44469,"[ 0.29163121  0.52369471  1.27734298 -1.89548403  0.42326672  0.86907715
  0.70845637 -0.31859273  0.4918016  -0.51231354  0.        ]",[-0.50659674 -0.36170787]
18,"[[ 0.91617317 -1.52508027  0.05057009  0.10039584]
 [ 0.19211433 -1.67082132  0.          0.        ]]",[ 0.33315524 -0.32699364],-0.131008092644,[ 1.22285182 -0.27357435],-1.44508,"[ 0.29826369  0.44935237  1.27178565 -1.90877774  0.42326645  0.86907635
  0.73742271  0.0909822   0.4574616  -0.57383589  0.        ]",[-0.50659674 -0.36170787]
19,"[[ 0.95968648 -1.56904028  0.05057009  0.10039584]
 [ 4.1460691  -2.72165653  0.          0.        ]]",[-0.35470486 -0.30564192],-0.126671635376,[-0.59453748  0.8527248 ],-1.3967,"[ 0.24628891  0.39541424  1.31363268 -1.91177755  0.42326619  0.86907556
  0.85791614 -0.06593742  0.42304936 -0.5497485   0.        ]",[-0.50659674 -0.36170787]
20,"[[ 1.01817139 -1.58905124  0.05057009  0.10039584]
 [ 1.71052187  0.70911364  0.          0.        ]]",[-0.15541388 -0.59272492],-0.12045506511,[-0.38154754 -0.64023674],-1.41788,"[ 0.17391455  0.37085339  1.36589291 -1.91129751  0.42326593  0.86907476
  0.78369375  0.44637438  0.39840056 -0.48572343  0.        ]",[-0.50659674 -0.36170787]
21,"[[ 1.03689598 -1.60044238  0.05057009  0.10039584]
 [ 0.1670751  -1.83973635  0.          0.        ]]",[ 0.03240235 -0.21563122],-0.118516852561,[ 0.11260285 -0.70142694],-1.4031,"[ 0.15016895  0.35687553  1.38163103 -1.91050726  0.42326567  0.86907396
  0.7366576   0.065758    0.38703223 -0.47003062  0.        ]",[-0.50659674 -0.36170787]
22,"[[ 1.04467978 -1.66473855  0.05057009  0.10039584]
 [ 0.60981536 -4.5807442   0.          0.        ]]",[ 0.03003816  0.11767358],-0.118365008201,[ 0.20243628 -1.08909231],-1.39168,"[ 0.14021961  0.278121    1.38802799 -1.89906985  0.42326541  0.86907317
  0.75014922 -0.34355302  0.34674622 -0.51535798  0.        ]",[-0.50659674 -0.36170787]
23,"[[ 1.06479825 -1.79517245  0.05057009  0.10039584]
 [ 1.3993661  -8.44974687  0.          0.        ]]",[-0.00348502  0.5630126 ],-0.117577066688,[ 0.99378479  1.43080768],-1.23169,"[ 0.11429677  0.12015886  1.40416962 -1.8395746   0.42326515  0.86907237
  0.77420964 -0.92130566  0.25592244 -0.59595137  0.        ]",[-0.50659674 -0.36170787]
24,"[[ 1.13196801 -1.92276519  0.05057009  0.10039584]
 [ 5.30470583 -4.32324289  0.          0.        ]]",[-0.62605608  0.04658261],-0.112055776208,[-0.76036644  0.52208274],-1.18813,"[ 0.02570327 -0.0298918   1.45386185 -1.73521241  0.42326489  0.86907157
  0.89322162 -0.30509955  0.15309559 -0.61271291  0.        ]",[-0.50659674 -0.36170787]
25,"[[ 1.20681026 -1.98762645  0.05057009  0.10039584]
 [ 2.18987284 -2.17008193  0.          0.        ]]",[-0.29361171 -0.03827986],-0.10539682289,[ 0.97574877  0.52628405],-1.10784,"[-0.07633523 -0.10368129  1.50140103 -1.66517419  0.42326463  0.86907078
  0.79829831  0.01642957  0.09361242 -0.57749021  0.        ]",[-0.50659674 -0.36170787]
26,"[[ 1.28892315 -2.00969151  0.05057009  0.10039584]
 [ 6.00869863 -0.04348776  0.          0.        ]]",[-1.06783044 -0.38395894],-0.0975009252056,[-0.52203617 -1.41341615],-1.11252,"[-0.19166162 -0.12832251  1.5437619  -1.63880534  0.42326437  0.86906998
  0.91467383  0.33399147  0.06169955 -0.50682303  0.        ]",[-0.50659674 -0.36170787]
27,"[[ 1.3871747  -2.05027765  0.05057009  0.10039584]
 [ 3.82373276 -4.00195146  0.          0.        ]]",[-0.91161871  0.21666285],-0.0884720483289,[-0.8757803 -0.2610413],-1.03922,"[-0.33323543 -0.17297546  1.58059661 -1.58700139  0.42326411  0.86906919
  0.84808756 -0.25712193  0.00807747 -0.43878728  0.        ]",[-0.50659674 -0.36170787]
28,"[[ 1.42810821 -2.1398897   0.05057009  0.10039584]
 [ 0.28137459 -4.95609365  0.          0.        ]]",[-0.40686035  0.40329304],-0.0870096372155,[-1.31803324  0.07080293],-1.00881,"[-0.39306703 -0.26816159  1.59140527 -1.45785363  0.42326385  0.86906839
  0.74013572 -0.39960289 -0.06431664 -0.47182424  0.        ]",[-0.50659674 -0.36170787]
29,"[[ 1.39396095 -2.23521224  0.05057009  0.10039584]
 [-3.68293154 -4.5774264   0.          0.        ]]",[ 0.31258184  0.49945155],-0.093144811116,[ 0.66904616  0.03367264],-1.0152,"[-0.34312566 -0.36357033  1.58256898 -1.29913514  0.42326359  0.86906759
  0.61932541 -0.34305662 -0.12858869 -0.57354591  0.        ]",[-0.50659674 -0.36170787]
30,"[[ 1.34760584 -2.32451439  0.05057009  0.10039584]
 [-0.96161622 -4.35353515  0.          0.        ]]",[ 0.10363057  0.42918244],-0.0997033737357,[ 0.01639987 -0.84752977],-1.04311,"[-0.2758273  -0.44673453  1.56759048 -1.13173496  0.42326333  0.8690668
  0.70225535 -0.30962293 -0.19887529 -0.66946324  0.        ]",[-0.50659674 -0.36170787]
31,"[[ 1.32921524 -2.44439082  0.05057009  0.10039584]
 [-0.87775141 -7.62321096  0.          0.        ]]",[-0.09816326  0.42133155],-0.104370762139,[-0.5211772   1.01931845],-1.05211,"[-0.24931492 -0.5477359   1.56070034 -0.8809729   0.42326307  0.869066
  0.70481053 -0.79788068 -0.30946867 -0.74588528  0.        ]",[-0.50659674 -0.36170787]
32,"[[ 1.29113111 -2.55561289  0.05057009  0.10039584]
 [-2.92382373 -3.51269625  0.          0.        ]]",[ 0.36454836  0.31738207],-0.10963642336,[ 0.14913433  1.15709724],-1.07199,"[-0.19480322 -0.62939483  1.54473987 -0.62449577  0.42326281  0.8690652
  0.64245717 -0.18406015 -0.42195116 -0.81324607  0.        ]",[-0.50659674 -0.36170787]
33,"[[ 1.23915933 -2.58544097  0.05057009  0.10039584]
 [-2.27549706  0.51645865  0.          0.        ]]",[ 0.51884329  0.03921828],-0.113269925213,[ 0.98994929  0.39469547],-1.09137,"[-0.12138572 -0.64918338  1.51930825 -0.55222787  0.42326255  0.86906441
  0.66221406  0.41761093 -0.4582091  -0.85056252  0.        ]",[-0.50659674 -0.36170787]
34,"[[ 1.23342463 -2.55953346  0.05057009  0.10039584]
 [ 1.68880628  2.06911419  0.          0.        ]]",[ 0.04281544 -0.22880253],-0.113130538544,[ 0.11243045  0.68484424],-1.09486,"[-0.11336081 -0.63204725  1.51624402 -0.6150757   0.42326229  0.86906361
  0.78302337  0.64946768 -0.43191881 -0.84745242  0.        ]",[-0.50659674 -0.36170787]
