timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.07733272 -0.03443031  0.1764997   0.11854958]
 [-0.00071467 -0.00308823  0.          0.        ]]",[ 2.64655447  1.20717525],-0.111149220855,[ 2.43000693  0.89730497],-1.61574,"[ 0.84052445  1.44768111  0.15972924  0.92726866  1.52278339  1.02799373
  0.699143    0.32945216 -0.29760849 -0.80367944  0.        ]",[-0.81126511 -0.61255783]
1,"[[  1.16995215e-01   1.14109006e-03   1.76499701e-01   1.18549582e-01]
 [  3.95380126e+00   3.54839713e+00   0.00000000e+00   0.00000000e+00]]",[ 1.4413377   0.19902937],-0.0992353073,[ 1.53495909  0.33527704],-1.54782,"[ 0.83459959  1.44839147  0.22424957  1.02585682  1.52278182  1.02799307
  0.81100589  0.88785464 -0.30883158 -0.67569845  0.        ]",[-0.81126511 -0.61255783]
2,"[[ 0.23497228  0.08470884  0.1764997   0.11854958]
 [ 7.83100477  4.8041943   0.          0.        ]]",[-0.51181185 -0.76699823],-0.0657181881609,[-0.89452182 -1.60553256],-1.37666,"[ 0.80281239  1.44408001  0.41400061  1.25723368  1.52278024  1.02799242
  0.92068171  1.08530394 -0.38229123 -0.32696429  0.        ]",[-0.81126511 -0.61255783]
3,"[[ 0.35455021  0.14012475  0.1764997   0.11854958]
 [ 4.13906691  0.75090188  0.          0.        ]]",[-0.64658445 -0.24024338],-0.0346053225673,[-0.19332143 -0.7733161 ],-1.33631,"[ 0.74935215  1.43660571  0.60091569  1.40986188  1.52277867  1.02799176
  0.81624563  0.44800125 -0.50085614 -0.02146301  0.        ]",[-0.81126511 -0.61255783]
4,"[[ 0.42884901  0.12427464  0.1764997   0.11854958]
 [ 3.29362279 -2.32565913  0.          0.        ]]",[-0.83426315  0.20314352],-0.0207947704077,[-1.22687817  0.12763852],-1.33429,"[ 0.7056857   1.43911615  0.71313682  1.36630638  1.5227771   1.0279911
  0.79232974 -0.03572908 -0.56555181  0.10903651  0.        ]",[-0.81126511 -0.61255783]
5,"[[ 0.45437507  0.08330986  0.1764997   0.11854958]
 [-0.72762478 -1.77266651  0.          0.        ]]",[-0.12778421  0.42913842],-0.0199237072998,[ 0.09395199  0.65781478],-1.3651,"[ 0.68888665  1.444217    0.75085633  1.25336577  1.52277552  1.02799044
  0.67857841  0.05121843 -0.56780152  0.11803272  0.        ]",[-0.81126511 -0.61255783]
6,"[[ 0.4436857   0.0743407   0.1764997   0.11854958]
 [-0.34259051  0.86695451  0.          0.        ]]",[-0.22870894 -0.00113235],-0.0231443349638,[-0.39033076 -1.01766577],-1.35211,"[ 0.69603137  1.44506472  0.73511577  1.22857868  1.52277395  1.02798978
  0.68946975  0.46624841 -0.55116906  0.08826356  0.        ]",[-0.81126511 -0.61255783]
7,"[[ 0.42142494  0.05178573  0.1764997   0.11854958]
 [-1.87837652 -3.10920231  0.          0.        ]]",[ 0.45756394  0.8194055 ],-0.0302825912577,[ 0.21726243  0.45518041],-1.35579,"[ 0.71039972  1.44677222  0.70208098  1.16617875  1.52277238  1.02798912
  0.64602591 -0.15892666 -0.51614824  0.02155985  0.        ]",[-0.81126511 -0.61255783]
8,"[[ 0.39284619  0.00829912  0.1764997   0.11854958]
 [-0.98247987 -1.24566759  0.          0.        ]]",[ 0.61077565  0.72110468],-0.0410696966304,[ 1.30205905  0.91386117],-1.35652,"[ 0.72782447  1.44834114  0.65918704  1.04569265  1.5227708   1.02798847
  0.67136829  0.13407882 -0.46814681 -0.08142626  0.        ]",[-0.81126511 -0.61255783]
9,"[[ 0.41306786  0.01992342  0.1764997   0.11854958]
 [ 2.99142024  2.39596581  0.          0.        ]]",[-0.51734406 -0.22438493],-0.035549445893,[ 0.0007688   0.06615125],-1.35584,"[ 0.7156139   1.44814254  0.68959223  1.07791228  1.52276923  1.02798781
  0.78377965  0.70665651 -0.49178181 -0.02830245  0.        ]",[-0.81126511 -0.61255783]
