timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[ 0.05639207 -0.05194516  0.05422127  0.0407249 ]
 [ 0.0013317  -0.00357973  0.          0.        ]]",[-0.06349328 -1.82854092],-0.159418636983,[ 0.46856876 -2.6726486 ],-1.68894,"[ 0.84705866  1.47495286  0.11132268  0.86372524  0.45886317  0.35125831
  0.70863229  0.33143914  1.00541911 -0.06778275  0.        ]",[-0.78151083 -0.55396986]
1,"[[ 0.07503161 -0.09175111  0.05422127  0.0407249 ]
 [ 1.8564405  -3.96381443  0.          0.        ]]",[-0.25270563 -1.31431627],-0.159387627978,[-1.06577733 -0.8281998 ],-1.76508,"[ 0.84519138  1.47151234  0.1417473   0.75273143  0.45886298  0.35125817
  0.76166991 -0.28469719  1.00398435 -0.07259609  0.        ]",[-0.78151083 -0.55396986]
2,"[[ 0.07211366 -0.20312709  0.05422127  0.0407249 ]
 [-2.13496784 -7.16312872  0.          0.        ]]",[ 0.63566315 -0.54032958],-0.161823549365,[ 0.37930058 -0.57157114],-1.81443,"[ 0.84551802  1.45182899  0.13698693  0.44488827  0.45886279  0.35125804
  0.64755418 -0.78244876  0.99447647 -0.20439009  0.        ]",[-0.78151083 -0.55396986]
3,"[[ 0.04490001 -0.36767996  0.05422127  0.0407249 ]
 [-0.59155115 -9.28508224  0.          0.        ]]",[ 0.7159183  -0.02845377],-0.166007773145,[ 0.81095595  0.73922352],-1.85881,"[ 0.8479445   1.3961318   0.0925478   0.00394569  0.4588626   0.3512579
  0.69168053 -1.11258325  0.94640568 -0.44339465  0.        ]",[-0.78151083 -0.55396986]
4,"[[ 0.06536228 -0.5221814   0.05422127  0.0407249 ]
 [ 2.6271125  -6.17541099  0.          0.        ]]",[ 0.27170849 -0.43468124],-0.166313808257,[ 0.14089215 -0.83754606],-1.83168,"[ 0.84622428  1.31617892  0.12596893 -0.38556125  0.45886241  0.35125776
  0.78370257 -0.62877766  0.88643394 -0.5625519   0.        ]",[-0.78151083 -0.55396986]
5,"[[ 0.12298667 -0.67773845  0.05422127  0.0407249 ]
 [ 3.13361768 -9.36964454  0.          0.        ]]",[ 0.15164937 -0.21435246],-0.163261450346,[ 0.12677721  0.33861382],-1.86859,"[ 0.83796013  1.21057906  0.21980136 -0.74414776  0.45886222  0.35125763
  0.79818324 -1.12573845  0.82599658 -0.60038197  0.        ]",[-0.78151083 -0.55396986]
6,"[[ 0.19006382 -0.84981892  0.05422127  0.0407249 ]
 [ 3.5726577  -7.84348357  0.          0.        ]]",[ 0.08290456 -0.48261291],-0.158428195606,[ 0.3260807  -0.84296969],-1.90551,"[ 0.82201417  1.06750957  0.32816576 -1.09117928  0.45886202  0.35125749
  0.81073506 -0.88829646  0.74585167 -0.62977148  0.        ]",[-0.78151083 -0.55396986]
7,"[[  0.27376177  -1.03862312   0.05422127   0.0407249 ]
 [  4.79305916 -11.02631369   0.           0.        ]]",[-0.15606938 -0.21668714],-0.151052017303,[-0.21759085 -0.41086066],-1.92268,"[ 0.7926813   0.88371463  0.46137622 -1.40023686  0.45886183  0.35125736
  0.84562618 -1.38348257  0.64638578 -0.63596222  0.        ]",[-0.78151083 -0.55396986]
8,"[[  0.36003575  -1.2732784    0.05422127   0.0407249 ]
 [  3.83746298 -12.43453328   0.           0.        ]]",[-0.03451048  0.02263646],-0.141173350909,[-0.80041694  0.33217183],-1.88188,"[ 0.75168811  0.62584568  0.59543597 -1.66404453  0.45886164  0.35125722
  0.81830494 -1.60257257  0.49080567 -0.66372093  0.        ]",[-0.78151083 -0.55396986]
9,"[[  0.40423678  -1.50629515   0.05422127   0.0407249 ]
 [  0.59336945 -10.87238777   0.           0.        ]]",[ 0.58141756  0.12123661],-0.132463621034,[ 1.10891169 -0.73165617],-1.65625,"[ 0.72654984  0.35060679  0.66251988 -1.78105422  0.45886145  0.35125708
  0.72555499 -1.35953147  0.28940434 -0.73538804  0.        ]",[-0.78151083 -0.55396986]
10,"[[  0.45569484  -1.75065684   0.05422127   0.0407249 ]
 [  4.5393702  -13.55478945   0.           0.        ]]",[ 0.04807517  0.73501456],-0.121708913495,[ 0.55060339  0.10837609],-1.46364,"[ 0.69383727  0.05772749  0.73902561 -1.74176619  0.45886126  0.35125695
  0.83837182 -1.77685885  0.05971347 -0.76657201  0.        ]",[-0.78151083 -0.55396986]
11,"[[  0.56744424  -2.01475581   0.05422127   0.0407249 ]
 [  6.62870059 -12.8573974    0.           0.        ]]",[-0.43313581  1.01473844],-0.105587301765,[-0.77355666  1.18319924],-1.32066,"[ 0.61044035 -0.24391034  0.89834156 -1.51583785  0.45886107  0.35125681
  0.89810584 -1.66835602 -0.16996192 -0.70056509  0.        ]",[-0.78151083 -0.55396986]
12,"[[ 0.66797627 -2.22961871  0.05422127  0.0407249 ]
 [ 3.43511759 -8.64298238  0.          0.        ]]",[ 0.02250272  1.08176267],-0.0923118011063,[-0.0335799   0.82016231],-1.14895,"[ 0.52167074 -0.46375758  1.03234731 -1.20174956  0.45886088  0.35125668
  0.80679989 -1.01267458 -0.36272766 -0.62487695  0.        ]",[-0.78151083 -0.55396986]
13,"[[ 0.73466142 -2.36817781  0.05422127  0.0407249 ]
 [ 3.23409108 -5.22432381  0.          0.        ]]",[-0.07001866  0.90359116],-0.084494708747,[ 0.07747039  0.95742024],-1.10723,"[ 0.45605662 -0.58813477  1.11567117 -0.94417341  0.45886069  0.35125654
  0.80105202 -0.48079782 -0.49083986 -0.57033332  0.        ]",[-0.78151083 -0.55396986]
14,"[[ 0.80177792 -2.43359001  0.05422127  0.0407249 ]
 [ 3.47675718 -1.32987378  0.          0.        ]]",[-0.31079698  0.36265326],-0.0791308615403,[-0.07956805  0.40445795],-1.10142,"[ 0.38493866 -0.64125022  1.19461124 -0.80923597  0.45886049  0.35125641
  0.80798946  0.12510272 -0.53782714 -0.52083297  0.        ]",[-0.78151083 -0.55396986]
15,"[[ 0.86746208 -2.44385474  0.05422127  0.0407249 ]
 [ 3.09293368  0.29797383  0.          0.        ]]",[-0.43775898  0.10317697],-0.0751013512759,[-0.67230628 -0.13157383],-1.09002,"[ 0.31071171 -0.64923563  1.26674388 -0.78733959  0.4588603   0.35125627
  0.79701538  0.37836405 -0.52495118 -0.47757765  0.        ]",[-0.78151083 -0.55396986]
16,"[[ 0.90200184 -2.44318131  0.05422127  0.0407249 ]
 [ 0.37011659 -0.22887893  0.          0.        ]]",[-0.13043915  0.24146213],-0.0730580185587,[-0.67990356 -0.16108085],-1.07506,"[ 0.26995184 -0.64871436  1.30253406 -0.7887815   0.45886011  0.35125613
  0.71916881  0.29639586 -0.51233358 -0.4545949   0.        ]",[-0.78151083 -0.55396986]
17,"[[ 0.88232423 -2.45411266  0.05422127  0.0407249 ]
 [-2.32888777 -0.86214431  0.          0.        ]]",[ 0.35177881  0.45505375],-0.0740766438609,[ 0.9655977   0.38357906],-1.04495,"[ 0.29331436 -0.65711833  1.28232718 -0.76526825  0.45885992  0.351256
  0.6420031   0.19787193 -0.53159376 -0.46779137  0.        ]",[-0.78151083 -0.55396986]
18,"[[ 0.87456353 -2.4559456   0.05422127  0.0407249 ]
 [ 1.5399271   0.67373025  0.          0.        ]]",[-0.20918117  0.11442097],-0.0745085108371,[-0.3049871  0.1082586],-1.08577,"[ 0.30242563 -0.65851636  1.27422212 -0.76130444  0.45885973  0.35125586
  0.75261337  0.43682423 -0.53642055 -0.47284006  0.        ]",[-0.78151083 -0.55396986]
19,"[[ 0.89294174 -2.43830386  0.05422127  0.0407249 ]
 [ 0.30202032  1.08905959  0.          0.        ]]",[-0.06135894  0.04511628],-0.0736670403121,[ 0.22241411  0.1281636 ],-1.05623,"[ 0.28075432 -0.64492789  1.29328855 -0.79920225  0.45885954  0.35125573
  0.71722083  0.50144127 -0.50973225 -0.46053809  0.        ]",[-0.78151083 -0.55396986]
