timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.03324259 -0.01315997  0.17823928 -0.07583001]
 [-0.00285109  0.00367039  0.          0.        ]]","[  8.39823596e-01   1.39328069e+00  -6.10756112e-04   1.00694725e+00
   1.54757995e+00  -6.59635965e-01   6.79408889e-01   3.26183709e-01
  -3.62222879e-01   1.07397299e+00   0.00000000e+00]",-0.0744380955592,[-0.89259231 -0.74501354],-2.41072,[-2.13506532 -1.97788298],[-2.45209576 -1.91936884]
1,"[[-0.07297411 -0.05279968  0.17823928 -0.07583001]
 [-3.95714253 -3.95445546  0.          0.        ]]","[ 0.83652458  1.39171165 -0.06528929  0.89859717  1.54757855 -0.65963571
  0.56851515 -0.30977648 -0.37274965  0.93678197  0.        ]",-0.0627300155018,[-0.89259231 -0.74501354],-2.29197,[-0.83471799 -0.80101264],[-1.1592059  -1.61606852]
2,"[[-0.19100747 -0.1708159   0.17823928 -0.07583001]
 [-7.83331796 -7.83423606  0.          0.        ]]","[ 0.81224111  1.37592294 -0.25593402  0.57802093  1.54757716 -0.65963546
  0.45981211 -0.93314854 -0.45826049  0.53758053  0.        ]",-0.0290115430099,[-0.89259231 -0.74501354],-1.91227,[ 1.03068757  0.80884349],[ 1.49141175  0.60882886]
3,"[[-0.30643951 -0.30177243  0.17823928 -0.07583001]
 [-3.72354554 -5.26995745  0.          0.        ]]","[ 0.76782016  1.33916989 -0.43823002  0.23005266  1.54757576 -0.65963521
  0.57506578 -0.5211403  -0.62750998  0.15708793  0.        ]",-0.0187091745737,[-0.89259231 -0.74501354],-1.72689,[ 1.16920567  0.97893858],[ 0.43038002  0.96800932]
4,"[[-0.36310453 -0.36767442  0.17823928 -0.07583001]
 [-1.94884172 -1.33336003  0.          0.        ]]","[ 0.73870375  1.31320165 -0.52547047  0.05984294  1.54757437 -0.65963496
  0.6248351   0.11136122 -0.73951555 -0.01540042  0.        ]",-0.0332323147193,[-0.89259231 -0.74501354],-1.66657,[ 1.17953098  0.49104914],[ 0.43445455  1.27895534]
5,"[[-0.38446536 -0.35435549  0.17823928 -0.07583001]
 [-0.19308378  2.65197172  0.          0.        ]]","[ 0.72650398  1.31884456 -0.5578896   0.09392215  1.54757297 -0.65963471
  0.67407308  0.75169288 -0.75455892 -0.04406582  0.        ]",-0.0360032850194,[-0.89259231 -0.74501354],-1.70559,[ 0.73830593 -0.53283966],[ 0.93854813 -0.46994942]
6,"[[-0.35102923 -0.32052694  0.17823928 -0.07583001]
 [ 3.5243144   0.73727069  0.          0.        ]]","[ 0.74530471  1.3322789  -0.50702558  0.18122225  1.54757158 -0.65963446
  0.77832299  0.4440535  -0.68884258  0.05080741  0.        ]",-0.0270594164636,[-0.89259231 -0.74501354],-1.73826,[-0.07478145 -0.43959942],[-0.75320915 -0.92964362]
7,"[[-0.31112428 -0.34284906  0.17823928 -0.07583001]
 [ 0.47632258 -2.9571769   0.          0.        ]]","[ 0.76559212  1.32355778 -0.44550563  0.12349943  1.54757018 -0.65963421
  0.69284521 -0.14954163 -0.66155653  0.10829181  0.        ]",-0.0221125606668,[-0.89259231 -0.74501354],-1.71308,[ 0.4797245   0.56406045],[ 0.39085998  0.45226826]
8,"[[-0.28618547 -0.38344331  0.17823928 -0.07583001]
 [ 2.01245037 -1.10840615  0.          0.        ]]","[ 0.77706879  1.30625912 -0.40664861  0.01972072  1.54756879 -0.65963395
  0.73592389  0.14750454 -0.66514928  0.11933992  0.        ]",-0.0210494308292,[-0.89259231 -0.74501354],-1.6917,[ 0.0899394   0.20395234],[ 0.94157879  0.44900343]
9,"[[-0.20896961 -0.38756693  0.17823928 -0.07583001]
 [ 5.69686731  0.69006321  0.          0.        ]]","[ 0.8066577   1.30439799 -0.28463233  0.00927022  1.54756739 -0.6596337
  0.83924887  0.43646866 -0.59232394  0.27067282  0.        ]",-0.0125350996942,[-0.89259231 -0.74501354],-1.74997,[-1.08174634 -0.50117481],[-0.06173658 -0.79298796]
