timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-2.06957626  0.66724086],[-2.90550766  0.1897103 ],-0.15593161333,-0.15593161333,"[ 0.97611372  1.65034501 -0.18109695 -1.20773219  0.58741856 -0.84503508
  0.37546644 -0.32878061  0.85367856  0.51201556  0.        ]","[[-0.09677339 -0.07424384  0.0685803  -0.09836144]
 [ 0.00272753  0.00381871  0.          0.        ]]",[-0.32144502 -0.17627698]
1,[-1.58803189  0.67905259],[-0.9150638   0.14281847],-0.151739871799,-0.151739871799,"[ 0.96902884  1.6510202  -0.24003686 -1.18736549  0.58741802 -0.84503408
  0.01386687 -0.21791929  0.84396257  0.4364509   0.        ]","[[-0.13641285 -0.06661601  0.0685803  -0.09836144]
 [-3.95349942  0.75645142  0.          0.        ]]",[-0.32144502 -0.17627698]
2,[-0.7018677   0.74306673],[-0.22477877  0.09817472],-0.13972593191,-0.13972593191,"[ 0.93515219  1.65248742 -0.40832069 -1.13213968  0.58741748 -0.84503308
 -0.30986283 -0.1366245   0.80249439  0.21927542  0.        ]","[[-0.25101975 -0.04594949  0.0685803  -0.09836144]
 [-7.49539585  1.30835799  0.          0.        ]]",[-0.32144502 -0.17627698]
3,[ 0.04928097  0.79542214],[ 0.80928134  0.69046404],-0.124153303553,-0.124153303553,"[ 0.85697451  1.6536543  -0.63097255 -1.05239363  0.58741693 -0.84503209
 -0.3775975  -0.08313695  0.71505753 -0.0668031   0.        ]","[[-0.40836315 -0.01613897  0.0685803  -0.09836144]
 [-8.23647687  1.67148227  0.          0.        ]]",[-0.32144502 -0.17627698]
4,[-0.02598223  0.40130275],[ 1.00612437  1.53038627],-0.114140893771,-0.114140893771,"[ 0.76521533  1.65256884 -0.80534532 -0.89046857  0.58741639 -0.84503109
 -0.07019236  0.31450229  0.63305369 -0.25686696  0.        ]","[[-0.53934789  0.04437617  0.0685803  -0.09836144]
 [-4.87319294  4.37103784  0.          0.        ]]",[-0.32144502 -0.17627698]
5,[-0.68921673 -0.15555081],[-1.29169553 -1.1048434 ],-0.11440152095,-0.11440152095,"[ 0.71827995  1.63542756 -0.87705873 -0.55470356  0.58741585 -0.84503009
  0.30005087  0.88476341  0.63598619 -0.23590003  0.        ]","[[-0.59616917  0.17064068  0.0685803  -0.09836144]
 [-0.82240435  8.24251853  0.          0.        ]]",[-0.32144502 -0.17627698]
6,[-0.04477057  0.35793629],[-0.29953652 -1.29449632],-0.113931043796,-0.113931043796,"[ 0.66804499  1.59944585 -0.94503382 -0.23325237  0.5874153  -0.8450291
 -0.05989167  0.27770592  0.63224845 -0.21204042  0.        ]","[[-0.65212893  0.29414104  0.0685803  -0.09836144]
 [-4.76048989  4.12123853  0.          0.        ]]",[-0.32144502 -0.17627698]
7,[ 0.63154507  1.00043178],[ 1.47328009  1.73909527],-0.105504690784,-0.105504690784,"[ 0.56240265  1.58301537 -1.06598124 -0.12668362  0.58741476 -0.8450281
 -0.15945363 -0.31749812  0.54892702 -0.36143202  0.        ]","[[-0.75826791  0.33602312  0.0685803  -0.09836144]
 [-5.84978489  0.0804306   0.          0.        ]]",[-0.32144502 -0.17627698]
8,[ 0.11781651  0.32494986],[-0.95040153  0.56642506],-0.10026880976,-0.10026880976,"[ 0.47879059  1.56475868 -1.14569822 -0.02309888  0.58741422 -0.84502711
  0.21256445  0.26528007  0.48726657 -0.45137891  0.        ]","[[-0.83442623  0.37732791  0.0685803  -0.09836144]
 [-1.77958684  4.03687739  0.          0.        ]]",[-0.32144502 -0.17627698]
9,[ 0.68663561  0.07422996],[ 0.85912113  1.18408293],-0.0966708961506,-0.0966708961506,"[ 0.3930612   1.51089121 -1.21605069  0.22620201  0.58741367 -0.84502611
 -0.12794256  0.58406793  0.45078712 -0.46939048  0.        ]","[[-0.90739622  0.47978012  0.0685803  -0.09836144]
 [-5.50502371  6.20111101  0.          0.        ]]",[-0.32144502 -0.17627698]
