timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.20370753  0.83721435],[-0.75294022  0.24280464],-0.189827116781,-0.189827116781,"[ 1.05400686  1.67194775  0.0555926  -0.80100206  0.24327539 -0.50002494
  0.23301428 -0.29542036  0.98214639  0.39333153  0.        ]","[[ 0.0534725  -0.0968687   0.02829092 -0.05515586]
 [-0.00221802  0.00061365  0.          0.        ]]",[-0.02712011 -0.0823171 ]
1,[-0.17219013  0.85616457],[-0.61710008  3.28843466],-0.188358430145,-0.188358430145,"[ 1.05560162  1.67303087  0.00972001 -0.77821764  0.24327438 -0.50002249
 -0.03083355 -0.16359901  0.98211171  0.35376533  0.        ]","[[ 0.02354021 -0.08719883  0.02829092 -0.05515586]
 [-2.98109085  0.96316139  0.          0.        ]]",[-0.02712011 -0.0823171 ]
2,[-0.12961122  0.87537694],[-0.60095457  2.56238861],-0.185346719691,-0.185346719691,"[ 1.05347443  1.67724052 -0.11834778 -0.63933892  0.24327337 -0.50002004
 -0.24196788  0.37618161  0.97966614  0.26981255  0.        ]","[[-0.05999835 -0.02838976  0.02829092 -0.05515586]
 [-5.36482291  4.90460806  0.          0.        ]]",[-0.02712011 -0.0823171 ]
3,[-0.06431237  0.90921903],[-1.38709333  0.14621425],-0.181603797171,-0.181603797171,"[ 1.0309011   1.67039124 -0.31618825 -0.31608509  0.24327236 -0.50001759
 -0.44326692  0.90526514  0.96907221  0.17755418  0.        ]","[[-0.19009743  0.10846484  0.02829092 -0.05515586]
 [-7.63751773  8.76796734  0.          0.        ]]",[-0.02712011 -0.0823171 ]
4,[ 0.04635724  0.97621429],[ 0.44546387  1.88055422],-0.174233786091,-0.174233786091,"[ 0.95616088  1.62637782 -0.59673598  0.09956051  0.24327135 -0.50001514
 -0.78029368  0.96096073  0.93183627  0.02923196  0.        ]","[[ -0.38102502   0.28790542   0.02829092  -0.05515586]
 [-11.442602     9.17470323   0.           0.        ]]",[-0.02712011 -0.0823171 ]
5,[ 0.09330595  0.98198926],[ 1.62994466  1.158852  ],-0.164713280931,-0.164713280931,"[ 0.82073554  1.51944327 -0.87961612  0.58127098  0.24327034 -0.50001269
 -0.60429148  1.4782102   0.86651856 -0.10039149  0.        ]","[[ -0.58994093   0.50929565   0.02829092  -0.05515586]
 [ -9.4555785   12.9517353    0.           0.        ]]",[-0.02712011 -0.0823171 ]
6,[ 0.08264711  0.9411993 ],[-0.97472978  0.00274364],-0.155538296129,-0.155538296129,"[ 0.69434533  1.29461687 -1.05771473  1.13389101  0.24326933 -0.50001024
 -0.23741224  1.98510803  0.80551395 -0.06458669  0.        ]","[[ -0.73749585   0.80546931   0.02829092  -0.05515586]
 [ -5.31354332  16.65334393   0.           0.        ]]",[-0.02712011 -0.0823171 ]
7,[ 0.11110067  0.93074894],[-0.71962033 -0.23057272],-0.141900648494,-0.141900648494,"[ 0.54949323  0.95679017 -1.20984543  1.57277952  0.24326832 -0.50000779
 -0.56968114  1.9415314   0.71256501  0.01319775  0.        ]","[[ -0.88140331   1.13534708   0.02829092  -0.05515586]
 [ -9.06486025  16.33541221   0.           0.        ]]",[-0.02712011 -0.0823171 ]
8,[ 0.1080282  0.8966794],[-1.1466733   0.71951342],-0.121062040019,-0.121062040019,"[ 0.30857901  0.58154543 -1.38582818  1.77618348  0.24326731 -0.50000534
 -0.8060225   1.77220572  0.57096119  0.01060799  0.        ]","[[ -1.08947116   1.44965269   0.02829092  -0.05515586]
 [-11.73318306  15.09919183   0.           0.        ]]",[-0.02712011 -0.0823171 ]
9,[ 0.0435098   0.81432098],[-0.1875092   0.18947868],-0.09313366184,-0.09313366184,"[-0.04657655  0.17533304 -1.52660695  1.74326938  0.2432663  -0.50000289
 -1.13610159  2.12135156  0.38188956 -0.01617111  0.        ]","[[ -1.36152424   1.77722116   0.02829092  -0.05515586]
 [-15.45984407  17.64903959   0.           0.        ]]",[-0.02712011 -0.0823171 ]
10,[-0.03848487  0.72659791],[ 0.74658013 -0.28194996],-0.0600710968601,-0.0600710968601,"[-0.48058823 -0.23500288 -1.55171211  1.42781804  0.24326529 -0.50000044
 -1.17481871  2.17606671  0.15625872  0.00421096  0.        ]","[[ -1.67510812   2.1342142    0.02829092  -0.05515586]
 [-15.89707909  18.04894035   0.           0.        ]]",[-0.02712011 -0.0823171 ]
