timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 2.73132777  2.42068124],[ 3.15761805  3.06836044],-0.397103233014,-0.397103233014,"[ 0.99879745  1.53225715  0.04399711 -1.30478565 -1.6166374   0.06996795
  0.32440751 -0.31724189  3.27877793 -0.24816816  0.        ]","[[ 0.0567813  -0.07386036 -0.18726619  0.00716036]
 [-0.00369256  0.00396144  0.          0.        ]]",[-0.45939824 -0.25689611]
1,[ 2.4173975   1.95513558],[ 1.62196424  2.23826216],-0.396698164071,-0.396698164071,"[ 0.9941714   1.53497332  0.10274268 -1.20160747 -1.61663412  0.06996791
  0.71188877  0.28674059  3.27415567 -0.10869215  0.        ]","[[ 0.09638328 -0.03406949 -0.18726619  0.00716036]
 [ 3.95072623  3.9619394   0.          0.        ]]",[-0.45939824 -0.25689611]
2,[ 2.16609979  1.53228641],[ 2.44710799  0.90865034],-0.392873843393,-0.392873843393,"[ 0.96633971  1.53122837  0.27595737 -0.89501715 -1.61663085  0.06996787
  1.0917097   0.87876862  3.21461302  0.29998641  0.        ]","[[  2.14289168e-01   8.40949923e-02  -1.87266190e-01   7.16035592e-03]
 [  7.82697452e+00   7.84158086e+00   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
3,[ 1.94795394  1.14159024],[ 1.8249106   0.41082049],-0.37830078469,-0.37830078469,"[ 0.87537     1.48794152  0.551207   -0.40683101 -1.61662758  0.06996783
  1.46405765  1.40387371  2.97657312  0.91314252  0.        ]","[[  4.08954316e-01   2.75452385e-01  -1.87266190e-01   7.16035592e-03]
 [  1.16269709e+01   1.12826768e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
4,[ 1.48101842  0.69065642],[ 2.40371847  1.46105202],-0.343958755475,-0.343958755475,"[ 0.66278008  1.37126155  0.89381755  0.16630911 -1.61662431  0.06996779
  1.82918212  1.61775474  2.43662274  1.52700193  0.        ]","[[  6.78879283e-01   5.15169160e-01  -1.87266190e-01   7.16035592e-03]
 [  1.53532700e+01   1.26842888e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
5,[ 0.32438606 -0.31262437],[-0.58584547  0.96230442],-0.280574026826,-0.280574026826,"[ 0.27026461  1.14593088  1.22939087  0.76067015 -1.61662104  0.06996775
  2.18713782  2.18334287  1.56963857  1.82016244  0.        ]","[[  1.02259457e+00   8.06043466e-01  -1.87266190e-01   7.16035592e-03]
 [  1.90064405e+01   1.63907116e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
6,[-0.51212245 -1.31080008],[-0.44974902 -1.99621234],-0.191638438852,-0.191638438852,"[-0.22939229  0.76441262  1.41919359  1.2767801  -1.61661776  0.06996771
  1.92339951  2.71521124  0.68952207  1.47053827  0.        ]","[[  1.37571638e+00   1.16882904e+00  -1.87266190e-01   7.16035592e-03]
 [  1.63149190e+01   1.98762087e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
7,[-1.16150224 -2.31211138],[-1.36827184 -3.8494766 ],-0.108234452058,-0.108234452058,"[-0.69315229  0.32968939  1.43839208  1.48076355 -1.61661449  0.06996767
  1.71781709  2.05085269  0.23686741  0.72893971  0.        ]","[[  1.68096775e+00   1.52267190e+00  -1.87266190e-01   7.16035592e-03]
 [  1.42168895e+01   1.55225905e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
8,[-0.95552075 -2.44801497],[-0.7995903  -3.73050594],-0.0661245799471,-0.0661245799471,"[-1.05164322 -0.00714778  1.35617764  1.42144938 -1.61661122  0.06996763
  1.30271937  1.39973234  0.17970653  0.08827253  0.        ]","[[  1.92280558e+00   1.79031219e+00  -1.87266190e-01   7.16035592e-03]
 [  9.98063158e+00   1.12556929e+01   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
9,[-0.64252532 -2.34016538],[ 0.38507026 -2.6614101 ],-0.0716009958761,-0.0716009958761,"[-1.28104446 -0.22774514  1.25229015  1.27606243 -1.61660795  0.06996759
  0.97338779  0.76151327  0.28001051 -0.29734684  0.        ]","[[ 2.08869866  1.97346281 -0.18726619  0.00716036]
 [ 6.61964899  7.07332669  0.          0.        ]]",[-0.45939824 -0.25689611]
10,[-0.99358141 -2.33419943],[-2.06723669 -2.86727919],-0.0875765558634,-0.0875765558634,"[-1.46642023 -0.34200007  1.13102872  1.16211433 -1.61660468  0.06996755
  1.10997177  0.13587303  0.38356353 -0.53684069  0.        ]","[[  2.23507795e+00   2.07379339e+00  -1.87266190e-01   7.16035592e-03]
 [  8.01357093e+00   2.97338901e+00   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
11,[-0.90398228 -2.02559209],[-1.32703454 -2.76886575],-0.0975748147402,-0.0975748147402,"[-1.60242135 -0.36314406  1.01388097  1.13772378 -1.6166014   0.06996751
  0.70658767 -0.47731407  0.43353531 -0.67837533  0.        ]","[[ 2.35404539  2.09294367 -0.18726619  0.00716036]
 [ 3.89684028 -1.04494136  0.          0.        ]]",[-0.45939824 -0.25689611]
12,[-0.49075049 -1.30206382],[ 0.02979461 -0.46663179],-0.0939975693896,-0.0939975693896,"[-1.64216439 -0.29568544  0.97383519  1.21181904 -1.61659813  0.06996747
  0.31118654 -1.07834066  0.38721997 -0.70039862  0.        ]","[[ 2.39149468  2.03252696 -0.18726619  0.00716036]
 [-0.13842322 -4.98358633  0.          0.        ]]",[-0.45939824 -0.25689611]
13,[-0.32604739 -0.73678148],[ 0.59723393 -0.6140182 ],-0.0811324584736,-0.0811324584736,"[-1.64054144 -0.15915481  0.97552556  1.33116627 -1.61659486  0.06996743
  0.32303937 -1.34523407  0.27523219 -0.65014547  0.        ]","[[ 2.38993971  1.9153068  -0.18726619  0.00716036]
 [-0.01745719 -6.73260134  0.          0.        ]]",[-0.45939824 -0.25689611]
14,[-0.48969322 -0.21463206],[ 0.12550658  0.10842855],-0.0659160180099,-0.0659160180099,"[-1.66459879  0.03344976  0.94983972  1.43857938 -1.61659159  0.06996739
  0.55474438 -1.69593669  0.13987077 -0.59490628  0.        ]","[[  2.41331618e+00   1.75759591e+00  -1.87266190e-01   7.16035592e-03]
 [  2.34720958e+00  -9.03084475e+00   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
15,[-0.50609612  0.02206664],[-1.0235296  -0.41022017],-0.0518510910309,-0.0518510910309,"[-1.7153523   0.25318161  0.89140779  1.48355771 -1.61658832  0.06996735
  0.59886921 -1.60314996  0.00675837 -0.55369473  0.        ]","[[  2.46477877e+00   1.58307960e+00  -1.87266190e-01   7.16035592e-03]
 [  2.79752944e+00  -8.42281647e+00   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
16,[ 0.37849629  1.0580759 ],[-0.63289994  0.71750552],-0.0335262134528,-0.0335262134528,"[-1.7302056   0.48407744  0.87309044  1.44596814 -1.61658504  0.06996732
  0.20572371 -1.82544969 -0.12619858 -0.42957156  0.        ]","[[  2.48047202e+00   1.40000640e+00  -1.87266190e-01   7.16035592e-03]
 [ -1.21470794e+00  -9.87961958e+00   0.00000000e+00   0.00000000e+00]]",[-0.45939824 -0.25689611]
17,[ 0.98217642  1.21355557],[ 1.53036271  1.65613674],-0.0164336192516,-0.0164336192516,"[-1.68266352  0.68876088  0.92972121  1.33689294 -1.61658177  0.06996728
 -0.03734911 -1.36198631 -0.22641248 -0.17655801  0.        ]","[[ 2.43128857  1.23288676 -0.18726619  0.00716036]
 [-3.69538157 -6.84246267  0.          0.        ]]",[-0.45939824 -0.25689611]
