timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.04558875  1.40719884 -0.11082202 -1.35828229 -0.13539602 -0.2617641
  0.25309488 -0.30622149  1.88753683  0.01268199  0.        ]",[-1.10771474  3.63180382],-0.22671863771,-0.22671863771,[-0.00555401  3.26926327],"[[-0.04522689 -0.03360638 -0.0164565  -0.03106228]
 [ 0.00202764  0.00189354  0.          0.        ]]",[-0.7625398  -0.54642463]
1,"[ 1.04177339  1.40790587 -0.16938453 -1.25654812 -0.13539597 -0.26176399
 -0.18080117  0.34147082  1.88496419 -0.03615984  0.        ]",[-0.13719279  2.62478354],-0.226185536649,-0.226185536649,[ 0.16809158  2.88162708],"[[-0.08489269  0.0061744  -0.0164565  -0.03106228]
 [-3.95542528  3.96297826  0.          0.        ]]",[-0.7625398  -0.54642463]
2,"[ 1.02610577  1.3978947  -0.29232246 -0.95503619 -0.13539592 -0.26176388
 -0.2318921   0.97611755  1.87668898 -0.09230169  0.        ]",[-0.08686407  2.51024073],-0.225125724284,-0.225125724284,[ 0.30542588  2.6532681 ],"[[-0.16867663  0.12437639 -0.0164565  -0.03106228]
 [-4.42141292  7.84428264  0.          0.        ]]",[-0.7625398  -0.54642463]
3,"[ 0.99749894  1.34221724 -0.42386546 -0.46913609 -0.13539586 -0.26176377
 -0.26013732  1.59818229  1.85645073 -0.06073519  0.        ]",[ 0.9505244   2.33992615],-0.22322745984,-0.22322745984,[ 0.34134817  2.37455058],"[[ -0.25968982   0.31943253  -0.0164565   -0.03106228]
 [ -4.67903098  11.64864854   0.           0.        ]]",[-0.7625398  -0.54642463]
4,"[ 0.97448462  1.1884635  -0.5018123   0.15027616 -0.13539581 -0.26176366
  0.16216888  2.20768238  1.80142882  0.16281129  0.        ]",[-0.67634526  1.29627593],-0.219469717646,-0.219469717646,[ 0.05203094  2.11436391],"[[ -0.3146261    0.58980491  -0.0164565   -0.03106228]
 [ -0.82729049  15.37619302   0.           0.        ]]",[-0.7625398  -0.54642463]
5,"[ 0.95338372  0.88133917 -0.56219689  0.78411788 -0.13539575 -0.26176355
 -0.12947853  2.80548266  1.65085997  0.48436327  0.        ]",[ 0.26012693  2.03999204],-0.209960061097,-0.209960061097,[-0.00718328  1.44976413],"[[ -3.57861240e-01   9.34011212e-01  -1.64565005e-02  -3.10622818e-02]
 [ -3.48732659e+00   1.90322195e+01   0.00000000e+00   0.00000000e+00]]",[-0.7625398  -0.54642463]
6,"[ 0.92058334  0.39267507 -0.64264489  1.2236477  -0.1353957  -0.26176343
 -0.00902957  3.39124651  1.36012783  0.7701315   0.        ]",[ 0.22190836  1.78228084],-0.190484515118,-0.190484515118,[ 0.27489346  1.06260669],"[[ -4.16587730e-01   1.35059948e+00  -1.64565005e-02  -3.10622818e-02]
 [ -2.38874532e+00   2.26146870e+01   0.00000000e+00   0.00000000e+00]]",[-0.7625398  -0.54642463]
7,"[ 0.89655676 -0.23418375 -0.6942495   1.19455214 -0.13539564 -0.26176332
  0.09261407  3.96542574  0.89476002  0.97001349  0.        ]",[ 0.04506193  1.3839959 ],-0.158555095316,-0.158555095316,[ 0.2637316   0.75353992],"[[ -4.55063505e-01   1.83812698e+00  -1.64565005e-02  -3.10622818e-02]
 [ -1.46168205e+00   2.61263789e+01   0.00000000e+00   0.00000000e+00]]",[-0.7625398  -0.54642463]
8,"[ 0.87843005 -0.84467581 -0.73006328  0.46436865 -0.13539559 -0.26176321
  0.11559984  4.5282461   0.30764978  0.88499551  0.        ]",[-0.78284009  0.81197457],-0.111546824703,-0.111546824703,[-0.11964636  0.2932505 ],"[[ -4.82194085e-01   2.39519243e+00  -1.64565005e-02  -3.10622818e-02]
 [ -1.25203504e+00   2.95686982e+01   0.00000000e+00   0.00000000e+00]]",[-0.7625398  -0.54642463]
9,"[ 0.83807922 -1.17928973 -0.80219574 -0.9442151  -0.13539553 -0.2617631
 -0.22136209  4.03821236 -0.21536004  0.38374839  0.        ]",[-0.57069903  0.90929539],-0.0504073832918,-0.0504073832918,[-0.50863433  0.07291514],"[[ -5.38064428e-01   3.01295040e+00  -1.64565005e-02  -3.10622818e-02]
 [ -4.32536787e+00   2.65719076e+01   0.00000000e+00   0.00000000e+00]]",[-0.7625398  -0.54642463]
