timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.02028868  1.48075706 -0.11876999 -1.21562163  0.59119492 -0.58528049
  0.30085987 -0.31136594  0.96685539  0.43235984  0.        ]",[-1.87419675  1.88827241],-0.15277506435,-0.15277506435,[-2.32424855  1.37145543],"[[-0.05155121 -0.01924804  0.06755059 -0.06918883]
 [ 0.00492704  0.00244437  0.          0.        ]]",[-0.57025075 -0.35023421]
1,"[ 1.01603132  1.48072187 -0.17730366 -1.11343334  0.59119452 -0.5852801
 -0.10118973  0.305189    0.96419483  0.38736948  0.        ]",[-2.26991844 -0.31197928],-0.151109054076,-0.151109054076,[-1.95579708  0.97808886],"[[-0.09115959  0.02054365  0.06755059 -0.06918883]
 [-3.95258338  3.96351804  0.          0.        ]]",[-0.57025075 -0.35023421]
2,"[ 0.98945207  1.47620799 -0.35000547 -0.94393787  0.59119413 -0.58527971
 -0.49508042  0.10092687  0.94229085  0.18891759  0.        ]",[-0.90660796  0.0361045 ],-0.143772065143,-0.143772065143,[-0.78382868  1.30354548],"[[-0.20911231  0.08664751  0.06755059 -0.06918883]
 [-7.82978356  2.65123182  0.          0.        ]]",[-0.57025075 -0.35023421]
3,"[ 0.90321707  1.46841315 -0.61960315 -0.80630374  0.59119373 -0.58527932
 -0.84370457  0.11520796  0.8610125  -0.18886497  0.        ]",[ 0.84464223  2.17128719],-0.130882184633,-0.130882184633,[ 0.97847903  1.50657129],"[[ -0.40013848   0.14059284   0.06755059  -0.06918883]
 [-11.26141292   2.74298132   0.           0.        ]]",[-0.57025075 -0.35023421]
4,"[ 0.76776953  1.44607252 -0.86630497 -0.56914317  0.59119334 -0.58527893
 -0.48178164  0.72285548  0.74580243 -0.49418642  0.        ]",[ 0.98745384  1.15172351],-0.121236991139,-0.121236991139,[ 0.95101798  1.0973959 ],"[[-0.58962297  0.23462092  0.06755059 -0.06918883]
 [-7.6988898   6.64682588  0.          0.        ]]",[-0.57025075 -0.35023421]
5,"[ 0.66500257  1.37742071 -1.00022014 -0.15202162  0.59119294 -0.58527854
 -0.06960865  1.31845083  0.70059298 -0.52841893  0.        ]",[ 0.22387953  0.95617564],-0.117236504942,-0.117236504942,[ 0.15887325  0.61456817],"[[ -0.70289462   0.40594899   0.06755059  -0.06918883]
 [ -3.64173786  10.47324825   0.           0.        ]]",[-0.57025075 -0.35023421]
6,"[ 0.60112544  1.22012296 -1.0697459   0.39075456  0.59119254 -0.58527815
  0.02757544  1.87542987  0.69920909 -0.35785802  0.        ]",[-0.62473941 -0.0323617 ],-0.114496647244,-0.114496647244,[-0.41701615  0.04182721],"[[ -0.76613211   0.65131663   0.06755059  -0.06918883]
 [ -2.68512373  14.05159635   0.           0.        ]]",[-0.57025075 -0.35023421]
7,"[ 0.51642442  0.970274   -1.14978195  0.88990358  0.59119215 -0.58527776
 -0.21809501  1.81229298  0.64916631 -0.16943794  0.        ]",[-0.81961071  0.48017796],-0.108564349337,-0.108564349337,[-0.27781206 -0.26224476],"[[ -0.84409659   0.92827937   0.06755059  -0.06918883]
 [ -5.10333625  13.64599658   0.           0.        ]]",[-0.57025075 -0.35023421]
8,"[ 0.35744431  0.64752004 -1.27103829  1.24347537  0.59119175 -0.58527737
 -0.53734119  2.06628787  0.52312616 -0.06979738  0.        ]",[ 0.2113972  0.1140423],-0.0959991495429,-0.0959991495429,[ 0.13179295 -0.90610385],"[[ -0.97769158   1.21757265   0.06755059  -0.06918883]
 [ -8.24577861  15.27782962   0.           0.        ]]",[-0.57025075 -0.35023421]
9,"[ 0.15453569  0.26554349 -1.38408799  1.3992916   0.59119135 -0.58527698
 -0.43578303  2.08941599  0.3463985   0.02481399  0.        ]",[ 0.27676878 -2.31058078],-0.0792772287452,-0.0792772287452,[-0.30743799 -1.30571449],"[[ -1.13257767   1.52462022   0.06755059  -0.06918883]
 [ -7.24611307  15.42645293   0.           0.        ]]",[-0.57025075 -0.35023421]
10,"[-0.03137655 -0.07080479 -1.45538096  1.34037473  0.59119096 -0.58527659
 -0.30986759  1.42549596  0.16814476  0.12011876  0.        ]",[ 0.26171917 -1.52579094],-0.0645877043375,-0.0645877043375,[-0.45458817 -1.29410732],"[[ -1.26506406   1.79035312   0.06755059  -0.06918883]
 [ -6.00669098  11.16107723   0.           0.        ]]",[-0.57025075 -0.35023421]
11,"[-0.18976825 -0.29046905 -1.49537561  1.19846122  0.59119056 -0.5852762
 -0.19251221  0.77474299  0.02826549  0.16673105  0.        ]",[-0.50967211 -1.23659603],-0.0541987266312,-0.0541987266312,[-0.45023954 -1.06649256],"[[-1.37360757  1.9716272   0.06755059 -0.06918883]
 [-4.85152801  6.98028207  0.          0.        ]]",[-0.57025075 -0.35023421]
12,"[-0.36329576 -0.40342826 -1.51924238  1.08846336  0.59119017 -0.58527581
 -0.38769531  0.13691361 -0.07045602  0.12963982  0.        ]",[ 0.91546106  0.05050405],-0.0441269692582,-0.0441269692582,[ 0.49781257 -0.43811741],"[[-1.48991427  2.07011878  0.06755059 -0.06918883]
 [-6.77277467  2.88251249  0.          0.        ]]",[-0.57025075 -0.35023421]
13,"[-0.51051116 -0.4684171  -1.52387287  1.01191698  0.59118977 -0.58527542
 -0.00593503  0.15910662 -0.14153005  0.08476592  0.        ]",[ 0.08063041 -1.06864439],-0.0360140336878,-0.0360140336878,[-0.09895302 -0.58234465],"[[-1.58766708  2.12919928  0.06755059 -0.06918883]
 [-3.01499801  3.02509313  0.          0.        ]]",[-0.57025075 -0.35023421]
14,"[-0.59557458 -0.49007852 -1.52009522  0.98402532  0.59118937 -0.58527503
  0.0325738  -0.46654438 -0.17606995  0.04808821  0.        ]",[ 0.021986   0.7579768],-0.031179423658,-0.031179423658,[ 0.29114109  0.13401592],"[[-1.64416395  2.14937189  0.06755059 -0.06918883]
 [-2.63594452 -0.99443407  0.          0.        ]]",[-0.57025075 -0.35023421]
15,"[-0.67255071 -0.50115828 -1.51257516  0.96927236  0.59118898 -0.58527464
  0.04669911  0.00367276 -0.20456727  0.00828205  0.        ]",[ 0.24364409  0.0328163 ],-0.0265869314196,-0.0265869314196,[ 0.14886741 -0.39179847],"[[-1.69548775  2.1597932   0.06755059 -0.06918883]
 [-2.49690493  2.02649777  0.          0.        ]]",[-0.57025075 -0.35023421]
16,"[-0.73186236 -0.54443532 -1.50408468  0.90834644  0.59118858 -0.58527425
  0.1497019   0.01764361 -0.24262279  0.01672723  0.        ]",[ 0.92827987 -0.26131233],-0.0245826908893,-0.0245826908893,[-0.03837427 -0.47907901],"[[-1.73525326  2.20122367  0.06755059 -0.06918883]
 [-1.48301943  2.11625413  0.          0.        ]]",[-0.57025075 -0.35023421]
17,"[-0.72069606 -0.57650225 -1.50586138  0.85960096  0.59118819 -0.58527386
  0.52601154 -0.14995442 -0.25458648  0.05882405  0.        ]",[-1.26347468 -1.54867521],-0.0270168893235,-0.0270168893235,[-0.85362589 -0.45906416],"[[-1.72774913  2.23274544  0.06755059 -0.06918883]
 [ 2.22110106  1.03951344  0.          0.        ]]",[-0.57025075 -0.35023421]
18,"[-0.7143447  -0.55711878 -1.50683321  0.88944509  0.59118779 -0.58527347
  0.11939495 -0.76945652 -0.24318869  0.04164518  0.        ]",[-0.61253912 -0.25127595],-0.026347545196,-0.026347545196,[ 0.42374933  0.4176659 ],"[[-1.72348495  2.21360286  0.06755059 -0.06918883]
 [-1.78133363 -2.94050457  0.          0.        ]]",[-0.57025075 -0.35023421]
19,"[-0.80267901 -0.4858285  -1.49080729  0.98958908  0.59118739 -0.58527308
 -0.12334606 -0.91524897 -0.24367466 -0.09248486  0.        ]",[ 0.9471827   1.24683442],-0.0176460076562,-0.0176460076562,[ 1.19674253  0.77046633],"[[-1.78308517  2.14539505  0.06755059 -0.06918883]
 [-4.17069732 -3.87715873  0.          0.        ]]",[-0.57025075 -0.35023421]
20,"[-0.8685969  -0.44573482 -1.47530716  1.03980895  0.591187   -0.58527269
  0.2659336  -0.28701635 -0.25812661 -0.1785551   0.        ]",[-1.25180111 -0.2383486 ],-0.0130412251649,-0.0130412251649,[ 0.22041573  0.03784667],"[[-1.82805322  2.10834733  0.06755059 -0.06918883]
 [-0.33891654  0.15894278  0.          0.        ]]",[-0.57025075 -0.35023421]
21,"[-0.93583829 -0.43880456 -1.45626516  1.04807404  0.5911866  -0.5852723
 -0.13552846 -0.43437228 -0.28656057 -0.22809048  0.        ]",[ 0.04740386 -0.5770466 ],-0.00981430542374,-0.00981430542374,[ 1.294626    0.34847814],"[[-1.8744802   2.10202781  0.06755059 -0.06918883]
 [-4.29060935 -0.78775179  0.          0.        ]]",[-0.57025075 -0.35023421]
22,"[-1.05364082 -0.39601132 -1.41462066  1.0965394   0.59118621 -0.58527191
 -0.10781524 -0.78760423 -0.33958144 -0.34687301  0.        ]",[ 1.64750204  1.59960602],-0.0124882701592,-0.0124882701592,[ 1.66721606  0.8818503 ],"[[-1.95755561  2.0635036   0.06755059 -0.06918883]
 [-4.01782176 -3.05710492  0.          0.        ]]",[-0.57025075 -0.35023421]
23,"[-1.10879887 -0.37251876 -1.39126711  1.12132665  0.59118581 -0.58527152
  0.30237894 -0.16190831 -0.36947921 -0.4050466   0.        ]",[ 1.18361987  1.76831013],-0.016898420345,-0.016898420345,[ 0.61745787  0.068694  ],"[[-1.99740082  2.04269339  0.06755059 -0.06918883]
 [ 0.01982052  0.96269568  0.          0.        ]]",[-0.57025075 -0.35023421]
24,"[-1.05327439 -0.43820308 -1.41476222  1.04878158  0.59118541 -0.58527113
  0.70446521  0.45140322 -0.34432936 -0.29924132  0.        ]",[-0.70661681 -1.72917983],-0.00844367846576,-0.00844367846576,[-1.11742818 -1.06773388],"[[-1.95729481  2.10148101  0.06755059 -0.06918883]
 [ 3.97765634  4.90293284  0.          0.        ]]",[-0.57025075 -0.35023421]
25,"[-0.98178393 -0.50014435 -1.44130203  0.97062256  0.59118502 -0.58527074
  0.41232939 -0.18000907 -0.32155485 -0.18629878  0.        ]",[ 0.03244125 -0.56327109],-0.00641674903828,-0.00641674903828,[-0.080584   -0.17438287],"[[-1.90659253  2.15883921  0.06755059 -0.06918883]
 [ 1.10209709  0.84640967  0.          0.        ]]",[-0.57025075 -0.35023421]
26,"[-0.94875962 -0.49417704 -1.45220971  0.97859109  0.59118462 -0.58527035
  0.42317112 -0.52977628 -0.30551333 -0.17345892  0.        ]",[ 0.53825352  1.13502371],-0.00840718290413,-0.00840718290413,[ 0.06700657  0.25298661],"[[-1.8834798   2.15322163  0.06755059 -0.06918883]
 [ 1.20881722 -1.4006788   0.          0.        ]]",[-0.57025075 -0.35023421]
