timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.93200552  2.52981043],[ 0.93416221  3.05149758],-0.0806333194921,-0.0806333194921,"[ 1.05483105  1.37226754 -0.06330061 -1.12203744  1.17080599  0.33692541
  0.22460081 -0.30583382  0.3993879  -0.61954517  0.        ]","[[-0.01157936  0.07961141  0.13552944  0.03785868]
 [ 0.00094821 -0.00475372  0.          0.        ]]",[-0.83914411 -0.60427415]
1,[-0.9005245   1.60806572],[-1.48409675  1.67923707],-0.0758251948038,-0.0758251948038,"[ 1.0544513   1.36709209 -0.00838818 -1.02106031  1.17080503  0.33692528
  0.65000363  0.36146414  0.38988453 -0.4625912   0.        ]","[[ 0.02550146  0.11923072  0.13552944  0.03785868]
 [ 3.69484485  3.9534965   0.          0.        ]]",[-0.83914411 -0.60427415]
2,[-0.38288403  0.83959705],[-0.079307    0.75532888],-0.0695060213864,-0.0695060213864,"[ 1.05237661  1.33957127  0.04111718 -0.72369577  1.17080406  0.33692515
  0.18584292  1.01605273  0.35084957 -0.20821919  0.        ]","[[ 0.0589597   0.23725876  0.13552944  0.03785868]
 [-0.33559337  7.83636009  0.          0.        ]]",[-0.83914411 -0.60427415]
3,[-0.84085226  0.13309318],[-1.28748976 -0.13542801],-0.0646268415617,-0.0646268415617,"[ 1.05315355  1.26076124  0.02662019 -0.27557348  1.1708031   0.33692502
  0.15036613  1.49411569  0.27693449  0.01095426  0.        ]","[[  0.04915675   0.42243811   0.13552944   0.03785868]
 [ -0.64364781  10.67212253   0.           0.        ]]",[-0.83914411 -0.60427415]
4,[-0.02658573 -0.2604993 ],[ 0.28741589  0.14370459],-0.059715863279,-0.059715863279,"[ 1.05491851  1.12507436 -0.05100516  0.18001552  1.17080213  0.33692489
 -0.30372566  1.36832835  0.18740154  0.12987362  0.        ]","[[ -3.27695894e-03   6.28394654e-01   1.35529439e-01   3.78586763e-02]
 [ -4.58665370e+00   9.92599056e+00   0.00000000e+00   0.00000000e+00]]",[-0.83914411 -0.60427415]
5,[-0.34496105 -0.62720382],[-0.30006023 -0.1678622 ],-0.0531757365312,-0.0531757365312,"[ 1.04990848  0.94799978 -0.16847936  0.5655729   1.17080117  0.33692476
 -0.16232955  1.43104738  0.09556893  0.16243124  0.        ]","[[ -0.08269165   0.83064719   0.13552944   0.03785868]
 [ -3.35887299  10.29803379   0.           0.        ]]",[-0.83914411 -0.60427415]
6,[-0.09392443 -0.91151357],[ 0.65308617 -0.58736663],-0.0455918177662,-0.0455918177662,"[ 1.0359102   0.74039504 -0.28372667  0.86743357  1.17080021  0.33692463
 -0.29136285  1.28467107 -0.01167691  0.17869293  0.        ]","[[-0.16111038  1.02789645  0.13552944  0.03785868]
 [-4.4793051   9.42977136  0.          0.        ]]",[-0.83914411 -0.60427415]
7,[-0.6715706 -0.7642597],[-0.45481601 -0.89307592],-0.0390666327682,-0.0390666327682,"[ 1.018283    0.54809425 -0.3749463   1.05346926  1.17079924  0.3369245
  0.01652837  0.86099003 -0.11469124  0.18604604  0.        ]","[[-0.22387268  1.19127612  0.13552944  0.03785868]
 [-1.80580291  6.91659887  0.          0.        ]]",[-0.83914411 -0.60427415]
8,[ 0.08041595 -0.23705736],[-0.40810241 -0.42538511],-0.0338016623035,-0.0338016623035,"[ 0.99867993  0.42176939 -0.45213057  1.13736544  1.17079828  0.33692437
 -0.18651938  0.24182246 -0.17376442  0.15571171  0.        ]","[[-0.27767812  1.29275829  0.13552944  0.03785868]
 [-3.56892104  3.24384433  0.          0.        ]]",[-0.83914411 -0.60427415]
9,[ 0.99055994  0.1582872 ],[ 1.1327888   0.53529609],-0.0263057264575,-0.0263057264575,"[ 0.95843438  0.36149427 -0.57417035  1.16787242  1.17079732  0.33692424
 -0.36433039 -0.05291354 -0.16439433  0.01800382  0.        ]","[[-0.36454768  1.34009401  0.13552944  0.03785868]
 [-5.11290197  1.49554079  0.          0.        ]]",[-0.83914411 -0.60427415]
10,[-0.08865584 -0.24635077],[ 0.48214148 -0.86512287],-0.0213642763648,-0.0213642763648,"[ 0.92363964  0.29597069 -0.65827419  1.19442818  1.17079635  0.33692411
  0.10299618  0.29926191 -0.1788254  -0.06439319  0.        ]","[[-0.4260917   1.39096437  0.13552944  0.03785868]
 [-1.05498351  3.58456122  0.          0.        ]]",[-0.83914411 -0.60427415]
11,[-0.51229376  0.40605733],[-0.15632832  0.45380344],-0.0199146642558,-0.0199146642558,"[ 0.92258144  0.24843407 -0.66061868  1.20950629  1.17079539  0.33692398
  0.32521606 -0.29025862 -0.21251395 -0.03877466  0.        ]","[[-0.42783111  1.42757008  0.13552944  0.03785868]
 [ 0.87460997  0.0876682   0.          0.        ]]",[-0.83914411 -0.60427415]
12,[-0.51262766 -0.04908819],[-0.52911936  0.15625552],-0.0202967357098,-0.0202967357098,"[ 0.92926512  0.22265716 -0.64561257  1.21623631  1.17079443  0.33692385
  0.25193657  0.01239463 -0.23757364 -0.00236223  0.        ]","[[-0.41672319  1.44733593  0.13552944  0.03785868]
 [ 0.23830635  1.88293313  0.          0.        ]]",[-0.83914411 -0.60427415]
13,[ 0.02135514 -0.31667185],[ 0.44934037 -0.21639282],-0.0184894197451,-0.0184894197451,"[ 0.91940461  0.16572427 -0.66759455  1.22754712  1.17079346  0.33692372
  0.01023348  0.11048206 -0.27120911 -0.00209163  0.        ]","[[-0.43301455  1.49083236  0.13552944  0.03785868]
 [-1.86046237  2.46476376  0.          0.        ]]",[-0.83914411 -0.60427415]
14,[-0.40360212 -0.18099423],[-0.04820778  0.03687661],-0.0166903912335,-0.0166903912335,"[ 0.90746042  0.1129198  -0.69301786  1.23370678  1.1707925   0.33692358
  0.2192843  -0.04224893 -0.30070071 -0.00982029  0.        ]","[[-0.45201099  1.53103776  0.13552944  0.03785868]
 [-0.04522143  1.55880147  0.          0.        ]]",[-0.83914411 -0.60427415]
15,[-0.40071058 -0.30556259],[-0.76540237  0.25013107],-0.0170024041274,-0.0170024041274,"[ 0.9056527   0.07039094 -0.69675831  1.23565931  1.17079154  0.33692345
  0.19741443 -0.02282995 -0.33174098  0.00626843  0.        ]","[[-0.45482075  1.56336952  0.13552944  0.03785868]
 [-0.23512231  1.67398995  0.          0.        ]]",[-0.83914411 -0.60427415]
16,[ 0.48865974 -0.64083928],[ 0.89383505 -1.17733056],-0.0139725133618,-0.0139725133618,"[ 0.88223869  0.0137032  -0.742981    1.23410016  1.17079057  0.33692332
 -0.15092187  0.13863462 -0.35638382 -0.02915214  0.        ]","[[-0.48987068  1.60645905  0.13552944  0.03785868]
 [-3.25981147  2.63175715  0.          0.        ]]",[-0.83914411 -0.60427415]
17,[-0.21855375  0.2736854 ],[-0.69463808 -0.67856457],-0.0106433414924,-0.0106433414924,"[ 0.86162536 -0.0025702  -0.78064454  1.23277247  1.17078961  0.33692319
  0.26397479 -0.53777378 -0.35394207 -0.07282644  0.        ]","[[-0.5189205   1.61883753  0.13552944  0.03785868]
 [ 0.34283663 -1.38052619  0.          0.        ]]",[-0.83914411 -0.60427415]
18,[ 1.0467068   1.10972428],[ 0.69072164  0.27781424],-0.0087765580879,-0.0087765580879,"[ 0.84621177  0.06884054 -0.80721963  1.23567671  1.17078865  0.33692306
 -0.05334958 -0.98604857 -0.29035222 -0.1482564   0.        ]","[[-0.53970998  1.56454784  0.13552944  0.03785868]
 [-2.41256625 -4.03958115  0.          0.        ]]",[-0.83914411 -0.60427415]
19,[ 0.29140043  1.03968954],[ 0.77202331  0.72441332],-0.0146715835016,-0.0146715835016,"[ 0.83059926  0.15948234 -0.83291035  1.2284853   1.17078768  0.33692293
  0.26694042 -0.78720337 -0.21712693 -0.24182696  0.        ]","[[-0.56005675  1.4955905   0.13552944  0.03785868]
 [ 0.36858765 -2.86008511  0.          0.        ]]",[-0.83914411 -0.60427415]
20,[-0.84342629  0.47645348],[-1.25661058  0.2259746 ],-0.0155941337423,-0.0155941337423,"[ 0.85929505  0.19599435 -0.78474082  1.22213184  1.17078672  0.3369228
  0.617889   -0.29419484 -0.20620114 -0.19112255  0.        ]","[[-0.52210967  1.46773034  0.13552944  0.03785868]
 [ 3.41595792  0.06431384  0.          0.        ]]",[-0.83914411 -0.60427415]
21,[ 0.07443087  0.16768591],[-0.16132312  0.46927393],-0.0148343748818,-0.0148343748818,"[ 0.87924956  0.18256063 -0.74859908  1.22470015  1.17078576  0.33692267
  0.15433098 -0.14343728 -0.22782631 -0.12831044  0.        ]","[[-0.49417636  1.47798893  0.13552944  0.03785868]
 [-0.60922222  0.95856825  0.          0.        ]]",[-0.83914411 -0.60427415]
22,[ 0.17149024 -0.31133229],[-0.32324656 -0.07760927],-0.0122507429246,-0.0122507429246,"[ 0.86616458  0.13319094 -0.77256238  1.2318235   1.17078479  0.33692254
  0.08215508  0.16663489 -0.25522841 -0.13441753  0.        ]","[[-0.51264891  1.51561428  0.13552944  0.03785868]
 [-1.23594174  2.79783559  0.          0.        ]]",[-0.83914411 -0.60427415]
