timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.282987501476,"[[-0.06434027 -0.07682402 -0.07277838 -0.0511032 ]
 [-0.00332737  0.00378853  0.          0.        ]]",[-2.21185279 -2.74655414],-2.56056,"[ 0.840299    1.65582024 -0.07119703  0.58661089 -0.63414878 -0.44613294
  0.27431025  0.32598409  2.0485425   0.42453855  0.        ]",[-0.21718852 -0.15594395],[-3.3619559  -2.59760078]
1,-0.280069544865,"[[-0.10408134 -0.11646142 -0.07277838 -0.0511032 ]
 [-3.95762324 -3.95434137  0.          0.        ]]",[-1.95481086 -2.70511007],-2.2322,"[ 0.83504699  1.65119379 -0.13543312  0.46507856 -0.6341483  -0.44613266
  0.01621611 -0.22545476  2.03175361  0.31202659  0.        ]",[-0.21718852 -0.15594395],[-2.16061068 -4.53671231]
2,-0.269754730843,"[[-0.22212464 -0.23447536 -0.07277838 -0.0511032 ]
 [-7.8338406  -7.83412167  0.          0.        ]]",[-1.30433571 -2.62746739],-2.14034,"[ 0.80494946  1.62630109 -0.32427437  0.1073065  -0.63414782 -0.44613237
 -0.2367819  -0.76597785  1.9389967  -0.01162232  0.        ]",[-0.21718852 -0.15594395],[-1.13333182 -3.84182293]
3,-0.247742852564,"[[ -0.41692679  -0.42931391  -0.07277838  -0.0511032 ]
 [-11.63384395 -11.63704205   0.           0.        ]]",[-0.41722274 -2.70976615],-1.74595,"[ 0.7089659   1.54967656 -0.62381735 -0.45927325 -0.63414735 -0.44613208
 -0.48480541 -1.29579186  1.65744438 -0.48112194  0.        ]",[-0.21718852 -0.15594395],[-0.95847988 -4.96256626]
4,-0.208700374915,"[[ -0.68533676  -0.69945455  -0.07277838  -0.0511032 ]
 [-15.19556112 -15.36455461   0.           0.        ]]",[ 0.67648786 -2.237643  ],-1.60268,"[ 0.48880791  1.37553231 -0.99365324 -1.16028965 -0.63414687 -0.44613179
 -0.71727596 -1.81509767  1.07039966 -0.91653914  0.        ]",[-0.21718852 -0.15594395],[-0.13050704 -3.05965491]
5,-0.152568971817,"[[ -0.99142543  -1.04341347  -0.07277838  -0.0511032 ]
 [-15.4128927  -19.01911808   0.           0.        ]]",[ 1.62647033 -1.30644512],-1.45535,"[ 0.1326318   1.0589139  -1.32437984 -1.83904031 -0.63414639 -0.4461315
 -0.73146046 -2.32423591  0.25700641 -1.01212379  0.        ]",[-0.21718852 -0.15594395],[ 1.64823907 -0.55218171]
6,-0.0912307371153,"[[ -1.25695523  -1.44195799  -0.07277838  -0.0511032 ]
 [-11.15423375 -20.82929977   0.           0.        ]]",[ 1.55073035 -0.66911709],-1.30913,"[-0.24251487  0.60585373 -1.50987449 -2.23207937 -0.63414591 -0.44613122
 -0.45349992 -2.5764155  -0.3958922  -0.65494447  0.        ]",[-0.21718852 -0.15594395],[ 1.78964471 -1.25538763]
7,-0.0349613742548,"[[ -1.43815081  -1.8941372   -0.07277838  -0.0511032 ]
 [ -6.9791531  -24.37678502   0.           0.        ]]",[ 0.80652022 -0.70822108],-1.13124,"[-0.51974296  0.06645061 -1.5748589  -2.0979639  -0.63414543 -0.44613093
 -0.18099456 -3.07062391 -0.62738825 -0.08112347  0.        ]",[-0.21718852 -0.15594395],[-0.25790435 -0.86603854]
8,-0.0342202936953,"[[ -1.58662718  -2.41123392  -0.07277838  -0.0511032 ]
 [ -7.86553327 -27.32308524   0.           0.        ]]",[ 0.24796927 -1.42179585],-1.06832,"[-0.75239871 -0.4499614  -1.58890306 -1.23216702 -0.63414495 -0.44613064
 -0.23884801 -3.48106771 -0.44117021  0.46950396  0.        ]",[-0.21718852 -0.15594395],[ 0.39885685 -0.2444322 ]
9,-0.0828541423219,"[[ -1.72655815  -2.96197752  -0.07277838  -0.0511032 ]
 [ -6.13288121 -27.7498623    0.           0.        ]]",[ 0.24234581 -2.46457648],-0.793568,"[-0.97125297 -0.73884467 -1.56946421  0.27269079 -0.63414447 -0.44613035
 -0.12575856 -3.54049865  0.04842307  0.72135782  0.        ]",[-0.21718852 -0.15594395],[ 0.07872422 -4.15545803]
10,-0.102272425511,"[[-1.8448586  -3.21326807 -0.07277838 -0.0511032 ]
 [-5.69866779 -0.68066089  0.          0.        ]]",[ 0.811867   -1.82392538],-1.10069,"[-1.1527293  -0.75518734 -1.52855847  1.04367063 -0.63414399 -0.44613006
 -0.09741759  0.23064306  0.31043235  0.68136149  0.        ]",[-0.21718852 -0.15594395],[ 1.24920093 -1.85227963]
11,-0.0986860913692,"[[-1.91797222 -3.16276318 -0.07277838 -0.0511032 ]
 [-1.62635053  3.83344386  0.          0.        ]]",[ 0.76100761 -1.90814912],-1.03489,"[-1.2620734  -0.75801959 -1.49231218  0.88826559 -0.63414351 -0.44612977
  0.16838083  0.85952442  0.26038803  0.69699869  0.        ]",[-0.21718852 -0.15594395],[ 0.40509293 -2.34259473]
12,-0.0946332267658,"[[-1.93408418 -3.09256595 -0.07277838 -0.0511032 ]
 [ 0.00968973  2.91491732  0.          0.        ]]",[ 0.72773015 -1.89377451],-1.02624,"[-1.28580404 -0.75683734 -1.48321904  0.6720767  -0.63414303 -0.44612949
  0.27516441  0.73155934  0.19529159  0.72084509  0.        ]",[-0.21718852 -0.15594395],[ 0.91791025 -2.26084047]
13,-0.0915789569162,"[[-1.897429   -3.04771565 -0.07277838 -0.0511032 ]
 [ 3.64371905  1.62727761  0.          0.        ]]",[ 0.69249278 -1.86626029],-1.22932,"[-1.23160986 -0.75296644 -1.50332311  0.5342719  -0.63414256 -0.4461292
  0.51235593  0.55217145  0.14910318  0.73160961  0.        ]",[-0.21718852 -0.15594395],[ 1.50832494 -0.68328623]
14,-0.0883884850347,"[[-1.78555389 -3.02386029 -0.07277838 -0.0511032 ]
 [ 7.53084017  0.82671991  0.          0.        ]]",[ 0.53992343 -1.85049558],-1.23086,"[-1.06233296 -0.74992046 -1.5518244   0.461194   -0.63414208 -0.44612891
  0.76606646  0.44064145  0.11430857  0.72675119  0.        ]",[-0.21718852 -0.15594395],[ 0.02475926 -0.77543046]
15,-0.0850650346274,"[[-1.63544961 -3.01229614 -0.07277838 -0.0511032 ]
 [ 7.47976104  0.38163571  0.          0.        ]]",[ 0.51551872 -1.80123389],-1.38209,"[-0.82902366 -0.74819761 -1.58569745  0.42584009 -0.6341416  -0.44612862
  0.76273189  0.37863427  0.08864942  0.71058168  0.        ]",[-0.21718852 -0.15594395],[ 0.75044794  0.51585277]
16,-0.0795205352466,"[[ -1.45752786  -2.98424386  -0.07277838  -0.0511032 ]
 [ 10.30299914   2.4168153    0.           0.        ]]",[ 0.0893772  -1.88068032],-0.968394,"[-0.54994549 -0.74335361 -1.5786886   0.34030913 -0.63414112 -0.44612833
  0.94700288  0.66216512  0.04872833  0.68061101  0.        ]",[-0.21718852 -0.15594395],[ 1.00708681 -1.89551507]
17,-0.074643465302,"[[ -1.21379142  -2.97611289  -0.07277838  -0.0511032 ]
 [ 14.05814244  -1.59035193   0.           0.        ]]",[-0.35192433 -1.852584  ],-0.8104,"[-0.17847486 -0.74177333 -1.4867971   0.31558581 -0.63414064 -0.44612805
  1.19209849  0.10390576  0.03244965  0.63567119  0.        ]",[-0.21718852 -0.15594395],[-0.87197446 -3.27915361]
