timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.184684542196,"[[ 0.01380541 -0.08200268  0.08777186 -0.14480002]
 [-0.00127157 -0.00046711  0.          0.        ]]",[-2.46943402 -2.20290589],-2.62819,"[ 0.8135531   1.42739098  0.13297407  0.65126987  0.75272327 -1.25159911
  0.30156378  0.31088464  0.61746975  1.55073594  0.        ]",[-0.3785218  -0.18361598],[-2.11376722 -2.06256538]
1,-0.174716937729,"[[-0.02589496 -0.12172435  0.08777186 -0.14480002]
 [-3.95560975 -3.95851305  0.          0.        ]]",[-1.94057333 -1.28288448],-2.65487,"[ 0.81314629  1.42272941  0.06830459  0.52938575  0.75272286 -1.25159799
  0.05453866 -0.26217292  0.60814726  1.42830142  0.        ]",[-0.3785218  -0.18361598],[-1.51708839 -0.31289122]
2,-0.146761784143,"[[-0.14390879 -0.21252355  0.08777186 -0.14480002]
 [-7.83288139 -5.11754342  0.          0.        ]]",[-0.93497431 -0.39274889],-2.33307,"[ 0.79620957  1.4053069  -0.1231452   0.25329997  0.75272244 -1.25159687
 -0.18767217 -0.42998066  0.54319531  1.09959063  0.        ]",[-0.3785218  -0.18361598],[-1.09924854  0.00917352]
3,-0.104110999227,"[[ -0.33870475  -0.31347793   0.08777186  -0.14480002]
 [-11.63408061  -4.9783466    0.           0.        ]]",[ 0.71883368  0.46229944],-1.78019,"[ 0.71750802  1.37503598 -0.43080121 -0.04727239  0.75272203 -1.25159574
 -0.42513076 -0.40982715  0.34680839  0.64205496  0.        ]",[-0.3785218  -0.18361598],[ 0.88822569 -0.46493217]
4,-0.0611096926029,"[[-0.53381805 -0.43053925  0.08777186 -0.14480002]
 [-7.88972414 -6.72197478  0.          0.        ]]",[ 1.20653605  1.29818594],-1.58634,"[ 0.57812096  1.3259687  -0.71842767 -0.38347346  0.75272162 -1.25159462
 -0.19122279 -0.66227471  0.02805653  0.24241617  0.        ]",[-0.3785218  -0.18361598],[ 1.17369685 -0.05472505]
5,-0.0354655153298,"[[-0.65035663 -0.56583181  0.08777186 -0.14480002]
 [-3.77779912 -6.8069972   0.          0.        ]]",[ 0.97022426  1.68645859],-1.63051,"[ 0.46804968  1.25143534 -0.87587156 -0.74979688  0.75272121 -1.2515935
  0.06564698 -0.67458418 -0.27170994  0.02523346  0.        ]",[-0.3785218  -0.18361598],[ 1.11190456  1.43389478]
6,-0.0293627440975,"[[-0.6854851  -0.66090579  0.08777186 -0.14480002]
 [ 0.25159977 -2.71403462  0.          0.        ]]",[ 0.1000658   1.13692832],-1.68451,"[ 0.4312096   1.18831479 -0.9207982  -0.9895162   0.7527208  -1.25159238
  0.31736138 -0.0819921  -0.42539891 -0.0410157   0.        ]",[-0.3785218  -0.18361598],[-0.31684873  2.16220454]
7,-0.0291230797081,"[[-0.69309394 -0.67491521  0.08777186 -0.14480002]
 [-1.00828009  1.29971461  0.          0.        ]]",[ 0.13559714  0.55600405],-1.57928,"[ 0.42301518  1.17830283 -0.93036307 -1.02344331  0.75272038 -1.25159126
  0.23865721  0.49913118 -0.45251269 -0.05155707  0.        ]",[-0.3785218  -0.18361598],[ 0.59715183  0.17577109]
8,-0.0299665565037,"[[-0.68935833 -0.64220427  0.08777186 -0.14480002]
 [ 1.37390077  1.96914965  0.          0.        ]]",[-0.4474631   0.17264685],-1.55675,"[ 0.42704748  1.20139774 -0.92567373 -0.94364575  0.75271997 -1.25159013
  0.38747079  0.59605388 -0.41239886 -0.04027598  0.        ]",[-0.3785218  -0.18361598],[-1.58344231  0.00373313]
9,-0.0312550017597,"[[-0.70184681 -0.60305021  0.08777186 -0.14480002]
 [-2.60947145  1.94633349  0.          0.        ]]",[ 0.36843699  0.31988993],-1.57993,"[ 0.41349529  1.22774001 -0.94129098 -0.84553895  0.75271956 -1.25158901
  0.13863125  0.5927502  -0.39262811 -0.04243343  0.        ]",[-0.3785218  -0.18361598],[-0.86507205  0.55197877]
