timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
24,-0.0166671825164,[-0.60448934  0.78282066],-0.0166671825164,[-0.47735697 -0.18248132],"[[ 0.05432265 -0.94197058  0.15351645 -0.08526842]
 [ 1.45296359 -1.28900743  0.          0.        ]]","[ 1.05809469  1.0088274   0.06938131 -0.88113654  1.33143299 -0.73806844
  0.16624426  0.12178548 -0.24944208  0.21752048  0.        ]",[-0.64679378 -0.5774653 ]
25,-0.017879864344,[ 0.56005912 -0.92413198],-0.017879864344,[-0.08690489 -0.75368714],"[[ 0.05908738 -0.93638762  0.15351645 -0.08526842]
 [-0.96842535  1.83688303  0.          0.        ]]","[ 1.05769015  1.01466787  0.07633963 -0.87246066  1.33143078 -0.73806776
 -0.14738746  0.62229112 -0.24117854  0.23171068  0.        ]",[-0.64679378 -0.5774653 ]
26,-0.0182639138777,[ 0.11614448 -0.30256458],-0.0182639138777,[-0.41728514 -0.0404458 ],"[[ 0.06215518 -0.93673536  0.15351645 -0.08526842]
 [ 1.26775571 -1.85933553  0.          0.        ]]","[ 1.05741129  1.01430348  0.08081876 -0.873002    1.33142858 -0.73806707
  0.14225527  0.03046588 -0.2391171   0.2375886   0.        ]",[-0.64679378 -0.5774653 ]
27,-0.0173282401167,[-0.20994426  0.70532343],-0.0173282401167,[-0.50636399  0.28547153],"[[ 0.09187285 -0.9855742   0.15351645 -0.08526842]
 [ 1.70256125 -3.020676    0.          0.        ]]","[ 1.05399613  0.96239605  0.12415766 -0.9465832   1.33142637 -0.73806639
  0.19857366 -0.1554838  -0.25714728  0.25688643  0.        ]",[-0.64679378 -0.5774653 ]
28,-0.0178057899017,[-0.96085205 -0.08479956],-0.0178057899017,[-0.55663544 -0.33317018],"[[ 0.11724345 -1.01736413  0.15351645 -0.08526842]
 [ 0.8373838  -0.16782862  0.          0.        ]]","[ 1.05004124  0.92768286  0.1610647  -0.99167747  1.33142416 -0.73806571
  0.0865108   0.30130421 -0.26509155  0.28153887  0.        ]",[-0.64679378 -0.5774653 ]
29,-0.0137122565986,[ 0.95187804  0.22201539],-0.0137122565986,[ 0.7328192   0.10915172],"[[ 0.09568127 -1.02404529  0.15351645 -0.08526842]
 [-2.98089029 -0.49918187  0.          0.        ]]","[ 1.05346099  0.92029779  0.12970375 -1.00086757  1.33142195 -0.73806503
 -0.40805425  0.24824887 -0.28675565  0.23373956  0.        ]",[-0.64679378 -0.5774653 ]
30,-0.0106178196272,[-1.28239378 -0.05831026],-0.0106178196272,[-0.39773673 -0.3927967 ],"[[ 0.07444099 -1.02512036  0.15351645 -0.08526842]
 [ 0.8441268   0.38871462  0.          0.        ]]","[ 1.05615406  0.91910578  0.0987474  -1.00233599  1.33141974 -0.73806435
  0.08738467  0.39041571 -0.30428621  0.19146621  0.        ]",[-0.64679378 -0.5774653 ]
31,-0.0086951347129,[ 2.48508413  0.45275228],-0.0086951347129,[ 0.90009964  0.02077511],"[[ 0.0514579  -1.01972842  0.15351645 -0.08526842]
 [-3.12920138  0.15127338  0.          0.        ]]","[ 1.05831149  0.92507025  0.06519616 -0.99493789  1.33141754 -0.73806367
 -0.42726444  0.35239713 -0.3182475   0.15122776  0.        ]",[-0.64679378 -0.5774653 ]
32,-0.00902195978502,[-0.50656516 -0.46966839],-0.00902195978502,[-0.41179836 -0.78730631],"[[ 0.02918855 -0.99875752  0.15351645 -0.08526842]
 [ 0.88887587  1.9398509   0.          0.        ]]","[ 1.05965056  0.94808156  0.03264878 -0.96555015  1.33141533 -0.73806298
  0.09318134  0.63877815 -0.31855462  0.12385619  0.        ]",[-0.64679378 -0.5774653 ]
33,-0.0103652273335,[-0.88412005  0.37315026],-0.0103652273335,[ 0.34987423 -0.1628246 ],"[[ 0.02668532 -0.97899883  0.15351645 -0.08526842]
 [-1.13246189  0.04234204  0.          0.        ]]","[ 1.05975362  0.96948039  0.02898858 -0.9369706   1.33141312 -0.7380623
 -0.16863469  0.33495451 -0.3033327   0.13382467  0.        ]",[-0.64679378 -0.5774653 ]
34,-0.0119000815593,[ 1.11767164 -0.49905414],-0.0119000815593,[ 1.5064497  -0.19750133],"[[-0.03084126 -0.96332549  0.15351645 -0.08526842]
 [-4.60860835  1.52007668  0.          0.        ]]","[ 1.05957381  0.98625407 -0.05514677 -0.91369308  1.33141091 -0.73806162
 -0.61888637  0.57156461 -0.34043551  0.03506223  0.        ]",[-0.64679378 -0.5774653 ]
35,-0.0177189429258,[ 0.02667651  0.13590627],-0.0177189429258,[ 0.63321191  0.00126204],"[[-0.0823947  -0.9530639   0.15351645 -0.08526842]
 [-0.56022862 -0.48723768  0.          0.        ]]","[ 1.05521701  0.99713743 -0.13042751 -0.89816471  1.33140871 -0.73806094
 -0.0945147   0.25015902 -0.38077209 -0.05429805  0.        ]",[-0.64679378 -0.5774653 ]
36,-0.0193813084291,[ 0.46360288  0.26052816],-0.0193813084291,[ 0.59562653 -0.12146953],"[[-0.09243072 -0.95731295  0.15351645 -0.08526842]
 [-0.44376038  0.06050776  0.          0.        ]]","[ 1.05390745  0.99263878 -0.14505155 -0.9046207   1.3314065  -0.73806026
 -0.07942895  0.33786227 -0.39480445 -0.0754872   0.        ]",[-0.64679378 -0.5774653 ]
