timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.02836796  1.90915278 -0.0090537   1.14656654  0.90146083 -0.31131965
 -0.04581757  0.35404925  0.53172777  0.61895831  0.        ]",[-0.10044651 -1.63727872],-0.118133330476,-0.118133330476,[-0.67687213 -1.8312664 ],"[[ 0.04090216  0.0698078   0.1040495  -0.03751479]
 [ 0.00408504 -0.00079092  0.          0.        ]]",[-0.2815136  -0.23382065]
1,"[ 1.02858606  1.9117639  -0.01491622  1.0318876   0.90145908 -0.31131928
 -0.0874807  -0.21887941  0.53543667  0.56997226  0.        ]",[-1.03674102 -1.81632613],-0.11627408454,-0.11627408454,[-0.37253121 -1.29587579],"[[ 0.03701171  0.03006585  0.1040495  -0.03751479]
 [-0.39181613 -3.96020919  0.          0.        ]]",[-0.2815136  -0.23382065]
2,"[ 1.02950085  1.90723195 -0.08643591  0.69091275  0.90145733 -0.31131892
 -0.50281058 -0.78026532  0.5335679   0.35259299  0.        ]",[-0.51378868 -1.25637895],-0.108491020721,-0.108491020721,[ 0.66122758 -0.5125587 ],"[[-0.01042226 -0.08806411  0.1040495  -0.03751479]
 [-4.33845437 -7.83986108  0.          0.        ]]",[-0.2815136  -0.23382065]
3,"[ 1.01968365  1.85978209 -0.24632322  0.13815466  0.90145558 -0.31131855
 -0.70753622 -1.33064465  0.45944516 -0.05126128  0.        ]",[ 1.73987425 -0.79232429],-0.0980727508886,-0.0980727508886,[ 1.59419465  0.2723012 ],"[[ -0.11670944  -0.28302415   0.1040495   -0.03751479]
 [ -6.28384907 -11.64346471   0.           0.        ]]",[-0.2815136  -0.23382065]
4,"[ 1.00016657  1.72089092 -0.37245164 -0.55302856  0.90145383 -0.31131819
 -0.27807457 -1.7514601   0.27504153 -0.43294864  0.        ]",[ 0.82319407  0.94464974],-0.0940611128681,-0.0940611128681,[ 1.57934773  0.76600808],"[[ -0.20144114  -0.54507289   0.1040495   -0.03751479]
 [ -2.20293994 -14.55170262   0.           0.        ]]",[-0.2815136  -0.23382065]
5,"[ 0.99688806  1.51571086 -0.38863414 -1.11896601  0.90145209 -0.31131782
  0.06905119 -1.16869225  0.08754127 -0.61702054  0.        ]",[ 1.97900633  0.84067917],-0.0928056132935,-0.0928056132935,[ 1.18386304  0.38474673],"[[ -0.21240613  -0.79569893   0.1040495   -0.03751479]
 [  1.09558189 -10.52430303   0.           0.        ]]",[-0.2815136  -0.23382065]
6,"[ 1.01301571  1.33726309 -0.29761043 -1.43948319  0.90145034 -0.31131745
  0.48301775 -0.65704232  0.00495597 -0.61718842  0.        ]",[ 0.18175842 -0.69007711],-0.0876547150033,-0.0876547150033,[ 0.46021488 -0.05696154],"[[-0.15102799 -0.97070823  0.1040495  -0.03751479]
 [ 5.02925164 -6.98837364  0.          0.        ]]",[-0.2815136  -0.23382065]
7,"[ 1.02814732  1.14709068 -0.137377   -1.67606008  0.90144859 -0.31131709
  0.54831335 -1.03241097 -0.03608784 -0.54147811  0.        ]",[ 0.26095914 -0.43660102],-0.0783051259788,-0.0783051259788,[ 0.25807506  0.25714368],"[[-0.04421748 -1.13650357  0.1040495  -0.03751479]
 [ 5.64972135 -9.58250454  0.          0.        ]]",[-0.2815136  -0.23382065]
8,"[ 1.02514229  0.88878663  0.04682404 -1.87001995  0.90144684 -0.31131672
  0.6452667  -1.25511763 -0.11161517 -0.45581825  0.        ]",[ 1.17271198  0.2801878 ],-0.0661575936218,-0.0661575936218,[-0.02685554  0.49539649],"[[  0.07802052  -1.34359628   0.1040495   -0.03751479]
 [  6.57101582 -11.12162015   0.           0.        ]]",[-0.2815136  -0.23382065]
9,"[ 0.98512462  0.61511874  0.29922794 -1.9437893   0.90144509 -0.31131636
  1.04804824 -1.06278371 -0.16963781 -0.308694    0.        ]",[-0.9825732   0.04569444],-0.0491857227884,-0.0491857227884,[-0.85360491  0.36453217],"[[  0.24784094  -1.55269344   0.1040495   -0.03751479]
 [ 10.39840924  -9.79244578   0.           0.        ]]",[-0.2815136  -0.23382065]
10,"[ 0.90626634  0.36251978  0.5369465  -1.90063765  0.90144334 -0.31131599
  0.61717617 -1.00841212 -0.23777498 -0.16579071  0.        ]",[ 0.86764146  0.69955451],-0.0320887365697,-0.0320887365697,[-0.37716249  0.67783439],"[[ 0.41473096 -1.74477163  0.1040495  -0.03751479]
 [ 6.30412036 -9.4167068   0.          0.        ]]",[-0.2815136  -0.23382065]
11,"[ 0.7964618   0.1597958   0.74817192 -1.78585602  0.90144159 -0.31131563
  0.96543586 -0.58064008 -0.30074915 -0.03288157  0.        ]",[ 0.30249427 -0.21161738],-0.0162340912524,-0.0162340912524,[-1.12868738  0.39488405],"[[ 0.57401574 -1.90344516  0.1040495  -0.03751479]
 [ 9.61342294 -6.46044307  0.          0.        ]]",[-0.2815136  -0.23382065]
12,"[ 0.61279814 -0.0059087   0.98599439 -1.6322833   0.90143984 -0.31131526
  1.07146142 -0.68333165 -0.34813262  0.13530735  0.        ]",[-0.76483999  0.82111591],-0.00280319988851,-0.00280319988851,[-1.3553431   0.53733265],"[[  0.77639277  -2.03977475   0.1040495   -0.03751479]
 [ 10.62093768  -7.1701363    0.           0.        ]]",[-0.2815136  -0.23382065]
13,"[ 0.41366121 -0.13095404  1.16148325 -1.47436778  0.90143809 -0.3113149
  0.73072875 -0.19225666 -0.40181221  0.27037516  0.        ]",[-1.89524953  0.55765096],-0.0179521371886,-0.0179521371886,[-1.22849429  0.36378658],"[[ 0.95632667 -2.14912644  0.1040495  -0.03751479]
 [ 7.38318952 -3.77639535  0.          0.        ]]",[-0.2815136  -0.23382065]
14,"[ 0.28261475 -0.18813982  1.24690384 -1.38794703  0.90143635 -0.31131453
  0.29875753  0.13811318 -0.43179666  0.34620854  0.        ]",[-0.85433619  0.1578542 ],-0.0266853681911,-0.0266853681911,[-0.83270633  0.20496529],"[[ 1.06280665 -2.20174659  0.1040495  -0.03751479]
 [ 3.27845519 -1.49326235  0.          0.        ]]",[-0.2815136  -0.23382065]
15,"[ 0.24290684 -0.21277696  1.26899362 -1.34760772  0.9014346  -0.31131417
 -0.06398508  0.23285621 -0.44830402  0.36348248  0.        ]",[-0.18930247  1.38719131],-0.0291050754,-0.0291050754,[-0.31111905  0.26811379],"[[ 1.09379199 -2.22504237  0.1040495  -0.03751479]
 [-0.16844591 -0.83850764  0.          0.        ]]",[-0.2815136  -0.23382065]
16,"[ 0.25689319 -0.18832201  1.26139496 -1.38764669  0.90143285 -0.3113138
 -0.14251384  0.80821602 -0.42998572  0.36420643  0.        ]",[-0.93541859  1.1784004 ],-0.028400742388,-0.028400742388,[-0.32672098 -0.21263921],"[[ 1.08293616 -2.20191783  0.1040495  -0.03751479]
 [-0.91465284  3.13771161  0.          0.        ]]",[-0.2815136  -0.23382065]
17,"[ 0.32681729 -0.07582119  1.22031124 -1.54890372  0.9014311  -0.31131343
 -0.53031094  1.37220978 -0.351216    0.36061806  0.        ]",[ 0.27777797 -0.38842057],-0.026508310632,-0.026508310632,[ 0.07121254 -0.63961804],"[[ 1.02767034 -2.10005705  0.1040495  -0.03751479]
 [-4.5996285   7.0354      0.          0.        ]]",[-0.2815136  -0.23382065]
18,"[ 0.42396879  0.07019756  1.15385479 -1.71003518  0.90142935 -0.31131307
 -0.40499896  1.12950121 -0.25983203  0.34155637  0.        ]",[ 0.13455266  1.6442576 ],-0.026885737678,-0.026885737678,[-0.00208166 -0.57954204],"[[ 0.947625   -1.97617782  0.1040495  -0.03751479]
 [-3.40888075  5.35810228  0.          0.        ]]",[-0.2815136  -0.23382065]
19,"[ 0.49569479  0.25214015  1.09681304 -1.84741659  0.9014276  -0.3113127
 -0.34189552  1.68709573 -0.15381608  0.35378525  0.        ]",[-1.26403546 -2.08623231],-0.0350125717146,-0.0350125717146,[-0.26424336 -1.23223352],"[[ 0.88546412 -1.83035242  0.1040495  -0.03751479]
 [-2.80925715  9.21159021  0.          0.        ]]",[-0.2815136  -0.23382065]
20,"[ 0.59869787  0.43715226  1.00065181 -1.92447415  0.90142585 -0.31131234
 -0.75250096  1.08784068 -0.05934261  0.32324088  0.        ]",[-0.16929299 -0.56776274],-0.0415731783118,-0.0415731783118,[ 0.4582381  -0.69140804],"[[ 0.79013084 -1.68767248  0.1040495  -0.03751479]
 [-6.71095958  5.07025085  0.          0.        ]]",[-0.2815136  -0.23382065]
21,"[ 0.73251997  0.5396564   0.84254601 -1.94197485  0.9014241  -0.31131197
 -0.80897891  0.74805561 -0.02770195  0.18523817  0.        ]",[ 0.55598954 -0.1217354 ],-0.0394986962981,-0.0394986962981,[ 0.79900229 -0.37954876],"[[ 0.65052693 -1.60982772  0.1040495  -0.03751479]
 [-7.24764261  2.72205813  0.          0.        ]]",[-0.2815136  -0.23382065]
22,"[ 0.83069193  0.60445965  0.69044839 -1.94402008  0.90142236 -0.31131161
 -0.56230014  0.67047413 -0.02710552  0.04853869  0.        ]",[-0.36610407  0.09314899],-0.0392754687645,-0.0392754687645,[ 0.7295832  -0.36998695],"[[ 0.52909238 -1.56076565  0.1040495  -0.03751479]
 [-4.90363973  2.18591213  0.          0.        ]]",[-0.2815136  -0.23382065]
23,"[ 0.90465778  0.66649579  0.54067696 -1.93946014  0.90142061 -0.31131124
 -0.70456037  0.71763539 -0.03661067 -0.07831978  0.        ]",[-0.30101105 -0.22310554],-0.0425064961742,-0.0425064961742,[ 1.09533894 -0.32231069],"[[ 0.41745639 -1.51377735  0.1040495  -0.03751479]
 [-6.25544579  2.51184392  0.          0.        ]]",[-0.2815136  -0.23382065]
24,"[ 0.97225325  0.72033466  0.34839098 -1.93031185  0.90141886 -0.31131088
 -0.81686721  0.58266752 -0.07743313 -0.24019582  0.        ]",[ 1.73906762  0.20613289],-0.0493200315558,-0.0493200315558,[ 1.53470409 -0.0796704 ],"[[ 0.28164009 -1.47289902  0.1040495  -0.03751479]
 [-7.32262919  1.57910936  0.          0.        ]]",[-0.2815136  -0.23382065]
25,"[ 1.00699734  0.77209024  0.19381773 -1.916927    0.90141711 -0.31131051
 -0.38515895  0.69614887 -0.11464442 -0.36072619  0.        ]",[ 1.58754288  0.82386331],-0.0571053077791,-0.0571053077791,[ 1.21112943 -0.26956365],"[[ 0.17634635 -1.43344777  0.1040495  -0.03751479]
 [-3.22042827  2.36336707  0.          0.        ]]",[-0.2815136  -0.23382065]
26,"[ 1.01272149  0.87547466  0.15800688 -1.87645034  0.90141536 -0.31131014
  0.03793122  1.16129221 -0.06300772 -0.3638841   0.        ]",[ 0.03732091 -0.48769966],-0.0606616751531,-0.0606616751531,[ 0.51323068 -0.93084812],"[[ 0.15227546 -1.3539277   0.1040495  -0.03751479]
 [ 0.7998825   5.57791081  0.          0.        ]]",[-0.2815136  -0.23382065]
