timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.02620403  1.69466925  0.10042828  1.11948996 -0.82316318 -1.50581131
 -0.05055249  0.33901513  2.3724634   2.22934056  0.        ]",[-3.32786767 -1.81368675],-0.360119332873,-0.360119332873,[-4.27839231 -2.66710258],"[[ 0.09766463  0.00208436 -0.09344438 -0.17481324]
 [ 0.00109758  0.0046499   0.          0.        ]]",[-0.44422382 -0.35156256]
1,"[ 1.03083313  1.69375357  0.04204687  1.01320841 -0.82316212 -1.50580754
 -0.52103062 -0.26259298  2.38007774  2.09396856  0.        ]",[-3.67693386 -2.03371091],-0.354123207547,-0.354123207547,[-3.66313195 -1.95398152],"[[ 0.0580113  -0.03753596 -0.09344438 -0.17481324]
 [-3.95327018 -3.95349542  0.          0.        ]]",[-0.44422382 -0.35156256]
2,"[ 1.03066029  1.67900817 -0.1320578   0.69827103 -0.82316106 -1.50580378
 -0.98221276 -0.8522928   2.35686108  1.69203466  0.        ]",[-1.92461336  0.09399926],-0.333987933376,-0.333987933376,[-2.95586514 -1.34328675],"[[-0.05994529 -0.15553318 -0.09344438 -0.17481324]
 [-7.82951129 -7.83329615  0.          0.        ]]",[-0.44422382 -0.35156256]
3,"[ 0.98491202  1.63406528 -0.41564929  0.30334682 -0.82316001 -1.50580001
 -1.43449676 -0.7719132   2.19737515  1.11139261  0.        ]",[-2.0479854  -1.47873842],-0.297595677823,-0.297595677823,[-2.08375406 -1.08422625],"[[ -0.2546764   -0.30689328  -0.09344438  -0.17481324]
 [-11.6309793   -7.30446348   0.           0.        ]]",[-0.44422382 -0.35156256]
4,"[ 0.83133189  1.54129977 -0.7833804  -0.15176344 -0.82315895 -1.50579625
 -1.87769235 -1.35150108  1.78137504  0.47129264  0.        ]",[-0.19590619  0.10441141],-0.239990321156,-0.239990321156,[-0.22388755  0.43702933],"[[ -0.52466968  -0.49124282  -0.09344438  -0.17481324]
 [-15.35608888 -11.11774485   0.           0.        ]]",[-0.44422382 -0.35156256]
5,"[ 0.53778355  1.38362135 -1.13988992 -0.62937891 -0.82315789 -1.50579248
 -1.93391494 -1.25509046  1.09812307  0.03676942  0.        ]",[ 1.12708971  2.82020479],-0.163690309858,-0.163690309858,[ 1.20683205  1.34076452],"[[ -0.8365328   -0.70723397  -0.09344438  -0.17481324]
 [-15.82869906 -10.48344976   0.           0.        ]]",[-0.44422382 -0.35156256]
6,"[ 0.19888722  1.22898234 -1.3665931  -0.94564178 -0.82315684 -1.50578872
 -1.42620977 -0.62183693  0.45773872 -0.02819101  0.        ]",[ 0.26044102  2.02343152],-0.0948355639102,-0.0948355639102,[ 1.3335768   1.13751447],"[[ -1.11029388  -0.87510048  -0.09344438  -0.17481324]
 [-11.56145243  -6.31710697   0.           0.        ]]",[-0.44422382 -0.35156256]
7,"[ -1.08796346e-01   1.14108622e+00  -1.47743961e+00  -1.08474918e+00
  -8.23155781e-01  -1.50578495e+00  -1.27658880e+00  -9.94875294e-04
   1.23126196e-02   8.28109259e-02   0.00000000e+00]",[ 2.23666573  1.66537451],-0.0452673907565,-0.0452673907565,[ 1.61207581  1.05071843],"[[ -1.32890652  -0.96045954  -0.09344438  -0.17481324]
 [-10.30390505  -2.23242023   0.           0.        ]]",[-0.44422382 -0.35156256]
8,"[-0.35221689  1.13630894 -1.51599384 -1.09162454 -0.82315472 -1.50578119
 -0.78173421  0.60740215 -0.25440107  0.19769168  0.        ]",[ 1.69972701  1.00549389],-0.0168667440046,-0.0168667440046,[ 1.05644023  0.31670091],"[[-1.49325396 -0.9649461  -0.09344438 -0.17481324]
 [-6.14464277  1.77038842  0.          0.        ]]",[-0.44422382 -0.35156256]
9,"[-0.47523725  1.2138776  -1.52041323 -0.97132188 -0.82315367 -1.50577742
 -0.29666747  1.20372496 -0.33406462  0.20109179  0.        ]",[-0.93938289 -0.97103659],-0.00935716425059,-0.00935716425059,[ 0.17308915 -0.79984093],"[[-1.57524065 -0.89017354 -0.09344438 -0.17481324]
 [-2.06764294  5.6937664   0.          0.        ]]",[-0.44422382 -0.35156256]
10,"[-0.59257557  1.28632505 -1.51538089 -0.84045793 -0.82315261 -1.50577366
 -0.73383869  0.60237737 -0.40816011  0.2083893   0.        ]",[ 2.74406193  0.46688305],-0.00671752938347,-0.00671752938347,[ 1.37723386  0.31213108],"[[-1.65346063 -0.81599445 -0.09344438 -0.17481324]
 [-5.74208613  1.73734675  0.          0.        ]]",[-0.44422382 -0.35156256]
11,"[-0.70291443  1.33505987 -1.50233078 -0.74045037 -0.82315155 -1.50576989
 -0.24967251  0.87793904 -0.48863178  0.23747078  0.        ]",[ 1.38850462 -0.18617   ],-0.0134632906898,-0.0134632906898,[ 0.58098972 -0.4110176 ],"[[-1.72747236 -0.76305693 -0.09344438 -0.17481324]
 [-1.67265943  3.55034628  0.          0.        ]]",[-0.44422382 -0.35156256]
12,"[-0.6931526   1.38953568 -1.50381093 -0.61490804 -0.8231505  -1.50576613
  0.22500071  0.75501111 -0.43831048  0.17311325  0.        ]",[-0.75378556 -0.49878058],-0.00535843871535,-0.00535843871535,[-0.39301312 -0.79246807],"[[-1.7208961  -0.70016464 -0.09344438 -0.17481324]
 [ 2.31697914  2.74157765  0.          0.        ]]",[-0.44422382 -0.35156256]
13,"[-0.6694152   1.41775025 -1.50714675 -0.5431426  -0.82314944 -1.50576236
 -0.13518122  0.44673717 -0.38925583  0.12704415  0.        ]",[ 0.14109446  0.27274788],-0.00150929286224,-0.00150929286224,[ 0.43485337 -0.23673943],"[[-1.70493081 -0.66568275 -0.09344438 -0.17481324]
 [-0.71035516  0.71336708  0.          0.        ]]",[-0.44422382 -0.35156256]
14,"[-0.68201288  1.4374174  -1.50541783 -0.48996174 -0.82314838 -1.5057586
 -0.06713992  0.60870786 -0.38529317  0.11451023  0.        ]",[ 0.640245   -0.88742093],-0.00265774282657,-0.00265774282657,[ 0.20641518 -0.5178175 ],"[[-1.71339998 -0.6407234  -0.09344438 -0.17481324]
 [-0.13846809  1.7790173   0.          0.        ]]",[-0.44422382 -0.35156256]
15,"[-0.64823598  1.43738522 -1.50979876 -0.49004119 -0.82314733 -1.50575483
  0.23469346  0.06914567 -0.34831186  0.09272971  0.        ]",[ 0.02869515  0.22492268],-0.00700575300081,-0.00700575300081,[-0.13861895 -0.23782855],"[[-1.69071575 -0.64076055 -0.09344438 -0.17481324]
 [ 2.39844281 -1.77089637  0.          0.        ]]",[-0.44422382 -0.35156256]
16,"[-0.57553928  1.41677176 -1.51664991 -0.54568984 -0.82314627 -1.50575107
  0.24251903  0.20983859 -0.2873258   0.06972804  0.        ]",[-2.05744398 -1.25923958],-0.0138164212123,-0.0138164212123,[-0.32456881 -0.44785643],"[[-1.64208696 -0.66689109 -0.09344438 -0.17481324]
 [ 2.46421833 -0.84524223  0.          0.        ]]",[-0.44422382 -0.35156256]
17,"[-0.56188013  1.36988784 -1.51754368 -0.66199347 -0.82314521 -1.5057473
 -0.2338298  -0.38924157 -0.3134831   0.10750306  0.        ]",[ 2.11477377  0.3285124 ],-0.00984137421674,-0.00984137421674,[ 0.8664059   0.73589969],"[[-1.63297259 -0.72334212 -0.09344438 -0.17481324]
 [-1.53948908 -4.7867362   0.          0.        ]]",[-0.44422382 -0.35156256]
18,"[-0.54807627  1.29654997 -1.51832214 -0.82028867 -0.82314416 -1.50574354
  0.24044998 -0.17732601 -0.35492618  0.16950631  0.        ]",[ 0.902339    0.40488876],-0.00577872332885,-0.00577872332885,[-0.03805034  0.24911562],"[[-1.6237669  -0.80508811 -0.09344438 -0.17481324]
 [ 2.44682519 -3.39249483  0.          0.        ]]",[-0.44422382 -0.35156256]
