timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-0.39258257 -3.14777565],[-1.22678822 -2.9558847 ],-0.108475160704,-0.108475160704,"[[ 0.00185274 -0.04188861  0.10336655 -0.02458895]
 [ 0.00239215 -0.00295355  0.          0.        ]]","[ 1.06527083  1.51965719 -0.02215548  1.16198335  0.89758419 -0.21061958
 -0.03449077  0.3252499   0.64565637  0.38263228  0.        ]",[-0.69982141 -0.60444379]
1,[ 1.06123209 -2.20368338],[ 1.73085949 -2.63312615],-0.106059667368,-0.106059667368,"[[-0.037775   -0.0816595   0.10336655 -0.02458895]
 [-3.95200804 -3.96094857  0.          0.        ]]","[ 1.06421195  1.51645892 -0.08014916  1.05799438  0.89758327 -0.21061946
 -0.55991047 -0.3171933   0.63809581  0.22975082  0.        ]",[-0.69982141 -0.60444379]
2,[ 1.02405787 -1.54989731],[ 1.55704977 -2.15211745],-0.103001802621,-0.103001802621,"[[-0.07632544 -0.19983517  0.10336655 -0.02458895]
 [ 0.08351816 -7.8436718   0.          0.        ]]","[ 1.06094434  1.49489142 -0.13648376  0.75163242  0.89758236 -0.21061933
 -0.02371094 -0.94741823  0.60252459 -0.02071975  0.        ]",[-0.69982141 -0.60444379]
3,[ 0.77049357 -0.80145645],[ 0.5905298  -1.44972782],-0.0996863267088,-0.0996863267088,"[[ -0.03496663  -0.39489349   0.10336655  -0.02458895]
 [  4.03919247 -11.64945939   0.           0.        ]]","[ 1.06436114  1.42061977 -0.07604085  0.26381275  0.89758144 -0.21061921
  0.50187863 -1.56515331  0.54717348 -0.16223979  0.        ]",[-0.69982141 -0.60444379]
4,[ 0.52553016  0.25661424],[ 0.61885881  0.03518143],-0.0925173088647,-0.0925173088647,"[[  0.06846794  -0.66530425   0.10336655  -0.02458895]
 [  6.29673958 -15.37915935   0.           0.        ]]","[ 1.06178639  1.24320457  0.07527764 -0.34553213  0.89758052 -0.21061908
  0.80183799 -2.17053373  0.45656523 -0.23037726  0.        ]",[-0.69982141 -0.60444379]
5,[-0.31275433  0.57735109],[-0.34945637  0.87347182],-0.0800813537768,-0.0800813537768,"[[  0.21771688  -0.96844097   0.10336655  -0.02458895]
 [  8.62049771 -14.935941     0.           0.        ]]","[ 1.03018588  0.95667335  0.29131432 -0.88706524  0.8975796  -0.21061896
  1.11059421 -2.09858632  0.33145329 -0.21175914  0.        ]",[-0.69982141 -0.60444379]
6,[-0.23286182  0.60077929],[-0.25771395  0.66363219],-0.0656244324904,-0.0656244324904,"[[  0.37453336  -1.22948497   0.10336655  -0.02458895]
 [  7.06633668 -11.18099846   0.           0.        ]]","[ 0.96225008  0.65489146  0.51064563 -1.19702532  0.89757868 -0.21061883
  0.90409201 -1.48910136  0.20499681 -0.12693135  0.        ]",[-0.69982141 -0.60444379]
7,[-0.32295772  0.51531601],[ 0.02654922  0.03771438],-0.0528680164537,-0.0528680164537,"[[ 0.50422003 -1.42451474  0.10336655 -0.02458895]
 [ 5.90619839 -8.33149326  0.          0.        ]]","[ 0.88032742  0.40894542  0.68232885 -1.32016466  0.89757776 -0.21061871
  0.74994383 -1.026584    0.09560221 -0.04008204  0.        ]",[-0.69982141 -0.60444379]
8,[-0.66591102  0.71158969],[-0.20222852  2.1066204 ],-0.041165996103,-0.041165996103,"[[ 0.62222627 -1.5879898   0.10336655 -0.02458895]
 [ 5.89446788 -8.01706096  0.          0.        ]]","[ 0.78675154  0.19685238  0.82829957 -1.34775541  0.89757684 -0.21061858
  0.74838454 -0.97554598 -0.00646652  0.04486603  0.        ]",[-0.69982141 -0.60444379]
9,[-1.08585501 -0.06685966],[-0.91003471  0.00692683],-0.0327179728136,-0.0327179728136,"[[ 0.73090981 -1.70700787  0.10336655 -0.02458895]
 [ 4.97694992 -3.89848416  0.          0.        ]]","[ 0.68567586  0.04248993  0.9522849  -1.32387442  0.89757592 -0.21061846
  0.62647342 -0.30704084 -0.08285445  0.13939302  0.        ]",[-0.69982141 -0.60444379]
10,[-0.09703416  0.21597484],[ 0.18697957  0.66082281],-0.0273563834401,-0.0273563834401,"[[ 0.79332313 -1.78392227  0.10336655 -0.02458895]
 [ 1.27666775 -3.79333441  0.          0.        ]]","[ 0.62164621 -0.05607118  1.01836111 -1.28886348  0.89757501 -0.21061833
  0.13481664 -0.28997332 -0.13845475  0.18325816  0.        ]",[-0.69982141 -0.60444379]
11,[-0.64310777 -0.38906509],[-0.36790561 -0.26349599],-0.0237835279139,-0.0237835279139,"[[ 0.82602499 -1.83278316  0.10336655 -0.02458895]
 [ 1.99115168 -1.10172237  0.          0.        ]]","[ 0.58646012 -0.11787436  1.05137528 -1.25874082  0.89757409 -0.21061821
  0.22975008  0.14691486 -0.17657861  0.19883661  0.        ]",[-0.69982141 -0.60444379]
12,[-0.08246808  0.0298129 ],[ 0.06255095 -0.64369436],-0.0216404063062,-0.0216404063062,"[[ 0.8508435  -1.86506509  0.10336655 -0.02458895]
 [ 0.49567294 -2.12307113  0.          0.        ]]","[ 0.55903519 -0.15827475  1.07566416 -1.23551995  0.89757317 -0.21061808
  0.03104549 -0.01886517 -0.20163525  0.21363093  0.        ]",[-0.69982141 -0.60444379]
13,[ 0.12581509  0.80573916],[ 0.81721146  1.1193982 ],-0.0150698808068,-0.0150698808068,"[[ 0.86314503 -1.93267761  0.10336655 -0.02458895]
 [ 0.73367314 -4.62982552  0.          0.        ]]","[ 0.5452168  -0.24156698  1.08745213 -1.17845299  0.89757225 -0.21061796
  0.06266861 -0.42574848 -0.26263234  0.18628076  0.        ]",[-0.69982141 -0.60444379]
14,[-1.43319786 -0.29687533],[-1.43953698 -1.24381059],-0.0124131619432,-0.0124131619432,"[[ 0.91012403 -1.98462937  0.10336655 -0.02458895]
 [ 3.95353171 -0.57883478  0.          0.        ]]","[ 0.49111936 -0.30415563  1.13090958 -1.12698164  0.89757133 -0.21061783
  0.49049201  0.23178786 -0.30332189  0.21893793  0.        ]",[-0.69982141 -0.60444379]
15,[ 0.25822669  1.06303596],[ 1.28086921  0.48348577],-0.0104213271337,-0.0104213271337,"[[ 0.94869815 -2.03581528  0.10336655 -0.02458895]
 [-0.08271027 -4.52661813  0.          0.        ]]","[ 0.44519039 -0.36444119  1.16468915 -1.06993833  0.89757041 -0.21061771
 -0.04580509 -0.40899658 -0.34586067  0.2389833   0.        ]",[-0.69982141 -0.60444379]
16,[-1.38197875  0.43013492],[-1.69915821 -0.58061011],-0.00902997453954,-0.00902997453954,"[[ 0.98677462 -2.10624329  0.10336655 -0.02458895]
 [ 3.87720869 -2.52284174  0.          0.        ]]","[ 0.3985901  -0.44485899  1.19629729 -0.98145914  0.89756949 -0.21061759
  0.48035093 -0.08375328 -0.40817932  0.24563641  0.        ]",[-0.69982141 -0.60444379]
17,[ 0.15627638  1.3999542 ],[ 0.41937171  1.48601123],-0.0116650700846,-0.0116650700846,"[[ 1.02383345 -2.1792628   0.10336655 -0.02458895]
 [-0.15792781 -4.77163301  0.          0.        ]]","[ 0.35209404 -0.52475428  1.22536097 -0.87793526  0.89756858 -0.21061746
 -0.05579982 -0.44876606 -0.47445394  0.24960694  0.        ]",[-0.69982141 -0.60444379]
18,[-0.82292789  0.40988877],[-1.05426256  0.3133239 ],-0.0148548500511,-0.0148548500511,"[[ 1.03736072 -2.23402049  0.10336655 -0.02458895]
 [ 1.50514091 -0.71764364  0.          0.        ]]","[ 0.33485403 -0.58208895  1.23554302 -0.79275264  0.89756766 -0.21061734
  0.16517305  0.20925835 -0.5272399   0.23690664  0.        ]",[-0.69982141 -0.60444379]
19,[ 0.46671122  0.39228061],[ 0.82788629  1.05619149],-0.0146339859154,-0.0146339859154,"[[ 1.02744577 -2.2357816   0.10336655 -0.02458895]
 [-2.48334608  0.53735178  0.          0.        ]]","[ 0.34750362 -0.58389354  1.22809941 -0.78990817  0.89756674 -0.21061721
 -0.36477974  0.41296315 -0.53064787  0.22521513  0.        ]",[-0.69982141 -0.60444379]
20,[-1.09108603 -0.97826183],[-0.81787851 -1.20588013],-0.0110749648079,-0.0110749648079,"[[ 1.01115263 -2.1854147   0.10336655 -0.02458895]
 [ 0.84291616  4.48617058  0.          0.        ]]","[ 0.36812609 -0.53130888  1.21560139 -0.86867973  0.89756582 -0.21061709
  0.0771832   1.05391627 -0.48261786  0.23163197  0.        ]",[-0.69982141 -0.60444379]
21,[ 0.49080086  0.22652793],[ 0.59398671  0.20451104],-0.00904291126075,-0.00904291126075,"[[ 0.99536125 -2.13630858  0.10336655 -0.02458895]
 [-2.4111785   0.43794069  0.          0.        ]]","[ 0.38791366 -0.47820673  1.20317398 -0.94025435  0.8975649  -0.21061696
 -0.35519084  0.39682571 -0.4363236   0.23919986  0.        ]",[-0.69982141 -0.60444379]
22,[-0.37914792 -0.20007998],[-0.53728641 -0.35894909],-0.00705895426155,-0.00705895426155,"[[ 0.97120744 -2.11951322  0.10336655 -0.02458895]
 [-0.01220088  1.23892144  0.          0.        ]]","[ 0.4177882  -0.45965197  1.18357515 -0.96351813  0.89756398 -0.21061684
 -0.03643651  0.52683695 -0.42378275  0.21895222  0.        ]",[-0.69982141 -0.60444379]
23,[ 0.57390583  0.3392444 ],[ 1.29508452  0.91996074],-0.00521870939948,-0.00521870939948,"[[ 0.94962749 -2.10923986  0.10336655 -0.02458895]
 [-2.13870708 -0.2067644   0.          0.        ]]","[ 0.44406595 -0.44820757  1.16546802 -0.97743727  0.89756306 -0.21061671
 -0.31898726  0.2921794  -0.41754241  0.19796351  0.        ]",[-0.69982141 -0.60444379]
24,[-1.20408833 -0.97187948],[-1.39288343 -1.81957695],-0.00658699490755,-0.00658699490755,"[[ 0.94699227 -2.07678843  0.10336655 -0.02458895]
 [ 1.86183016  3.43975101  0.          0.        ]]","[ 0.44724722 -0.41160081  1.16321737 -1.01984123  0.89756215 -0.21061659
  0.21256816  0.88406517 -0.38598606  0.21243279  0.        ]",[-0.69982141 -0.60444379]
25,[ 0.58615696  0.28319457],[ 0.53482956  0.48639203],-0.00875241843067,-0.00875241843067,"[[ 0.94414575 -2.04840168  0.10336655 -0.02458895]
 [-2.13314829 -0.58765071  0.          0.        ]]","[ 0.45067683 -0.37903316  1.16077712 -1.05495656  0.89756123 -0.21061646
 -0.31824887  0.23035447 -0.35875458  0.22535397  0.        ]",[-0.69982141 -0.60444379]
26,[-0.34320733 -0.40584433],[-0.63213855 -0.33965871],-0.00747957591763,-0.00747957591763,"[[ 0.92314609 -2.04071613  0.10336655 -0.02458895]
 [ 0.02598812  1.34974609  0.          0.        ]]","[ 0.47576002 -0.37013145  1.14248898 -1.06414154  0.89756031 -0.21061634
 -0.03136185  0.54482417 -0.35507757  0.2023701   0.        ]",[-0.69982141 -0.60444379]
27,[ 0.74753219  0.1497784 ],[ 0.83933633  0.81175016],-0.00685016301943,-0.00685016301943,"[[ 0.89855606 -2.02748131  0.10336655 -0.02458895]
 [-2.47664984 -0.02168921  0.          0.        ]]","[ 0.50462848 -0.35472124  1.12042065 -1.07963566  0.89755939 -0.21061621
 -0.36389026  0.32221827 -0.34700208  0.17767196  0.        ]",[-0.69982141 -0.60444379]
28,[-0.75726491 -1.01134598],[-1.16157782 -2.24202318],-0.00932055604127,-0.00932055604127,"[[ 0.88284685 -1.99566422  0.10336655 -0.02458895]
 [ 0.89447744  3.19267989  0.          0.        ]]","[ 0.52277897 -0.31726857  1.10595858 -1.11519571  0.89755847 -0.21061609
  0.08403582  0.8439608  -0.31922918  0.17500346  0.        ]",[-0.69982141 -0.60444379]
29,[ 1.08059525  0.29125544],[ 1.09609434 -0.21793454],-0.0107559911201,-0.0107559911201,"[[ 0.86084741 -1.97216921  0.10336655 -0.02458895]
 [-3.08116125 -0.82976562  0.          0.        ]]","[ 0.54780498 -0.28926126  1.08523802 -1.1399053   0.89755755 -0.21061596
 -0.44421254  0.19105354 -0.30111926  0.15885043  0.        ]",[-0.69982141 -0.60444379]
30,[-0.10455016  0.2711105 ],[-0.32248374  0.0236349 ],-0.00776546437047,-0.00776546437047,"[[ 0.83955115 -1.99726106  0.10336655 -0.02458895]
 [ 0.93815416 -1.67659804  0.          0.        ]]","[ 0.57158463 -0.31916114  1.06466789 -1.11346535  0.89755663 -0.21061584
  0.0898397   0.05359901 -0.33098127  0.11579246  0.        ]",[-0.69982141 -0.60444379]
31,[ 0.30221364  0.3980532 ],[ 0.1837974  -0.85500198],-0.00509747043835,-0.00509747043835,"[[ 0.84532034 -2.02951997  0.10336655 -0.02458895]
 [-0.35692545 -1.54971804  0.          0.        ]]","[ 0.56518614 -0.35710084  1.07028791 -1.07726993  0.89755572 -0.21061571
 -0.08223946  0.07419364 -0.36171236  0.10676022  0.        ]",[-0.69982141 -0.60444379]
32,[ 0.43896902  1.36033225],[ 0.67823799  1.31464288],-0.0053886697027,-0.0053886697027,"[[ 0.84555446 -2.09417441  0.10336655 -0.02458895]
 [ 0.37787429 -4.90454317  0.          0.        ]]","[ 0.56492538 -0.43129648  1.07051397 -0.99740926  0.8975548  -0.21061559
  0.01539455 -0.47034864 -0.42744118  0.07725361  0.        ]",[-0.69982141 -0.60444379]
33,[-0.9045015   0.32875636],[-1.38262976  0.17400961],-0.00801051599168,-0.00801051599168,"[[ 0.87997173 -2.15156469  0.10336655 -0.02458895]
 [ 3.05496592 -0.84799384  0.          0.        ]]","[ 0.52607377 -0.49488794  1.10327502 -0.91856594  0.89755388 -0.21061547
  0.37110398  0.18809539 -0.4770148   0.09493063  0.        ]",[-0.69982141 -0.60444379]
