timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.214538798215,[ 2.42563542 -0.85038566],-0.214538798215,[ 3.10630512 -0.24352343],"[[-0.09562995 -0.00887188  0.06881925  0.14143414]
 [ 0.00075258 -0.0001677   0.          0.        ]]","[ 1.02010289  1.74389374 -0.16237093  1.04408505  0.60387442  1.23113619
 -0.01816799  0.34496893  0.85490426 -1.54029456  0.        ]",[-0.37037665 -0.31182405]
1,-0.211316131563,[ 2.69448502 -1.27085649],-0.211316131563,[ 2.75320792 -0.12498419],"[[-0.05591141 -0.04267463  0.06881925  0.14143414]
 [ 3.95792186 -3.36887458  0.          0.        ]]","[ 1.02463329  1.74275688 -0.10386243  0.95213512  0.60387374  1.23113364
  0.43969502 -0.16109628  0.85819088 -1.49236013  0.        ]",[-0.37037665 -0.31182405]
2,-0.201793707219,[ 3.25492201  0.18354619],-0.201793707219,[ 2.31495023  0.06786388],"[[ 0.06216738 -0.14912579  0.06881925  0.14143414]
 [ 7.83704291 -7.2632501   0.          0.        ]]","[ 1.02407509  1.72952223  0.07048642  0.6639287   0.60387306  1.23113108
  0.8885269  -0.74612992  0.85892346 -1.35628945  0.        ]",[-0.37037665 -0.31182405]
3,-0.182216900225,[ 1.0802985   1.33686213],-0.182216900225,[ 1.55232024  0.14167139],"[[  0.2570411   -0.28567008   0.06881925   0.14143414]
 [ 11.63770024  -6.39404523   0.           0.        ]]","[ 0.97745946  1.6913056   0.35428643  0.30139428  0.60387238  1.23112853
  1.3282785  -0.61555242  0.83450809 -1.08974941  0.        ]",[-0.37037665 -0.31182405]
4,-0.146474237363,[-0.70062568 -0.1546131 ],-0.146474237363,[-0.18449116 -0.35962313],"[[  0.52716281  -0.37256485   0.06881925   0.14143414]
 [ 15.36208261  -2.30900271   0.           0.        ]]","[ 0.82232559  1.65484489  0.72196002  0.07769912  0.6038717   1.23112597
  1.75920153 -0.00187423  0.73082908 -0.6217324   0.        ]",[-0.37037665 -0.31182405]
5,-0.106724595436,[-0.87803884  1.19420266],-0.106724595436,[-0.66339529 -0.58096719],"[[  0.80354983  -0.4244138    0.06881925   0.14143414]
 [ 12.28685399  -2.87403256   0.           0.        ]]","[ 0.56592932  1.62871973  1.04217532 -0.05232219  0.60387102  1.23112342
  1.40337995 -0.0867562   0.51990663 -0.1486753   0.        ]",[-0.37037665 -0.31182405]
6,-0.0768320162435,[-1.17734632 -1.15011885],-0.0768320162435,[-0.96821034 -1.30343366],"[[ 1.01198297 -0.44157971  0.06881925  0.14143414]
 [ 8.5688187   1.14402186  0.          0.        ]]","[ 0.31873891  1.61936269  1.23137072 -0.09472236  0.60387034  1.23112086
  0.97318488  0.51685911  0.28664998  0.17901706  0.        ]",[-0.37037665 -0.31182405]
7,-0.0610774820761,[-0.19956792 -0.36513831],-0.0610774820761,[-0.55444574 -0.83248383],"[[ 1.14198133 -0.45863814  0.06881925  0.14143414]
 [ 4.44475311 -2.83662094  0.          0.        ]]","[ 0.14630213  1.60972163  1.32233845 -0.13651759  0.60386966  1.2311183
  0.49601131 -0.08113684  0.11866039  0.34777717  0.        ]",[-0.37037665 -0.31182405]
8,-0.0549464223781,[-1.93598769  0.26937982],-0.0549464223781,[-0.49279082 -0.50292116],"[[ 1.22207834 -0.5293097   0.06881925  0.14143414]
 [ 3.56786135 -4.2259084   0.          0.        ]]","[ 0.03459722  1.56621878  1.36717832 -0.3058033   0.60386898  1.23111575
  0.39455052 -0.28984384  0.04630247  0.3876712   0.        ]",[-0.37037665 -0.31182405]
9,-0.0538713004904,[ 0.28289791 -1.40364382],-0.0538713004904,[ 0.46029949 -0.52713239],"[[ 1.25303032 -0.60227203  0.06881925  0.14143414]
 [-0.45927141 -3.07417791  0.          0.        ]]","[-0.00949382  1.5154388   1.3821327  -0.47337008  0.6038683   1.23111319
 -0.07140753 -0.11682362  0.04585065  0.36057403  0.        ]",[-0.37037665 -0.31182405]
