timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.414589126592,[-3.10361418 -2.3177535 ],-0.414589126592,[-3.14739919 -3.23177576],"[[-0.07846683 -0.0067499  -0.19246781 -0.11953529]
 [-0.00028942  0.00452948  0.          0.        ]]","[ 1.02087283  1.92175748 -0.1600226   0.9177834  -1.66055999 -1.02960176
 -0.00886485  0.35871767  3.0097817   1.09033069  0.        ]",[-0.2797794  -0.22713089]
1,-0.410221674904,[-3.19192888 -3.7598346 ],-0.410221674904,[-2.85038614 -2.87204933],"[[-0.11814762 -0.0463726  -0.19246781 -0.11953529]
 [-3.9546307  -3.95361338  0.          0.        ]]","[ 1.01518868  1.92035697 -0.219477    0.80239861 -1.66055321 -1.02959946
 -0.42250251 -0.21365989  2.99740581  0.9714152   0.        ]",[-0.2797794  -0.22713089]
2,-0.394600413261,[-1.93471437 -3.86292709],-0.394600413261,[-2.35726619 -2.45653152],"[[-0.23613121 -0.16437215 -0.19246781 -0.11953529]
 [-7.83085112 -7.8334111   0.          0.        ]]","[ 0.98487084  1.90395365 -0.39424227  0.46073836 -1.66054644 -1.02959715
 -0.82796784 -0.77470763  2.91957027  0.62705162  0.        ]",[-0.2797794  -0.22713089]
3,-0.360748823608,[-2.21451658 -3.11342076],-0.360748823608,[-1.40432584 -1.81542552],"[[ -0.43087298  -0.35919673  -0.19246781  -0.11953529]
 [-11.63078056 -11.63635698   0.           0.        ]]","[ 0.89200512  1.83740919 -0.67086914 -0.08663461 -1.66053966 -1.02959485
 -1.22545118 -1.32463961  2.66644869  0.12077521  0.        ]",[-0.2797794  -0.22713089]
4,-0.299620827611,[ 1.00893763 -0.04501719],-0.299620827611,[ 0.04612166 -0.78547293],"[[ -0.70086825  -0.62932336  -0.19246781  -0.11953529]
 [-15.35659543 -15.36383903   0.           0.        ]]","[ 0.68144195  1.66855351 -1.01298696 -0.77729985 -1.66053288 -1.02959254
 -1.61517864 -1.8636534   2.11710671 -0.36454784  0.        ]",[-0.2797794  -0.22713089]
5,-0.223938381027,[ 0.26721983 -0.6494854 ],-0.223938381027,[ 0.35187456 -0.42723653],"[[ -0.96527682  -0.93534536  -0.19246781  -0.11953529]
 [-11.09840441 -15.23876946   0.           0.        ]]","[ 0.39679917  1.38454067 -1.27998064 -1.40716409 -1.6605261  -1.02959024
 -1.16975413 -1.84555858  1.43621757 -0.50590698  0.        ]",[-0.2797794  -0.22713089]
6,-0.153656474211,[ 0.56187145 -0.67371088],-0.153656474211,[ 0.84315807  0.32286966],"[[ -1.17444951  -1.26289573  -0.19246781  -0.11953529]
 [ -9.82322873 -17.50869312   0.           0.        ]]","[ 0.12959878  1.00061661 -1.43095327 -1.83880883 -1.66051933 -1.02958794
 -1.03636407 -2.1737919   0.87953604 -0.29045509  0.        ]",[-0.2797794  -0.22713089]
7,-0.106173924286,[ 0.57089448  0.35952843],-0.106173924286,[ 1.00966036  0.93996787],"[[ -1.3466784   -1.63635844  -0.19246781  -0.11953529]
 [ -7.40772244 -19.82983453   0.           0.        ]]","[-0.10939338  0.5134821  -1.5100164  -1.96954483 -1.66051255 -1.02958563
 -0.78369251 -2.50942394  0.53496915  0.16835054  0.        ]",[-0.2797794  -0.22713089]
8,-0.114208577671,[ 1.84144142  1.23901668],-0.114208577671,[ 1.06273818  1.10739124],"[[ -1.47072008  -2.01473412  -0.19246781  -0.11953529]
 [ -5.00419477 -18.01377704   0.           0.        ]]","[-0.28788424  0.03241443 -1.54013363 -1.69340694 -1.66050577 -1.02958333
 -0.53227448 -2.24679713  0.47493225  0.66351577  0.        ]",[-0.2797794  -0.22713089]
9,-0.146486413231,[ 1.24213164  0.93496613],-0.146486413231,[ 0.74647647  0.86376798],"[[ -1.53011064  -2.33170538  -0.19246781  -0.11953529]
 [ -0.94803843 -13.69771002   0.           0.        ]]","[-0.3743081  -0.31132799 -1.54641554 -1.17234564 -1.66049899 -1.02958102
 -0.10798608 -1.6226661   0.60010076  0.9943963   0.        ]",[-0.2797794  -0.22713089]
10,-0.171534083622,[ 0.58409998 -0.75870762],-0.171534083622,[ 0.33527178  0.597296  ],"[[-1.50916715 -2.56579485 -0.19246781 -0.11953529]
 [ 3.02929679 -9.72445329  0.          0.        ]]","[-0.34379139 -0.50849242 -1.54479738 -0.64881798 -1.66049222 -1.02957872
  0.30805731 -1.04811217  0.76171123  1.14500974  0.        ]",[-0.2797794  -0.22713089]
11,-0.193828669343,[-1.88304848  0.06946165],-0.193828669343,[ 0.03790704  0.53641498],"[[ -1.42598199  -2.78849336  -0.19246781  -0.11953529]
 [  5.28172835 -12.53601619   0.           0.        ]]","[-0.22310354 -0.64006084 -1.5318899  -0.06996454 -1.66048544 -1.02957642
  0.54366933 -1.45467238  0.93912425  1.23090418  0.        ]",[-0.2797794  -0.22713089]
12,-0.219002999465,[-0.31659824  0.40058975],-0.219002999465,[ 0.23850247  0.57097703],"[[-1.36112123 -3.03396529 -0.19246781 -0.11953529]
 [ 1.21796575 -9.91024363  0.          0.        ]]","[-0.12996941 -0.71395245 -1.51466833  0.62451933 -1.66047866 -1.02957411
  0.11858408 -1.07497134  1.14500013  1.31594167  0.        ]",[-0.2797794  -0.22713089]
13,-0.225954948661,[ 1.06773242  0.7640162 ],-0.225954948661,[ 0.22464839  0.4979648 ],"[[-1.34957472 -3.09716866 -0.19246781 -0.11953529]
 [-0.05918741  0.63658615  0.          0.        ]]","[-0.11351229 -0.72029486 -1.51094623  0.80808315 -1.66047188 -1.02957181
 -0.01501116  0.45014681  1.2041708   1.33495577  0.        ]",[-0.2797794  -0.22713089]
14,-0.220383396247,[-0.92646797 -0.42828614],-0.220383396247,[-0.05943414  0.35638827],"[[-1.31102034 -3.05306299 -0.19246781 -0.11953529]
 [ 3.90141985  3.70607452  0.          0.        ]]","[-0.05888298 -0.71642168 -1.49711495  0.67988505 -1.66046511 -1.0295695
  0.39928391  0.89400719  1.15880661  1.31642303  0.        ]",[-0.2797794  -0.22713089]
15,-0.21380492674,[ 1.52606066 -0.47196112],-0.21380492674,[ 0.1823695  0.4967981],"[[-1.27057162 -2.99669419 -0.19246781 -0.11953529]
 [ 0.15593957  1.93670359  0.          0.        ]]","[-0.00216964 -0.70774603 -1.48028016  0.51680613 -1.66045833 -1.0295672
  0.00749113  0.63814699  1.10913991  1.28812752  0.        ]",[-0.2797794  -0.22713089]
16,-0.211105134412,[-1.24814576  1.76587647],-0.211105134412,[-0.13873383  0.36969352],"[[-1.22775986 -2.97709309 -0.19246781 -0.11953529]
 [ 4.11205261  0.02976282  0.          0.        ]]","[ 0.05708606 -0.70375322 -1.45989989  0.4603852  -1.66045155 -1.0295649
  0.42131688  0.36239391  1.09207407  1.27119159  0.        ]",[-0.2797794  -0.22713089]
17,-0.206148299078,[ 1.16555733  1.04978533],-0.206148299078,[ 0.10240217  0.46199608],"[[-1.18605869 -2.93677756 -0.19246781 -0.11953529]
 [ 0.07152777  3.98859534  0.          0.        ]]","[  1.13940860e-01  -6.93969251e-01  -1.43754979e+00   3.44939517e-01
  -1.66044478e+00  -1.02956259e+00  -1.33961993e-03   9.34858418e-01
   1.06029368e+00   1.24080712e+00   0.00000000e+00]",[-0.2797794  -0.22713089]
18,-0.19264983557,[-0.70594111  0.17010668],-0.19264983557,[-0.3361491   0.09823662],"[[-1.14491678 -2.81806851 -0.19246781 -0.11953529]
 [ 4.0294332   7.8693746   0.          0.        ]]","[ 0.16910053 -0.65302561 -1.41312141  0.0113012  -1.660438   -1.02956029
  0.41267445  1.49603277  0.97665568  1.15322751  0.        ]",[-0.2797794  -0.22713089]
19,-0.175123963085,[ 0.10190927  0.49414273],-0.175123963085,[-0.23219553  0.01163688],"[[-1.09317274 -2.65548694 -0.19246781 -0.11953529]
 [ 1.15456189  8.38706133  0.          0.        ]]","[ 0.23701519 -0.56848725 -1.37911016 -0.42358102 -1.66043122 -1.02955798
  0.11194967  1.57088677  0.88660636  1.00668381  0.        ]",[-0.2797794  -0.22713089]
20,-0.15782234915,[-0.15278211 -1.69302699],-0.15782234915,[-0.40327623 -0.31791288],"[[ -1.06626483  -2.4697804   -0.19246781  -0.11953529]
 [  1.53492129  10.17762435   0.           0.        ]]","[ 0.27163377 -0.43438343 -1.36000093 -0.87577533 -1.66042445 -1.02955568
  0.15173687  1.82980152  0.81266644  0.82536302  0.        ]",[-0.2797794  -0.22713089]
