timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
0,"[[-0.08565973  0.00941678 -0.07216257  0.02429911]
 [-0.00412412 -0.00058993  0.          0.        ]]",-0.284480428351,"[ 1.18334628  2.34557552 -0.16370066  0.76957943 -0.63665486  0.20327196
 -0.14812609  0.36602177  1.86160355 -0.34354968  0.        ]",[-0.40977105  0.02585847],-1.40172,[ 1.56817867 -3.18276018],[ 1.03881788 -3.93993998]
1,"[[-0.04603544 -0.03033819 -0.07216257  0.02429911]
 [ 3.95337065 -3.96170009  0.          0.        ]]",-0.284193727399,"[ 1.18693592  2.34496342 -0.10500875  0.62483506 -0.63665401  0.20327176
 -0.05270466 -0.15413736  1.86349646 -0.30949042  0.        ]",[-0.40977105  0.02585847],-1.62379,[ 1.56154814 -1.43378434],[ 1.05073905 -3.98071194]
2,"[[ 0.07195316 -0.14852811 -0.07216257  0.02429911]
 [ 7.83257611 -7.84434014  0.          0.        ]]",-0.282736268686,"[ 1.18482767  2.32978756  0.07003176  0.19643541 -0.63665316  0.20327156
  0.04082909 -0.66399178  1.86235843 -0.20769226  0.        ]",[-0.40977105  0.02585847],-1.36922,[ 0.31942626 -3.02880706],[ 1.02067029 -4.06807566]
3,"[[  0.23974384  -0.34358823  -0.07216257   0.02429911]
 [  8.94279842 -11.64897527   0.           0.        ]]",-0.278966414849,"[ 1.14898075  2.26159976  0.31581339 -0.49135832 -0.63665231  0.20327135
  0.06759827 -1.16360142  1.84132048 -0.09030449  0.        ]",[-0.40977105  0.02585847],-1.26168,[ 1.43884887 -3.77933455],[ 0.98635447 -4.18330765]
4,"[[  0.4565327   -0.6139937   -0.07216257   0.02429911]
 [ 12.72355837 -15.37907034   0.           0.        ]]",-0.270572914977,"[ 1.04727205  2.0831005   0.61774259 -1.36261249 -0.63665146  0.20327115
  0.1587584  -1.65341927  1.78163072  0.03502451  0.        ]",[-0.40977105  0.02585847],-1.25381,[ 0.66673338 -3.09640122],[ 0.92599499 -4.31578875]
5,"[[  0.7349617   -0.95825077  -0.07216257   0.02429911]
 [ 15.11145845 -19.03436293   0.           0.        ]]",-0.254284662019,"[ 0.83268941  1.73473336  0.95876668 -2.24398783 -0.63665061  0.20327095
  0.2163344  -2.13340813  1.65753793  0.17224593  0.        ]",[-0.40977105  0.02585847],-0.698855,[-0.45072328 -5.17438388],[ 0.79702091 -4.41513252]
6,"[[  1.01631394  -1.37487126  -0.07216257   0.02429911]
 [ 13.03051396 -22.61579593   0.           0.        ]]",-0.228888829714,"[ 0.53595227  1.18822585  1.22540613 -2.83633697 -0.63664976  0.20327075
  0.16615919 -2.60368842  1.46857371  0.2044316   0.        ]",[-0.40977105  0.02585847],-1.02193,[ 0.43690549 -2.52102876],[ 0.70412254 -4.33938122]
7,"[[  1.29169512e+00  -1.86241740e+00  -7.21625665e-02   2.42991062e-02]
 [  1.45026851e+01  -2.61270626e+01   0.00000000e+00   0.00000000e+00]]",-0.192678826437,"[ 0.19008136  0.49527671  1.39037821 -2.75224084 -0.6366489   0.20327055
  0.20165553 -3.06474118  1.20829324  0.12040817  0.        ]",[-0.40977105  0.02585847],-0.629624,[ 1.62418987 -4.31448316],[ 0.67828786 -4.02088976]
8,"[[  1.61859132e+00  -2.41948989e+00  -7.21625665e-02   2.42991062e-02]
 [  1.81748105e+01  -2.95686398e+01   0.00000000e+00   0.00000000e+00]]",-0.143993092467,"[-0.25535294 -0.16998333  1.4461247  -1.67144991 -0.63664805  0.20327035
  0.29019648 -3.51662464  0.85436144 -0.01622943  0.        ]",[-0.40977105  0.02585847],-0.506965,[ 1.09669919 -3.22872507],[ 0.7319473 -3.4884491]
9,"[[  2.01820494e+00  -3.04470865e+00  -7.21625665e-02   2.42991062e-02]
 [  2.17747869e+01  -2.70010750e+01   0.00000000e+00   0.00000000e+00]]",-0.0903869059125,"[-0.78564574 -0.5219233   1.30169682  0.38306833 -0.6366472   0.20327015
  0.37699777 -3.17943682  0.42889825 -0.23121338  0.        ]",[-0.40977105  0.02585847],-0.371581,[ 0.56310531 -2.01560384],[ 0.92685187 -2.82113886]
10,"[[  2.47176102  -3.23181213  -0.07216257   0.02429911]
 [ 23.57445883   0.70472385   0.           0.        ]]",-0.0823708751651,"[-1.26969641 -0.52281738  0.88496423  1.06336362 -0.63664635  0.20326995
  0.42039055  0.45865819  0.33160781 -0.32386468  0.        ]",[-0.40977105  0.02585847],-0.0119214,[ 1.98824179 -3.68590843],[ 1.14735878 -2.81856155]
11,"[[  2.97829542e+00  -3.16623592e+00  -7.21625665e-02   2.42991062e-02]
 [  2.70672682e+01   4.17534170e+00   0.00000000e+00   0.00000000e+00]]",-0.0864685260145,"[-1.5490907  -0.52822518  0.20463454  0.82501795 -0.6366455   0.20326974
  0.5046078   0.91438967  0.39695443 -0.23680684  0.        ]",[-0.40977105  0.02585847],-0.100376,[ 1.61737183 -2.7464186 ],[ 1.13107133 -3.02162409]
12,"[[  3.55398909e+00  -3.09261190e+00  -7.21625665e-02   2.42991062e-02]
 [  3.04906687e+01   2.97907444e+00   0.00000000e+00   0.00000000e+00]]",-0.0805595064968,"[-1.45189752 -0.52693733 -0.63171363  0.55701254 -0.63664465  0.20326954
  0.58715138  0.7573045   0.37912506 -0.12052409  0.        ]",[-0.40977105  0.02585847],-0.169286,[ 0.86686832 -1.70341678],[ 1.0525533  -3.11956978]
13,"[[  4.19218147e+00  -3.04727911e+00  -7.21625665e-02   2.42991062e-02]
 [  3.33191456e+01   1.62822378e+00   0.00000000e+00   0.00000000e+00]]",-0.0687617638735,"[-0.8744117  -0.52227336 -1.32484987  0.3923806  -0.6366438   0.20326934
  0.65535018  0.57992104  0.29731095 -0.08111826  0.        ]",[-0.40977105  0.02585847],0.0672913,[ 1.89988672 -4.00543138],[ 0.92232049 -3.08891964]
14,"[[  4.89167048e+00  -3.02386832e+00  -7.21625665e-02   2.42991062e-02]
 [  3.66187649e+01   7.95524387e-01   0.00000000e+00   0.00000000e+00]]",-0.0603866931975,"[ 0.05620281 -0.51871257 -1.49743011  0.30761566 -0.63664295  0.20326914
  0.73490894  0.47057711  0.22331866 -0.13840219  0.        ]",[-0.40977105  0.02585847],-0.196724,[ 0.74150725 -1.56180837],[ 0.74577725 -2.99296379]
15,"[[  5.64622822e+00  -3.01276863e+00  -7.21625665e-02   2.42991062e-02]
 [  3.88296458e+01   3.65294927e-01   0.00000000e+00   0.00000000e+00]]",-0.0640472781128,"[ 0.91820204 -0.5167505  -0.91962257  0.26750521 -0.6366421   0.20326894
  0.78821612  0.41408233  0.2134827  -0.24864405  0.        ]",[-0.40977105  0.02585847],-0.26878,[ 1.29096167 -1.44240937],[ 0.56207865 -2.82538939]
16,"[[  6.45483325e+00  -3.00776556e+00  -7.21625665e-02   2.42991062e-02]
 [  4.20202271e+01   1.61260212e-01   0.00000000e+00   0.00000000e+00]]",-0.0771513447384,"[ 1.16814559 -0.51580836  0.21686574  0.24944424 -0.63664125  0.20326874
  0.86514548  0.38728967  0.28188042 -0.33551794  0.        ]",[-0.40977105  0.02585847],0.132755,[ 0.00748339 -4.73901146],[ 0.55623817 -2.66759062]
17,"[[  7.28718872e+00  -3.00558465e+00  -7.21625665e-02   2.42991062e-02]
 [  4.12179954e+01   6.92739055e-02   0.00000000e+00   0.00000000e+00]]",-0.0893236156458,"[ 0.55032496 -0.51538615  1.21568171  0.24157483 -0.6366404   0.20326854
  0.84580081  0.37521033  0.38541393 -0.33190992  0.        ]",[-0.40977105  0.02585847],-0.312929,[ 0.68695118 -0.82613468],[ 0.79717362 -2.70644212]
18,"[[  8.13065073e+00  -3.00447183e+00  -7.21625665e-02   2.42991062e-02]
 [  4.31218603e+01   4.19164629e-02   0.00000000e+00   0.00000000e+00]]",-0.0936219954034,"[-0.56589357 -0.51516781  1.39136124  0.23756024 -0.63663955  0.20326833
  0.891705    0.37161756  0.45244938 -0.23616687  0.        ]",[-0.40977105  0.02585847],-0.163591,[ 1.99096439 -2.49797047],[ 1.04838252 -2.92955875]
19,"[[  9.02424769e+00  -3.00403896e+00  -7.21625665e-02   2.42991062e-02]
 [  4.62274877e+01   8.74718358e-03   0.00000000e+00   0.00000000e+00]]",-0.0874085471989,"[-1.45836324 -0.51508202  0.54211915  0.23599864 -0.63663869  0.20326813
  0.96658567  0.36726162  0.43208607 -0.10714555  0.        ]",[-0.40977105  0.02585847],-0.0282781,[ 0.17863722 -2.99960473],[ 1.15574622 -3.1178484 ]
20,"[[  9.94671188e+00  -3.00396400e+00  -7.21625665e-02   2.42991062e-02]
 [  4.60196235e+01   7.63088645e-04   0.00000000e+00   0.00000000e+00]]",-0.0727192422505,"[-1.38395548 -0.51506662 -0.7768251   0.23572802 -0.63663784  0.20326793
  0.96157192  0.36621282  0.33035293 -0.04527502  0.        ]",[-0.40977105  0.02585847],0.248096,[ 1.8592388  -4.84258694],[ 1.03141689 -3.16341829]
