timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
0,"[[ 0.05150164 -0.00046221  0.05730834 -0.15015547]
 [-0.00322861  0.00353225  0.          0.        ]]",-0.22164002567,"[ 1.18079891  2.31657205  0.03878182  0.72177478  0.48290447 -1.29663579
 -0.15974245  0.36462942  0.91157128  1.400342    0.        ]",[-0.38826555 -0.00132815],-0.651021,[-1.66708885 -5.1681693 ],[-1.69384372 -3.14120007]
1,"[[ 0.01176265 -0.04010466  0.05730834 -0.15015547]
 [-3.95751106 -3.95459094  0.          0.        ]]",-0.212763421041,"[ 1.18252758  2.31540913 -0.02025515  0.58049951  0.48290384 -1.29663206
 -0.25887376 -0.15647082  0.91321398  1.29099754  0.        ]",[-0.38826555 -0.00132815],-1.00925,[-0.88538506 -2.11475102],[-1.61788738 -3.10525656]
2,"[[-0.1017288  -0.15812534  0.05730834 -0.15015547]
 [-7.38026487 -7.83454663  0.          0.        ]]",-0.185831263568,"[ 1.17549604  2.29874047 -0.18869454  0.16210046  0.4829032  -1.29662833
 -0.34467992 -0.6672797   0.88279881  0.97682268  0.        ]",[-0.38826555 -0.00132815],-0.579503,[-0.60158026 -3.69492219],[-1.35582149 -3.00480556]
3,"[[ -0.27173434  -0.35297863   0.05730834  -0.15015547]
 [ -9.61294369 -11.63809556   0.           0.        ]]",-0.141162080888,"[ 1.13205593  2.22856078 -0.43670904 -0.50886993  0.48290256 -1.29662461
 -0.40065152 -1.16802774  0.73479472  0.52243786  0.        ]",[-0.38826555 -0.00132815],-0.46957,[-0.79047854 -2.24602229],[-0.99913013 -2.81503153]
4,"[[ -0.49345568  -0.62314364   0.05730834  -0.15015547]
 [-12.54963412 -15.36595427   0.           0.        ]]",-0.0791248941962,"[ 1.01822767  2.0483472  -0.74183377 -1.35689345  0.48290192 -1.29662088
 -0.47427227 -1.65880698  0.37475765  0.04840003  0.        ]",[-0.38826555 -0.00132815],-0.371317,[-0.48077856 -1.73585451],[-0.72854793 -2.53137541]
5,"[[ -0.76105061  -0.96712774   0.05730834  -0.15015547]
 [-14.20469084 -19.02023983   0.           0.        ]]",-0.0275360999723,"[ 0.80245447  1.6996612  -1.06292336 -2.21122054  0.48290128 -1.29661715
 -0.51576305 -2.13989302 -0.21890222 -0.22200387  0.        ]",[-0.38826555 -0.00132815],-0.238464,[-1.4452397  -1.91112045],[-0.74820006 -2.21321416]
6,"[[ -1.08205513  -1.38346298   0.05730834  -0.15015547]
 [-17.8840692  -22.60129406   0.           0.        ]]",-0.0964096328257,"[ 0.45163284  1.15544645 -1.35016675 -2.77885362  0.48290064 -1.29661342
 -0.60800249 -2.61132701 -0.90663231 -0.0455883   0.        ]",[-0.38826555 -0.00132815],0.026166,[-1.5032243  -3.26998801],[-0.88037717 -1.87332225]
7,"[[ -1.47595049  -1.87070495   0.05730834  -0.15015547]
 [-21.49395008 -26.11117717   0.           0.        ]]",-0.171812421603,"[-0.06483723  0.46820598 -1.51750882 -2.68208239  0.4829     -1.29660969
 -0.6984995  -3.07337571 -1.34093093  0.64316893  0.        ]",[-0.38826555 -0.00132815],-0.504349,[-1.11159424 -1.23740499],[-1.22500277 -2.0179987 ]
8,"[[ -1.94134983  -2.42744746   0.05730834  -0.15015547]
 [-25.03423946 -29.55168869   0.           0.        ]]",-0.206917552748,"[-0.6943317  -0.18842698 -1.42329456 -1.6112924   0.48289936 -1.29660597
 -0.78725168 -3.52627103 -1.158404    1.39686079  0.        ]",[-0.38826555 -0.00132815],-0.770118,[-1.96519184 -2.16597382],[-1.36327791 -2.0249896 ]
9,"[[ -2.47683856  -3.05232527   0.05730834  -0.15015547]
 [-28.50196757 -26.95516255   0.           0.        ]]",-0.17302895749,"[-1.2798701  -0.53137436 -0.95466909  0.40564947  0.48289873 -1.29660224
 -0.87418452 -3.18440242 -0.61166934  1.42494728  0.        ]",[-0.38826555 -0.00132815],-0.888528,[-1.90193433 -1.4709743 ],[-1.26412559 -1.95993829]
10,"[[ -3.08092671  -3.23707256   0.05730834  -0.15015547]
 [-31.89580961   0.84434749   0.           0.        ]]",-0.146740307752,"[-1.57073811 -0.530556   -0.12784502  1.06326183  0.48289809 -1.29659851
 -0.95926478  0.4753441  -0.54885681  1.21094787  0.        ]",[-0.38826555 -0.00132815],-0.632503,[-1.40832884 -3.2892866 ],[-0.94195843 -1.7124691 ]
11,"[[ -3.75223085  -3.16907818   0.05730834  -0.15015547]
 [-35.2235913    4.271935     0.           0.        ]]",-0.15064294443,"[-1.32424964 -0.53651499  0.81459874  0.82139073  0.48289745 -1.29659478
 -1.04268857  0.92657733 -0.57679253  1.2350377   0.        ]",[-0.38826555 -0.00132815],-0.696111,[-0.5894078  -0.03374195],[-0.93038023 -1.68944526]
12,"[[ -4.4731207   -3.08563188   0.05730834  -0.15015547]
 [-36.85992328   4.06353721   0.           0.        ]]",-0.150279334875,"[-0.52188433 -0.53481968  1.40638638  0.5240519   0.48289681 -1.29659106
 -1.08370822  0.89914043 -0.56170142  1.23797889  0.        ]",[-0.38826555 -0.00132815],-0.634058,[-1.59156491 -2.34556141],[-0.93495202 -1.66732192]
13,"[[ -5.24272346  -3.03420172   0.05730834  -0.15015547]
 [-40.08957226   1.50198194   0.           0.        ]]",-0.145612560029,"[ 0.50167278 -0.52883291  1.24454649  0.34135357  0.48289617 -1.29658733
 -1.16467123  0.56191586 -0.58224816  1.18645006  0.        ]",[-0.38826555 -0.00132815],-0.513676,[-0.01644668 -0.75030174],[-0.96100068 -1.66774011]
14,"[[ -6.03720551  -3.01491919   0.05730834  -0.15015547]
 [-39.36106005   0.57401141   0.           0.        ]]",-0.148361733113,"[ 1.14114431 -0.52561979  0.32423248  0.27308944  0.48289553 -1.2965836
 -1.1464049   0.43974969 -0.66233202  1.17224084  0.        ]",[-0.38826555 -0.00132815],-0.476347,[-1.50063271 -1.81875701],[-1.00180054 -1.70961022]
15,"[[ -6.85633351  -3.00781616   0.05730834  -0.15015547]
 [-42.54114177   0.20097916   0.           0.        ]]",-0.160225059058,"[ 0.96242078 -0.52430304 -0.84380726  0.24798392  0.48289489 -1.29657987
 -1.22612488  0.39064016 -0.73610183  1.24350269  0.        ]",[-0.38826555 -0.00132815],-0.506342,[-1.64862216 -1.37759386],[-1.0561955  -1.79775977]
16,"[[ -7.73843149  -3.00533072   0.05730834  -0.15015547]
 [-45.65826762   0.07026305   0.           0.        ]]",-0.173541023506,"[-0.03645991 -0.52382497 -1.51427292  0.23920458  0.48289426 -1.29657615
 -1.30426605  0.37343114 -0.73862535  1.36961895  0.        ]",[-0.38826555 -0.00132815],-0.576221,[-1.43453755 -2.41534949],[-1.06195354 -1.81732094]
17,"[[ -8.68225284e+00  -3.00446237e+00   5.73083425e-02  -1.50155466e-01]
 [ -4.87136854e+01   2.45255617e-02   0.00000000e+00   0.00000000e+00]]",-0.178027820139,"[-1.21054746 -0.52365542 -1.0427938   0.23613783  0.48289362 -1.29657242
 -1.38085965  0.36740942 -0.6485071   1.4552773   0.        ]",[-0.38826555 -0.00132815],-0.68507,[-0.44556389 -0.66014073],[-1.02490735 -1.77777958]
18,"[[ -9.66455076e+00  -3.00379901e+00   5.73083425e-02  -1.50155466e-01]
 [ -4.95134416e+01   3.34531857e-02   0.00000000e+00   0.00000000e+00]]",-0.168817316487,"[-1.53384777 -0.52352501  0.31528338  0.23379526  0.48289298 -1.29656869
 -1.4009047   0.36858428 -0.53256371  1.41570275  0.        ]",[-0.38826555 -0.00132815],-0.806724,[-1.97206665 -1.89609601],[-0.98549008 -1.73262072]
19,"[[ -1.06847099e+01  -3.00360656e+00   5.73083425e-02  -1.50155466e-01]
 [ -5.24925419e+01  -3.59192149e-03   0.00000000e+00   0.00000000e+00]]",-0.151673379936,"[-0.61680948 -0.52348656  1.37748562  0.23311549  0.48289234 -1.29656496
 -1.47558418  0.3637069  -0.49703778  1.27406958  0.        ]",[-0.38826555 -0.00132815],-0.630621,[-0.66856246 -1.67089064],[-0.95336783 -1.6746372 ]
20,"[[ -1.17506930e+01  -3.00373661e+00   5.73083425e-02  -1.50155466e-01]
 [ -5.41004089e+01  -7.17136542e-03   0.00000000e+00   0.00000000e+00]]",-0.143218518658,"[ 0.7490889  -0.52351135  1.04469576  0.23357438  0.4828917  -1.29656124
 -1.51588717  0.36323522 -0.5868345   1.16222163  0.        ]",[-0.38826555 -0.00132815],-0.499314,[-1.32806974 -0.20652347],[-0.9675256  -1.66664124]
21,"[[ -1.28616803e+01  -3.00301687e+00   5.73083425e-02  -1.50155466e-01]
 [ -5.69886975e+01   5.33542664e-02   0.00000000e+00   0.00000000e+00]]",-0.155070825685,"[ 1.12297439 -0.52336915 -0.47034212  0.23103298  0.48289106 -1.29655751
 -1.58828888  0.37120291 -0.7173916   1.2048805   0.        ]",[-0.38826555 -0.00132815],-0.410896,[-0.44682573 -2.63153245],[-1.03152883 -1.75781131]
22,"[[ -1.40078850e+01  -3.00288582e+00   5.73083425e-02  -1.50155466e-01]
 [ -5.76296387e+01  -1.78839196e-02   0.00000000e+00   0.00000000e+00]]",-0.173429554541,"[-0.01767671 -0.5233426  -1.51177872  0.23057007  0.48289043 -1.29655378
 -1.60435073  0.36182403 -0.74123029  1.36710188  0.        ]",[-0.38826555 -0.00132815],-0.533234,[-0.89420325 -2.8016493 ],[-1.05495882 -1.80449903]
