timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
0,[-0.41557011  0.05335318],-0.107163186826,"[ 1.1909806   2.35925154 -0.03887654  0.55505818  1.61959853 -0.9529337
 -0.15779423  0.3680559  -0.04274105  0.9214336   0.        ]","[[  1.22003455e-03  -5.27554151e-02   1.86021681e-01  -1.10023922e-01]
 [ -1.84469966e-05   4.00531633e-03   0.00000000e+00   0.00000000e+00]]",-0.571413,[ 0.15943973 -1.18987687],[-0.29697433 -1.19678712]
1,[-0.41557011  0.05335318],-0.104163991778,"[ 1.19093968  2.35509019 -0.0294604   0.4085781   1.61959334 -0.95293209
 -0.14275233 -0.15144223 -0.04459308  0.89507263  0.        ]","[[ 0.00756334 -0.09240641  0.18602168 -0.11002392]
 [ 0.63223794 -3.95590618  0.          0.        ]]",-0.610474,[-1.78821489 -1.10003947],[-0.27342597 -1.18605709]
2,[-0.41557011  0.05335318],-0.0856186950043,"[ 1.19071216  2.32940363 -0.06977045 -0.023431    1.61958815 -0.95293048
 -0.23712832 -0.66042206 -0.06307636  0.73381633  0.        ]","[[-0.01959317 -0.21045114  0.18602168 -0.11002392]
 [-3.33470896 -7.83564322  0.          0.        ]]",-0.514634,[ 0.06588711 -0.50495997],[-0.17398044 -1.11398149]
3,[-0.41557011  0.05335318],-0.0533608892477,"[ 1.18623184  2.2552575  -0.16376132 -0.64306761  1.61958296 -0.95292887
 -0.22934537 -0.90238854 -0.13127171  0.46370911  0.        ]","[[-0.08300482 -0.38566964  0.18602168 -0.11002392]
 [-3.00757495 -9.68005796  0.          0.        ]]",-0.420074,[ 1.39156707 -0.85956518],[-0.09756394 -1.06978559]
4,[-0.41557011  0.05335318],-0.0279022196874,"[ 1.18369177  2.09978824 -0.19310464 -1.3762265   1.61957777 -0.95292726
 -0.13379155 -1.32394021 -0.24298819  0.25108066  0.        ]","[[ -0.10285822  -0.61151134   0.18602168  -0.11002392]
 [  1.00885905 -12.8933844    0.           0.        ]]",-0.365223,[-0.24619218 -0.4803886 ],[-0.17002782 -1.16724682]
5,[-0.41557011  0.05335318],-0.0267886217096,"[ 1.18506117  1.83119272 -0.17802751 -2.11846352  1.61957258 -0.95292566
 -0.1574382  -1.53994558 -0.40155831  0.09236237  0.        ]","[[ -0.09265278  -0.88589931   0.18602168  -0.11002392]
 [  0.01490809 -14.53993385   0.           0.        ]]",-0.375535,[ 0.00969592 -0.96190125],[-0.26531982 -1.28427339]
6,[-0.41557011  0.05335318],-0.0576827083992,"[ 1.18514516  1.42515306 -0.17702015 -2.71794958  1.61956739 -0.95292405
 -0.15653268 -2.00183882 -0.63939018 -0.03661768  0.        ]","[[ -0.09197138  -1.21202416   0.18602168  -0.11002392]
 [  0.05296421 -18.0608158    0.           0.        ]]",-0.476354,[-0.26851735 -0.58377552],[-0.45050827 -1.46091664]
7,[-0.41557011  0.05335318],-0.100530852414,"[ 1.18386182  0.88683192 -0.19123827 -2.95287491  1.6195622  -0.95292244
 -0.1818665  -2.2581332  -0.95256734 -0.0716242   0.        ]","[[ -0.10159466  -1.59284265   0.18602168  -0.11002392]
 [ -1.01190335 -20.0145362    0.           0.        ]]",-0.607407,[-0.57286965 -1.8357025 ],[-0.66973329 -1.65102208]
8,[-0.41557011  0.05335318],-0.14947981625,"[ 1.17662675  0.28068499 -0.25429272 -2.57186038  1.61955701 -0.95292083
 -0.23537957 -2.72554369 -1.31444619  0.05302903  0.        ]","[[ -0.14439826  -2.0288823    0.18602168  -0.11002392]
 [ -3.26123388 -23.57758347   0.           0.        ]]",-0.676333,[-1.446398   -1.91627397],[-0.9515506  -1.86104453]
9,[-0.41557011  0.05335318],-0.197793140073,"[ 1.14857502 -0.26696089 -0.4061022  -1.35978469  1.61955182 -0.95291922
 -0.32809062 -3.18369683 -1.62828179  0.41899655  0.        ]","[[ -0.2487206   -2.53547583   0.18602168  -0.11002392]
 [ -7.15817886 -27.07016954   0.           0.        ]]",-0.864773,[-0.07949604 -0.03828774],[-1.17645216 -2.00734997]
10,[-0.41557011  0.05335318],-0.224886998346,"[ 1.08561475 -0.52053939 -0.61004721  0.49659747  1.61954663 -0.95291762
 -0.33223899 -2.51381917 -1.67057908  0.94168999  0.        ]","[[ -0.39364009  -3.07302223   0.18602168  -0.11002392]
 [ -7.33256113 -21.96400056   0.           0.        ]]",-0.955519,[-1.21328579 -1.66406877],[-1.15040898 -1.93563271]
11,[-0.41557011  0.05335318],-0.225518736831,"[ 0.96680048 -0.51996954 -0.85238935  1.02464282  1.61954145 -0.95291601
 -0.42295557  0.52906801 -1.6051329   1.08348761  0.        ]","[[ -0.57854673  -3.21569943   0.18602168  -0.11002392]
 [-11.14567125   1.23120436   0.           0.        ]]",-1.12087,[-1.67768859 -0.53549593],[-0.88918424 -1.74604678]
12,[-0.41557011  0.05335318],-0.225337644173,"[ 0.73398564 -0.52387677 -1.14504155  0.78169758  1.61953626 -0.9529144
 -0.51189827  0.88113604 -1.62584102  1.04165986  0.        ]","[[ -0.83896961  -3.15004466   0.18602168  -0.11002392]
 [-14.88422252   3.91494345   0.           0.        ]]",-1.17049,[ 1.05528597 -1.44378558],[-0.85426593 -1.75606513]
13,[-0.41557011  0.05335318],-0.227862327917,"[ 0.44574294 -0.52142021 -1.35954425  0.53208311  1.61953107 -0.95291279
 -0.41069363  0.71938992 -1.6584268   1.02007352  0.        ]","[[ -1.09397313  -3.08262274   0.18602168  -0.11002392]
 [-10.63031006   2.6819999    0.           0.        ]]",-1.18454,[-1.21038195 -1.49597705],[-0.86769128 -1.81666565]
14,[-0.41557011  0.05335318],-0.230563250194,"[ 0.12303921 -0.51679552 -1.48716932  0.38252182  1.61952588 -0.95291118
 -0.49988259  0.55707592 -1.67710404  1.02880939  0.        ]","[[ -1.34419328  -3.04211636   0.18602168  -0.11002392]
 [-14.37920653   1.44472564   0.           0.        ]]",-1.21392,[-0.48703647 -1.66275214],[-0.86878288 -1.8464824 ]
