timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
0,"[[ 0.09682497  0.05932111 -0.05402323 -0.05468652]
 [ 0.00363604 -0.00263763  0.          0.        ]]",-0.274578415111,"[ 1.15820867  2.18885022  0.09773288  0.88264849 -0.45735286 -0.48983877
 -0.22071654  0.35309918  1.6542294   0.71626793  0.        ]",[-0.29814976 -0.04083458],-1.16783,[-0.63527796 -2.19457547],[-0.37409425 -2.64328337]
1,"[[ 0.0716979   0.01955085 -0.05402323 -0.05468652]
 [-2.50798445 -3.96119956  0.          0.        ]]",-0.272942614512,"[ 1.16111648  2.19099786  0.06032254  0.75160624 -0.45735197 -0.48983778
 -0.29602465 -0.17304786  1.66206687  0.63509855  0.        ]",[-0.29814976 -0.04083458],-1.05902,[ 0.57637368 -3.04784152],[-0.31451958 -2.66394663]
2,"[[ 0.04492759 -0.09862323 -0.05402323 -0.05468652]
 [-0.17681816 -7.84326681  0.          0.        ]]",-0.269090091285,"[ 1.16326056  2.1845218   0.02039191  0.36243214 -0.45735107 -0.4898368
 -0.22612628 -0.68902715  1.66533107  0.47751739  0.        ]",[-0.29814976 -0.04083458],-1.02809,[ 0.29708338 -3.17974673],[-0.19581187 -2.70320511]
3,"[[  0.05323194  -0.293663    -0.05402323  -0.05468652]
 [  1.00329814 -11.64802606   0.           0.        ]]",-0.262901482688,"[ 1.16269507  2.13202122  0.03278513 -0.26742181 -0.45735018 -0.48983582
 -0.19074115 -1.19472852  1.64342607  0.31269009  0.        ]",[-0.29814976 -0.04083458],-0.997019,[-0.4461935  -3.12900614],[-0.07325588 -2.7460289 ]
4,"[[  0.05539996  -0.56403091  -0.05402323  -0.05468652]
 [ -0.78066843 -15.37634922   0.           0.        ]]",-0.250034998778,"[ 1.16252856  1.97700847  0.03601971 -1.0758117  -0.45734928 -0.48983484
 -0.24423158 -1.69026425  1.56599226  0.08266973  0.        ]",[-0.29814976 -0.04083458],-1.16532,[ 1.18027469 -2.01336996],[ 0.10898063 -2.75426435]
5,"[[  0.07964142  -0.90824495  -0.05402323  -0.05468652]
 [  3.19158154 -19.03282578   0.           0.        ]]",-0.228799246819,"[ 1.16027181  1.6589702   0.07215757 -1.91285305 -0.45734839 -0.48983385
 -0.12512638 -2.17623945  1.40863808 -0.12982439  0.        ]",[-0.29814976 -0.04083458],-1.28123,[ 1.59652343  0.02419836],[ 0.17485839 -2.71778226]
6,"[[  0.18253028  -1.28416969  -0.05402323  -0.05468652]
 [  7.08452282 -18.5611396    0.           0.        ]]",-0.203670128386,"[ 1.141755    1.1992832   0.22450696 -2.47599976 -0.45734749 -0.48983287
 -0.0083992  -2.11352763  1.22202977 -0.18784935  0.        ]",[-0.29814976 -0.04083458],-0.837045,[ 1.00124233 -2.59199165],[ 0.06647743 -2.64078832]
7,"[[  0.36252422  -1.69143819  -0.05402323  -0.05468652]
 [ 10.90226356 -22.15362757   0.           0.        ]]",-0.174667856172,"[ 1.07512121  0.64189304  0.48317702 -2.58653411 -0.4573466  -0.48983189
  0.10607314 -2.59098018  1.0191629  -0.11475487  0.        ]",[-0.29814976 -0.04083458],-0.753344,[ 0.23920281 -1.90602971],[-0.18815979 -2.51718569]
8,"[[  0.58790703  -2.16983366  -0.05402323  -0.05468652]
 [ 11.63351393 -25.67417919   0.           0.        ]]",-0.136010791265,"[ 0.93340893  0.0285934   0.78199249 -2.03629458 -0.4573457  -0.4898309
  0.12799904 -3.05884826  0.74701231  0.02758444  0.        ]",[-0.29814976 -0.04083458],-0.596094,[ 1.11877746 -2.03205626],[-0.38446546 -2.28316212]
9,"[[  0.8579864   -2.71794092  -0.05402323  -0.05468652]
 [ 15.36210268 -29.12500804   0.           0.        ]]",-0.0915087714115,"[ 0.68808203 -0.45229352  1.08367742 -0.6684775  -0.45734481 -0.48982992
  0.23979833 -3.51741838  0.40230505  0.23722576  0.        ]",[-0.29814976 -0.04083458],-0.155097,[-0.02835969 -3.74588375],[-0.51455259 -1.97093451]
10,"[[  1.16105702  -3.16955187  -0.05402323  -0.05468652]
 [ 14.94671221  -7.51164765   0.           0.        ]]",-0.0657227889285,"[ 0.33609538 -0.57400624  1.32378546  0.77934103 -0.45734391 -0.48982894
  0.22734267 -0.64485947  0.09355107  0.43121029  0.        ]",[-0.29814976 -0.04083458],-0.254981,[-0.98654485 -0.83383364],[-0.43795502 -1.62632203]
11,"[[  1.41783824  -3.18052976  -0.05402323  -0.05468652]
 [ 10.74526359   3.0341679    0.           0.        ]]",-0.0660217409605,"[-0.00269258 -0.57349733  1.43001583  0.81551953 -0.45734302 -0.48982796
  0.10136397  0.75674802  0.11218626  0.41297559  0.        ]",[-0.29814976 -0.04083458],-0.173091,[-0.79817402 -1.41574259],[-0.27214742 -1.62800086]
12,"[[ 1.59890221 -3.1114794  -0.05402323 -0.05468652]
 [ 7.37234093  3.23923454  0.          0.        ]]",-0.0729049640407,"[ -2.51217961e-01  -5.73917297e-01   1.44686363e+00   5.87862298e-01
  -4.57342122e-01  -4.89826972e-01   2.28243368e-04   7.84000716e-01
   1.82646416e-01   4.05967930e-01   0.00000000e+00]",[-0.29814976 -0.04083458],-0.166981,[-1.01403671 -1.72711793],[-0.18688414 -1.66544151]
13,"[[ 1.70515906 -3.05923673 -0.05402323 -0.05468652]
 [ 3.26702642  1.97432154  0.          0.        ]]",-0.0792470415903,"[-0.39699737 -0.569856    1.43397936  0.41587557 -0.45734123 -0.48982599
 -0.12286795  0.61588372  0.23136976  0.41893047  0.        ]",[-0.29814976 -0.04083458],-0.193013,[-1.00227402 -1.17484362],[-0.16153739 -1.69746017]
14,"[[ 1.73012525 -3.03011862 -0.05402323 -0.05468652]
 [-0.75699176  1.01513718  0.          0.        ]]",-0.0825756648889,"[-0.43100779 -0.56595858  1.42851417  0.3203076  -0.45734033 -0.48982501
 -0.24352648  0.48840043  0.25523531  0.42803441  0.        ]",[-0.29814976 -0.04083458],-0.205333,[-0.25169264 -0.3819008 ],[-0.17106596 -1.71264911]
15,"[[ 1.70513709 -3.0150966  -0.05402323 -0.05468652]
 [-1.73855187  0.52543273  0.          0.        ]]",-0.0837755726479,"[-0.39696577 -0.56349148  1.43396962  0.27112039 -0.45733944 -0.48982402
 -0.27295782  0.4233144   0.26535956  0.42867616  0.        ]",[-0.29814976 -0.04083458],-0.129053,[-1.8789396  -2.50974888],[-0.18397024 -1.7183969 ]
16,"[[ 1.63098636 -3.00830283 -0.05402323 -0.05468652]
 [-5.66343868  0.20413699  0.          0.        ]]",-0.0833774387564,"[-0.29535432 -0.56227337  1.44471946  0.2489052  -0.45733854 -0.48982304
 -0.39064397  0.38061113  0.26653629  0.42064522  0.        ]",[-0.29814976 -0.04083458],-0.115654,[ 0.01904652 -3.0874535 ],[-0.22543448 -1.71330571]
