timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
16,[-0.41461217  0.05689673],-0.139650875775,"[-0.5524003  -0.5119458   1.39060055  0.25837858 -0.54705877  0.94137672
  0.97918111  0.39206289  0.37308247 -0.98471338  0.        ]","[[  8.12266174  -3.0083855   -0.06409487   0.10923592]
 [ 47.70621078   0.18835579   0.           0.        ]]",-0.286269,[ 2.80151556 -3.55559918],[ 1.31924391 -3.03502584]
17,[-0.41461217  0.05689673],-0.124729081463,"[-1.49520624 -0.5114535   0.42314892  0.24905964 -0.54705813  0.94137513
  1.05115954  0.37793275  0.3488818  -0.84380738  0.        ]","[[  9.10703506  -3.00584146  -0.06409487   0.10923592]
 [ 50.72107544   0.08068596   0.           0.        ]]",0.0178978,[ 1.68989526 -5.25259109],[ 1.4232651  -3.22787952]
18,[-0.41461217  0.05689673],-0.110344861893,"[-1.21652002 -0.51124132 -1.02654923  0.2451032  -0.54705749  0.94137353
  1.12171287  0.37179386  0.22812288 -0.79286689  0.        ]","[[  1.01511069e+01  -3.00476113e+00  -6.40948703e-02   1.09235917e-01]
 [  5.36762628e+01   3.39100922e-02   0.00000000e+00   0.00000000e+00]]",-0.131578,[ 0.54600012 -3.38696389],[ 1.31267536 -3.26402307]
19,[-0.41461217  0.05689673],-0.114365864017,"[ 0.1407762  -0.5111519  -1.48256771  0.24345144 -0.54705685  0.94137194
  1.14795337  0.36918643  0.12903488 -0.89793862  0.        ]","[[  1.12356605e+01  -3.00431010e+00  -6.40948703e-02   1.09235917e-01]
 [  5.47754337e+01   1.40441609e-02   0.00000000e+00   0.00000000e+00]]",-0.301885,[-0.39405114 -2.04396218],[ 1.11545098 -3.02972293]
20,[-0.41461217  0.05689673],-0.131958160474,"[ 1.14373781 -0.51111465 -0.42476652  0.24277099 -0.54705622  0.94137034
  1.08481286  0.36809688  0.1598468  -1.04941773  0.        ]","[[  1.23046358e+01  -3.00412432e+00  -6.40948703e-02   1.09235917e-01]
 [  5.21309112e+01   5.74464304e-03   0.00000000e+00   0.00000000e+00]]",-0.483599,[ 1.92673606 -2.46475355],[ 1.03964841 -2.60934544]
21,[-0.41461217  0.05689673],-0.143690229817,"[ 0.76270884 -0.5110991   1.03482673  0.24249344 -0.54705558  0.94136875
  1.15469976  0.36764893  0.28691247 -1.08993789  0.        ]","[[  1.33766244e+01  -3.00404858e+00  -6.40948703e-02   1.09235917e-01]
 [  5.50581935e+01   2.33408110e-03   0.00000000e+00   0.00000000e+00]]",-0.232023,[ 1.2126627  -3.79140441],[ 1.10935223 -2.66767383]
22,[-0.41461217  0.05689673],-0.138572185484,"[-0.68408644 -0.51109245  1.34371698  0.24238077 -0.54705494  0.94136715
  1.22320276  0.36746621  0.37908337 -0.96802861  0.        ]","[[  1.45065772e+01  -3.00401787e+00  -6.40948703e-02   1.09235917e-01]
 [  5.79275263e+01   9.44570857e-04   0.00000000e+00   0.00000000e+00]]",-0.387588,[ 0.98277549 -1.7879417 ],[ 1.32490563 -3.1290679 ]
23,[-0.41461217  0.05689673],-0.119419256895,"[-1.56399063 -0.51108941 -0.01793158  0.24233503 -0.5470543   0.94136556
  1.28872102  0.36739217  0.31951857 -0.81229647  0.        ]","[[  1.56926626e+01  -3.00400544e+00  -6.40948703e-02   1.09235917e-01]
 [  6.06718597e+01   3.83252212e-04   0.00000000e+00   0.00000000e+00]]",-0.0565689,[ 2.38403138 -4.47416408],[ 1.41811121 -3.2839725 ]
24,[-0.41461217  0.05689673],-0.109361454276,"[-0.65256399 -0.51108783 -1.43768106  0.24231622 -0.54705366  0.94136397
  1.35456999  0.36736228  0.17004572 -0.82461792  0.        ]","[[  1.69337737e+01  -3.00400037e+00  -6.40948703e-02   1.09235917e-01]
 [  6.34300619e+01   1.58337507e-04   0.00000000e+00   0.00000000e+00]]",-0.213931,[-0.01091365 -2.34487631],[ 1.20487547 -3.2691524 ]
25,[-0.41461217  0.05689673],-0.125132692079,"[ 0.90120581 -0.51108685 -0.95106604  0.24230846 -0.54705303  0.94136237
  1.32355534  0.3673492   0.13214326 -0.9986561   0.        ]","[[  1.81893426e+01  -3.00399831e+00  -6.40948703e-02   1.09235917e-01]
 [  6.21311617e+01   6.15243533e-05   0.00000000e+00   0.00000000e+00]]",-0.383233,[ 0.18412204 -1.99469317],[ 1.02788115 -2.82615566]
26,[-0.41461217  0.05689673],-0.142380686082,"[ 0.96736391 -0.51108611  0.76965138  0.24230533 -0.54705239  0.94136078
  1.3115911   0.36734382  0.25738398 -1.09554893  0.        ]","[[  1.94269393e+01  -3.00399752e+00  -6.40948703e-02   1.09235917e-01]
 [  6.16301779e+01   2.33573267e-05   0.00000000e+00   0.00000000e+00]]",-0.486369,[ 1.34671847 -2.13586115],[ 1.06307328 -2.65127993]
27,[-0.41461217  0.05689673],-0.139774005783,"[-0.54973176 -0.51108546  1.39138758  0.24230381 -0.54705175  0.94135918
  1.37698686  0.36734221  0.37623725 -0.98335443  0.        ]","[[  2.06870265e+01  -3.00399716e+00  -6.40948703e-02   1.09235917e-01]
 [  6.43694088e+01   1.39522119e-05   0.00000000e+00   0.00000000e+00]]",-0.258348,[ 1.63690289 -3.19910189],[ 1.29822171 -3.13332987]
28,[-0.41461217  0.05689673],-0.119001549536,"[-1.56407862 -0.51108484 -0.05579421  0.24230267 -0.54705111  0.94135759
  1.4410875   0.36734148  0.3166957  -0.81027873  0.        ]","[[  2.20013542e+01  -3.00399692e+00  -6.40948703e-02   1.09235917e-01]
 [  6.70544128e+01   1.12602136e-05   0.00000000e+00   0.00000000e+00]]",-0.29628,[ 0.71499608 -2.20397089],[ 1.41678119 -3.31958914]
29,[-0.41461217  0.05689673],-0.110008785204,"[-0.46635721 -0.51108422 -1.49423785  0.24230173 -0.54705047  0.941356
  1.4769779   0.36734075  0.15692676 -0.83941988  0.        ]","[[  2.33575269e+01  -3.00399672e+00  -6.40948703e-02   1.09235917e-01]
 [  6.85578501e+01   8.50054213e-06   0.00000000e+00   0.00000000e+00]]",-0.247166,[ 1.94259088 -2.52778371],[ 1.17252767 -3.27419877]
30,[-0.41461217  0.05689673],-0.130032686444,"[ 1.09343928 -0.51108361 -0.58844628  0.24230085 -0.54704983  0.9413544
  1.5390981   0.36734048  0.15001756 -1.03609808  0.        ]","[[  2.47547915e+01  -3.00399655e+00  -6.40948703e-02   1.09235917e-01]
 [  7.11599378e+01   9.31924011e-06   0.00000000e+00   0.00000000e+00]]",-0.313099,[ 0.8845819  -2.86500207],[ 0.99187297 -2.80693793]
31,[-0.41461217  0.05689673],-0.144199623879,"[ 0.47909392 -0.51108299  1.25888732  0.24229994 -0.5470492   0.94135281
  1.58907777  0.36734009  0.31721065 -1.07465197  0.        ]","[[  2.61989961e+01  -3.00399636e+00  -6.40948703e-02   1.09235917e-01]
 [  7.32535397e+01   9.17167628e-06   0.00000000e+00   0.00000000e+00]]",-0.326601,[ 1.1453486  -3.07901771],[ 1.12801993 -2.88323617]
32,[-0.41461217  0.05689673],-0.129257451296,"[-1.33503535 -0.51108237  0.77921293  0.24229901 -0.54704856  0.94135121
  1.64897759  0.36733982  0.3680644  -0.87610473  0.        ]","[[  2.76892418e+01  -3.00399617e+00  -6.40948703e-02   1.09235917e-01]
 [  7.57626694e+01   1.00101952e-05   0.00000000e+00   0.00000000e+00]]",-0.220071,[ 0.9195567 -2.9303877],[ 1.41768551 -3.33979774]
33,[-0.41461217  0.05689673],-0.109237844256,"[-0.9861174  -0.51108176 -1.24957739  0.24229805 -0.54704792  0.94134962
  1.70008687  0.36733944  0.20000729 -0.80264077  0.        ]","[[  2.92259761e+01  -3.00399597e+00  -6.40948703e-02   1.09235917e-01]
 [  7.79036289e+01   9.95471679e-06   0.00000000e+00   0.00000000e+00]]",0.049341,[ 1.58971801 -4.72271718],[ 1.26061356 -3.4032023 ]
34,[-0.41461217  0.05689673],-0.126055236006,"[ 0.94410608 -0.51108114 -0.88817451  0.24229707 -0.54704728  0.94134803
  1.75778774  0.36733914  0.13478252 -1.00604977  0.        ]","[[  3.08083000e+01  -3.00399576e+00  -6.40948703e-02   1.09235917e-01]
 [  8.03207034e+01   1.05575595e-05   0.00000000e+00   0.00000000e+00]]",-0.145573,[ 0.99390305 -3.83171628],[ 0.98562801 -2.96137691]
35,[-0.41461217  0.05689673],-0.144184627221,"[ 0.53141546 -0.51108052  1.22611201  0.24229605 -0.54704664  0.94134643
  1.81376925  0.36733882  0.31226568 -1.07791867  0.        ]","[[  3.24382430e+01  -3.00399555e+00  -6.40948703e-02   1.09235917e-01]
 [  8.26657887e+01   1.09451034e-05   0.00000000e+00   0.00000000e+00]]",-0.529057,[ 0.52498153 -0.75973696],[ 1.10322797 -2.94150019]
36,[-0.41461217  0.05689673],-0.127102086151,"[-1.4200374  -0.51102947  0.62042748  0.24136221 -0.54704601  0.94134484
  1.82431635  0.36964855  0.36033677 -0.85939815  0.        ]","[[  3.40959942e+01  -3.00374056e+00  -6.40948703e-02   1.09235917e-01]
 [  8.31078531e+01   1.76138485e-02   0.00000000e+00   0.00000000e+00]]",-0.116869,[ 1.06190798 -3.57150052],[ 1.42774463 -3.39111853]
37,[-0.41461217  0.05689673],-0.109331224158,"[-0.65510132 -0.51101668 -1.43669094  0.24113632 -0.54704537  0.94134324
  1.87955596  0.36672861  0.16997399 -0.82434001  0.        ]","[[  3.57813688e+01  -3.00367893e+00  -6.40948703e-02   1.09235917e-01]
 [  8.54219011e+01  -4.63309873e-03   0.00000000e+00   0.00000000e+00]]",-0.176851,[ 1.08585575 -2.23909274],[ 1.1973567  -3.41552925]
38,[-0.41461217  0.05689673],-0.133200828353,"[ 1.16675705 -0.51103942 -0.31596693  0.24156703 -0.54704473  0.94134165
  1.93370121  0.36657612  0.16683811 -1.05762554  0.        ]","[[  3.75125649e+01  -3.00379663e+00  -6.40948703e-02   1.09235917e-01]
 [  8.76901410e+01  -5.79218695e-03   0.00000000e+00   0.00000000e+00]]",-0.423361,[ 1.4078167  -2.41214473],[ 0.95431477 -2.89884377]
39,[-0.41461217  0.05689673],-0.142129103815,"[-0.21259583 -0.51105763  1.44359911  0.24191435 -0.54704409  0.94134006
  1.98677368  0.36685911  0.36411375 -1.01827212  0.        ]","[[  3.92886751e+01  -3.00389155e+00  -6.40948703e-02   1.09235917e-01]
 [  8.99134778e+01  -3.63304131e-03   0.00000000e+00   0.00000000e+00]]",0.0110952,[-0.15056625 -4.44776005],[ 1.23685038 -3.18826437]
40,[-0.41461217  0.05689673],-0.115733077459,"[-1.53022222 -0.51106773 -0.36808117  0.24211172 -0.54704345  0.94133846
  1.93003713  0.36708665  0.29175596 -0.79700761  0.        ]","[[  4.10631045e+01  -3.00394552e+00  -6.40948703e-02   1.09235917e-01]
 [  8.75373753e+01  -1.89632806e-03   0.00000000e+00   0.00000000e+00]]",-0.125318,[ 1.40025987 -2.95657766],[ 1.39328408 -3.4653511 ]
41,[-0.41461217  0.05689673],-0.116993846724,"[ 0.38079592 -0.51107247 -1.39327016  0.24220996 -0.54704282  0.94133687
  1.98318156  0.36721713  0.12397835 -0.92565165  0.        ]","[[  4.28361898e+01  -3.00397241e+00  -6.40948703e-02   1.09235917e-01]
 [  8.97637360e+01  -8.99255120e-04   0.00000000e+00   0.00000000e+00]]",-0.095415,[ 1.03673085 -3.70222417],[ 1.03276455 -3.22706342]
42,[-0.41461217  0.05689673],-0.143006230562,"[ 0.89198136 -0.51107434  0.88245091  0.24225509 -0.54704218  0.94133527
  2.03527301  0.36728218  0.26940417 -1.09426802  0.        ]","[[  4.46533601e+01  -3.00398480e+00  -6.40948703e-02   1.09235917e-01]
 [  9.19460225e+01  -4.00674027e-04   0.00000000e+00   0.00000000e+00]]",0.101913,[ 1.77125935 -6.07073175],[ 1.02088296 -2.9179163 ]
43,[-0.41461217  0.05689673],-0.129685356088,"[-1.31561348 -0.51107483  0.80996027  0.24227459 -0.54704154  0.94133368
  2.08633226  0.36731227  0.36943185 -0.87955518  0.        ]","[[  4.65137427e+01  -3.00399019e+00  -6.40948703e-02   1.09235917e-01]
 [  9.40851075e+01  -1.68541515e-04   0.00000000e+00   0.00000000e+00]]",-0.307644,[ 2.66320643 -1.88012287],[ 1.42176187 -3.44057012]
44,[-0.41461217  0.05689673],-0.109620425772,"[-0.56501882 -0.51107468 -1.46806393  0.2422824  -0.5470409   0.94133209
  2.13637973  0.36732547  0.16358423 -0.83134714  0.        ]","[[  4.84164821e+01  -3.00399239e+00  -6.40948703e-02   1.09235917e-01]
 [  9.61818462e+01  -6.51108439e-05   0.00000000e+00   0.00000000e+00]]",0.00300896,[ 0.73587491 -3.56350487],[ 1.17883241 -3.47145796]
45,[-0.41461217  0.05689673],-0.137178982682,"[ 1.18571117 -0.51107426  0.08504304  0.24228516 -0.54704026  0.94133049
  2.16046935  0.36733065  0.19586406 -1.08034309  0.        ]","[[  5.03502475e+01  -3.00399320e+00  -6.40948703e-02   1.09235917e-01]
 [  9.71913291e+01  -2.28346776e-05   0.00000000e+00   0.00000000e+00]]",-0.448404,[ 1.86653432 -2.40932726],[ 0.94650227 -2.93351436]
46,[-0.41461217  0.05689673],-0.137169151629,"[-0.82061924 -0.51107373  1.27732521  0.24228579 -0.54703962  0.9413289
  2.20904743  0.36733285  0.38066445 -0.9514402   0.        ]","[[  5.23144944e+01  -3.00399344e+00  -6.40948703e-02   1.09235917e-01]
 [  9.92265756e+01  -3.21394168e-06   0.00000000e+00   0.00000000e+00]]",-0.123638,[ 1.87543745 -3.63918957],[ 1.34935737 -3.37874651]
47,[-0.41461217  0.05689673],-0.10934596192,"[-1.02997719 -0.51107315 -1.21445033  0.24228543 -0.54703899  0.9413273
  2.25666276  0.36733361  0.20471757 -0.80027561  0.        ]","[[  5.43190419e+01  -3.00399340e+00  -6.40948703e-02   1.09235917e-01]
 [  1.01221531e+02   5.48037583e-06   0.00000000e+00   0.00000000e+00]]",-0.00834733,[ 0.59946801 -3.2440508 ],[ 1.27120268 -3.54908991]
48,[-0.41461217  0.05689673],-0.132943672942,"[ 1.16279313 -0.51107255 -0.33772758  0.24228478 -0.54703835  0.94132571
  2.26547507  0.36733322  0.16540913 -1.05589525  0.        ]","[[  5.63471813e+01  -3.00399329e+00  -6.40948703e-02   1.09235917e-01]
 [  1.01591172e+02   5.37302367e-06   0.00000000e+00   0.00000000e+00]]",-0.283902,[ 0.99089809 -2.94074369],[ 0.93504846 -3.01505327]
49,[-0.41461217  0.05689673],-0.13963964585,"[-0.56570929 -0.51107194  1.38656852  0.24228407 -0.54703771  0.94132412
  2.31111134  0.36733318  0.37664123 -0.98153658  0.        ]","[[  5.83981895e+01  -3.00399316e+00  -6.40948703e-02   1.09235917e-01]
 [  1.03503280e+02   7.86954720e-06   0.00000000e+00   0.00000000e+00]]",0.0197447,[ 1.53172925 -4.84540065],[ 1.30409288 -3.35477901]
