timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
0,[-0.38336244 -0.01908482],-0.191777375818,"[ 1.174834    2.28385224 -0.17380972  0.99288861  0.61007736 -1.20391124
 -0.18088649  0.36322477  0.79733344  1.12571425  0.        ]","[[-0.08707498  0.07656874  0.06863837 -0.13986806]
 [-0.00101148  0.00189976  0.          0.        ]]",-0.817761,[-1.27865212 -2.29783884],[-1.34898472 -2.63350463]
1,[-0.38336244 -0.01908482],-0.182770685216,"[ 1.16899518  2.28702142 -0.23253669  0.85337152  0.61007637 -1.20390774
 -0.28439271 -0.15949505  0.79106039  1.01695473  0.        ]","[[-0.1267701   0.03689393  0.06863837 -0.13986806]
 [-3.95533744 -3.95619449  0.          0.        ]]",-0.818661,[-0.85824448 -1.54286269],[-1.26840997 -2.57629657]
2,[-0.38336244 -0.01908482],-0.155946102588,"[ 1.14084224  2.28330638 -0.39687285  0.437888    0.61007538 -1.20390425
 -0.37117433 -0.67189761  0.73866275  0.70933528  0.        ]","[[-0.23914094 -0.08115899  0.06863837 -0.13986806]
 [-7.27072459 -7.83616815  0.          0.        ]]",-0.592233,[-0.21508855 -2.09445364],[-1.03959215 -2.44442606]
3,[-0.38336244 -0.01908482],-0.115176958802,"[ 1.07573843  2.23432853 -0.61239168 -0.23660373  0.61007438 -1.20390076
 -0.38964827 -1.17428243  0.57292243  0.29727834  0.        ]","[[ -0.39163619  -0.27605053   0.06863837  -0.13986806]
 [ -7.97651485 -11.6403003    0.           0.        ]]",-0.405648,[-0.68779562 -1.89808884],[-0.77899104 -2.24631119]
4,[-0.38336244 -0.01908482],-0.0643013654975,"[ 0.95710245  2.08182191 -0.85599443 -1.10641109  0.61007339 -1.20389726
 -0.45672378 -1.66661314  0.22783774 -0.11015094  0.        ]","[[ -0.57687539  -0.54626129   0.06863837  -0.13986806]
 [-10.53905893 -15.36833482   0.           0.        ]]",-0.30146,[-0.29727649 -2.48053444],[-0.68785578 -1.99121594]
5,[-0.38336244 -0.01908482],-0.0425464447125,"[ 0.76481299  1.76272382 -1.10912973 -2.01433443  0.6100724  -1.20389377
 -0.48207016 -2.1492455  -0.31411166 -0.34299866  0.        ]","[[ -0.79736936  -0.8902966    0.06863837  -0.13986806]
 [-11.50740507 -19.02299203   0.           0.        ]]",-0.0989444,[-0.36511671 -3.45005421],[-0.76587242 -1.74441957]
6,[-0.38336244 -0.01908482],-0.0982207441882,"[ 0.50009307  1.24130706 -1.3275086  -2.67675797  0.61007141 -1.20389028
 -0.51399522 -2.62228062 -0.9216926  -0.20522114  0.        ]","[[ -1.03975087  -1.30669682   0.06863837  -0.13986806]
 [-12.72708146 -22.60507004   0.           0.        ]]",-0.319096,[-0.68838546 -1.00639744],[-1.00650609 -1.7346909 ]
7,[-0.38336244 -0.01908482],-0.158784438891,"[ 0.14545014  0.55803992 -1.48557053 -2.71146227  0.61007042 -1.20388679
 -0.57884025 -3.08588211 -1.34912974  0.35138956  0.        ]","[[ -1.31914396  -1.79402305   0.06863837  -0.13986806]
 [-15.2044166  -26.11584561   0.           0.        ]]",-0.362645,[-0.37603874 -1.8327909 ],[-1.38144934 -1.92922914]
8,[-0.38336244 -0.01908482],-0.192100750635,"[-0.28625797 -0.12457025 -1.52934902 -1.78041451  0.61006943 -1.20388329
 -0.61008105 -3.5403158  -1.30859949  1.05953579  0.        ]","[[ -1.63520733  -2.35086948   0.06863837  -0.13986806]
 [-16.39795795 -29.55737405   0.           0.        ]]",-0.664834,[-3.06733593 -1.2018445 ],[-1.5322448  -1.96885765]
9,[-0.38336244 -0.01908482],-0.175294862499,"[-0.77047764 -0.52534775 -1.39765817  0.14238763  0.61006843 -1.2038798
 -0.70532336 -3.98578176 -0.8240618   1.34154918  0.        ]","[[ -1.9996795   -2.97586654   0.06863837  -0.13986806]
 [-20.03657972 -32.93121627   0.           0.        ]]",-0.756725,[-1.46162057 -1.83093506],[-1.42010009 -1.85682118]
10,[-0.38336244 -0.01908482],-0.143351276521,"[-1.2463954  -0.53335639 -1.00919452  1.16937801  0.61006744 -1.20387631
 -0.79854084  0.30902602 -0.60632216  1.15732507  0.        ]","[[ -2.4361422   -3.26853325   0.06863837  -0.13986806]
 [-23.59785567  -0.4087131    0.           0.        ]]",-0.600768,[-1.13763551 -2.43622114],[-0.92577672 -1.64236844]
11,[-0.38336244 -0.01908482],-0.146758710432,"[-1.54816156 -0.54222102 -0.33775823  0.93391681  0.61006645 -1.20387281
 -0.88994407  1.0030074  -0.64970289  1.16810015  0.        ]","[[ -2.94313433  -3.2013802    0.06863837  -0.13986806]
 [-27.08983254   4.84648438   0.           0.        ]]",-0.702646,[-1.75739417  0.01277373],[-0.90244782 -1.64310145]
12,[-0.38336244 -0.01908482],-0.151527529814,"[-1.47810359 -0.54376158  0.50436766  0.59182748  0.61006546 -1.20386932
 -0.97954226  1.00151808 -0.65132849  1.21173406  0.        ]","[[ -3.51927553  -3.10421531   0.06863837  -0.13986806]
 [-30.51286463   4.83522451   0.           0.        ]]",-0.635789,[-1.37260423 -3.11686977],[-0.9396714  -1.65468812]
13,[-0.38336244 -0.01908482],-0.147899484649,"[-0.91668619 -0.53770825  1.22484868  0.37265229  0.61006447 -1.20386583
 -1.06736787  0.60628777 -0.62507634  1.19062307  0.        ]","[[ -4.16319816  -3.0418339    0.06863837  -0.13986806]
 [-33.86819495   1.8423473    0.           0.        ]]",-0.634,[-1.70218226 -2.06618056],[-0.98336625 -1.64861155]
14,[-0.38336244 -0.01908482],-0.140600870491,"[ 0.023503   -0.53399744  1.42438065  0.29026722  0.61006348 -1.20386234
 -1.15345242  0.45491384 -0.64278075  1.11395836  0.        ]","[[ -4.87356006  -3.01829775   0.06863837  -0.13986806]
 [-37.15703      0.69607283   0.           0.        ]]",-0.484812,[ 0.11338463 -2.22279165],[-0.98636079 -1.61104572]
15,[-0.38336244 -0.01908482],-0.139770296712,"[ 0.87504337 -0.53239192  0.88940104  0.25919625  0.61006248 -1.20385884
 -1.12244427  0.39773236 -0.71449519  1.06454302  0.        ]","[[ -5.6048162   -3.00940418   0.06863837  -0.13986806]
 [-35.97253062   0.26307049   0.           0.        ]]",-0.422609,[ 1.08611112 -2.59176175],[-0.97390735 -1.55115533]
16,[-0.38336244 -0.01908482],-0.147053397839,"[ 1.1800273  -0.53175563 -0.03577296  0.24746121  0.61006149 -1.20385535
 -1.00016408  0.37612479 -0.79441825  1.08214081  0.        ]","[[ -6.27739695  -3.00604257   0.06863837  -0.13986806]
 [-31.3011123    0.09945129   0.           0.        ]]",-0.459159,[-0.99078231 -0.91779374],[-0.98024774 -1.56112027]
17,[-0.38336244 -0.01908482],-0.158117832207,"[ 0.8963079  -0.5314936  -0.94892644  0.24272175  0.6100605  -1.20385186
 -1.08662348  0.368752   -0.84791987  1.15475146  0.        ]","[[ -6.93656071  -3.00468452   0.06863837  -0.13986806]
 [-34.6042556    0.04362471   0.           0.        ]]",-0.435288,[-1.51762439 -3.05083531],[-0.99090171 -1.60497332]
