timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
0,[-0.10048538 -0.04116301],-0.319921801937,"[ 1.11478919  1.95752616 -0.12717976  0.58147542 -0.93115161  0.10977706
 -0.33028439  0.32918011  1.97201973 -0.18041734  0.        ]","[[-0.05267161 -0.00764371 -0.10957615  0.00901904]
 [-0.00031484 -0.00337815  0.          0.        ]]",-1.45653,[ 2.30209865 -1.64550077],[ 1.18134236 -2.00706673]
1,[-0.10048538 -0.04116301],-0.31981700726,"[ 1.11657953  1.95606309 -0.0671942   0.46891264 -0.93114646  0.10977673
 -0.13564022 -0.20370794  1.97289257 -0.14849915  0.        ]","[[-0.01297189 -0.04745389 -0.10957615  0.00901904]
 [ 3.95710514 -3.96443251  0.          0.        ]]",-1.28282,[ 1.40266621 -2.72402553],[ 1.10166168 -2.03586221]
2,[-0.10048538 -0.04116301],-0.318864962532,"[ 1.10907471  1.93958333  0.11101089  0.13652553 -0.93114131  0.1097764
  0.05515354 -0.72603776  1.96907583 -0.05350725  0.        ]","[[ 0.10509069 -0.16569789 -0.10957615  0.00901904]
 [ 7.83624071 -7.84701442  0.          0.        ]]",-1.1678,[ 1.14195365 -3.33517417],[ 0.95808679 -2.08450365]
3,[-0.10048538 -0.04116301],-0.315211553524,"[ 1.05505786  1.87320864  0.39916416 -0.39556059 -0.93113616  0.10977607
  0.24217776 -1.23800145  1.94180011  0.10013348  0.        ]","[[  2.99966780e-01  -3.60821079e-01  -1.09576153e-01   9.01903925e-03]
 [  1.16387363e+01  -1.16525825e+01   0.00000000e+00   0.00000000e+00]]",-1.27817,[ 0.91696898 -2.44865631],[ 0.73436743 -2.13921022]
4,[-0.10048538 -0.04116301],-0.306026211143,"[ 0.90083784  1.70521797  0.76426218 -1.06638184 -0.93113101  0.10977574
  0.4093612  -1.73975256  1.86383067  0.29189435  0.        ]","[[  5.66845041e-01  -6.31295333e-01  -1.09576153e-01   9.01903925e-03]
 [  1.50378435e+01  -1.53823303e+01   0.00000000e+00   0.00000000e+00]]",-1.098,[ 0.39774147 -3.05313979],[ 0.44947231 -2.17296219]
5,[-0.10048538 -0.04116301],-0.288573753457,"[ 0.61547686  1.38246522  1.11809536 -1.73918472 -0.93112586  0.10977541
  0.47222162 -2.23138525  1.71802058  0.45363336  0.        ]","[[  8.80424756e-01  -9.75611479e-01  -1.09576153e-01   9.01903925e-03]
 [  1.63159173e+01  -1.90370276e+01   0.00000000e+00   0.00000000e+00]]",-1.27325,[-0.02167643 -1.14284036],[ 0.23937538 -2.12912297]
6,[-0.10048538 -0.04116301],-0.261433378486,"[ 0.23327465  0.8810799   1.3629991  -2.18060894 -0.93112071  0.10977508
  0.45221462 -2.7131452   1.51499589  0.50143103  0.        ]","[[  1.20266291e+00  -1.39228714e+00  -1.09576153e-01   9.01903925e-03]
 [  1.59091812e+01  -2.26185868e+01   0.00000000e+00   0.00000000e+00]]",-0.838149,[-0.50822    -2.91838744],[ 0.14155138 -2.02034187]
7,[-0.10048538 -0.04116301],-0.224517630073,"[-0.16233494  0.25059109  1.46022469 -2.09148159 -0.93111556  0.10977475
  0.33785197 -3.18529661  1.27391215  0.3894113   0.        ]","[[  1.49752068e+00  -1.87987976e+00  -1.09576153e-01   9.01903925e-03]
 [  1.35840642e+01  -2.61290714e+01   0.00000000e+00   0.00000000e+00]]",-0.742262,[ 1.07095945 -2.44476229],[ 0.14410487 -1.85711622]
8,[-0.10048538 -0.04116301],-0.176634792348,"[-0.58527649 -0.34840508  1.42256255 -1.2290627  -0.93111041  0.10977442
  0.51935074 -3.64812464  0.96859013  0.17689742  0.        ]","[[  1.80622507e+00  -2.43699306e+00  -1.09576153e-01   9.01903925e-03]
 [  1.72741973e+01  -2.95707121e+01   0.00000000e+00   0.00000000e+00]]",-0.508477,[ 0.92340589 -2.25813725],[ 0.25655717 -1.67668509]
9,[-0.10048538 -0.04116301],-0.122841768142,"[-1.05865061 -0.65593841  1.18796975  0.37894488 -0.93110527  0.1097741
  0.68237056 -3.29274824  0.6009795  -0.10752916  0.        ]","[[  2.18496145e+00  -3.06225384e+00  -1.09576153e-01   9.01903925e-03]
 [  2.05886440e+01  -2.69297384e+01   0.00000000e+00   0.00000000e+00]]",-0.358347,[-1.20513753 -0.85468218],[ 0.50972879 -1.49346638]
10,[-0.10048538 -0.04116301],-0.113018963724,"[-1.4111184  -0.6531922   0.79183512  0.89237366 -0.93110012  0.10977377
  0.46764183  0.46919052  0.51769679 -0.21053467  0.        ]","[[  2.55293596e+00  -3.24402782e+00  -1.09576153e-01   9.01903925e-03]
 [  1.62229952e+01   1.03696229e+00   0.00000000e+00   0.00000000e+00]]",-0.171756,[ 1.43204182 -1.96627281],[ 0.71276486 -1.41461682]
11,[-0.10048538 -0.04116301],-0.119346795841,"[-1.60776202 -0.65941347  0.29364338  0.69131939 -0.93109497  0.10977344
  0.6465931   0.92152255  0.57416122 -0.1318896   0.        ]","[[  2.91390117e+00  -3.17277718e+00  -1.09576153e-01   9.01903925e-03]
 [  1.98613281e+01   4.39968070e+00   0.00000000e+00   0.00000000e+00]]",-0.297443,[-0.51466593 -1.14392777],[ 0.71801496 -1.43691933]
12,[-0.10048538 -0.04116301],-0.118665638858,"[-1.62885202 -0.65867348 -0.26630812  0.47356274 -0.93108982  0.10977311
  0.52702199  0.74659352  0.5757131  -0.03295133  0.        ]","[[  3.28673721e+00  -3.09577438e+00  -1.09576153e-01   9.01903925e-03]
 [  1.74303596e+01   3.09926727e+00   0.00000000e+00   0.00000000e+00]]",-0.0968708,[-0.14090312 -2.25236003],[ 0.68150914 -1.4497273 ]
13,[-0.10048538 -0.04116301],-0.113333955251,"[-1.48439494 -0.65440427 -0.75207742  0.34079875 -0.93108467  0.10977278
  0.48260402  0.55653147  0.53819965  0.02436653  0.        ]","[[  3.62628400e+00  -3.04872215e+00  -1.09576153e-01   9.01903925e-03]
 [  1.65273325e+01   1.68634578e+00   0.00000000e+00   0.00000000e+00]]",-0.186877,[ 3.00144497 -0.83283771],[ 0.64402282 -1.45255148]
14,[-0.10048538 -0.04116301],-0.1061671977,"[-1.17236418 -0.65105298 -1.18515678  0.2721701  -0.93107952  0.10977245
  0.66124749  0.44191573  0.48757529  0.0402468   0.        ]","[[  3.99327219e+00  -3.02432553e+00  -1.09576153e-01   9.01903925e-03]
 [  2.01593870e+01   8.34295943e-01   0.00000000e+00   0.00000000e+00]]",-0.0499455,[ 0.83468066 -1.82713539],[ 0.62170041 -1.45083904]
15,[-0.10048538 -0.04116301],-0.0986586036286,"[-0.65366528 -0.64920257 -1.49776226  0.23987159 -0.93107438  0.10977212
  0.80416001  0.37995986  0.43618581  0.0182498   0.        ]","[[  4.42561300e+00  -3.01282055e+00  -1.09576153e-01   9.01903925e-03]
 [  2.30650140e+01   3.73722338e-01   0.00000000e+00   0.00000000e+00]]",-0.100361,[ 1.90821959 -1.38682785],[ 0.59483755 -1.44007182]
16,[-0.10048538 -0.04116301],-0.0933940779371,"[ 0.02392448 -0.64832959 -1.52638145  0.2256292  -0.93106923  0.10977179
  0.97643716  0.3515073   0.39963084 -0.03788384  0.        ]","[[  4.92205668e+00  -3.00774210e+00  -1.09576153e-01   9.01903925e-03]
 [  2.65676831e+01   1.62213700e-01   0.00000000e+00   0.00000000e+00]]",-0.146388,[-0.50301249 -1.10668018],[ 0.57450664 -1.42411244]
17,[-0.10048538 -0.04116301],-0.0932028008865,"[ 0.6422572  -0.64794276 -1.18845581  0.21951384 -0.93106408  0.10977146
  0.8526054   0.33894478  0.39326712 -0.10871119  0.        ]","[[  5.42815118e+00  -3.00556060e+00  -1.09576153e-01   9.01903925e-03]
 [  2.40501576e+01   6.88320853e-02   0.00000000e+00   0.00000000e+00]]",-0.205148,[ 1.49888625 -1.55837042],[ 0.54995757 -1.39175487]
18,[-0.10048538 -0.04116301],-0.0982206252697,"[ 1.0381383  -0.64777644 -0.55048219  0.21693873 -0.93105893  0.10977113
  1.0239235   0.33354839  0.41900479 -0.1746529   0.        ]","[[  5.94410219e+00  -3.00464195e+00  -1.09576153e-01   9.01903925e-03]
 [  2.75333366e+01   2.87235260e-02   0.00000000e+00   0.00000000e+00]]",-0.30904,[ 1.49358712 -0.65549781],[ 0.56251287 -1.36025739]
19,[-0.10048538 -0.04116301],-0.107706704762,"[ 1.07521755 -0.64763998  0.32035464  0.21484641 -0.93105378  0.10977081
  1.19184774  0.33467097  0.47773855 -0.22021776  0.        ]","[[  6.52902497e+00  -3.00389548e+00  -1.09576153e-01   9.01903925e-03]
 [  3.09475630e+01   3.70769178e-02   0.00000000e+00   0.00000000e+00]]",-0.364052,[ 0.114501   -0.33348099],[ 0.59004331 -1.35953069]
20,[-0.10048538 -0.04116301],-0.118141658208,"[ 0.6337157  -0.64746579  1.10131678  0.21218064 -0.93104864  0.10977048
  1.18400345  0.33600567  0.55257417 -0.21903982  0.        ]","[[  7.14637782e+00  -3.00294425e+00  -1.09576153e-01   9.01903925e-03]
 [  3.07882525e+01   4.70072393e-02   0.00000000e+00   0.00000000e+00]]",-0.333898,[ 1.18518965 -1.41025681],[ 0.6265018  -1.39308321]
21,[-0.10048538 -0.04116301],-0.125662270855,"[-0.18301592 -0.64745132  1.46171331  0.211998   -0.93104349  0.10977015
  1.3487551   0.32709241  0.61472342 -0.16362131  0.        ]","[[  7.79575238e+00  -3.00287930e+00  -1.09576153e-01   9.01903925e-03]
 [  3.41380409e+01  -1.92453556e-02   0.00000000e+00   0.00000000e+00]]",-0.214985,[ 0.36920735 -2.26993438],[ 0.6924696  -1.44385862]
