timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
0,[-0.39612928 -0.0136521 ],-0.147079125071,"[ 1.17828883  2.28647233 -0.13470669  0.38796821  0.59091552 -0.54132984
 -0.17295168  0.36405119  0.80587983  0.34863523  0.        ]","[[-0.06124465 -0.09558975  0.06692376 -0.06329015]
 [ 0.00128334  0.00496198  0.          0.        ]]",-0.41388,[-0.6167748  -1.11865268],[-0.25014794 -1.89006829]
1,[-0.39612928 -0.0136521 ],-0.143349052434,"[ 1.1758148   2.27998698 -0.17097108  0.24884677  0.5909146  -0.54132902
 -0.23628095 -0.1585895   0.79493953  0.26816588  0.        ]","[[-0.08568402 -0.13520984  0.06692376 -0.06329015]
 [-2.43711143 -3.95378     0.          0.        ]]",-0.268879,[-0.74054999 -2.79586931],[-0.17032255 -1.85301805]
2,[-0.39612928 -0.0136521 ],-0.132365603608,"[ 1.16253507  2.24769342 -0.28556484 -0.16024158  0.59091367 -0.54132821
 -0.31107761 -0.6708594   0.73886648  0.02636622  0.        ]","[[-0.16332106 -0.25321665  0.06692376 -0.06329015]
 [-5.31703904 -7.83397127  0.          0.        ]]",-0.378117,[ 1.07638469 -1.77981118],[ 0.02781974 -1.75242984]
3,[-0.39612928 -0.0136521 ],-0.119607501805,"[ 1.14493283  2.15290568 -0.38125684 -0.80617619  0.59091275 -0.5413274
 -0.20557062 -1.1733323   0.62132153 -0.23895975  0.        ]","[[ -0.22890292  -0.448083     0.06692376  -0.06329015]
 [ -1.25469358 -11.63996883   0.           0.        ]]",-0.148005,[-1.08919702 -4.1364706 ],[ 0.06731258 -1.70994735]
4,[-0.39612928 -0.0136521 ],-0.105177214595,"[ 1.12198296  1.94253344 -0.47399874 -1.60106073  0.59091182 -0.54132658
 -0.30765781 -1.66546732  0.40960309 -0.50196259  0.        ]","[[ -0.29343256  -0.71828373   0.06692376  -0.06329015]
 [ -5.18538603 -15.36769456   0.           0.        ]]",-0.423159,[ 0.48415288 -2.17682685],[ 0.09450752 -1.57862234]
5,[-0.39612928 -0.0136521 ],-0.091957215118,"[ 1.08417743  1.56519532 -0.59123742 -2.36248457  0.5909109  -0.54132577
 -0.25525162 -2.14811231  0.06964269 -0.70569188  0.        ]","[[ -0.37689402  -1.06231864   0.06692376  -0.06329015]
 [ -3.16759731 -19.02359663   0.           0.        ]]",-0.470698,[-0.2717974  -0.94608838],[-0.04817623 -1.41024208]
6,[-0.39612928 -0.0136521 ],-0.084723984877,"[ 1.04347385  1.00819599 -0.69138916 -2.79402045  0.59090997 -0.54132496
 -0.28159867 -2.5928947  -0.33652335 -0.7123669   0.        ]","[[ -0.45042157  -1.47659473   0.06692376  -0.06329015]
 [ -4.18205311 -22.39279243   0.           0.        ]]",-0.317972,[-0.31526507 -2.26376293],[-0.27209115 -1.28327668]
7,[-0.39612928 -0.0136521 ],-0.0883369434154,"[ 0.98074303  0.33707776 -0.81598403 -2.54565403  0.59090904 -0.54132415
 -0.31193276 -3.05704112 -0.73492434 -0.45965776  0.        ]","[[ -0.54577877  -1.95972756   0.06692376  -0.06329015]
 [ -5.35002236 -25.90878723   0.           0.        ]]",-0.289556,[-0.05535488 -1.94568184],[-0.57557797 -1.41781998]
8,[-0.39612928 -0.0136521 ],-0.0976590508739,"[ 0.89666777 -0.2717734  -0.94876779 -1.35472426  0.59090812 -0.54132333
 -0.31496235 -3.51199648 -0.93590042  0.04924999  0.        ]","[[ -0.65395046  -2.51248352   0.06692376  -0.06329015]
 [ -5.46668582 -29.35533066   0.           0.        ]]",-0.294237,[-1.96313789 -0.37560201],[-0.85011536 -1.53964424]
9,[-0.39612928 -0.0136521 ],-0.102251666984,"[ 0.76115989 -0.54249147 -1.11300577  0.60906301  0.59090719 -0.54132252
 -0.41501992 -2.89658985 -0.78228244  0.58891958  0.        ]","[[ -0.80194457  -3.10868102   0.06692376  -0.06329015]
 [ -9.31921769 -24.69401351   0.           0.        ]]",-0.355005,[-0.64546301 -1.42394768],[-0.79081494 -1.45505095]
10,[-0.39612928 -0.0136521 ],-0.0985646969627,"[ 0.53356372 -0.53300658 -1.30529881  1.1496908   0.59090627 -0.54132171
 -0.47656984  0.61166751 -0.6582427   0.68121525  0.        ]","[[ -1.01210318  -3.26191131   0.06692376  -0.06329015]
 [-11.68909419   1.88042339   0.           0.        ]]",-0.134055,[-1.10346707 -0.11293152],[-0.52839446 -1.38922834]
11,[-0.39612928 -0.0136521 ],-0.098871379184,"[ 0.19400832 -0.54227657 -1.47045879  0.85686612  0.59090534 -0.54132089
 -0.5733877   1.00105243 -0.70277595  0.64159651  0.        ]","[[ -1.28328656  -3.17879569   0.06692376  -0.06329015]
 [-15.41689298   4.82996081   0.           0.        ]]",-0.121669,[-0.55489383  0.1970166 ],[-0.4991135  -1.39697325]
12,[-0.39612928 -0.0136521 ],-0.104046942437,"[-0.2514025  -0.54014492 -1.5303485   0.49130942  0.59090441 -0.54132008
 -0.6225195   1.09140344 -0.76315825  0.63549087  0.        ]","[[ -1.61060509  -3.07532974   0.06692376  -0.06329015]
 [-17.30864523   5.5143743    0.           0.        ]]",-0.148536,[ 0.15411385 -3.51807549],[-0.49145818 -1.41794789]
13,[-0.39612928 -0.0136521 ],-0.109308220013,"[-0.70292125 -0.53021414 -1.42734682  0.24704365  0.59090349 -0.54131927
 -0.59777483  0.56778583 -0.78975594  0.6680981   0.        ]","[[ -1.94721924  -3.00586384   0.06692376  -0.06329015]
 [-16.35594222   1.54807205   0.           0.        ]]",-0.260334,[-1.07451357 -0.93681852],[-0.52524221 -1.44724286]
