timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
0,"[[-0.02820171 -0.02502323  0.0240662  -0.05936824]
 [-0.00014718  0.00015682  0.          0.        ]]",-0.192532682924,"[ 1.17694531  2.28902371 -0.08107704  0.62486105  0.20103836 -0.51772592
 -0.17503671  0.36196064  1.1439405   0.45039456  0.        ]",[-0.37965372 -0.01630538],-0.460824,[-1.0649539  -3.32144268],[-0.40561631 -2.45189977]
1,"[[-0.06787971 -0.06473252  0.0240662  -0.05936824]
 [-3.95449394 -3.95789951  0.          0.        ]]",-0.188615325269,"[ 1.17431658  2.28648171 -0.14005829  0.48636846  0.20103811 -0.51772513
 -0.27826033 -0.16031747  1.13664035  0.34213448  0.        ]",[-0.37965372 -0.01630538],-0.553582,[-0.88815424 -2.79476462],[-0.28981382 -2.41478515]
2,"[[-0.18142146 -0.18281866  0.0240662  -0.05936824]
 [-7.3882793  -7.8377838   0.          0.        ]]",-0.17709047375,"[ 1.15487235  2.2658132  -0.30764297  0.07747525  0.20103785 -0.51772434
 -0.36789522 -0.67228016  1.08073539  0.03488696  0.        ]",[-0.37965372 -0.01630538],-0.745357,[-0.91909202 -1.50080024],[ 0.01063953 -2.31131625]
3,"[[ -0.3641885   -0.37773109   0.0240662   -0.05936824]
 [-10.87691487 -11.64077198   0.           0.        ]]",-0.158739000243,"[ 1.0871097   2.189499   -0.56923402 -0.57545142  0.2010376  -0.51772355
 -0.45896184 -1.17409429  0.88655124 -0.41626708  0.        ]",[-0.37965372 -0.01630538],-0.405269,[-0.55048918 -3.28442521],[ 0.43580094 -2.11762333]
4,"[[ -0.60141378  -0.64795225   0.0240662   -0.05936824]
 [-12.83929277 -15.36888955   0.           0.        ]]",-0.137816586278,"[ 0.93570546  2.00213635 -0.88121048 -1.39502604  0.20103735 -0.51772276
 -0.510187   -1.66602454  0.46824047 -0.85274143  0.        ]",[-0.37965372 -0.01630538],-0.651615,[ 1.1795782  -1.87521524],[ 0.53546804 -1.86630082]
5,"[[ -0.81596351  -0.99201506   0.0240662   -0.05936824]
 [ -8.62980273 -19.02519101   0.           0.        ]]",-0.121820719232,"[ 0.74366268  1.64733961 -1.1231748  -2.21051274  0.2010371  -0.51772197
 -0.40030177 -2.14847044 -0.07568558 -1.01375086  0.        ]",[-0.37965372 -0.01630538],-0.55316,[-1.39678312 -0.57399507],[ 0.19865283 -1.63046622]
6,"[[ -1.02657215  -1.39152933   0.0240662   -0.05936824]
 [-12.41883857 -20.91990977   0.           0.        ]]",-0.113127931544,"[ 0.5129794   1.12476355 -1.31240032 -2.72317564  0.20103685 -0.51772118
 -0.49921024 -2.39846392 -0.61082772 -0.83073446  0.        ]",[-0.37965372 -0.01630538],-0.282209,[ 0.42001043 -1.9263808 ],[-0.25796694 -1.51610959]
7,"[[ -1.25584316e+00  -1.84549727e+00   2.40661994e-02  -5.93682387e-02]
 [ -1.05146990e+01  -2.44650696e+01   0.00000000e+00   0.00000000e+00]]",-0.11054584224,"[ 0.22639354  0.48756603 -1.45420444 -2.64819674  0.2010366  -0.51772039
 -0.44950377 -2.86622235 -0.96304672 -0.32696651  0.        ]",[-0.37965372 -0.01630538],-0.247875,[-0.05683837 -1.71198638],[-0.79541826 -1.6445837 ]
8,"[[ -1.46635025e+00  -2.36966244e+00   2.40661994e-02  -5.93682387e-02]
 [ -1.05359155e+01  -2.79398888e+01   0.00000000e+00   0.00000000e+00]]",-0.102739650902,"[-0.05679307 -0.14359192 -1.51929678 -1.72303357  0.20103634 -0.5177196
 -0.45005695 -3.32467876 -0.92778235  0.27589911  0.        ]",[-0.37965372 -0.01630538],-0.365362,[-1.52054076 -0.68170655],[-1.07129908 -1.75541782]
9,"[[ -1.71473323e+00  -2.94999009e+00   2.40661994e-02  -5.93682387e-02]
 [ -1.42895176e+01  -3.00857875e+01   0.00000000e+00   0.00000000e+00]]",-0.082730979176,"[-0.39810221 -0.51938193 -1.5120107   0.04736913  0.20103609 -0.51771881
 -0.54804063 -3.6077672  -0.52996945  0.61797138  0.        ]",[-0.37965372 -0.01630538],-0.225034,[ 0.34295956 -3.18745921],[-0.85291362 -1.63054788]
