timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.265378956847,[ 2.65160006  0.95838397],-2.26572,"[[ 0.09340008 -0.09110459 -0.04613146  0.08061345]
 [ 0.00397584  0.00422827  0.          0.        ]]","[ 1.17911465  2.25405599  0.11284378 -1.16079337 -0.41749304  0.69352082
 -0.64768763 -0.38708836  1.76331141 -0.64435893  0.        ]",[ 2.34794688  1.81129956],[-0.34776634 -0.43791607]
1,-0.261527088846,[ 2.56699143  1.26211248],-2.28152,"[[ 0.13315458 -0.05296175 -0.04613146  0.08061345]
 [ 3.95830886  3.79742015  0.          0.        ]]","[ 1.17290533  2.25794556  0.17137491 -1.03495154 -0.41749251  0.69351971
 -0.55283342  0.16473577  1.75722944 -0.54263767  0.        ]",[ 2.28094745  1.61340928],[-0.34776634 -0.43791607]
2,-0.248608620246,[ 2.24450332  1.70450072],-2.20379,"[[ 0.25121053  0.06194506 -0.04613146  0.08061345]
 [ 7.83439553  7.68032191  0.          0.        ]]","[ 1.14177562  2.25719699  0.3430029  -0.65505833 -0.41749198  0.69351861
 -0.45985623  0.72961025  1.70232474 -0.24442699  0.        ]",[ 2.06617999  1.42615604],[-0.34776634 -0.43791607]
3,-0.223011024105,[ 1.40404201  1.48556264],-2.08876,"[[  0.4460209    0.25373849  -0.04613146   0.08061345]
 [ 11.63407106  11.48632368   0.           0.        ]]","[ 1.05000307  2.21436787  0.61390006 -0.02946302 -0.41749145  0.6935175
 -0.368712    1.2832953   1.49675451  0.20494458  0.        ]",[ 1.73962212  1.2437551 ],[-0.34776634 -0.43791607]
4,-0.18098618357,[ 2.26723921  1.30372836],-1.96615,"[[  0.71607809   0.52089464  -0.04613146   0.08061345]
 [ 15.35946864  15.21681633   0.           0.        ]]","[ 0.84587857  2.07125757  0.94740669  0.78638091 -0.41749092  0.69351639
 -0.27934954  1.82599021  1.02050848  0.65718726  0.        ]",[ 1.44494927  1.00482213],[-0.34776634 -0.43791607]
5,-0.123905339458,[ 1.41704953 -0.50533365],-1.49901,"[[  1.05992126   0.86191632  -0.04613146   0.08061345]
 [ 19.01311286  18.873084     0.           0.        ]]","[ 0.47924017  1.76346615  1.26732836  1.65118843 -0.41749039  0.69351528
 -0.19170827  2.35787754  0.2600491   0.82766189  0.        ]",[ 1.20761263  0.64809817],[-0.34776634 -0.43791607]
6,-0.0796792851639,[ 1.43755623  0.79446956],-1.0618,"[[  1.47615282   1.21552792  -0.04613146   0.08061345]
 [ 22.5982557   16.49589238   0.           0.        ]]","[-0.06556586  1.33228795  1.44990706  2.24151507 -0.41748986  0.69351417
 -0.10571018  2.0120408  -0.50238328  0.47676111  0.        ]",[ 1.15797246  0.82535481],[-0.34776634 -0.43791607]
7,-0.0985068039572,[ 1.37694621  1.07698694],-0.795847,"[[  1.9633769    1.57369987  -0.04613146   0.08061345]
 [ 26.11288788  19.31181557   0.           0.        ]]","[-0.72451229  0.83340366  1.34379818  2.44805235 -0.41748933  0.69351306
 -0.02140344  2.42167245 -0.88229625 -0.3153868   0.        ]",[ 1.43733954  0.42437512],[-0.34776634 -0.43791607]
8,-0.142062642676,[ 1.11483106 -0.49668095],-0.523242,"[[  2.52022089   1.99579115  -0.04613146   0.08061345]
 [ 29.56042767  22.88537057   0.           0.        ]]","[-1.31913353  0.25107547  0.83731718  2.15378429 -0.4174888   0.69351195
  0.06129392  2.941506   -0.60213504 -1.12635706  0.        ]",[ 1.74504769 -0.24663836],[-0.34776634 -0.43791607]
9,-0.15543090589,[ 0.40351571 -0.85931247],-0.539428,"[[  3.14534448   2.4291846   -0.04613146   0.08061345]
 [ 32.9403173   20.46215711   0.           0.        ]]","[-1.57729471 -0.23888729 -0.03094088  1.30238439 -0.41748827  0.69351084
  0.14236853  2.58896953  0.05136558 -1.30772569  0.        ]",[ 1.99476075 -0.60477418],[-0.34776634 -0.43791607]
