timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.236493490388,[-0.26100308 -0.1182698 ],-1.07065,"[[-0.08466294  0.0521133   0.065296   -0.19941336]
 [-0.00227069 -0.00219105  0.          0.        ]]","[ 1.04417463  1.18730122 -0.08485818 -0.03388471  0.52979881 -1.73912956
  0.13343512 -0.05874429  0.65037368  1.29248485  0.        ]",[ 0.02662167  0.15425707],[ 0.00915821  0.04244819]
1,-0.23426227941,[-1.89447438  0.34608508],-1.07964,"[[-0.09506542  0.04737534  0.065296   -0.19941336]
 [-1.03454144 -0.47004727  0.          0.        ]]","[ 1.04284618  1.18754388 -0.10093925 -0.04168463  0.52978556 -1.73899289
  0.03682724 -0.12063127  0.64936237  1.27364854  0.        ]",[ 0.02681993  0.15412991],[ 0.00915821  0.04244819]
2,-0.224086231922,[ 1.71130642 -1.14408985],-0.992481,"[[-0.15524684  0.05183232  0.065296   -0.19941336]
 [-4.97049397  0.91113622  0.          0.        ]]","[ 1.03245795  1.18720796 -0.19361495 -0.03434565  0.52977231 -1.73885625
 -0.33152689  0.06207796  0.6418153   1.1895804   0.        ]",[ 0.02735744  0.15416756],[ 0.00915821  0.04244819]
3,-0.211532582133,[-0.48996285  1.00204218],-1.061,"[[-0.21396428  0.03013037  0.065296   -0.19941336]
 [-0.91475867 -3.06806394  0.          0.        ]]","[ 1.01757314  1.18827873 -0.28320072 -0.07008999  0.52975906 -1.73871964
  0.04805042 -0.46431143  0.62725225  1.08849473  0.        ]",[ 0.0275373   0.15356602],[ 0.00915821  0.04244819]
4,-0.202673969934,[-1.02531901  1.90651513],-1.08612,"[[-0.25154047  0.00911387  0.065296   -0.19941336]
 [-2.83645621  0.95300984  0.          0.        ]]","[ 1.00559558  1.18874527 -0.33995161 -0.10472775  0.52974581 -1.73858307
 -0.13180308  0.06763518  0.61340186  1.01923482  0.        ]",[ 0.02711001  0.15434296],[ 0.00915821  0.04244819]
5,-0.190536235058,[ 0.85050531 -0.95079657],-0.951302,"[[-0.34741258  0.0677278   0.065296   -0.19941336]
 [-6.73776256  4.89523793  0.          0.        ]]","[ 0.96661344  1.18583684 -0.48209882 -0.00818179  0.52973256 -1.73844652
 -0.49693027  0.58914725  0.58928226  0.92799406  0.        ]",[ 0.02764571  0.15477556],[ 0.00915821  0.04244819]
6,-0.177457719662,[-0.44992261 -1.99147093],-0.889202,"[[-0.44705874  0.12687333  0.065296   -0.19941336]
 [-3.23850687  1.03219647  0.          0.        ]]","[ 0.91350103  1.17850164 -0.6246763   0.08885032  0.52971932 -1.73831001
 -0.16941234  0.07808743  0.55718201  0.83447214  0.        ]",[ 0.02761096  0.1543202 ],[ 0.00915821  0.04244819]
7,-0.159830742977,[ 0.28571738  0.96119422],-0.963076,"[[-0.52902842  0.10759097  0.065296   -0.19941336]
 [-4.95275475 -2.94717324  0.          0.        ]]","[ 0.86054277  1.18130436 -0.73702376  0.05727776  0.52970607 -1.73817354
 -0.3298541  -0.44836011  0.50830386  0.71197886  0.        ]",[ 0.02917342  0.15342453],[ 0.00915821  0.04244819]
8,-0.140803689811,[ 0.82539297  0.99662744],-0.937683,"[[-0.6157753   0.08741424  0.065296   -0.19941336]
 [-3.72601573  0.91662496  0.          0.        ]]","[ 0.79581448  1.18373785 -0.85016874  0.02417054  0.52969283 -1.73803709
 -0.2150283   0.06281494  0.44577016  0.58851553  0.        ]",[ 0.02816286  0.1540928 ],[ 0.00915821  0.04244819]
9,-0.138551391138,[ 0.2868352   0.83837303],-0.963498,"[[-0.65681113  0.14514549  0.065296   -0.19941336]
 [-0.38867042  4.84341899  0.          0.        ]]","[ 0.76220427  1.17519683 -0.90137484  0.11869544  0.52967959 -1.73790068
  0.09734741  0.58232039  0.43628578  0.57662059  0.        ]",[ 0.0270451  0.1544688],[ 0.00915821  0.04244819]
