timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.330880535096,"[[ 0.0634048  -0.01276323 -0.12090009  0.02650771]
 [ 0.00188326 -0.00032249  0.          0.        ]]",[-0.03917889 -3.36956811],-2.88155,"[ 0.85388998  1.84746009  0.09189302  0.96456194 -1.04972644  0.2412927
 -0.52585003  0.34039141  2.46066508  0.15797301  0.        ]",[-0.48129672 -0.20032743],[ 0.57096911 -3.71349919]
1,-0.330772766388,"[[ 0.08611959 -0.05250627 -0.12090009  0.02650771]
 [ 2.26206487 -3.96077957  0.          0.        ]]",[-0.1994794  -3.37220788],-2.87065,"[ 0.85127493  1.8457494   0.12855057  0.85443093 -1.04972544  0.24129259
 -0.44662531 -0.22405909  2.45987401  0.16229562  0.        ]",[-0.48129672 -0.20032743],[-0.02278657 -3.74675541]
2,-0.330456326423,"[[ 0.13002264 -0.1706624  -0.12090009  0.02650771]
 [ 2.12867411 -7.84189791  0.          0.        ]]",[-0.08978213 -3.31402993],-2.83114,"[ 0.84397777  1.82843583  0.19918202  0.52904374 -1.04972443  0.24129247
 -0.45130071 -0.77720188  2.45553092  0.1205573   0.        ]",[-0.48129672 -0.20032743],[ 0.25990022 -3.40787166]
3,-0.328628391514,"[[  0.18250359  -0.36567422  -0.12090009   0.02650771]
 [  3.11611165 -11.64659903   0.           0.        ]]",[ 0.14398474 -3.25056291],-2.73965,"[ 0.83139278  1.76051961  0.28307143  0.00848268 -1.04972342  0.24129235
 -0.41668854 -1.31945259  2.43337357  0.00648041  0.        ]",[-0.48129672 -0.20032743],[ 0.32551497 -3.64449054]
4,-0.322526612485,"[[  0.25714009  -0.63602485  -0.12090009   0.02650771]
 [  4.3434135  -15.3760215    0.           0.        ]]",[ 0.39202118 -3.15522528],-2.63798,"[ 0.806319    1.5901484   0.40092737 -0.64705259 -1.04972242  0.24129224
 -0.37366859 -1.85097219  2.3678599  -0.14037987  0.        ]",[-0.48129672 -0.20032743],[ 1.16742157 -2.97714353]
5,-0.308854374145,"[[  0.382851    -0.98023071  -0.12090009   0.02650771]
 [  8.21483207 -19.03230757   0.           0.        ]]",[ 0.44252115 -3.05566072],-2.41996,"[ 0.74542301  1.26416229  0.5939202  -1.30314229 -1.04972141  0.24129212
 -0.23796628 -2.37206426  2.23662775 -0.24212796  0.        ]",[-0.48129672 -0.20032743],[ 0.93422415 -4.37592064]
6,-0.284606270288,"[[  0.58261436  -1.39683013  -0.12090009   0.02650771]
 [ 11.74982168 -22.61558162   0.           0.        ]]",[ 0.39503509 -3.04213095],-2.28987,"[ 0.60276623  0.75900338  0.87979392 -1.73091489 -1.0497204   0.24129201
 -0.1140566  -2.8827444   2.02340857 -0.24710907  0.        ]",[-0.48129672 -0.20032743],[-0.34357718 -3.98717492]
7,-0.247519473107,"[[  0.80164018  -1.88436902  -0.12090009   0.02650771]
 [ 10.15782218 -26.12666186   0.           0.        ]]",[ 0.5239175  -2.88950586],-2.09389,"[ 0.38780529  0.12508964  1.1521483  -1.63755918 -1.0497194   0.24129189
 -0.16985984 -3.38312677  1.69643202 -0.25078065  0.        ]",[-0.48129672 -0.20032743],[-0.47759648 -3.39358023]
8,-0.19588755405,"[[  9.83805193e-01  -2.44143542e+00  -1.20900085e-01   2.65077059e-02]
 [  8.06543782e+00  -2.95685839e+01   0.00000000e+00   0.00000000e+00]]",[ 0.06442553 -3.07455325],-1.90793,"[ 0.16949592 -0.47556205  1.33682496 -0.78661296 -1.04971839  0.24129177
 -0.24320274 -3.87364125  1.23608033 -0.25879285  0.        ]",[-0.48129672 -0.20032743],[-1.00114585 -3.27646951]
9,-0.12984565395,"[[  1.10377831e+00  -3.06666116e+00  -1.20900085e-01   2.65077059e-02]
 [  3.94591491e+00  -2.69101661e+01   0.00000000e+00   0.00000000e+00]]",[-0.55023217 -3.32020712],-1.65048,"[ 0.0098019  -0.78156411  1.43441756  0.79238345 -1.04971739  0.24129166
 -0.38760161 -3.49474489  0.67652541 -0.10859248  0.        ]",[-0.48129672 -0.20032743],[-2.14801999 -3.32318752]
