timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 0.76635864  3.03989136],-0.0467128622889,-2.29479,[ 0.22930688  3.22748423],"[ 1.3286033   2.49028694 -0.23502709 -1.10281449  1.48815545  0.26444328
 -0.36015986 -0.38637438  0.17537268 -0.31147627  0.        ]","[[ 0.05612587 -0.07069584  0.17173915  0.03104611]
 [ 0.00445302  0.00216556  0.          0.        ]]",[-0.89656734 -0.17256653]
1,[ 0.15848776  2.83817872],-0.0410787621933,-2.17573,[ 0.02086121  3.04051876],"[ 1.32549502  2.49330235 -0.1901547  -0.94564415  1.48815423  0.26444321
 -0.30247998  0.14517455  0.17249848 -0.22609081  0.        ]","[[ 0.08661579 -0.03093694  0.17173915  0.03104611]
 [ 3.0344534   3.9605366   0.          0.        ]]",[-0.89656734 -0.17256653]
2,[-0.2294448   3.48842051],-0.035481153936,-2.14041,[-0.2837733  2.8355062],"[ 1.31416111  2.48832956 -0.09295523 -0.47841225  1.488153    0.26444314
 -0.29171593  0.6663278   0.14359702 -0.0147388   0.        ]","[[ 0.15297801  0.08721271  0.17173915  0.03104611]
 [ 3.59989959  7.84149307  0.          0.        ]]",[-0.89656734 -0.17256653]
3,[-0.92445869  3.44157641],-0.0483991682296,-2.29391,[-0.68000495  2.60233235],"[ 1.2979024   2.43484809 -0.00279609  0.2791666   1.48815178  0.26444307
 -0.31037519  1.17724209  0.05714951  0.24255451  0.        ]","[[  0.21514096   0.28221651   0.17173915   0.03104611]
 [  2.61969843  11.64620443   0.           0.        ]]",[-0.89656734 -0.17256653]
4,[-0.25298342  3.00205908],-0.0694622525233,-2.50813,[-1.10513508  2.39106083],"[ 1.29311247  2.27144466  0.01903435  1.25448894  1.48815055  0.26444299
 -0.38100006  1.67817433 -0.08836191  0.45350948  0.        ]","[[  0.23031085   0.55256894   0.17173915   0.03104611]
 [ -1.09032808  15.37658817   0.           0.        ]]",[-0.89656734 -0.17256653]
5,[-1.80921621  0.87430537],-0.0895952951047,-2.40368,[-1.56038427  2.22134304],"[ 1.3027359   1.93189427 -0.02657747  2.26960527  1.48814932  0.26444292
 -0.39965232  2.16904662 -0.29450275  0.58940401  0.        ]","[[  0.19867229   0.89677746   0.17173915   0.03104611]
 [ -2.07016258  19.0320699    0.           0.        ]]",[-0.89656734 -0.17256653]
6,[-1.60518147  2.89681331],-0.105965253722,-2.15223,[-1.94431901  2.19541717],"[ 1.32091268  1.38645933 -0.14411679  2.99972067  1.4881481   0.26444285
 -0.47419269  2.58345431 -0.54863656  0.61388925  0.        ]","[[  0.11798214   1.30838327   0.17173915   0.03104611]
 [ -5.98587547  22.1181475    0.           0.        ]]",[-0.89656734 -0.17256653]
7,[-2.613178    3.58312055],-0.116800393417,-1.66131,[-2.22336292  2.25607061],"[ 1.32968977  0.67902996 -0.37717429  3.04384045  1.48814687  0.26444278
 -0.5472708   3.05640949 -0.81144816  0.48430884  0.        ]","[[ -0.04025105   1.78608574   0.17173915   0.03104611]
 [ -9.82477514  25.64024815   0.           0.        ]]",[-0.89656734 -0.17256653]
8,[-1.72585263  3.14195702],-0.132927755279,-1.36383,[-2.36501169  2.42182732],"[ 1.2773349  -0.03471592 -0.71777462  2.03855485  1.48814565  0.2644427
 -0.61891854  3.51990828 -1.0874797   0.21250753  0.        ]","[[ -0.27450805   2.33352388   0.17173915   0.03104611]
 [-13.58853682  29.09196519   0.           0.        ]]",[-0.89656734 -0.17256653]
9,[-2.59612311  3.04774779],-0.167063094783,-1.7548,[-2.30703092  2.73445773],"[ 1.09452429 -0.46941587 -1.13049162 -0.0667358   1.48814442  0.26444263
 -0.6891623   3.9741862  -1.39128805 -0.16919885  0.        ]","[[ -5.83301024e-01   2.94930675e+00   1.71739151e-01   3.10461054e-02]
 [ -1.72785473e+01   3.24750626e+01   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
10,[-1.66373485  6.0844606 ],-0.190158020027,-2.23411,[-1.95010304  3.94630599],"[ 0.71523806 -0.48910744 -1.5309039  -1.22877306  1.4881432   0.26444256
 -0.75804779 -0.26583732 -1.55053467 -0.34152222  0.        ]","[[ -0.96518119   3.24423051   0.17173915   0.03104611]
 [-20.89720776   0.8998374    0.           0.        ]]",[-0.89656734 -0.17256653]
11,[-2.0726363   3.01745576],-0.179939316041,-2.8335,[-1.98298049  3.73921657],"[ 0.11816945 -0.49542779 -1.776288   -1.00336174  1.48814197  0.26444249
 -0.82554795 -0.97757513 -1.48120681 -0.27237884  0.        ]","[[ -1.41870328   3.18712151   0.17173915   0.03104611]
 [-24.44309728  -4.40043772   0.           0.        ]]",[-0.89656734 -0.17256653]
12,[-2.35735433  4.10135483],-0.166199950461,-2.50974,[-1.93993926  3.40855074],"[-0.61737484 -0.49604657 -1.69259064 -0.68356388  1.48814075  0.26444241
 -0.89170571 -0.83814445 -1.37416923 -0.28082639  0.        ]","[[ -1.94243506   3.10630929   0.17173915   0.03104611]
 [-27.9184711   -3.36210805   0.           0.        ]]",[-0.89656734 -0.17256653]
13,[-1.88583579  3.85049025],-0.161902201768,-2.32404,[-1.95831871  3.23490977],"[-1.27258634 -0.49131383 -1.15896902 -0.47903288  1.48813952  0.26444234
 -0.95655239 -0.63909338 -1.32702304 -0.36231579  0.        ]","[[ -2.53498305e+00   3.05453690e+00   1.71739151e-01   3.10461054e-02]
 [ -3.13249758e+01  -1.87978769e+00   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
14,[-1.94119312  2.95352805],-0.168989604566,-1.79867,[-2.00018549  3.33091426],"[-1.52554059 -0.48722985 -0.23905038 -0.37199388  1.4881383   0.26444227
 -1.0201157  -0.5114039  -1.36319164 -0.44665905  0.        ]","[[ -3.19498469e+00   3.02735774e+00   1.71739151e-01   3.10461054e-02]
 [ -3.46640663e+01  -9.28892803e-01   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
15,[-2.29955074  3.73830867],-0.181376628383,-1.05945,[-1.82539344  3.7040596 ],"[-1.11490048 -0.48488769  0.71940037 -0.32089942  1.48813707  0.2644422
 -1.08242122 -0.44433498 -1.45445958 -0.47291198  0.        ]","[[ -3.92110525e+00   3.01435524e+00   1.71739151e-01   3.10461054e-02]
 [ -3.79370869e+01  -4.29435554e-01   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
16,[-1.04402923  5.45663164],-0.190602991209,-0.867096,[-1.45265794  4.12790442],"[-0.09886837 -0.48374329  1.15772964 -0.29776624  1.48813585  0.26444212
 -1.14349363 -0.41224026 -1.54058055 -0.41493485  0.        ]","[[ -4.71203635e+00   3.00846134e+00   1.71739151e-01   3.10461054e-02]
 [ -4.11453347e+01  -1.90429030e-01   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
17,[-1.50946278  5.16999075],-0.190043449956,-1.36356,[-1.2055794   4.48188257],"[ 0.97923873 -0.4832262   0.65146595 -0.28764845  1.48813462  0.26444205
 -1.20335714 -0.39768964 -1.55550372 -0.3010722   0.        ]","[[ -5.56649531e+00   3.00588208e+00   1.71739151e-01   3.10461054e-02]
 [ -4.42900823e+01  -8.20723188e-02   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
18,[-1.88588948  3.53548859],-0.178147066277,-2.11772,[-1.67537022  4.20027256],"[ 1.30234647 -0.48300235 -0.61099386 -0.28332989  1.4881334   0.26444198
 -1.26203557 -0.39132146 -1.4733663  -0.2124496   0.        ]","[[ -6.48322465e+00   3.00478092e+00   1.71739151e-01   3.10461054e-02]
 [ -4.73725808e+01  -3.46497892e-02   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
19,[-1.57792245  2.86182969],-0.162160435626,-2.56056,[-1.78585839  3.59107018],"[ 0.44895415 -0.48290789 -1.68083711 -0.28151961  1.48813217  0.26444191
 -1.31955232 -0.38860264 -1.34886051 -0.23181471  0.        ]","[[ -7.46099174e+00   3.00431928e+00   1.71739151e-01   3.10461054e-02]
 [ -5.03940594e+01  -1.44037874e-02   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
20,[-2.09975898  2.36797518],-0.157781518638,-2.52049,[-1.79565072  3.24645662],"[-0.95715638 -0.48286864 -1.49723335 -0.28077108  1.48813095  0.26444183
 -1.37593034 -0.38746298 -1.2956297  -0.3582962   0.        ]","[[ -8.49858828e+00   3.00412841e+00   1.71739151e-01   3.10461054e-02]
 [ -5.33557247e+01  -5.91763300e-03   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
21,[-1.55827722  3.07078503],-0.172122519672,-1.60709,[-1.91110396  3.43767405],"[-1.50696166 -0.48285248 -0.06808528 -0.28046472  1.48812972  0.26444176
 -1.43119216 -0.38699194 -1.38091359 -0.47325341  0.        ]","[[ -9.59482987e+00   3.00405029e+00   1.71739151e-01   3.10461054e-02]
 [ -5.62587600e+01  -2.41064886e-03   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
22,[-2.17951713  3.15203624],-0.189225388183,-1.1701,[-1.51025963  4.07544184],"[-0.44782713 -0.48284582  1.11294195 -0.28034016  1.4881285   0.26444169
 -1.48535985 -0.38679938 -1.52401062 -0.44148552  0.        ]","[[ -1.07485556e+01   3.00401855e+00   1.71739151e-01   3.10461054e-02]
 [ -5.91043258e+01  -9.77576972e-04   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
23,[-1.00495636  4.9608591 ],-0.189210060712,-1.33943,[-1.22619998  4.56061172],"[ 1.07493098 -0.48284302  0.52475428 -0.2802896   1.48812727  0.26444162
 -1.53845507 -0.38672136 -1.55103321 -0.2855957   0.        ]","[[ -1.19586274e+01   3.00400567e+00   1.71739151e-01   3.10461054e-02]
 [ -6.18935596e+01  -3.97354367e-04   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
24,[-1.37842756  4.51381528],-0.170156764568,-2.03375,[-1.80873108  3.98239374],"[ 1.03283671 -0.48284179 -1.21961491 -0.28026889  1.48812605  0.26444154
 -1.59049904 -0.38668994 -1.41264492 -0.20506134  0.        ]","[[ -1.32239298e+01   3.00400041e+00   1.71739151e-01   3.10461054e-02]
 [ -6.46275766e+01  -1.64274394e-04   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
25,[-2.10162745  4.78211707],-0.1569984714,-2.34959,[-1.73077583  3.35850906],"[-0.663081   -0.48284118 -1.67325008 -0.28026013  1.48812482  0.26444147
 -1.64151255 -0.38667735 -1.29588332 -0.32525979  0.        ]","[[ -1.45433696e+01   3.00399820e+00   1.71739151e-01   3.10461054e-02]
 [ -6.73074697e+01  -7.13134264e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
26,[-1.4589801   3.49256628],-0.172788529419,-1.4509,[-1.84398007  3.53148723],"[-1.49679699 -0.48284083 -0.01321947 -0.28025612  1.48812359  0.2644414
 -1.69151601 -0.38667229 -1.38569808 -0.47508899  0.        ]","[[ -1.59158749e+01   3.00399719e+00   1.71739151e-01   3.10461054e-02]
 [ -6.99343104e+01  -3.45113795e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
27,[-1.7825817   4.26029563],-0.191378669263,-0.98903,[-1.40943646  4.3171134 ],"[-0.01032944 -0.48284057  1.15492899 -0.28025399  1.48812237  0.26444133
 -1.7405294  -0.38667024 -1.54827699 -0.4068627   0.        ]","[[ -1.73403953e+01   3.00399667e+00   1.71739151e-01   3.10461054e-02]
 [ -7.25091491e+01  -2.00791755e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
