timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-2.81077,"[ 1.00022824  1.43443016  0.42913367 -0.72893577 -1.52610286 -0.29595302
  0.24852077 -0.34015307  2.82692445  0.57233128  0.        ]",[-1.25100705  1.69916762],-0.386686192995,[-2.02837038  1.01843655],[-0.34313431 -0.26007184],"[[-0.08741206  0.0574639  -0.1765711  -0.03256976]
 [ 0.00083211  0.00437427  0.          0.        ]]"
1,-2.81564,"[ 0.99343383  1.43086437  0.36282254 -0.60798371 -1.52610081 -0.29595289
 -0.33293116  0.27773971  2.82343797  0.52692178  0.        ]",[-2.44956576  0.01330002],-0.386073565928,[-1.94406247  0.47668558],[-0.34313431 -0.26007184],"[[-0.12710155  0.09729378 -0.1765711  -0.03256976]
 [-3.95660118  3.96540582  0.          0.        ]]"
2,-2.78556,"[ 0.95852602  1.41838169  0.16799815 -0.36946646 -1.52609876 -0.29595276
 -0.90265973  0.27393787  2.80380936  0.34346034  0.        ]",[-0.99302784  0.2951098 ],-0.383322598766,[-1.77234828  0.32272762],[-0.34313431 -0.26007184],"[[-0.24513905  0.1763575  -0.1765711  -0.03256976]
 [-7.83424592  3.94103475  0.          0.        ]]"
3,-2.71282,"[  8.54236773e-01   1.39558130e+00  -1.39478314e-01  -1.02762433e-01
  -1.52609671e+00  -2.95952629e-01  -1.45713883e+00   4.44257047e-01
   2.73894371e+00  -1.90393178e-04   0.00000000e+00]",[-1.66672865 -0.53061662],-0.376525487568,[-1.44448936  0.03040588],[-0.34313431 -0.26007184],"[[ -0.43968811   0.26613324  -0.1765711   -0.03256976]
 [-11.60810867   5.03287441   0.           0.        ]]"
4,-2.59914,"[ 0.62074102  1.3682295  -0.51858955  0.12548553 -1.52609466 -0.2959525
 -2.0045303   0.10115009  2.57359396 -0.49460437  0.        ]",[-0.62099431 -0.1356474 ],-0.36240898659,[-0.7729528 -0.0368219],[-0.34313431 -0.26007184],"[[ -0.7092306    0.34472281  -0.1765711   -0.03256976]
 [-15.33374901   2.83337368   0.           0.        ]]"
5,-2.53332,"[ 0.22018374  1.34699346 -0.8713131   0.26950423 -1.52609261 -0.29595237
 -2.32089329  0.00867349  2.2480083  -1.0453579   0.        ]",[-1.84872187 -2.34344162],-0.337346974995,[ 0.06458403  0.01156512],[-0.34313431 -0.26007184],"[[ -1.03750971   0.39544261  -0.1765711   -0.03256976]
 [-17.48699719   2.24054899   0.           0.        ]]"
6,-2.3969,"[-0.35796781  1.34490877 -1.08645847  0.28254984 -1.52609056 -0.29595224
 -2.85108756 -0.61580546  1.69898784 -1.51754042  0.        ]",[ 1.96556437  0.98850374],-0.295709201702,[ 1.83501124  0.72504151],[-0.34313431 -0.26007184],"[[ -1.42345667   0.40008816  -0.1765711   -0.03256976]
 [-21.09564593  -1.76269746   0.           0.        ]]"
7,-2.22976,"[ -9.58371324e-01   1.34293827e+00  -1.06013961e+00   2.94726880e-01
  -1.52608851e+00  -2.95952109e-01  -2.20875068e+00  -1.40089135e-04
   1.07781308e+00  -1.66611885e+00   0.00000000e+00]",[ 1.21970544 -0.84997684],-0.244544254632,[ 1.31477773  0.09712896],[-0.34313431 -0.26007184],"[[ -1.80150554   0.40443266  -0.1765711   -0.03256976]
 [-16.72383327   2.18404606   0.           0.        ]]"
8,-1.99251,"[-1.39025425  1.33858026 -0.88072416  0.32116154 -1.52608646 -0.29595198
 -1.5787238  -0.53219469  0.60327255 -1.55439964  0.        ]",[ 1.12466088 -0.3077845 ],-0.199748950228,[ 1.08308518  0.66890776],[-0.34313431 -0.26007184],"[[ -2.09295912   0.41389196  -0.1765711   -0.03256976]
 [-12.43577727  -1.22670819   0.           0.        ]]"
9,-1.69144,"[-1.65754026  1.35487769 -0.6778679   0.21847412 -1.52608441 -0.29595185
 -0.96126872 -0.7187864   0.25343524 -1.34464386  0.        ]",[ 0.23063559  1.56585034],-0.16222362124,[ 0.61335248  1.02272201],[-0.34313431 -0.26007184],"[[-2.29950969  0.37735609 -0.1765711  -0.03256976]
 [-8.23327446 -2.42286256  0.          0.        ]]"
10,-1.18484,"[-1.82781342  1.35835978 -0.49151414  0.19506547 -1.52608236 -0.29595172
 -0.80350491 -0.09371116  0.0336035  -1.13017927  0.        ]",[ 0.4623871  -0.38298453],-0.134605439795,[ 0.33737046  0.16615146],[-0.34313431 -0.26007184],"[[-2.45340165  0.36910294 -0.1765711  -0.03256976]
 [-7.15950989  1.58419935  0.          0.        ]]"
11,-0.67883,"[-1.94343692  1.3514744  -0.32361255  0.24078935 -1.52608031 -0.29595159
 -0.51385893 -0.33528564 -0.10715899 -0.94148207  0.        ]",[ 0.96968003  0.48898711],-0.113953391392,[ 0.30504394  0.55898327],[-0.34313431 -0.26007184],"[[-2.57681245  0.38524902 -0.1765711  -0.03256976]
 [-5.18813051  0.03557913  0.          0.        ]]"
12,-0.530771,"[-1.99559848  1.34250546 -0.23061094  0.29733655 -1.52607826 -0.29595146
  0.06472749 -0.03359398 -0.16575567 -0.84385603  0.        ]",[ 0.5909212   0.32940665],-0.104116504711,[-0.47094274  0.31229505],[-0.34313431 -0.26007184],"[[-2.64106439  0.40536494 -0.1765711  -0.03256976]
 [-1.25017124  1.96958033  0.          0.        ]]"
13,-0.417783,"[-1.99659475  1.31729788 -0.22868597  0.44141823 -1.52607621 -0.29595133
  0.41176252  0.16365208 -0.12953815 -0.88106733  0.        ]",[-2.02489547 -0.38370216],-0.108222712646,[-1.11890364  0.04496121],[-0.34313431 -0.26007184],"[[-2.64236949  0.45744315 -0.1765711  -0.03256976]
 [ 1.11180944  3.23403066  0.          0.        ]]"
14,-0.521499,"[-2.00989845  1.29111463 -0.20248962  0.57315116 -1.52607416 -0.2959512
 -0.1726321  -0.08311271 -0.11313062 -0.88540955  0.        ]",[ 0.06804506 -0.38938859],-0.109073447866,[-0.20259404  0.09353572],[-0.34313431 -0.26007184],"[[-2.66004044  0.50625224 -0.1765711  -0.03256976]
 [-2.86567881  1.65214036  0.          0.        ]]"
15,-0.278368,"[-2.04782703  1.28128365 -0.12090769  0.61886566 -1.52607211 -0.29595107
 -0.12467035 -0.32874962 -0.15993966 -0.8028029   0.        ]",[-0.60635354  1.341949  ],-0.100790289872,[-0.0389556   0.42267305],[-0.34313431 -0.26007184],"[[-2.71407879  0.52349596 -0.1765711  -0.03256976]
 [-2.53924354  0.07748027  0.          0.        ]]"
16,-0.369935,"[-2.09305671  1.25655178 -0.00536543  0.72641296 -1.52607006 -0.29595094
 -0.4699481   0.28880786 -0.20712001 -0.69833833  0.        ]",[ 0.11212673 -1.26364235],-0.0907999133519,[ 0.41071326 -0.48153967],[-0.34313431 -0.26007184],"[[-2.78844205  0.56476623 -0.1765711  -0.03256976]
 [-4.88926157  4.03634128  0.          0.        ]]"
17,-0.279544,"[-2.13765898  1.23086332  0.14252312  0.82849017 -1.52606801 -0.29595081
 -0.39035965 -0.34136647 -0.26655489 -0.55499305  0.        ]",[ 0.92867275  0.10127782],-0.0774775402597,[ 0.76447582  0.30793172],[-0.34313431 -0.26007184],"[[ -2.88079236e+00   6.04960992e-01  -1.76571099e-01  -3.25697616e-02]
 [ -4.34757103e+00  -3.39892427e-03   0.00000000e+00   0.00000000e+00]]"
18,-0.247661,"[-2.15607166  1.22825885  0.22294614  0.83835448 -1.52606596 -0.29595068
  0.16206022 -0.27900705 -0.30649822 -0.46134665  0.        ]",[ 0.51008802 -0.77896159],-0.0689933035685,[ 0.0610088   0.40779832],[-0.34313431 -0.26007184],"[[-2.93002002  0.60890376 -0.1765711  -0.03256976]
 [-0.58771375  0.3963559   0.          0.        ]]"
19,-0.117722,"[-2.15311402  1.24330138  0.20879554  0.78016355 -1.52606391 -0.29595055
  0.46042318 -0.76148407 -0.31445562 -0.45845156  0.        ]",[-0.58924723  1.28262451],-0.0686964824918,[-0.18001407  1.1429714 ],[-0.34313431 -0.26007184],"[[-2.92139957  0.58579854 -0.1765711  -0.03256976]
 [ 1.4429924  -2.696569    0.          0.        ]]"
20,-0.26805,"[-2.15128261  1.2519521   0.20032179  0.74533676 -1.52606186 -0.29595042
  0.11351474 -0.13535441 -0.31902259 -0.45678364  0.        ]",[ 0.59360838  0.62427964],-0.0685316347446,[ 0.09313942  0.28121036],[-0.34313431 -0.26007184],"[[-2.91622951  0.57213902 -0.1765711  -0.03256976]
 [-0.91811924  1.31723782  0.          0.        ]]"
21,-0.254089,"[-2.14933515  1.21881737  0.19152506  0.87343656 -1.52605981 -0.29595029
  0.46110359  0.24604773 -0.28077628 -0.51128803  0.        ]",[-0.22459774 -0.22531279],-0.0735373733647,[-0.63903016 -0.21015519],[-0.34313431 -0.26007184],"[[-2.91085589  0.62301501 -0.1765711  -0.03256976]
 [ 1.44762429  3.7622178   0.          0.        ]]"
22,-0.137952,"[-2.14180332  1.17255313  0.15928508  1.03165518 -1.52605776 -0.29595016
  0.32639869  0.09530774 -0.21685106 -0.60119907  0.        ]",[-1.8531823   0.20406034],-0.0823180763056,[-0.53885168 -0.20375574],[-0.34313431 -0.26007184],"[[-2.89110203  0.688564   -0.1765711  -0.03256976]
 [ 0.53080377  2.7958994   0.          0.        ]]"
23,-0.3097,"[-2.15270547  1.12408542  0.2069732   1.17696845 -1.52605571 -0.29595003
 -0.25646464  0.21292058 -0.19717616 -0.59356055  0.        ]",[-0.03338738 -1.08352246],-0.0821350082043,[ 0.23797701 -0.60968989],[-0.34313431 -0.26007184],"[[-2.92028839  0.75204685 -0.1765711  -0.03256976]
 [-3.4362497   3.54985677  0.          0.        ]]"
