timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.298350387204,[ 0.87842457 -2.26700302],-0.298350387204,[-0.03014133 -0.39098614],"[[-0.08975865  0.0829165  -0.06221989  0.11328636]
 [-0.00254631  0.00218735  0.          0.        ]]","[ 1.04876607  1.28805214 -0.12435357  0.49943553 -0.57594338  1.01096691
  0.05286738  0.19496942  1.49087864 -0.85356484  0.        ]",[-0.01678721 -0.07000814]
1,-0.297377237337,[-0.75905553 -0.76643289],-0.297377237337,[-0.03420165 -0.39692175],"[[-0.0549285   0.04321842 -0.06221989  0.11328636]
 [ 3.47397986 -3.95879081  0.          0.        ]]","[ 1.05225645  1.29106497 -0.07127147  0.42639581 -0.57593216  1.01093699
  0.36908813 -0.344174    1.49238498 -0.83293231  0.        ]",[-0.01678721 -0.07000814]
2,-0.298744053788,[-0.01439959 -2.21870278],-0.298744053788,[-0.03897476 -0.40312827],"[[-0.01625411 -0.06560777 -0.06221989  0.11328636]
 [ 0.40367725 -6.91398276  0.          0.        ]]","[ 1.05414957  1.28952387 -0.0122143   0.22588254 -0.57592093  1.01090709
  0.08980672 -0.74640852  1.49089003 -0.8598357   0.        ]",[-0.01678721 -0.07000814]
3,-0.303737818774,[ 1.19536363 -1.16590671],-0.303737818774,[-0.04285168 -0.40839908],"[[ -8.81769477e-03  -2.42241624e-01  -6.22198919e-02   1.13286363e-01]
 [  3.40150046e-01  -1.07366629e+01   0.00000000e+00   0.00000000e+00]]","[  1.05424745e+00   1.25636257e+00  -8.51511640e-04  -9.54774608e-02
  -5.75909711e-01   1.01087718e+00   8.40268576e-02  -1.26669494e+00
   1.47119598e+00  -9.83261998e-01   0.00000000e+00]",[-0.01678721 -0.07000814]
4,-0.305012835459,[-0.21003413 -1.48217065],-0.305012835459,[-0.04557983 -0.41426089],"[[  0.037622    -0.49458491  -0.06221989   0.11328636]
 [  4.29066295 -14.48514919   0.           0.        ]]","[ 1.05327911  1.14535261  0.07009999 -0.52831018 -0.57589849  1.01084728
  0.44337507 -1.77681794  1.4206085  -1.09949841  0.        ]",[-0.01678721 -0.07000814]
5,-0.30028408471,[ 0.51554129  1.48811365],-0.30028408471,[-0.04812037 -0.41784596],"[[  0.11425656  -0.82113481  -0.06221989   0.11328636]
 [  3.37571526 -18.15760898   0.           0.        ]]","[ 1.04511317  0.90196002  0.18684099 -1.00254616 -0.57588727  1.01081738
  0.36014049 -2.27647884  1.32052956 -1.20656998  0.        ]",[-0.01678721 -0.07000814]
6,-0.289529324429,[ 0.06148228  0.48272874],-0.289529324429,[-0.04356235 -0.41411066],"[[  0.20154851  -1.1409577   -0.06221989   0.11328636]
 [  5.34708187 -13.83903889   0.           0.        ]]","[ 1.02588009  0.5779045   0.31853246 -1.32901417 -0.57587605  1.01078748
  0.53945884 -1.68860929  1.19208937 -1.26784851  0.        ]",[-0.01678721 -0.07000814]
7,-0.275695120525,[ 1.69727906 -0.89587256],-0.275695120525,[-0.04047348 -0.40972525],"[[  0.30986306  -1.39581088  -0.06221989   0.11328636]
 [  5.48396432 -11.6535588    0.           0.        ]]","[ 0.98753335  0.28083343  0.47859003 -1.4684961  -0.57586483  1.01075758
  0.55190017 -1.39110516  1.08725221 -1.2541368   0.        ]",[-0.01678721 -0.07000814]
8,-0.257122287548,[-0.09845879  0.23714755],-0.257122287548,[-0.04067161 -0.40513164],"[[  0.45816662  -1.66216366  -0.06221989   0.11328636]
 [  9.33365465 -14.9705832    0.           0.        ]]","[ 0.90982927 -0.04403451  0.68851636 -1.48888882 -0.57585361  1.01072769
  0.90207671 -1.84242839  0.97621913 -1.19531448  0.        ]",[-0.01678721 -0.07000814]
9,-0.234010619665,[-2.41589438 -0.88405278],-0.234010619665,[-0.03672533 -0.3947413 ],"[[  0.63907726  -1.94917591  -0.06221989   0.11328636]
 [  8.75931921 -13.73477719   0.           0.        ]]","[ 0.77796397 -0.38462359  0.9240689  -1.36612069 -0.57584239  1.0106978
  0.84980874 -1.67414994  0.8450576  -1.11235443  0.        ]",[-0.01678721 -0.07000814]
