timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.391726940284,[ 0.8101224  -0.69123874],-0.391726940284,[ 2.19894314 -0.3454361 ],"[[-0.09080601  0.0950449  -0.13295329  0.18144061]
 [-0.0011072  -0.00214306  0.          0.        ]]","[ 1.03184379  1.65793581 -0.15104157  1.38808643 -1.14835635  1.57649763
 -0.02016813  0.33717809  2.7636642  -1.91907486  0.        ]",[-0.4726423  -0.37824273]
1,-0.390147183075,[ 3.51810822 -0.27795192],-0.390147183075,[ 2.12974215 -0.19476905],"[[-0.05866306  0.06752855 -0.13295329  0.18144061]
 [ 3.20472284 -2.74036274  0.          0.        ]]","[ 1.0354598   1.66082523 -0.10392725  1.31508227 -1.1483544   1.57649361
  0.36691659 -0.08297537  2.7658355  -1.87857039  0.        ]",[-0.4726423  -0.37824273]
2,-0.383409986902,[ 1.36965123 -0.03933862],-0.383409986902,[ 2.06851625  0.01058114],"[[  4.44899721e-02   2.20798257e-03  -1.32953293e-01   1.81440613e-01]
 [  7.09761753e+00  -3.78819672e+00   0.00000000e+00   0.00000000e+00]]","[ 1.03655965  1.66376977  0.04763047  1.1413404  -1.14835245  1.57648958
  0.83695987 -0.24375536  2.76542646 -1.72073291  0.        ]",[-0.4726423  -0.37824273]
3,-0.367987191694,[ 1.94520347  1.631822  ],-0.367987191694,[ 1.98833418  0.14768201],"[[  0.22472466  -0.07438112  -0.13295329   0.18144061]
 [ 10.91315157  -3.87042725   0.           0.        ]]","[ 1.00014651  1.66018679  0.30981282  0.93764951 -1.1483505   1.57648555
  1.2976609  -0.25637266  2.73269453 -1.40245844  0.        ]",[-0.4726423  -0.37824273]
4,-0.338000534728,[ 2.29732744  0.72161497],-0.338000534728,[ 1.6074512  -0.04753172],"[[  0.48049702  -0.11130695  -0.13295329   0.18144061]
 [ 14.65163929   0.16441296   0.           0.        ]]","[ 0.8673566   1.65574806  0.66168983  0.83978465 -1.14834855  1.57648153
  1.74905615  0.36273582  2.59409653 -0.8880611   0.        ]",[-0.4726423  -0.37824273]
5,-0.286006977018,[-0.34405231 -0.62478756],-0.286006977018,[ 0.4388653  -0.52569938],"[[  0.81030147  -0.07939627  -0.13295329   0.18144061]
 [ 18.31659884   3.01715486   0.           0.        ]]","[ 0.56966306  1.65967868  1.04721748  0.92433687 -1.1483466   1.5764775
  2.19156853  0.80046191  2.21999989 -0.23394554  0.        ]",[-0.4726423  -0.37824273]
6,-0.221557000167,[-0.80253428  0.12995883],-0.221557000167,[ 0.01829264 -0.61430347],"[[  1.15935248  -0.04446636  -0.13295329   0.18144061]
 [ 16.59424046   0.48426471   0.           0.        ]]","[ 0.1334957   1.66247427  1.32951627  1.01713216 -1.14834465  1.57647348
  1.98359758  0.41181272  1.64255613  0.25196261  0.        ]",[-0.4726423  -0.37824273]
7,-0.162444611035,[-0.76607034 -0.67050352],-0.162444611035,[-0.17059439 -0.92382777],"[[  1.45608912  -0.02970018  -0.13295329   0.18144061]
 [ 13.09108802   0.99065556   0.           0.        ]]","[-0.29683838  1.6631788   1.44252802  1.05640916 -1.14834269  1.57646945
  1.56061128  0.48951337  1.07680084  0.4458927   0.        ]",[-0.4726423  -0.37824273]
8,-0.116370184978,[-0.76456122  0.07683458],-0.116370184978,[-0.24364352 -0.70720553],"[[ 1.68491763 -0.0367085  -0.13295329  0.18144061]
 [ 9.8027094  -1.68258329  0.          0.        ]]","[-0.64102666  1.66287284  1.44262309  1.0377625  -1.14834074  1.57646542
  1.16355982  0.07932877  0.64037527  0.45485326  0.        ]",[-0.4726423  -0.37824273]
9,-0.0854460208913,[-0.49975544  0.17792934],-0.0854460208913,[-0.15021917 -0.75498962],"[[ 1.84867935 -0.06696076 -0.13295329  0.18144061]
 [ 6.58417876 -1.34377623  0.          0.        ]]","[-0.88288651  1.66083805  1.39579235  0.95734404 -1.14833879  1.5764614
  0.77494324  0.13131562  0.3575773   0.39709993  0.        ]",[-0.4726423  -0.37824273]
