timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.365343655066,[-2.83465171 -3.27959119],-0.365343655066,[-2.86459303 -3.54503965],"[[ 0.00491202 -0.05061866 -0.15512461 -0.02017968]
 [ 0.00036038 -0.00343272  0.          0.        ]]","[ 1.03295534  1.69759974 -0.01358855  0.97176821 -1.34024961 -0.17530031
 -0.01929254  0.34018124  2.92853428  0.32065082  0.        ]",[-0.43070325 -0.349298  ]
1,-0.364216529613,[-2.55958557 -2.63324681],-0.364216529613,[-2.58012486 -3.08899164],"[[-0.03475597 -0.09039904 -0.15512461 -0.02017968]
 [-3.95400156 -3.96141851  0.          0.        ]]","[ 1.03206068  1.69396105 -0.07199807  0.86520818 -1.34024672 -0.17530017
 -0.48815345 -0.26111647  2.92116817  0.18525562  0.        ]",[-0.43070325 -0.349298  ]
2,-0.358468615615,[-1.92423162 -2.11390817],-0.358468615615,[-2.0797286 -2.6168046],"[[-0.15272737 -0.20855312 -0.15512461 -0.02017968]
 [-7.83026851 -7.84105932  0.          0.        ]]","[ 1.01540732  1.67115455 -0.24487396  0.55162209 -1.34024383 -0.17530003
 -0.94775412 -0.85051149  2.85408131 -0.20908249  0.        ]",[-0.43070325 -0.349298  ]
3,-0.341350251419,[-1.61694512 -2.82819617],-0.341350251419,[-1.23563397 -2.02875257],"[[ -0.34745834  -0.40352908  -0.15512461  -0.02017968]
 [-11.63029268 -11.64384609   0.           0.        ]]","[ 0.94280331  1.5951022  -0.52229756  0.053129   -1.34024094 -0.17529989
 -1.39831307 -1.42822874  2.60475569 -0.79718575  0.        ]",[-0.43070325 -0.349298  ]
4,-0.303106525458,[-1.74595724 -2.16720672],-0.303106525458,[-0.43575519 -1.69075525],"[[ -0.6174453   -0.67380388  -0.15512461  -0.02017968]
 [-15.35626195 -15.37116678   0.           0.        ]]","[ 0.75437861  1.4158698  -0.87346011 -0.5680251  -1.34023805 -0.17529975
 -1.84008809 -1.99447639  2.03350532 -1.37994613  0.        ]",[-0.43070325 -0.349298  ]
5,-0.234422425114,[ 1.16684108 -1.44905591],-0.234422425114,[ 1.17564952 -0.36348873],"[[ -0.96123178  -1.01788131  -0.15512461  -0.02017968]
 [-19.01067432 -19.02432158   0.           0.        ]]","[ 0.38796016  1.08356369 -1.22830104 -1.17773102 -1.34023516 -0.17529961
 -2.27337336 -2.54944839  1.13561411 -1.58650986  0.        ]",[-0.43070325 -0.349298  ]
6,-0.144776904587,[ 1.50344635  1.49464769],-0.144776904587,[ 1.85435188  1.11998641],"[[ -1.29800569e+00  -1.43431573e+00  -1.55124612e-01  -2.01796790e-02]
 [ -1.46812450e+01  -2.26071841e+01   0.00000000e+00   0.00000000e+00]]","[-0.06935126  0.57902908 -1.43908192 -1.55290589 -1.34023227 -0.17529947
 -1.76003801 -3.09372881  0.33599529 -1.12822933  0.        ]",[-0.43070325 -0.349298  ]
7,-0.0730698033354,[ 1.8510153   0.21037145],-0.0730698033354,[ 1.72016335  1.83647525],"[[ -1.54905914  -1.84224051  -0.15512461  -0.02017968]
 [-10.43769064 -18.19999649   0.           0.        ]]","[-0.44306432  0.05495788 -1.49318747 -1.47954353 -1.34022938 -0.17529933
 -1.25688852 -2.42418393  0.05798473 -0.4089596   0.        ]",[-0.43070325 -0.349298  ]
8,-0.0616250833623,[ 1.56972563  2.12699318],-0.0616250833623,[ 1.28791869  1.89135849],"[[ -1.71605278  -2.19426799  -0.15512461  -0.02017968]
 [ -6.27522829 -17.00673327   0.           0.        ]]","[-0.69425603 -0.35443159 -1.47802226 -1.07260832 -1.34022649 -0.17529919
 -0.76335569 -2.24289578  0.15729088  0.12893213  0.        ]",[-0.43070325 -0.349298  ]
9,-0.0904773921124,[ 0.64951119  1.81661876],-0.0904773921124,[ 0.85776484  1.58602202],"[[ -1.80060608  -2.49129691  -0.15512461  -0.02017968]
 [ -2.19340526 -12.71046587   0.           0.        ]]","[-0.81955746 -0.629378   -1.45481006 -0.51822208 -1.34022361 -0.17529905
 -0.27938458 -1.59021471  0.39348977  0.40172624  0.        ]",[-0.43070325 -0.349298  ]
