timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.07447206  1.46856979 -0.01964436  1.11770335  1.68367178 -0.16169071
 -0.05156842  0.32372972 -0.24556723  0.28702433  0.        ]",[ 0.79450649 -1.30105418],-0.0188377739989,-0.0188377739989,[ 0.13052312 -1.04800594],"[[ 0.00881983 -0.0736057   0.19540832 -0.0184353 ]
 [ 0.00082496  0.00286442  0.          0.        ]]",[-0.82744837 -0.68582547]
1,"[ 1.07332819  1.46374925  0.02663469  1.01366555  1.68366844 -0.16169062
  0.37552977 -0.33215697 -0.24696658  0.31535821  0.        ]",[-0.67330243 -1.0269147 ],-0.0202788813004,-0.0202788813004,[-0.80603462 -0.43678504],"[[ 0.04038599 -0.11328907  0.19540832 -0.0184353 ]
 [ 3.14531737 -3.95799518  0.          0.        ]]",[-0.82744837 -0.68582547]
2,"[ 1.07028363  1.43741088  0.07871555  0.70747675  1.6836651  -0.16169054
  0.00550964 -0.97468273 -0.25945381  0.24703169  0.        ]",[ 0.93730555  1.48588415],-0.0157934589005,-0.0157934589005,[ 0.74059874  0.70250344],"[[ 0.07595929 -0.23137999  0.19540832 -0.0184353 ]
 [ 0.42106243 -7.83817193  0.          0.        ]]",[-0.82744837 -0.68582547]
3,"[ 1.06368019  1.39458355  0.145151    0.41613116  1.68366176 -0.16169045
  0.5077938  -0.29353974 -0.27864448  0.20904354  0.        ]",[-1.35177099  0.02712577],-0.0125766329983,-0.0125766329983,[-1.03982317 -0.11840525],"[[ 0.12148377 -0.34687271  0.19540832 -0.0184353 ]
 [ 4.11910535 -3.72479529  0.          0.        ]]",[-0.82744837 -0.68582547]
4,"[ 1.05493369  1.35923613  0.20593491  0.238702    1.68365842 -0.16169037
 -0.0406034  -0.26329232 -0.29275211  0.21985494  0.        ]",[-0.048744    0.82312751],-0.0118389413548,-0.0118389413548,[ 0.49768221  0.29615191],"[[ 0.16335615 -0.41953578  0.19540832 -0.0184353 ]
 [ 0.08156149 -3.54213408  0.          0.        ]]",[-0.82744837 -0.68582547]
5,"[ 1.05501194  1.33856238  0.20545416  0.14943912  1.68365509 -0.16169028
 -0.06718082  0.28803779 -0.30406502  0.16934421  0.        ]",[ 0.42100744  0.02222877],-0.00899206967941,-0.00899206967941,[ 0.29760402 -0.2980766 ],"[[ 0.16302403 -0.45697306  0.19540832 -0.0184353 ]
 [-0.1141135  -0.21269009  0.          0.        ]]",[-0.82744837 -0.68582547]
6,"[ 1.05140789  1.33663937  0.22634105  0.14156545  1.68365175 -0.1616902
  0.15934094  0.30320912 -0.30302511  0.20183945  0.        ]",[-1.29310077 -0.87120445],-0.0101921303191,-0.0101921303191,[-0.45800346 -0.4326131 ],"[[ 0.17747481 -0.46030764  0.19540832 -0.0184353 ]
 [ 1.55363922 -0.12107052  0.          0.        ]]",[-0.82744837 -0.68582547]
7,"[ 1.05366532  1.3144604   0.21346093  0.05510813  1.68364841 -0.16169011
 -0.38199638 -0.26738244 -0.31677622  0.13065801  0.        ]",[ 2.00590497 -0.3929361 ],-0.00729073307042,-0.00729073307042,[ 1.61357546  0.62435007],"[[ 0.16855949 -0.49730142  0.19540832 -0.0184353 ]
 [-2.43192205 -3.5668297   0.          0.        ]]",[-0.82744837 -0.68582547]
8,"[  1.05570034e+00   1.25672987e+00   2.01223185e-01  -1.39595751e-01
   1.68364507e+00  -1.61690024e-01   1.61942024e-01  -5.13564567e-01
  -3.53907593e-01  -1.11673331e-03   0.00000000e+00]",[ 0.43616419  0.58414507],-0.0114076901512,-0.0114076901512,[ 0.51060277  0.93776643],"[[ 0.16010133 -0.58355442  0.19540832 -0.0184353 ]
 [ 1.57278674 -5.05350584  0.          0.        ]]",[-0.82744837 -0.68582547]
9,"[ 1.04263341  1.19846476  0.27106686 -0.30406024  1.68364173 -0.16168994
  0.39197662 -0.1140805  -0.37619104  0.02305708  0.        ]",[-0.06381873  0.08212003],-0.00900137089365,-0.00900137089365,[-0.41234499  0.37078342],"[[ 0.2085494  -0.66041971  0.19540832 -0.0184353 ]
 [ 3.26640114 -2.64105492  0.          0.        ]]",[-0.82744837 -0.68582547]
10,"[ 1.02093123  1.15810323  0.3595913  -0.40404803  1.68363839 -0.16168985
  0.34889276 -0.05155552 -0.38477716  0.11492812  0.        ]",[-1.50296138  0.38091543],-0.00164235071756,-0.00164235071756,[-0.56792718  0.34395441],"[[ 0.27069486 -0.70945239  0.19540832 -0.0184353 ]
 [ 2.94920101 -2.26347209  0.          0.        ]]",[-0.82744837 -0.68582547]
11,"[ 1.01332479  1.1325179   0.38594611 -0.46257013  1.68363506 -0.16168977
 -0.19646646  0.20584567 -0.39520406  0.12380837  0.        ]",[ 0.7145931   0.00116473],-0.00098388732968,-0.00098388732968,[ 0.70750767  0.32893696],"[[ 0.28939362 -0.73912568  0.19540832 -0.0184353 ]
 [-1.06596302 -0.70904844  0.          0.        ]]",[-0.82744837 -0.68582547]
12,"[ 1.01023866  1.1201476   0.39613683 -0.48964817  1.68363172 -0.16168968
  0.19039682  0.20877841 -0.40058761  0.12409379  0.        ]",[-0.34641898 -0.13755739],-0.00132497071196,-0.00132497071196,[-0.34053689  0.14902768],"[[ 0.29665165 -0.753129    0.19540832 -0.0184353 ]
 [ 1.78228599 -0.69133722  0.          0.        ]]",[-0.82744837 -0.68582547]
13,"[  1.00064489e+00   1.10293085e+00   4.26249313e-01  -5.26104822e-01
   1.68362838e+00  -1.61689595e-01  -5.23655106e-04   1.20928231e-01
  -4.05981111e-01   1.52797188e-01   0.00000000e+00]",[-0.43650676  0.83462173],-0.00215543077644,-0.00215543077644,[ 0.1359629   0.38830671],"[[ 0.31819425 -0.77227857  0.19540832 -0.0184353 ]
 [ 0.37665082 -1.22185575  0.          0.        ]]",[-0.82744837 -0.68582547]
14,"[ 1.00512411  1.11103566  0.41246419 -0.50911234  1.68362504 -0.16168951
 -0.23625012  0.67227223 -0.40336588  0.13988959  0.        ]",[-0.05482437 -0.24176997],-0.00138699399395,-0.00138699399395,[ 0.43916094 -0.31477329],"[[ 0.30831427 -0.76330956  0.19540832 -0.0184353 ]
 [-1.35886454  2.10765976  0.          0.        ]]",[-0.82744837 -0.68582547]
