timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.072161    1.46950815 -0.12114445  1.28729318  0.76367033  0.62168638
 -0.05169163  0.32350679  0.82101621 -0.94920865  0.        ]",[ 3.33908189 -1.25374778],-0.147785794202,-0.147785794202,[ 2.92183948 -1.45468855],"[[-0.06050848 -0.01068432  0.08953706  0.07238561]
 [-0.00042719  0.00198219  0.          0.        ]]",[-0.84388649 -0.68886715]
1,"[ 1.07453329  1.46792727 -0.06297043  1.18280147  0.76366971  0.62168594
  0.48735108 -0.33374588  0.82264255 -0.89942346  0.        ]",[ 2.67517683 -1.6196312 ],-0.145640871517,-0.145640871517,[ 2.52596736 -1.32891405],"[[-0.02081099 -0.05038836  0.08953706  0.07238561]
 [ 3.95699518 -3.95917816  0.          0.        ]]",[-0.84388649 -0.68886715]
2,"[ 1.06790027  1.45112855  0.10996671  0.87376443  0.76366909  0.6216855
  1.01573015 -0.97797712  0.81808888 -0.75144668  0.        ]",[ 2.32164601 -1.27977105],-0.138934089215,-0.138934089215,[ 1.84155726 -1.13519704],"[[ 0.09724942 -0.16852831  0.08953706  0.07238561]
 [ 7.83613366 -7.84186341  0.          0.        ]]",[-0.84388649 -0.68886715]
3,"[ 1.01253084  1.38446206  0.38995312  0.37909858  0.76366847  0.62168506
  1.53366859 -1.60942742  0.78010373 -0.51189685  0.        ]",[ 0.50111434 -1.57049101],-0.126844390671,-0.126844390671,[ 0.62547529 -0.92924953],"[[  0.29212341  -0.36354949   0.08953706   0.07238561]
 [ 11.63863314 -11.64753181   0.           0.        ]]",[-0.84388649 -0.68886715]
4,"[ 0.86365174  1.2165662   0.72479014 -0.244195    0.76366785  0.62168462
  1.77256496 -2.2282019   0.67618586 -0.25269189  0.        ]",[-0.63336592 -0.51076453],-0.110044780638,-0.110044780638,[-0.36585736 -0.28133008],"[[  0.54249315  -0.63391793   0.08953706   0.07238561]
 [ 13.39253591 -15.37683131   0.           0.        ]]",[-0.84388649 -0.68886715]
5,"[ 0.64696235  0.91560429  1.00173975 -0.83961537  0.76366723  0.62168417
  1.39528067 -2.51302655  0.51502093 -0.13144542  0.        ]",[-0.13175858  0.9694113 ],-0.0921321031764,-0.0921321031764,[ 0.40328014  0.86428857],"[[  0.78255412  -0.95867795   0.08953706   0.07238561]
 [ 10.62268825 -17.09348588   0.           0.        ]]",[-0.84388649 -0.68886715]
6,"[ 0.41385544  0.56727487  1.19189695 -1.19044957  0.76366661  0.62168373
  1.29553174 -1.81987942  0.33180836 -0.09639799  0.        ]",[ 0.21482005  1.20575245],-0.0738313099112,-0.0738313099112,[ 0.14692645  1.15037966],"[[  0.98765997  -1.2586335    0.08953706   0.07238561]
 [  9.89038606 -12.91599932   0.           0.        ]]",[-0.84388649 -0.68886715]
7,"[ 0.14780122  0.29233755  1.33032793 -1.30554361  0.76366599  0.62168329
  1.38460273 -1.12041175  0.14579604  0.00664069  0.        ]",[-1.46077899  1.8454695 ],-0.0540383089523,-0.0540383089523,[-1.39931035  0.70917416],"[[  1.19202823  -1.47465716   0.08953706   0.07238561]
 [ 10.54432372  -8.7003982    0.           0.        ]]",[-0.84388649 -0.68886715]
8,"[-0.08994375  0.1199411   1.40216018 -1.31595672  0.76366537  0.62168285
  0.81706457 -0.4346695  -0.00668545  0.11691263  0.        ]",[-1.00012473  0.57058062],-0.0379873651645,-0.0379873651645,[-0.96343911  0.14023736],"[[ 1.36111033 -1.60719779  0.08953706  0.07238561]
 [ 6.37769612 -4.56751183  0.          0.        ]]",[-0.84388649 -0.68886715]
9,"[-0.21549743  0.03192637  1.42318405 -1.30342592  0.76366475  0.62168241
  0.26075349 -0.04468137 -0.08790355  0.16018561  0.        ]",[ 0.41688761  0.50253016],-0.0299842009399,-0.0299842009399,[ 0.1491579  -0.11373557],"[[ 1.4476865  -1.6749652   0.08953706  0.07238561]
 [ 2.2934897  -2.21710033  0.          0.        ]]",[-0.84388649 -0.68886715]
10,"[ -3.06247389e-01   9.62544980e-04   1.43154189e+00  -1.29611998e+00
   7.63664135e-01   6.21681965e-01   4.79274989e-01   2.92726238e-01
  -1.41402668e-01   2.18709186e-01   0.00000000e+00]",[-0.79686357 -0.66186425],-0.0255140437996,-0.0255140437996,[-0.99797618 -0.61232996],"[[ 1.50965267 -1.69890438  0.08953706  0.07238561]
 [ 3.89778622 -0.1835852   0.          0.        ]]",[-0.84388649 -0.68886715]
11,"[-0.37318396 -0.037607    1.43410202 -1.28488378  0.76366351  0.62168152
  0.0392333  -0.14142785 -0.18419791  0.24218016  0.        ]",[-0.19420938  0.25628807],-0.0221096488859,-0.0221096488859,[ 0.47393638  0.16226649],"[[ 1.5551949  -1.72882905  0.08953706  0.07238561]
 [ 0.66718388 -2.80017768  0.          0.        ]]",[-0.84388649 -0.68886715]
12,"[-0.38126965 -0.09558797  1.43420341 -1.26346792  0.7636629   0.62168108
 -0.06728631  0.03616618 -0.1982253   0.1883219   0.        ]",[ 0.35321696  0.65366662],-0.019461639438,-0.019461639438,[ 0.76556313  0.06635228],"[[ 1.5606923  -1.77409355  0.08953706  0.07238561]
 [-0.11483852 -1.72984125  0.          0.        ]]",[-0.84388649 -0.68886715]
13,"[-0.39855233 -0.10614721  1.43427404 -1.25897259  0.76366228  0.62168064
  0.12340229  0.47127142 -0.20926607  0.19304089  0.        ]",[-0.0930932  -0.99362655],-0.018487810333,-0.018487810333,[-0.13793637 -0.59279698],"[[ 1.57244169 -1.78237977  0.08953706  0.07238561]
 [ 1.28511663  0.89248236  0.          0.        ]]",[-0.84388649 -0.68886715]
14,"[-0.43055065 -0.13383795  1.43387221 -1.24630424  0.76366166  0.6216802
  0.06981702 -0.18445346 -0.23122324  0.19268315  0.        ]",[ 0.61200166  0.0454623 ],-0.016383802539,-0.016383802539,[ 0.41696584  0.38733014],"[[ 1.59419698 -1.80418148  0.08953706  0.07238561]
 [ 0.89171683 -3.0594839   0.          0.        ]]",[-0.84388649 -0.68886715]
15,"[-0.49220893 -0.20774366  1.43113961 -1.20610504  0.76366104  0.62167976
  0.39735791 -0.1445773  -0.27755231  0.16762396  0.        ]",[-0.49185553  0.04842666],-0.0114301046947,-0.0114301046947,[-0.64841545  0.37826923],"[[ 1.63615788 -1.86296     0.08953706  0.07238561]
 [ 3.29638225 -2.81915621  0.          0.        ]]",[-0.84388649 -0.68886715]
