timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.0462760240543,[ 1.02492217  0.29426733],-0.0462760240543,[ 1.31918085 -0.42011005],"[[-0.04693869  0.0317614   0.19538197  0.03758565]
 [ 0.00209822 -0.00131294  0.          0.        ]]","[ 1.01760476  1.81999652 -0.10067235  1.08740812  1.69280865  0.33498966
 -0.01467475  0.35160862 -0.25377516 -0.29797487  0.        ]",[-0.31576431 -0.26223317]
1,-0.0372832412785,[-0.2968424  -1.40662919],-0.0372832412785,[ 0.359317   -0.75580919],"[[-0.00721117  0.04341056  0.19538197  0.03758565]
 [ 3.95748561  1.16235582  0.          0.        ]]","[ 1.01920329  1.81941853 -0.04139377  1.12005063  1.69280245  0.33498931
  0.42062148  0.52323688 -0.2533567  -0.20281795  0.        ]",[-0.31576431 -0.26223317]
2,-0.0262548897352,[ 1.18750665  0.48329124],-0.0262548897352,[ 0.60974044 -0.21120586],"[[ 0.05938687  0.02670381  0.19538197  0.03758565]
 [ 2.70647802 -2.81976087  0.          0.        ]]","[ 1.01661641  1.82017434  0.05796985  1.07322646  1.69279626  0.33498896
  0.2829457  -0.06408374 -0.25777364 -0.08269898  0.        ]",[-0.31576431 -0.26223317]
3,-0.01405711915,[-0.47441711 -1.70837725],-0.01405711915,[-0.57740295 -0.6859346 ],"[[ 0.15266214 -0.00994641  0.19538197  0.03758565]
 [ 6.60806086 -0.85181473  0.          0.        ]]","[ 1.00192939  1.82056713  0.19637668  0.97045459  1.69279007  0.3349886
  0.71232081  0.22616784 -0.27248928  0.07018271  0.        ]",[-0.31576431 -0.26223317]
4,-0.0136173121373,[-0.41946262  0.55682385],-0.0136173121373,[-0.30769679 -0.08609784],"[[ 0.26469751 -0.06653348  0.19538197  0.03758565]
 [ 4.60215067 -4.79375627  0.          0.        ]]","[ 0.96740307  1.81774035  0.3599063   0.81190147  1.69278387  0.33498825
  0.49156615 -0.35522812 -0.30159118  0.23811235  0.        ]",[-0.31576431 -0.26223317]
5,-0.0187704088973,[ 0.29287011 -1.25798663],-0.0187704088973,[-0.22233173 -0.33613813],"[[ 0.33916962 -0.13932808  0.19538197  0.03758565]
 [ 2.85089326 -2.49337396  0.          0.        ]]","[ 0.93445091  1.80798625  0.46602262  0.60888554  1.69277768  0.3349879
  0.29883662 -0.0159448  -0.32110408  0.31020573  0.        ]",[-0.31576431 -0.26223317]
6,-0.0220936693908,[-0.79226316  0.47310249],-0.0220936693908,[-0.38906267  0.24106106],"[[ 0.40726115 -0.22843232  0.19538197  0.03758565]
 [ 3.95457979 -6.40401268  0.          0.        ]]","[ 0.89750778  1.78675067  0.56065199  0.36330072  1.69277148  0.33498754
  0.42029907 -0.59272455 -0.3388573   0.35046995  0.        ]",[-0.31576431 -0.26223317]
7,-0.0195553004916,[ 0.85708882 -0.18471769],-0.0195553004916,[ 0.13139832  0.16247597],"[[ 0.45411448 -0.33643276  0.19538197  0.03758565]
 [ 0.7414448  -4.40271102  0.          0.        ]]","[ 0.86839721  1.747532    0.62419994  0.0725718   1.69276529  0.33498719
  0.06668679 -0.29755188 -0.34721006  0.32678917  0.        ]",[-0.31576431 -0.26223317]
8,-0.0186020151233,[ 0.15086685  0.26669993],-0.0186020151233,[-0.52378285  0.23377624],"[[ 0.50281786 -0.43096348  0.19538197  0.03758565]
 [ 4.11766699 -5.04819688  0.          0.        ]]","[ 0.83502672  1.70141844  0.68873167 -0.17315685  1.6927591   0.33498684
  0.43824694 -0.39275436 -0.36250646  0.31987077  0.        ]",[-0.31576431 -0.26223317]
9,-0.0259005912485,[-2.0781756  -0.07875896],-0.0259005912485,[-0.88643467  0.10499603],"[[ 0.59033837 -0.52033078  0.19538197  0.03758565]
 [ 4.6326759  -3.89238025  0.          0.        ]]","[ 0.76734618  1.64809205  0.80030936 -0.39587959  1.6927529   0.33498649
  0.49492427 -0.22228224 -0.40182631  0.39183521  0.        ]",[-0.31576431 -0.26223317]
