timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.09186058  2.15076072 -0.08248705  1.08329643 -1.13732213  1.05545566
 -0.0229489   0.36912006  2.35737576 -0.88896729  0.        ]",[-0.79542445 -0.82170019],-0.358195686123,-0.358195686123,[ 0.03759079 -1.9719193 ],"[[ 0.00110819  0.08321891 -0.13080527  0.12083089]
 [ 0.00489249  0.00375921  0.          0.        ]]",[-0.17335215 -0.17114045]
1,"[ 1.09121212  2.15375485 -0.12996922  0.98040222 -1.13731798  1.05545211
 -0.3126442  -0.08711554  2.35983047 -0.97625711  0.        ]",[ 1.97210424 -2.43562753],-0.361793682228,-0.361793682228,[ 0.2773158  -1.83436489],"[[-0.03035308  0.05066123 -0.13080527  0.12083089]
 [-3.1405487  -3.24869167  0.          0.        ]]",[-0.17335215 -0.17114045]
2,"[ 1.08989826  2.15353764 -0.16387453  0.65090088 -1.13731383  1.05544857
  0.05755374 -0.6337405   2.35448716 -1.11484714  0.        ]",[ 0.68527193 -1.48038837],-0.366897574095,-0.366897574095,[ 0.2787371  -1.76809943],"[[-0.05283507 -0.05341081 -0.13080527  0.12083089]
 [ 0.8789583  -7.14552053  0.          0.        ]]",[-0.17335215 -0.17114045]
3,"[ 1.09180272  2.11757454 -0.09656183  0.08357574 -1.13730968  1.05544502
  0.30575723 -1.16946738  2.33544487 -1.20345877  0.        ]",[ 1.03357297 -0.51860681],-0.368634661017,-0.368634661017,[ 0.24219793 -1.71863139],"[[ -8.21682536e-03  -2.34640142e-01  -1.30805267e-01   1.20830889e-01]
 [  3.57388398e+00  -1.09646761e+01   0.00000000e+00   0.00000000e+00]]",[-0.17335215 -0.17114045]
4,"[ 1.08452684  2.00394206  0.06991425 -0.62121981 -1.13730554  1.05544147
  0.66365638 -1.42725657  2.29894372 -1.22328444  0.        ]",[ 0.81143249 -2.33212254],-0.365244503801,-0.365244503801,[ 0.08338489 -1.72589493],"[[  0.10224967  -0.47237318  -0.13080527   0.12083089]
 [  7.45985794 -12.80247048   0.           0.        ]]",[-0.17335215 -0.17114045]
5,"[ 1.03641501  1.76933474  0.33616377 -1.37502186 -1.13730139  1.05543792
  0.94585356 -1.94723678  2.23282913 -1.16921263  0.        ]",[-0.86674056 -1.74970241],-0.354830124919,-0.354830124919,[-0.06111637 -1.64593709],"[[  0.28218884  -0.76561656  -0.13080527   0.12083089]
 [ 10.52389515 -16.50945287   0.           0.        ]]",[-0.17335215 -0.17114045]
6,"[ 0.94853373  1.35929306  0.58079565 -2.04773388 -1.13729724  1.05543437
  0.61092438 -2.45659823  2.09537352 -1.18197819  0.        ]",[-0.28635691 -0.9378298 ],-0.339223783163,-0.339223783163,[-0.10509366 -1.53500021],"[[  0.45618269  -1.13223985  -0.13080527   0.12083089]
 [  6.88735692 -20.14084168   0.           0.        ]]",[-0.17335215 -0.17114045]
7,"[ 0.86173859  0.77514813  0.74456795 -2.34745406 -1.13729309  1.05543082
  0.49399366 -2.92145001  1.8538982  -1.28590263  0.        ]",[ 0.13227457 -1.45656581],-0.317023345523,-0.317023345523,[-0.20526014 -1.39447868],"[[  0.58119388  -1.56830915  -0.13080527   0.12083089]
 [  5.61777284 -23.45507145   0.           0.        ]]",[-0.17335215 -0.17114045]
8,"[ 0.76437916  0.10626055  0.88557647 -1.95713631 -1.13728894  1.05542727
  0.53187961 -3.41164749  1.4987764  -1.34395019  0.        ]",[ 0.58355598 -0.69637126],-0.281836462593,-0.281836462593,[-0.31552011 -1.181795  ],"[[  0.69767766  -2.07247847  -0.13080527   0.12083089]
 [  6.02913703 -26.95020493   0.           0.        ]]",[-0.17335215 -0.17114045]
9,"[ 0.62557771 -0.43743591  1.04007653 -0.72017853 -1.13728479  1.05542372
  0.73355096 -3.72347198  1.07068413 -1.25086612  0.        ]",[ 0.23854831 -1.4417762 ],-0.231544701634,-0.231544701634,[-0.3655988  -0.91322237],"[[  0.84022875  -2.6337938   -0.13080527   0.12083089]
 [  8.21883157 -29.17388391   0.           0.        ]]",[-0.17335215 -0.17114045]
10,"[ 0.43287629 -0.61174592  1.196053    0.8853779  -1.13728064  1.05542017
  0.80559443 -1.27826698  0.75326565 -1.07430394  0.        ]",[-0.19867662 -0.63195821],-0.187415653572,-0.187415653572,[-0.03587958 -0.75459206],"[[  1.01244693  -3.16223028  -0.13080527   0.12083089]
 [  9.00107604 -11.74127109   0.           0.        ]]",[-0.17335215 -0.17114045]
11,"[ 0.22063378 -0.60917586  1.3130871   1.02367394 -1.13727649  1.05541662
  0.71679292  0.77657074  0.65990431 -1.02105937  0.        ]",[ 0.00211008 -1.25195197],-0.174518531789,-0.174518531789,[ 0.18893535 -0.79822278],"[[ 1.18279675 -3.2059357  -0.13080527  0.12083089]
 [ 8.0369212   2.90835522  0.          0.        ]]",[-0.17335215 -0.17114045]
12,"[ 0.00824354 -0.61196132  1.38595429  0.78667973 -1.13727234  1.05541307
  0.70291117  0.88824904  0.73419928 -1.05484603  0.        ]",[-0.60211374 -1.37419709],-0.184061874761,-0.184061874761,[ 0.23218027 -0.78865838],"[[ 1.34202354 -3.13107031 -0.13080527  0.12083089]
 [ 7.88621659  3.70456401  0.          0.        ]]",[-0.17335215 -0.17114045]
13,"[-0.17449689 -0.60851383  1.41824815  0.59413478 -1.13726819  1.05540952
  0.46895992  0.69600435  0.79694798 -1.05887151  0.        ]",[ 0.72697709 -2.15087035],-0.190211481192,-0.190211481192,[ 0.30094063 -0.75231487],"[[ 1.47426183 -3.070222   -0.13080527  0.12083089]
 [ 5.3460752   2.33400159  0.          0.        ]]",[-0.17335215 -0.17114045]
14,"[-0.36309674 -0.60426304  1.42416769  0.48476295 -1.13726404  1.05540598
  0.72430255  0.53932283  0.83655178 -1.04598571  0.        ]",[ 1.63261092 -0.71172137],-0.192956099043,-0.192956099043,[ 0.25390655 -0.72966504],"[[ 1.60899995 -3.03555454 -0.13080527  0.12083089]
 [ 8.11850128  1.21697748  0.          0.        ]]",[-0.17335215 -0.17114045]
15,"[-0.64089941 -0.6014723   1.38246883  0.42940409 -1.1372599   1.05540243
  1.07415011  0.45294646  0.86233246 -1.01819407  0.        ]",[-0.36911753 -0.53806692],-0.193314008217,-0.193314008217,[ 0.17012206 -0.71136147],"[[  1.80948194  -3.0179614   -0.13080527   0.12083089]
 [ 11.9170418    0.60118001   0.           0.        ]]",[-0.17335215 -0.17114045]
16,"[-0.93171665 -0.59995299  1.26835552  0.40239024 -1.13725575  1.05539888
  0.9178164   0.40938156  0.87509243 -0.98359214  0.        ]",[-1.02151426 -1.36393166],-0.191973536149,-0.191973536149,[ 0.21512896 -0.66539562],"[[  2.03079241  -3.00936284  -0.13080527   0.12083089]
 [ 10.21966367   0.29059831   0.           0.        ]]",[-0.17335215 -0.17114045]
17,"[-1.1268354  -0.59929499  1.14199565  0.39123908 -1.1372516   1.05539533
  0.5345245   0.38246647  0.87762018 -0.95745449  0.        ]",[-0.10597421  0.63954272],-0.190300581823,-0.190300581823,[ 0.27071166 -0.62887025],"[[ 2.19343084 -3.0058107  -0.13080527  0.12083089]
 [ 6.05805016  0.09871778  0.          0.        ]]",[-0.17335215 -0.17114045]
18,"[-1.25283978 -0.59365581  1.03212301  0.30553759 -1.13724745  1.05539178
  0.48484278  0.73739094  0.89007542 -0.92035881  0.        ]",[ 1.51405266 -0.85597857],-0.188898502581,-0.188898502581,[ 0.27177262 -0.65045166],"[[ 2.30917979 -2.97844833 -0.13080527  0.12083089]
 [ 5.51863749  2.62908631  0.          0.        ]]",[-0.17335215 -0.17114045]
19,"[-1.39623812 -0.58937423  0.86892676  0.2491935  -1.1372433   1.05538823
  0.8394206   0.25470929  0.88942319 -0.88186554  0.        ]",[ 1.15177689 -0.13046743],-0.186130919849,-0.186130919849,[ 0.14495435 -0.65543473],"[[ 2.45817953 -2.96039303 -0.13080527  0.12083089]
 [ 9.36851283 -0.81208034  0.          0.        ]]",[-0.17335215 -0.17114045]
20,"[-1.56641321 -0.59436675  0.58344545  0.3155586  -1.13723915  1.05538468
  1.18699089  0.18453818  0.8631219  -0.86715324  0.        ]",[-0.40081145  0.78763601],-0.182364924949,-0.182364924949,[ 0.0167949  -0.67848039],"[[  2.68341365  -2.98165405  -0.13080527   0.12083089]
 [ 13.14232641  -1.31234647   0.           0.        ]]",[-0.17335215 -0.17114045]
21,"[-1.67901841 -0.59317714  0.23615092  0.29897584 -1.137235    1.05538113
  1.01687874  0.62563742  0.83764497 -0.83310996  0.        ]",[-0.85331474 -0.11432949],-0.177344602096,-0.177344602096,[ -1.31726265e-05  -7.16913640e-01],"[[  2.92772905  -2.97634896  -0.13080527   0.12083089]
 [ 11.29535866   1.83237124   0.           0.        ]]",[-0.17335215 -0.17114045]
22,"[-1.71052733 -0.58526481 -0.04784086  0.20008554 -1.13723085  1.05537758
  0.68511185  0.55703784  0.80871449 -0.78628487  0.        ]",[ 1.4275377  -0.75503998],-0.171098991962,-0.171098991962,[-0.00850907 -0.73801631],"[[ 3.11749451 -2.94460832 -0.13080527  0.12083089]
 [ 7.69319557  1.34331627  0.          0.        ]]",[-0.17335215 -0.17114045]
23,"[-1.69120287 -0.586175   -0.33655272  0.2106324  -1.13722671  1.05537404
  1.0357264   0.13399035  0.77721266 -0.7788948   0.        ]",[-1.2793021   0.01808707],-0.167276716899,-0.167276716899,[-0.15463291 -0.7631166 ],"[[  3.30955373  -2.94800266  -0.13080527   0.12083089]
 [ 11.5000496   -1.67268829   0.           0.        ]]",[-0.17335215 -0.17114045]
