timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.394007175699,[ 2.49322241 -0.04918172],-0.394007175699,[ 2.54698777 -0.0107477 ],"[[-0.0367389  -0.00622672 -0.13174339  0.18799104]
 [ 0.00408211 -0.00480395  0.          0.        ]]","[ 1.05804839  1.54893663 -0.06258543  1.22573977 -1.13613172  1.63521509
 -0.02108754  0.32784917  2.90796253 -2.16149582  0.        ]",[-0.63912076 -0.57199746]
1,-0.390169945234,[ 1.55328095 -0.14466576],-0.390169945234,[ 2.55984974  0.2161926 ],"[[  3.03319454e-03  -8.29117363e-03  -1.31743391e-01   1.87991041e-01]
 [  3.95995537e+00  -2.00982253e-01   0.00000000e+00   0.00000000e+00]]","[ 1.05904843  1.54891402 -0.00441264  1.2203055  -1.13613015  1.63521146
  0.48951683  0.29650925  2.90956477 -2.06576583  0.        ]",[-0.63912076 -0.57199746]
2,-0.378126517085,[ 2.58799345 -0.60606622],-0.378126517085,[ 2.66055632  0.4695555 ],"[[ 0.12113916 -0.01803328 -0.13174339  0.18799104]
 [ 7.83772927 -0.77132179  0.          0.        ]]","[ 1.048104    1.54874459  0.16793826  1.19466989 -1.13612858  1.63520783
  0.99003994  0.20539665  2.89680491 -1.78657277  0.        ]",[-0.63912076 -0.57199746]
3,-0.357157352891,[ 3.3939198  -0.19147621],-0.357157352891,[ 2.68244314  0.56528395],"[[  0.31603817  -0.05739894  -0.13174339   0.18799104]
 [ 11.6395129   -3.15728215   0.           0.        ]]","[ 0.98505203  1.54681699  0.44584212  1.09115879 -1.13612701  1.6352042
  1.48075292 -0.17576369  2.82608801 -1.36439458  0.        ]",[-0.63912076 -0.57199746]
4,-0.324723979071,[ 3.50535895  2.16806419],-0.324723979071,[ 2.49782133  0.57221138],"[[  0.58621207  -0.12753828  -0.13174339   0.18799104]
 [ 15.36547862  -3.85430759   0.           0.        ]]","[ 0.80958576  1.53841858  0.80047177  0.90741359 -1.13612543  1.63520057
  1.96167646 -0.28711434  2.63751328 -0.83611404  0.        ]",[-0.63912076 -0.57199746]
5,-0.272627583574,[ 1.49447764  1.31847704],-0.272627583574,[ 1.56241977  0.13078728],"[[  0.93014781  -0.16414338  -0.13174339   0.18799104]
 [ 19.01593724   0.18037779   0.           0.        ]]","[ 0.45796326  1.53151876  1.16401401  0.81211503 -1.13612386  1.63519694
  2.43284867  0.35743269  2.22181397 -0.21829786  0.        ]",[-0.63912076 -0.57199746]
6,-0.191675888981,[-1.4827206  -0.79157256],-0.191675888981,[-1.76229382 -0.66868931],"[[  1.34636773  -0.12085494  -0.13174339   0.18799104]
 [ 22.59412558   4.13529201   0.           0.        ]]","[-0.1026055   1.53948577  1.41741533  0.92486336 -1.13612229  1.63519331
  2.89468501  0.98923555  1.45063169  0.30718466  0.        ]",[-0.63912076 -0.57199746]
7,-0.103007906768,[-3.0117729 -0.7127894],-0.103007906768,[-2.45595217 -0.46575397],"[[  1.75408767  -0.07039892  -0.13174339   0.18799104]
 [ 18.19253742   0.92099018   0.           0.        ]]","[-0.70747662  1.54572816  1.42959577  1.05701551 -1.13612071  1.63518968
  2.32654589  0.4757452   0.57714862  0.38529644  0.        ]",[-0.63912076 -0.57199746]
8,-0.0382648677408,[-3.05252955  0.36024571],-0.0382648677408,[-2.44077754 -0.09574744],"[[  2.07464858  -0.08046197  -0.13174339   0.18799104]
 [ 13.87792033  -1.91784577   0.           0.        ]]","[-1.15653253  1.54474179  1.27229659  1.03060889 -1.13611914  1.63518605
  1.76963856  0.02223626 -0.03210743  0.15226425  0.        ]",[-0.63912076 -0.57199746]
9,-0.0255225542431,[-2.9608299  -0.85378896],-0.0255225542431,[-2.42357397 -0.11733848],"[[ 2.30975673 -0.10410906 -0.13174339  0.18799104]
 [ 9.64698148 -0.45175886  0.          0.        ]]","[-1.44149742  1.5419133   1.07251363  0.96864711 -1.13611757  1.63518241
  1.22353514  0.25644614 -0.41122092 -0.1468968   0.        ]",[-0.63912076 -0.57199746]
