timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.40288517 -0.14371155],-2.02458,"[ 1.25229191  2.255081   -0.39127732  1.07277459 -1.00434749  1.62678032
  0.55454866  0.38418338  2.32187258 -1.6198955   0.        ]",-0.380241243787,[-0.77537781 -2.86987472],[-1.02091058 -0.49318841],"[[-0.07465237  0.08045713 -0.11728068  0.18722713]
 [-0.00152617 -0.0018      0.          0.        ]]"
1,[-0.40288517 -0.14371155],-1.98224,"[ 1.24711265  2.25701747 -0.45126439  1.00122917 -1.00434651  1.62677745
  0.3954566   0.11623602  2.31764372 -1.71094372  0.        ]",-0.385241275652,[-0.7314465  -2.82856607],[ 0.74633404 -3.10298078],"[[-0.11436552  0.06084359 -0.11728068  0.18722713]
 [-3.95662177 -1.95305688  0.          0.        ]]"
2,[-0.40288517 -0.14371155],-2.03529,"[ 1.23780599  2.25939114 -0.52445799  0.71462213 -1.00434554  1.62677458
  0.5174247  -0.42234785  2.29926817 -1.87359301  0.        ]",-0.393588886471,[-0.54772019 -2.81366062],[-1.21532199 -1.43872713],"[[-0.16307504 -0.01756929 -0.11728068  0.18722713]
 [-0.9244324  -5.87515453  0.          0.        ]]"
3,[-0.40288517 -0.14371155],-2.0254,"[ 1.22251453  2.23850215 -0.61080743  0.14715153 -1.00434456  1.62677171
  0.35909391 -0.9498971   2.23736678 -2.11893094  0.        ]",-0.404138958995,[-0.3675347  -2.73479795],[-0.64655715 -3.59017962],"[[-0.22105609 -0.17361781 -0.11728068  0.18722713]
 [-4.86060029 -9.71689849  0.          0.        ]]"
4,[-0.40288517 -0.14371155],-2.18598,"[ 1.17567292  2.14564849 -0.78835733 -0.66451406 -1.00434358  1.62676884
  0.26011985 -1.46707579  2.04343148 -2.50394275  0.        ]",-0.415623886338,[-0.19510061 -2.64379978],[ 0.56577997 -2.98455542],"[[ -0.34295426  -0.40574366  -0.11728068   0.18722713]
 [ -7.32113447 -13.48313133   0.           0.        ]]"
5,[-0.40288517 -0.14371155],-2.31791,"[ 1.10914278  1.91820877 -0.95916089 -1.61163867 -1.00434261  1.62676597
  0.35599352 -1.9742519   1.69866618 -2.83436329  0.        ]",-0.416239436625,[-0.12137035 -2.56294012],[ 0.08825192 -1.62763027],"[[ -0.46546184  -0.71246362  -0.11728068   0.18722713]
 [ -4.93767034 -17.17654289   0.           0.        ]]"
6,[-0.40288517 -0.14371155],-2.34811,"[ 1.04528132  1.50234095 -1.0837795  -2.46731753 -1.00434163  1.6267631
  0.37393851 -2.47128617  1.25535768 -2.97546209  0.        ]",-0.399697065524,[-0.15966743 -2.4396584 ],[-0.16090806 -0.77842494],"[[ -0.55973701  -1.09231107  -0.11728068   0.18722713]
 [ -4.49154553 -20.79613204   0.           0.        ]]"
7,[-0.40288517 -0.14371155],-2.14856,"[ 0.97011863  0.90633871 -1.20253474 -2.8756571  -1.00434065  1.62676023
  0.35180735 -2.83795921  0.77459095 -2.86902845  0.        ]",-0.362866930905,[-0.39225209 -2.44755983],[-0.97550898 -1.97845505],"[[ -0.65508574  -1.53502569  -0.11728068   0.18722713]
 [ -5.04173    -23.46643358   0.           0.        ]]"
8,[-0.40288517 -0.14371155],-1.96268,"[ 0.84331205  0.22227962 -1.35991482 -2.48375426 -1.00433968  1.62675736
  0.20036448 -3.31777788  0.37532318 -2.47081882  0.        ]",-0.30338206802,[-0.68692911 -2.50147843],[ 0.25140213 -2.65663201],"[[ -0.7936909   -2.03941365  -0.11728068   0.18722713]
 [ -8.80665553 -26.9607535    0.           0.        ]]"
9,[-0.40288517 -0.14371155],-1.4693,"[ 0.66898711 -0.3557468  -1.51949941 -1.06535207 -1.0043387   1.62675449
  0.24725107 -3.78815373  0.3130423  -1.8735789   0.        ]",-0.235422124372,[-1.21144032 -2.64424276],[-0.65570073 -2.6539969 ],"[[ -0.9581315   -2.61299913  -0.11728068   0.18722713]
 [ -7.64103435 -30.38638915   0.           0.        ]]"
10,[-0.40288517 -0.14371155],-1.09712,"[ 0.45708088 -0.54698047 -1.65397611  0.85590533 -1.00433772  1.62675162
  0.14888773 -1.3016967   0.56300592 -1.51222549  0.        ]",-0.210414815889,[-1.18988633 -2.32006979],[-1.75768132 -2.92497293],"[[ -1.13549829  -3.16265993  -0.11728068   0.18722713]
 [-10.08638081 -12.2790913    0.           0.        ]]"
