timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.42177969 -0.17011489],[-1.24237466 -2.96372199],"[ 1.2209307   2.09532472 -0.38980926  0.51964906 -1.02545704  0.40749948
  0.56534651  0.37902154  2.3701434  -0.55326309  0.        ]",-0.334538880349,-1.86478,[-1.86922079 -2.53099354],"[[-0.0800399  -0.06588271 -0.11807982  0.04850022]
 [-0.00198252  0.00084374  0.          0.        ]]"
1,[-0.42177969 -0.17011489],[-1.08701324 -2.83242774],"[ 1.21548234  2.09076641 -0.45015699  0.37799444 -1.02545615  0.40749928
  0.41413707 -0.16991871  2.35362092 -0.66366398  0.        ]",-0.335533784881,-1.82963,[-1.45045506 -3.03928746],"[[-0.11975431 -0.10557842 -0.11807982  0.04850022]
 [-3.95630191 -3.95722732  0.          0.        ]]"
2,[-0.42177969 -0.17011489],[-1.05926478 -2.75413752],"[ 1.18663626  2.06485416 -0.62742452 -0.03896477 -1.02545526  0.40749908
  0.26591356 -0.70799285  2.26457295 -0.98092078  0.        ]",-0.336295866458,-1.75704,[-0.96633786 -2.10652636],"[[-0.23777137 -0.22364951 -0.11807982  0.04850022]
 [-7.832536   -7.83695067  0.          0.        ]]"
3,[-0.42177969 -0.17011489],[-0.97564763 -2.5875659 ],"[ 1.09943067  1.98257013 -0.90604911 -0.70033142 -1.02545438  0.40749888
  0.12569709 -1.2354142   1.99942096 -1.43818653  0.        ]",-0.330407550746,-1.63628,[-0.71208394 -1.40258992],"[[ -0.4312114   -0.4185446   -0.11807982   0.04850022]
 [-11.49937585 -11.63986878   0.           0.        ]]"
4,[-0.42177969 -0.17011489],[-0.80256587 -2.31332922],"[ 0.91317853  1.7928048  -1.23652712 -1.52107776 -1.02545349  0.40749868
  0.02667608 -1.75242199  1.46562696 -1.85176531  0.        ]",-0.308688854305,-1.49818,[-1.57363758 -1.91703496],"[[ -0.687178    -0.68874504  -0.11807982   0.04850022]
 [-14.08890161 -15.36771426   0.           0.        ]]"
5,[-0.42177969 -0.17011489],[-0.91349596 -2.05421019],"[ 0.5862787   1.44501152 -1.55766075 -2.3203557  -1.0254526   0.40749848
 -0.11402091 -2.25909451  0.68647336 -1.95125865  0.        ]",-0.261372059699,-1.41631,[-0.69208755 -2.3020641 ],"[[ -1.00586813  -1.03275523  -0.11807982   0.04850022]
 [-17.76830724 -19.02106188   0.           0.        ]]"
6,[-0.42177969 -0.17011489],[-1.37895226 -1.82996941],"[ 0.10374563  0.92107236 -1.76873018 -2.7999273  -1.02545171  0.40749828
 -0.20545786 -2.75572295 -0.05694515 -1.50108148  0.        ]",-0.182822089286,-1.14655,[-1.69749108 -3.26031602],"[[ -1.3852208   -1.44910605  -0.11807982   0.04850022]
 [-20.15950075 -22.60202404   0.           0.        ]]"
7,[-0.42177969 -0.17011489],[-1.90499127 -1.86856198],"[-0.49479767  0.27950096 -1.74618442 -2.58972634 -1.02545083  0.40749807
 -0.34179646 -3.24243844 -0.28958486 -0.63256317  0.        ]",-0.0815623678217,-0.725383,[-2.81941953 -2.09814548],"[[ -1.82417914  -1.93635913  -0.11807982   0.04850022]
 [-23.72492893 -26.11156119   0.           0.        ]]"
8,[-0.42177969 -0.17011489],[-1.91574585 -2.1129086 ],"[-1.10048198 -0.30936232 -1.37158038 -1.40791339 -1.02544994  0.40749787
 -0.475493   -3.71953758  0.18873076 -0.01583023  0.        ]",-0.062601397481,-0.703618,[-2.27685341 -0.68974939],"[[ -2.33375798  -2.49310656  -0.11807982   0.04850022]
 [-27.22126496 -29.55182844   0.           0.        ]]"
9,[-0.42177969 -0.17011489],[-1.24798286 -2.17596769],"[-1.48945598 -0.58047287 -0.61444743  0.62679302 -1.02544905  0.40749767
 -0.6064203  -3.19996834  0.72627971 -0.28807781  0.        ]",-0.133749316832,-0.827499,[-1.92145283 -2.42073587],"[[ -2.91254879  -3.10566124  -0.11807982   0.04850022]
 [-30.64518362 -25.80558963   0.           0.        ]]"
