timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.39161941 -0.13161469],-1.66439,"[ 1.26150633  2.31438533 -0.16862039  0.73112375 -1.2449676   1.07279777
  0.5472952   0.38528927  2.52635003 -0.8833126   0.        ]",-0.371079533329,[-1.48859429 -2.81874108],[-1.83671946 -2.67519878],"[[ 0.07389435 -0.01611035 -0.14486831  0.12370032]
 [-0.00375922 -0.00261321  0.          0.        ]]"
1,[-0.39161941 -0.13161469],-1.66504,"[ 1.26447422  2.31233815 -0.2287206   0.58421016 -1.24496597  1.07279658
  0.38374267 -0.15682797  2.52927579 -0.99319284  0.        ]",-0.375393105985,[-1.31719983 -2.73994279],[-0.42962923 -2.53406037],"[[ 0.03414483 -0.05587449 -0.14486831  0.12370032]
 [-3.95803318 -3.96061467  0.          0.        ]]"
2,[-0.39161941 -0.13161469],-1.67476,"[ 1.2626828   2.29302525 -0.37313427  0.15052561 -1.24496433  1.07279539
  0.31674493 -0.68833505  2.50455642 -1.27677186  0.        ]",-0.384482838518,[-1.18729687 -2.69698143],[-2.13591135 -1.55028463],"[[-0.06126779 -0.17402149 -0.14486831  0.12370032]
 [-5.57786112 -7.84115256  0.          0.        ]]"
3,[-0.39161941 -0.13161469],-1.60589,"[ 1.23447404  2.21859662 -0.598151   -0.54285002 -1.24496269  1.0727942
  0.15773438 -1.20919625  2.37034535 -1.70512178  0.        ]",-0.392431104851,[-1.1206069  -2.64899445],[ 0.34932979 -4.02233777],"[[ -0.21139663  -0.36899954  -0.14486831   0.12370032]
 [ -9.42232187 -11.64397118   0.           0.        ]]"
4,[-0.39161941 -0.13161469],-1.56291,"[ 1.16445151  2.03302943 -0.84785676 -1.41521508 -1.24496105  1.07279301
  0.2226227  -1.72000965  2.05651696 -2.13838867  0.        ]",-0.389875605925,[-0.92024434 -2.541224  ],[-1.06413069 -3.43582355],"[[ -0.38410128  -0.63929813  -0.14486831   0.12370032]
 [ -7.85348848 -15.37344621   0.           0.        ]]"
5,[-0.39161941 -0.13161469],-1.5862,"[ 1.0395047   1.67901925 -1.10940738 -2.28690414 -1.24495942  1.07279182
  0.06537298 -2.22044045  1.540878   -2.42669633  0.        ]",-0.368567237378,[-0.94728422 -2.45811129],[-1.42747841 -1.96941495],"[[ -0.57931264  -0.98342599  -0.14486831   0.12370032]
 [-11.65537421 -19.02714542   0.           0.        ]]"
6,[-0.39161941 -0.13161469],-1.3733,"[ 0.79495649  1.13147541 -1.41789827 -2.85268782 -1.24495778  1.07279063
 -0.08888125 -2.71093655  0.84982705 -2.39196377  0.        ]",-0.317815325177,[-1.17294371 -2.38920736],[-2.01170498 -4.0067302 ],"[[ -0.84983357  -1.39990067  -0.14486831   0.12370032]
 [-15.38483675 -22.60835423   0.           0.        ]]"
7,[-0.39161941 -0.13161469],-1.2329,"[ 0.39037634  0.44539124 -1.68859529 -2.72290628 -1.24495614  1.07278944
 -0.24021502 -3.19169042  0.29811655 -1.86337516  0.        ]",-0.234572172785,[-1.56423748 -2.3417201 ],[-1.82333085 -2.04038324],"[[ -1.19423579  -1.88728631  -0.14486831   0.12370032]
 [-19.0436905  -26.11849552   0.           0.        ]]"
8,[-0.39161941 -0.13161469],-0.878006,"[-0.1742237  -0.20359378 -1.79345947 -1.58380611 -1.2449545   1.07278825
 -0.3886289  -3.66293237  0.31235444 -1.11298699  0.        ]",-0.15512358179,[-1.82654881 -2.28113699],[-1.78957848 -2.20305297],"[[ -1.61111118  -2.44417794  -0.14486831   0.12370032]
 [-22.63194978 -29.55927058   0.           0.        ]]"
9,[-0.39161941 -0.13161469],-0.894791,"[-0.81586088 -0.53270495 -1.58829061  0.52330328 -1.24495287  1.07278706
 -0.53400767 -3.29748207  0.85837583 -0.89485139  0.        ]",-0.181123900389,[-1.53750229 -2.16758966],[-1.31826899 -2.37037956],"[[ -2.09902684  -3.06920881  -0.14486831   0.12370032]
 [-26.14682965 -26.89121828   0.           0.        ]]"
