timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.80988157 -0.50044817],-1.77582,"[ 1.06100569  1.50546869 -0.06136714  0.86106097  1.16995107  1.06459793
  0.56061348  0.33811599  0.11799181 -0.85825685  0.        ]",-0.123554067848,[ 2.09323525 -0.15141928],[ 1.78437567 -0.26920566],"[[ 0.07110125  0.08577709  0.13449454  0.12330574]
 [-0.00079871 -0.00193637  0.          0.        ]]"
1,[-0.80988157 -0.50044817],-1.71049,"[  1.05596264e+00   1.50647938e+00  -3.87819740e-04   8.31925765e-01
   1.16995054e+00   1.06459749e+00   6.88767862e-01   1.76019283e-01
   1.09185247e-01  -7.86868580e-01   0.00000000e+00]",-0.117389867269,[ 1.32401013 -0.12740284],[ 1.23262227 -0.13619801],"[[ 0.11078014  0.07502836  0.13449454  0.12330574]
 [ 3.9555128  -1.06937472  0.          0.        ]]"
2,[-0.80988157 -0.50044817],-1.55023,"[ 1.02807008  1.50840132  0.17902564  0.75972776  1.16995001  1.06459706
  0.81438034  0.09711071  0.06723266 -0.57111545  0.        ]",-0.0984537603195,[ 0.2428939  -0.21518156],[-0.00067341  0.0669669 ],"[[ 0.22879794  0.04842723  0.13449454  0.12330574]
 [ 7.83335385 -1.58900292  0.          0.        ]]"
3,[-0.80988157 -0.50044817],-1.38556,"[ 0.96268309  1.50954857  0.40699595  0.68144904  1.16994948  1.06459663
  0.80927112  0.14216216 -0.02358819 -0.29035535  0.        ]",-0.0731274377941,[-0.31088865 -0.21819904],[-0.37216824 -0.20864072],"[[ 0.38388255  0.01962378  0.13449454  0.12330574]
 [ 7.67563302 -1.29233022  0.          0.        ]]"
4,[-0.80988157 -0.50044817],-1.29814,"[ 0.87878809  1.5096543   0.59730657  0.58934277  1.16994896  1.0645962
  0.75667328  0.02069008 -0.1308419  -0.06321532  0.        ]",-0.0524183858012,[-0.48424762  0.11692768],[-0.87161224  0.32666433],"[[ 0.52110353 -0.01424865  0.13449454  0.12330574]
 [ 6.05187114 -2.09224723  0.          0.        ]]"
5,[-0.80988157 -0.50044817],-1.2867,"[ 0.81506809  1.50870487  0.70846441  0.51204455  1.16994843  1.06459576
  0.64109001  0.22360957 -0.20636996  0.06352423  0.        ]",-0.0413563269222,[-0.36064494 -0.03886724],[-0.21777183 -0.28083719],"[[ 0.60634002 -0.04268637  0.13449454  0.12330574]
 [ 2.48366    -0.75598333  0.          0.        ]]"
6,[-0.80988157 -0.50044817],-1.29806,"[ 0.78179978  1.50699834  0.75914129  0.44111934  1.1699479   1.06459533
  0.61160692  0.0570724  -0.23792307  0.11005383  0.        ]",-0.0375429012752,[-0.21260189  0.32767791],[-0.62888977  0.17992636],"[[ 0.64688114 -0.06880936  0.13449454  0.12330574]
 [ 1.57348074 -1.85266212  0.          0.        ]]"
7,[-0.80988157 -0.50044817],-1.31654,"[ 0.77655419  1.50410919  0.76675042  0.36110735  1.16994737  1.0645949
  0.5300028   0.17097773 -0.228144    0.0932008   0.        ]",-0.0387051081805,[ 0.22042474  0.28239793],[ 0.24044451  0.49099093],"[[ 0.65307459 -0.09833668  0.13449454  0.12330574]
 [-0.94574737 -1.10257379  0.          0.        ]]"
8,[-0.80988157 -0.50044817],-1.28057,"[ 0.78432305  1.50383701  0.75544451  0.35480193  1.16994685  1.06459447
  0.56139478  0.46946199 -0.21625369  0.07489266  0.        ]",-0.0401652336671,[-0.08963813 -0.32499373],[-0.58414385 -0.37392986],"[[ 0.64388306 -0.10066691  0.13449454  0.12330574]
 [ 0.02337057  0.86300173  0.          0.        ]]"
9,[-0.80988157 -0.50044817],-1.30186,"[ 0.80311675  1.50409719  0.72716913  0.36086895  1.16994632  1.06459404
  0.4865457   0.24216405 -0.19200598  0.03691962  0.        ]",-0.0433478361974,[ 0.60750794  0.23110127],[ 0.43205765 -0.02813527],"[[ 0.62116665 -0.09842472  0.13449454  0.12330574]
 [-2.28731994 -0.63379731  0.          0.        ]]"
