timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[ 0.00120516  0.01864062],0.377017,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],-0.11450448162,[ 0.  0.],[-1.81849055 -0.17914089],"[[ 0.09266717 -0.04860982  0.16758109  0.12066781]
 [-0.00188234 -0.00206828  0.          0.        ]]"
1,[ 0.00120516  0.01864062],-9.03918,"[ 1.01061008 -0.18466893 -1.41062309 -1.31462426  0.          0.         -1.4142132
 -1.41420227  0.19568285 -1.35063796  0.        ]",-0.12316506881,[ 0.00430923  0.00113944],[-0.69547631  0.36939728],"[[ 0.05294213 -0.05575221  0.16758109  0.12066781]
 [-3.9574517  -0.7098171   0.          0.        ]]"
2,[ 0.00120516  0.01864062],-11.0878,"[ 0.67832528 -0.10013966 -1.6852814  -0.7669173   0.          0.
 -1.46030266  1.5661531  -0.29055425 -1.67062009  0.        ]",-0.143991356325,[ 0.00092778 -0.00071497],[ 0.10785821  0.72901518],"[[-0.05303112 -0.05512172  0.16758109  0.12066781]
 [-6.63096893  0.76793976  0.          0.        ]]"
3,[ 0.00120516  0.01864062],-17.5379,"[-1.9376352   0.90353438 -1.75446917  1.97977567  0.          0.
 -0.92103198  1.91291224 -1.51261704 -1.69580025  0.        ]",-0.164116268272,[-0.00139422  0.00218179],[ 0.40903385  0.28832431],"[[-0.18006477 -0.01095536  0.16758109  0.12066781]
 [-6.07424705  3.63912628  0.          0.        ]]"
4,[ 0.00120516  0.01864062],-18.836,"[-2.0822594  -1.00565662 -1.6892106   2.11229766  0.          0.         -0.0734816
  1.63109025 -1.75859136 -1.54925923  0.        ]",-0.175521521184,[-0.00114705  0.00105765],[-0.7477316  -1.58010236],"[[-0.28411369  0.072552    0.16758109  0.12066781]
 [-4.33643052  4.70804772  0.          0.        ]]"
5,[ 0.00120516  0.01864062],-20.8699,"[-2.1601745  -2.15682325 -1.69680372  1.9081501   0.          0.
 -1.26705481 -0.49345629 -2.03715266 -1.61658258  0.        ]",-0.191726143565,[-0.00026163 -0.00397946],[-0.51055746 -0.69617338],"[[-0.39964395  0.12606096  0.16758109  0.12066781]
 [-7.20704493  0.65634426  0.          0.        ]]"
6,[ 0.00120516  0.01864062],-24.282,"[ -2.30944560e+00  -1.19829561e+00  -1.79072905e+00   1.34013975e+00
   2.77555756e-14   0.00000000e+00  -1.62116106e+00  -1.56385286e+00
  -2.36205812e+00  -1.87112549e+00   0.00000000e+00]",-0.222545592083,[ 0.00017956 -0.00199482],[-1.26259977  1.12152215],"[[-0.56260816  0.11140697  0.16758109  0.12066781]
 [-9.0831276  -2.11252017  0.          0.        ]]"
7,[ 0.00120516  0.01864062],-25.8256,"[ -2.43647047e+00  -9.67558765e-01  -1.87208688e+00   1.12415222e+00
   2.77555756e-14   0.00000000e+00  -2.07132205e+00   4.18359797e-01
  -2.49035247e+00  -1.98076829e+00   0.00000000e+00]",-0.259920455398,[ 0.00039928 -0.00174708],[-2.33104863  1.14048403],"[[ -0.78217422   0.10931825   0.16758109   0.12066781]
 [-12.8609015    1.89029691   0.           0.        ]]"
8,[ 0.00120516  0.01864062],-25.6788,"[ -2.54129980e+00  -2.55526287e+00  -1.89528160e+00   1.71797146e+00
   2.77555756e-14   0.00000000e+00  -2.13874725e+00   1.85691293e+00
  -2.52913076e+00  -1.95938496e+00   0.00000000e+00]",-0.298554442419,[ 0.0013675  -0.00462692],[ 0.96609294  0.28712383],"[[ -1.0765463    0.1864898    0.16758109   0.12066781]
 [-16.56399083   5.81375212   0.           0.        ]]"
9,[ 0.00120516  0.01864062],-24.457,"[ -2.48950821e+00  -2.96420446e+00  -1.75790807e+00   2.20808521e+00
   2.77555756e-14   0.00000000e+00  -1.04659235e+00   1.80089899e+00
  -2.43219289e+00  -1.80388556e+00   0.00000000e+00]",-0.327605234428,[ 0.00087188 -0.00435676],[-0.25665275 -0.61947494],"[[ -1.36619914   0.31299862   0.16758109   0.12066781]
 [-12.4151014    6.83374349   0.           0.        ]]"
10,[ 0.00120516  0.01864062],-22.698,"[ -2.36418397e+00  -2.86549118e+00  -1.53473660e+00   2.23902298e+00
   2.77555756e-14   0.00000000e+00  -1.10195697e+00   7.48730725e-01
  -2.31190187e+00  -1.61533708e+00   0.00000000e+00]",-0.349199195204,[ 0.00018117 -0.00458254],[ 0.77971823 -0.57314936],"[[ -1.62221622   0.42370611   0.16758109   0.12066781]
 [-13.1840566    4.2456117    0.           0.        ]]"
