timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.70039803 -0.44205365],[-1.63238358 -3.75185752],"[ 1.0920505   1.58056377 -0.19997662  0.38204714 -0.6538446   0.23951435
  0.5687671   0.34645253  2.15421811 -0.2532807   0.        ]",-0.288039811918,-2.4566,[-1.99998243 -4.61156765],"[[-0.0090203  -0.08543554 -0.07572365  0.02886319]
 [-0.00358752  0.00128497  0.          0.        ]]"
1,[-0.70039803 -0.44205365],[-0.94692016 -3.17073774],"[ 1.09046274  1.57564059 -0.26141193  0.26704831 -0.65384439  0.2395143
  0.4377727  -0.24148145  2.14208245 -0.37640438  0.        ]",-0.288807440722,-2.48389,[-1.07077503 -2.02168168],"[[-0.04876653 -0.12512252 -0.07572365  0.02886319]
 [-3.95788095 -3.95679587  0.          0.        ]]"
2,[-0.70039803 -0.44205365],[-0.23446822 -2.56872344],"[ 1.07291603  1.55013815 -0.44280154 -0.07096889 -0.65384419  0.23951424
  0.30936465 -0.81777729  2.05953611 -0.73282796  0.        ]",-0.289348444629,-2.35622,[-0.70740151 -1.85640923],"[[-0.166815   -0.24318506 -0.07572365  0.02886319]
 [-7.83410105 -7.83652749  0.          0.        ]]"
3,[-0.70039803 -0.44205365],[ 0.19797584 -2.16243243],"[ 1.00828977  1.47341253 -0.7163099  -0.60539813 -0.65384398  0.23951418
  0.22182672 -1.38272307  1.79481406 -1.23833526  0.        ]",-0.284686239737,-2.17466,[-0.01280249 -2.06499681],"[[ -0.35000875  -0.43807575  -0.07572365   0.02886319]
 [-10.47658513 -11.63985206   0.           0.        ]]"
4,[-0.70039803 -0.44205365],[ 0.4668338  -1.76443172],"[ 0.88244153  1.30098477 -1.00480567 -1.26493325 -0.65384377  0.23951413
  0.22702134 -1.93661953  1.28691313 -1.68312527  0.        ]",-0.268948640588,-2.09052,[ 0.70574347 -0.78094736],"[[ -0.55796545  -0.70828671  -0.07572365   0.02886319]
 [-10.31977491 -15.36879902   0.           0.        ]]"
5,[-0.70039803 -0.44205365],[ 0.37911385 -1.3835901 ],"[ 0.73585339  0.99836318 -1.22225159 -1.88767203 -0.65384357  0.23951407
  0.32624959 -2.35083991  0.6605601  -1.84670415  0.        ]",-0.240068094951,-2.11953,[ 1.14400237 -0.74405727],"[[ -0.73430654  -1.0436421   -0.07572365   0.02886319]
 [ -7.32439528 -18.15743172   0.           0.        ]]"
6,[-0.70039803 -0.44205365],[-0.46706733 -1.14819205],"[ 0.63275797  0.56701195 -1.33721459 -2.25554265 -0.65384336  0.23951401
  0.46207754 -2.73519046  0.13240441 -1.68874345  0.        ]",-0.200503144645,-2.06165,[-0.70732031  0.29399333],"[[ -0.83965623  -1.43275286  -0.07572365   0.02886319]
 [ -3.2241897  -20.74498936   0.           0.        ]]"
7,[-0.70039803 -0.44205365],[-0.69538009 -0.99508858],"[ 0.53435967  0.09998098 -1.42716981 -2.18453322 -0.65384315  0.23951396
  0.3713653  -2.50118811 -0.23031257 -1.32211424  0.        ]",-0.15335740164,-1.80554,[-0.65869059 -0.77997126],"[[ -0.93161359  -1.83184667  -0.07572365   0.02886319]
 [ -5.96249254 -19.16966464   0.           0.        ]]"
8,[-0.70039803 -0.44205365],[-1.29358077 -1.53995299],"[ 0.36630477 -0.32982128 -1.54688925 -1.65039157 -0.65384295  0.2395139
  0.2888167  -2.90349501 -0.4026221  -0.81300219  0.        ]",-0.0986673790004,-1.44695,[-1.4211329  -1.87043256],"[[ -1.07586346  -2.24241462  -0.07572365   0.02886319]
 [ -8.45436171 -21.87812126   0.           0.        ]]"
9,[-0.70039803 -0.44205365],[-1.91217291 -2.73711896],"[ 0.10205571 -0.67006071 -1.6688658  -0.57406589 -0.65384274  0.23951385
  0.1631221  -3.42725828 -0.24053625 -0.26772389  0.        ]",-0.0525427374992,-1.15604,[-2.01136563 -2.33014527],"[[ -1.28302     -2.71535578  -0.07572365   0.02886319]
 [-12.24866777 -25.40427816   0.           0.        ]]"
10,[-0.70039803 -0.44205365],[-0.97276604 -2.46809435],"[-0.28269674 -0.77493142 -1.7324344   0.73313752 -0.65384253  0.23951379
  0.03998668 -1.1140922   0.1241483  -0.04716972  0.        ]",-0.0731344302126,-0.904193,[-1.26741674 -3.07037463],"[[ -1.56529696  -3.17675261  -0.07572365   0.02886319]
 [-15.96572026  -9.83149226   0.           0.        ]]"
11,[-0.70039803 -0.44205365],[-0.21850434 -1.79834628],"[-0.76479069 -0.773436   -1.63850882  0.80952999 -0.65384232  0.23951373
 -0.08068384  0.81422296  0.27039711 -0.07900951  0.        ]",-0.0889165088584,-1.15788,[-0.32542754 -1.41964136],"[[ -1.92115717  -3.20300006  -0.07572365   0.02886319]
 [-19.60836563   3.15039123   0.           0.        ]]"
12,[-0.70039803 -0.44205365],[-0.1241141  -1.81246996],"[-1.23417584 -0.77553706 -1.3158834   0.58858799 -0.65384212  0.23951368
 -0.11050758  0.88860364  0.22696186 -0.06249307  0.        ]",-0.0840483817336,-1.04876,[-0.83804615 -2.7932906 ],"[[ -2.322357    -3.12713921  -0.07572365   0.02886319]
 [-20.50864668   3.65114222   0.           0.        ]]"
13,[-0.70039803 -0.44205365],[-0.21029025 -1.89674902],"[-1.57416649 -0.7724415  -0.75940146  0.4156509  -0.65384191  0.23951362
 -0.20697783  0.68224556  0.22919901 -0.03477905  0.        ]",-0.0836292774902,-1.0712,[-0.05002795 -2.28917655],"[[ -2.7617482   -3.06772487  -0.07572365   0.02886319]
 [-23.42076524   2.26189167   0.           0.        ]]"
14,[-0.70039803 -0.44205365],[-0.38266006 -1.95013213],"[-1.66760174 -0.76886631 -0.05333505  0.31850537 -0.6538417   0.23951357
 -0.19818071  0.52022238  0.27025384 -0.03649981  0.        ]",-0.0879112545526,-1.08605,[-0.37805743 -1.51658532],"[[ -3.22749914  -3.03424809  -0.07572365   0.02886319]
 [-23.15521093   1.17111385   0.           0.        ]]"
15,[-0.70039803 -0.44205365],[-0.35464612 -1.91490936],"[-1.46196204 -0.76660466  0.63467722  0.27044319 -0.6538415   0.23951351
 -0.23258183  0.42886084  0.31413324 -0.07817871  0.        ]",-0.0933796005499,-1.1204,[-0.31912273 -3.00483517],"[[ -3.70102255  -3.01764327  -0.07572365   0.02886319]
 [-24.19366783   0.55604698   0.           0.        ]]"
16,[-0.70039803 -0.44205365],[-0.21619788 -1.82909298],"[-0.97672958 -0.7654471   1.15629571  0.24820714 -0.65384129  0.23951345
 -0.25857185  0.38352789  0.33351363 -0.14993308  0.        ]",-0.0973458502721,-1.16894,[ 0.09285744 -2.11137026],"[[ -4.1927676   -3.00994967  -0.07572365   0.02886319]
 [-24.97822184   0.25085553   0.           0.        ]]"
17,[-0.70039803 -0.44205365],[-0.00835967 -1.78982377],"[-0.32997441 -0.76491068  1.35977595  0.2383396  -0.65384108  0.2395134
 -0.23001188  0.36251905  0.31493304 -0.22686792  0.        ]",-0.0982039894161,-1.17122,[ 0.14167352 -2.39143878],"[[ -4.68368202  -3.00653306  -0.07572365   0.02886319]
 [-24.11609341   0.10941967   0.           0.        ]]"
18,[-0.70039803 -0.44205365],[ 0.08741183 -1.75341201],"[ 0.30252013 -0.7646749   1.21100417  0.234084   -0.65384088  0.23951334
 -0.19561456  0.35318783  0.263956   -0.2850051   0.        ]",-0.0957931469456,-1.16533,[-0.11913063 -1.89609551],"[[ -5.1555859   -3.0050591   -0.07572365   0.02886319]
 [-23.07775453   0.04660033   0.           0.        ]]"
19,[-0.70039803 -0.44205365],[-0.03902516 -1.67378664],"[ 0.79677616 -0.76457438  0.76930863  0.23228648 -0.65384067  0.23951329
 -0.19610531  0.34916165  0.19360393 -0.31267162  0.        ]",-0.0906398383394,-1.18763,[ 0.69929278 -1.81596674],"[[ -5.61728964e+00  -3.00443643e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.30925700e+01   1.94956917e-02   0.00000000e+00   0.00000000e+00]]"
20,[-0.70039803 -0.44205365],[-0.19366762 -1.56104159],"[ 1.05365554 -0.76453229  0.17617437  0.23153905 -0.65384046  0.23951323
 -0.08924169  0.34746092  0.12336776 -0.30664156  0.        ]",-0.0840009828509,-1.12977,[-0.23366465 -1.5477558 ],"[[ -6.04677500e+00  -3.00417751e+00  -7.57236519e-02   2.88631873e-02]
 [ -1.98667166e+01   8.04658831e-03   0.00000000e+00   0.00000000e+00]]"
21,[-0.70039803 -0.44205365],[-0.27484113 -1.48167801],"[ 1.07304402 -0.76451483 -0.44195069  0.23123219 -0.65384026  0.23951317
 -0.10686057  0.34675305  0.06520383 -0.27387517  0.        ]",-0.0770151020406,-1.08185,[-0.44487504 -2.21049728],"[[ -6.44944561e+00  -3.00407122e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.03985722e+01   3.28165581e-03   0.00000000e+00   0.00000000e+00]]"
22,[-0.70039803 -0.44205365],[-0.38710538 -1.4948951 ],"[ 0.86004696 -0.76450757 -1.04363747  0.23110751 -0.65384005  0.23951312
 -0.15183309  0.34646258  0.02274485 -0.21725063  0.        ]",-0.0701179339147,-0.997297,[-0.68905237 -2.44311906],"[[ -6.87103800e+00  -3.00402805e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.17561421e+01   1.32667134e-03   0.00000000e+00   0.00000000e+00]]"
23,[-0.70039803 -0.44205365],[-0.4455153  -1.58324003],"[ 0.40230567 -0.76450449 -1.52436741  0.23105723 -0.65383984  0.23951306
 -0.2279417   0.34634457  0.00644011 -0.14138139  0.        ]",-0.0648573356647,-0.925963,[-0.56237119 -2.72470721],"[[ -7.32921204e+00  -3.00401065e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.40536057e+01   5.32811210e-04   0.00000000e+00   0.00000000e+00]]"
24,[-0.70039803 -0.44205365],[-0.40297773 -1.75582314],"[-0.25417232 -0.76450309 -1.731927    0.231037   -0.65383964  0.239513
 -0.28592808  0.34629717  0.0275301  -0.05978024  0.        ]",-0.063727249559,-0.865012,[-0.87564598 -0.88259981],"[[ -7.82784663e+00  -3.00400366e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.58040201e+01   2.14241955e-04   0.00000000e+00   0.00000000e+00]]"
25,[-0.70039803 -0.44205365],[-0.32313696 -1.88520789],"[-0.97671205 -0.7644822  -1.52834843  0.23066948 -0.65383943  0.23951295
 -0.38385575  0.34755597  0.09050149  0.00567111  0.        ]",-0.0684274251709,-0.895485,[-0.37660914 -2.19799352],"[[ -8.37358662e+00  -3.00387635e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.87601276e+01   8.68938904e-03   0.00000000e+00   0.00000000e+00]]"
26,[-0.70039803 -0.44205365],[-0.33350107 -1.95485687],"[-1.52483748 -0.76447687 -0.88188059  0.23057935 -0.65383922  0.23951289
 -0.41439093  0.34593378  0.18379084  0.02757855  0.        ]",-0.0777583032517,-1.06469,[ 0.37812194 -1.25863802],"[[ -8.95803745e+00  -3.00384514e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.96818843e+01  -2.23099179e-03   0.00000000e+00   0.00000000e+00]]"
27,[-0.70039803 -0.44205365],[-0.48823169 -1.99331665],"[-1.66494208 -0.76448585 -0.02243387  0.23074404 -0.65383901  0.23951284
 -0.34533073  0.34584653  0.27179214 -0.00611246  0.        ]",-0.0874899890654,-1.10502,[-0.32939983 -1.38477692],"[[ -9.53075877e+00  -3.00390222e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.75971943e+01  -2.81782183e-03   0.00000000e+00   0.00000000e+00]]"
28,[-0.70039803 -0.44205365],[-0.39549097 -1.91071916],"[-1.37767953 -0.76449308  0.76886469  0.23087758 -0.65383881  0.23951278
 -0.37043658  0.34600131  0.32723625 -0.08146317  0.        ]",-0.0948051550024,-1.11047,[-1.12659441 -0.62002455],"[[ -1.00903065e+01  -3.00394850e+00  -7.57236519e-02   2.88631873e-02]
 [ -2.83550572e+01  -1.77519219e-03   0.00000000e+00   0.00000000e+00]]"
