timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.209193530022,"[[ 0.07724712 -0.09335024  0.13617392 -0.18990541]
 [-0.00131133  0.00335464  0.          0.        ]]",[-2.51331782 -3.09674931],-1.85184,"[ 1.09678125  1.25657647  0.39751551 -0.67377131  1.18732772 -1.64009446
  0.86118325 -0.30871968  0.21122552  2.47371308  0.        ]",[-0.65201539 -0.63760185],[-4.16970155 -3.01279644]
1,-0.197285389657,"[[ 0.03754593 -0.13299624  0.13617392 -0.18990541]
 [-3.95565237 -3.95476768  0.          0.        ]]",[-1.89297652 -2.09134054],-2.07052,"[ 1.09993361  1.25157539  0.33526729 -0.7745678   1.18732712 -1.6400932
  0.75158414 -0.90731276  0.20880773  2.33817534  0.        ]",[-0.65201539 -0.63760185],[-1.21081991 -1.23465607]
2,-0.160923052327,"[[-0.08045847 -0.25101863  0.13617392 -0.18990541]
 [-7.83192366 -7.83453943  0.          0.        ]]",[-0.80714113 -0.52707493],-1.91538,"[ 1.09643002  1.2264341   0.15007896 -1.07085933  1.18732652 -1.64009194
  0.64414886 -1.49405612  0.15511332  1.94125237  0.        ]",[-0.65201539 -0.63760185],[-0.98709287 -1.01338919]
3,-0.0998142796281,"[[ -0.27471065  -0.44586563   0.13617392  -0.18990541]
 [-11.58093646 -11.63746955   0.           0.        ]]",[ 1.14209771  1.89694941],-1.84015,"[ 1.04899594  1.15224596 -0.1497447  -1.5387589   1.18732593 -1.64009068
  0.54024072 -2.06917716 -0.07671076  1.34359043  0.        ]",[-0.65201539 -0.63760185],[ 0.16057715  1.6154903 ]
4,-0.0425192160907,"[[ -0.49767952  -0.63657592   0.13617392  -0.18990541]
 [-10.71876018  -7.44751178   0.           0.        ]]",[ 1.90217829  2.29532337],-1.77698,"[ 0.93296177  1.04267467 -0.47347711 -1.95639496  1.18732533 -1.64008942
  0.56413673 -1.43552253 -0.4933437   0.83311554  0.        ]",[-0.65201539 -0.63760185],[ 2.18311087  1.75301272]
5,-0.0449678892023,"[[-0.67025119 -0.74433082  0.13617392 -0.18990541]
 [-6.55217853 -3.34167541  0.          0.        ]]",[ 1.76098704  1.96285927],-1.74715,"[ 0.80139948  0.96606047 -0.69932237 -2.16887318  1.18732473 -1.64008815
  0.67961792 -0.81459048 -0.8572702   0.58327139  0.        ]",[-0.65201539 -0.63760185],[ 1.99768887  1.66968881]
6,-0.0603758072614,"[[-0.76031317 -0.77078537  0.13617392 -0.18990541]
 [-2.46758031  0.68279664  0.          0.        ]]",[ 1.11621022  1.11121416],-1.64,"[ 0.71965265  0.94575725 -0.80606928 -2.21805119  1.18732414 -1.64008689
  0.79282681 -0.20596346 -1.03177355  0.49717407  0.        ]",[-0.65201539 -0.63760185],[ 0.05985932  0.47746368]
7,-0.0646324005274,"[[-0.80680495 -0.73829724  0.13617392 -0.18990541]
 [-2.18254583  2.55976028  0.          0.        ]]",[ 1.05836535  0.69489908],-1.74366,"[ 0.67422636  0.97061023 -0.85779236 -2.15747997  1.18732354 -1.64008563
  0.80072658  0.07789261 -1.07683665  0.46142164  0.        ]",[-0.65201539 -0.63760185],[ 1.18432946  1.26290422]
8,-0.0554996341829,"[[-0.81034144 -0.6478961   0.13617392 -0.18990541]
 [ 1.81553152  6.46732651  0.          0.        ]]",[-0.00990188 -0.71215487],-1.65139,"[ 0.67068476  1.03509974 -0.86162755 -1.97958164  1.18732294 -1.64008437
  0.91153739  0.66883978 -0.99011433  0.46585127  0.        ]",[-0.65201539 -0.63760185],[ 0.71388944 -0.58226927]
9,-0.0360774907008,"[[-0.74604731 -0.54297613  0.13617392 -0.18990541]
 [ 4.60459356  4.0327879   0.          0.        ]]",[-0.69298184 -0.77541137],-1.51819,"[ 0.73316061  1.10079525 -0.7897229  -1.75740265  1.18732235 -1.6400831
  0.98883893  0.30066057 -0.77730092  0.55378721  0.        ]",[-0.65201539 -0.63760185],[-0.49792511 -0.67795942]
10,-0.0301734287125,"[[-0.6746241  -0.49004751  0.13617392 -0.18990541]
 [ 2.54460735  1.26927719  0.          0.        ]]",[-0.51242143 -0.38855505],-1.497,"[ 0.79762728  1.12998597 -0.70469391 -1.63964244  1.18732175 -1.64008184
  0.93174376 -0.11726958 -0.61330837  0.66103245  0.        ]",[-0.65201539 -0.63760185],[-0.6860842  -0.18578437]
11,-0.0314275443971,"[[-0.65146665 -0.47228475  0.13617392 -0.18990541]
 [-0.21965466  0.5095271   0.          0.        ]]",[-0.13346153 -0.17809713],-1.49873,"[ 0.8173606   1.13916724 -0.67602937 -1.59934888  1.18732115 -1.64008058
  0.85512886 -0.23216779 -0.5616432   0.70047652  0.        ]",[-0.65201539 -0.63760185],[-0.09378666 -0.88844127]
12,-0.030758371632,"[[-0.65952589 -0.49748992  0.13617392 -0.18990541]
 [-0.58506324 -3.01828813  0.          0.        ]]",[ 0.34185535  0.78966808],-1.64905,"[ 0.81055909  1.12604521 -0.68606364 -1.65640978  1.18732056 -1.64007932
  0.84500085 -0.76568494 -0.59735142  0.67730306  0.        ]",[-0.65201539 -0.63760185],[ 0.63164149  1.65138593]
13,-0.031405517617,"[[-0.64605413 -0.51753739  0.13617392 -0.18990541]
 [ 1.92389588  1.0001544   0.          0.        ]]",[-0.45803693 -0.29845208],-1.53812,"[ 0.82188758  1.11516262 -0.66925513 -1.70124184  1.18731996 -1.64007806
  0.9145391  -0.15796906 -0.5959487   0.68563215  0.        ]",[-0.65201539 -0.63760185],[-0.37470463  0.28029741]
14,-0.0336096969035,"[[-0.62283514 -0.4865918   0.13617392 -0.18990541]
 [ 0.40306936  2.09076762  0.          0.        ]]",[-0.47178268 -0.64855021],-1.48681,"[ 0.84094077  1.13179459 -0.63988428 -1.63182792  1.18731936 -1.64007679
  0.87238738  0.00696625 -0.53247679  0.73247708  0.        ]",[-0.65201539 -0.63760185],[-0.45941684 -0.94637287]
15,-0.0327377705794,"[[-0.63307531 -0.48278242  0.13617392 -0.18990541]
 [-1.42101735 -1.6972071   0.          0.        ]]",[ 0.20860893  0.38828778],-1.54505,"[ 0.83261152  1.13377646 -0.65289913 -1.62320149  1.18731877 -1.64007553
  0.82183049 -0.56589564 -0.5440194   0.72027815  0.        ]",[-0.65201539 -0.63760185],[-0.00051788  0.1421303 ]
16,-0.0307769690805,"[[-0.6612365  -0.51074295  0.13617392 -0.18990541]
 [-1.39518544 -1.10083382  0.          0.        ]]",[ 0.32070285  0.43074787],-1.55445,"[ 0.80910518  1.11889306 -0.68818469 -1.68609925  1.18731817 -1.64007427
  0.82254616 -0.47570493 -0.61249642  0.66888827  0.        ]",[-0.65201539 -0.63760185],[-0.07200279  0.49433186]
17,-0.0306453598584,"[[-0.6917285  -0.51290125  0.13617392 -0.18990541]
 [-1.6531508   0.87840836  0.          0.        ]]",[ 0.30913991  0.08537078],-1.49408,"[ 0.78267689  1.1177119  -0.72552745 -1.69091307  1.18731757 -1.64007301
  0.81539608 -0.17638054 -0.66152912  0.62911557  0.        ]",[-0.65201539 -0.63760185],[-0.59441095 -0.41332706]
18,-0.033890505871,"[[-0.74805118 -0.51191961  0.13617392 -0.18990541]
 [-3.97140339 -0.77473385  0.          0.        ]]",[ 1.07051492  0.80326396],-1.61269,"[ 0.731273    1.11824891 -0.79203024 -1.6887224   1.18731698 -1.64007174
  0.75114286 -0.42638815 -0.74994805  0.56221694  0.        ]",[-0.65201539 -0.63760185],[ 1.10124251  0.2302176 ]
19,-0.0389134586568,"[[-0.78700175 -0.51812879  0.13617392 -0.18990541]
 [ 0.06291765  0.15073126  0.          0.        ]]",[ 0.51642305  0.48710012],-1.56317,"[ 0.69383129  1.11483248 -0.83605135 -1.7025488   1.18731638 -1.64007048
  0.86295829 -0.28642829 -0.81985507  0.51709808  0.        ]",[-0.65201539 -0.63760185],[ 0.04240091  0.06930961]
20,-0.0380114036129,"[[-0.78407386 -0.51239119  0.13617392 -0.18990541]
 [ 0.22931747  0.42212474  0.          0.        ]]",[ 0.44155055  0.38587719],-1.60708,"[ 0.69669778  1.11798975 -0.83279983 -1.68977156  1.18731578 -1.64006922
  0.86756993 -0.24538488 -0.80929365  0.52204997  0.        ]",[-0.65201539 -0.63760185],[ 0.88487214  0.0240078 ]
21,-0.0329369814818,"[[-0.74441041 -0.5030914   0.13617392 -0.18990541]
 [ 3.72538369  0.50757861  0.          0.        ]]",[-0.30735579 -0.00296617],-1.47554,"[ 0.73469424  1.12303942 -0.78783075 -1.66897493  1.18731518 -1.64006796
  0.96446697 -0.23246148 -0.73548918  0.56961967  0.        ]",[-0.65201539 -0.63760185],[-1.08878694 -0.37669331]
22,-0.0310086076179,"[[-0.71032928 -0.50799107  0.13617392 -0.18990541]
 [-0.30385595 -0.99255704  0.          0.        ]]",[ 0.34016603  0.49699038],-1.5964,"[ 0.76606569  1.12038867 -0.74785089 -1.6799432   1.18731459 -1.6400667
  0.85279173 -0.45932979 -0.68590202  0.60827065  0.        ]",[-0.65201539 -0.63760185],[ 1.0623008  0.0083478]
23,-0.0309381397841,"[[-0.67665353 -0.52732772  0.13617392 -0.18990541]
 [ 3.65824344 -0.94126779  0.          0.        ]]",[-0.40762216  0.19419974],-1.48142,"[ 0.79586672  1.10970096 -0.70717806 -1.72293925  1.18731399 -1.64006543
  0.96260541 -0.4515731  -0.65201033  0.6418655   0.        ]",[-0.65201539 -0.63760185],[-1.33706302  0.3450497 ]
24,-0.0315576165972,"[[-0.6439125  -0.53224337  0.13617392 -0.18990541]
 [-0.37072585  0.44507252  0.          0.        ]]",[-0.02277118  0.00987512],-1.53104,"[ 0.82366731  1.10692592 -0.66656453 -1.73379224  1.18731339 -1.64006417
  0.85093766 -0.24191405 -0.60659467  0.68173229  0.        ]",[-0.65201539 -0.63760185],[-0.43894647  0.22426499]
25,-0.0306586865313,"[[-0.66867963 -0.51451451  0.13617392 -0.18990541]
 [-2.10022436  1.32488201  0.          0.        ]]",[ 0.24886703 -0.07226568],-1.6041,"[ 0.80274465  1.11682226 -0.69738195 -1.69449748  1.1873128  -1.64006291
  0.80300238 -0.10885866 -0.62744092  0.65757415  0.        ]",[-0.65201539 -0.63760185],[ 1.11525166 -0.03494859]
26,-0.0302923581863,"[[-0.67057403 -0.48968296  0.13617392 -0.18990541]
 [ 1.89746559  1.15882917  0.          0.        ]]",[-0.41683471 -0.33833778],-1.55526,"[ 0.80111645  1.13016909 -0.69971458 -1.63879819  1.1873122  -1.64006165
  0.91380254 -0.13397114 -0.60682403  0.66644274  0.        ]",[-0.65201539 -0.63760185],[ 0.38364705 -0.15439291]
27,-0.0346352382946,"[[-0.61777119 -0.47287555  0.13617392 -0.18990541]
 [ 3.37788867  0.52403095  0.          0.        ]]",[-0.85590649 -0.51148647],-1.51476,"[ 0.84501275  1.13885841 -0.63340937 -1.60067417  1.1873116  -1.64006039
  0.95483377 -0.22997295 -0.5125078   0.74689152  0.        ]",[-0.65201539 -0.63760185],[-0.0859991  -0.66351968]
28,-0.0424457128845,"[[-0.55428762 -0.48885753  0.13617392 -0.18990541]
 [ 2.97182036 -2.11344018  0.          0.        ]]",[-0.78939712 -0.02956843],-1.54276,"[ 0.89361313  1.1306013  -0.55035215 -1.63693134  1.18731101 -1.64005912
  0.94357875 -0.62884309 -0.43684399  0.83046082  0.        ]",[-0.65201539 -0.63760185],[-0.40887093  0.0854997 ]
29,-0.0466340529256,"[[-0.51167143 -0.52730358  0.13617392 -0.18990541]
 [ 1.29537654 -1.73244073  0.          0.        ]]",[-0.65685308 -0.04738301],-1.52997,"[ 0.92358898  1.10971136 -0.49270682 -1.72287782  1.18731041 -1.64005786
  0.89711387 -0.57122358 -0.41288873  0.87220113  0.        ]",[-0.65201539 -0.63760185],[-0.92221903  0.07985065]
30,-0.0429793364174,"[[-0.52262788 -0.55842275  0.13617392 -0.18990541]
 [-2.3787946  -1.3806528   0.          0.        ]]",[ 0.00307631  0.22637278],-1.57449,"[ 0.9160891   1.09175636 -0.50766463 -1.79105674  1.18730981 -1.6400566
  0.79527976 -0.51802179 -0.45571483  0.83782433  0.        ]",[-0.65201539 -0.63760185],[ 0.42301266 -0.362545  ]
31,-0.0374038602756,"[[-0.55293615 -0.60017073  0.13617392 -0.18990541]
 [-0.6577646  -2.78944851  0.          0.        ]]",[ 0.0623191   0.69245547],-1.59229,"[ 0.89459583  1.06623155 -0.54854619 -1.88044887  1.18730922 -1.64005534
  0.84297977 -0.7310768  -0.53689858  0.77279699  0.        ]",[-0.65201539 -0.63760185],[-0.43658647  1.1713617 ]
32,-0.0347643555606,"[[-0.58330482 -0.6156717   0.13617392 -0.18990541]
 [-2.37337769  1.22596794  0.          0.        ]]",[ 0.1074959  -0.00692147],-1.58497,"[ 0.87197435  1.05634255 -0.58874925 -1.91300586  1.18730862 -1.64005407
  0.79542933 -0.12381655 -0.59575508  0.72466965  0.        ]",[-0.65201539 -0.63760185],[ 0.94729488 -0.61290284]
