timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.371437388835,"[[-0.05174537  0.05055611 -0.10706976 -0.19899717]
 [ 0.00338268  0.00210791  0.          0.        ]]",[-3.10804129 -0.5765239 ],-2.19833,"[ 1.16993511  2.08198774  0.07208738 -0.5428559  -0.92487034 -1.72881002
  1.10712663 -0.37569469  2.11314553  1.76474966  0.        ]",[-0.17041092 -0.25395614],[-3.82081559 -1.39162138]
1,-0.364442971088,"[[-0.09135346  0.01088544 -0.10706976 -0.19899717]
 [-3.95102861 -3.95598871  0.          0.        ]]",[-2.9505682 -0.4000034],-2.22954,"[ 1.16603253  2.08361333  0.0125925  -0.6751387  -0.92486922 -1.72880551
  0.97232458 -0.92050674  2.10836475  1.65429014  0.        ]",[-0.17041092 -0.25395614],[-3.63437692  0.05819864]
2,-0.344394775429,"[[-0.20928169 -0.06512125 -0.10706976 -0.19899717]
 [-7.82888658 -3.64571661  0.          0.        ]]",[-2.74258089 -0.33277443],-2.13456,"[ 1.1417144   2.0808449  -0.16290775 -0.92856705 -0.9248681  -1.72880101
  0.84013242 -0.87779824  2.06706396  1.36960008  0.        ]",[-0.17041092 -0.25395614],[-1.98158742  0.20937756]
3,-0.311562368786,"[[ -0.4040001   -0.12897814  -0.10706976  -0.19899717]
 [-11.63030166  -2.74297728   0.           0.        ]]",[-2.41743112 -0.2314097 ],-1.83802,"[ 1.06086225  2.07254706 -0.44204073 -1.14057475 -0.92486698 -1.7287965
  0.71054632 -0.75353967  1.93990733  0.9801949   0.        ]",[-0.17041092 -0.25395614],[-2.62505329 -0.17725767]
4,-0.262014201361,"[[ -0.6739868   -0.19031935  -0.10706976  -0.19899717]
 [-15.35597565  -3.38897662   0.           0.        ]]",[-1.69503212  0.20972286],-1.61132,"[ 0.87052096  2.05947392 -0.78994562 -1.34259281 -0.92486586 -1.72879199
  0.58354228 -0.84245751  1.66221184  0.53614272  0.        ]",[-0.17041092 -0.25395614],[-2.14970286  1.02754764]
5,-0.19605544153,"[[ -1.01776586  -0.2176813   -0.10706976  -0.19899717]
 [-19.00974016   0.63937524   0.           0.        ]]",[-0.82950836  0.48071754],-1.23882,"[ 0.51772644  2.05203863 -1.13156083 -1.43198277 -0.92486474 -1.72878749
  0.45898964 -0.28797345  1.20760187  0.16185884  0.        ]",[-0.17041092 -0.25395614],[-2.10839254  0.77926022]
6,-0.117062162627,"[[ -1.43389023  -0.174045    -0.10706976  -0.19899717]
 [-22.5907529    3.71401216   0.           0.        ]]",[ 0.15581256  0.91073573],-1.06411,"[-0.01791621  2.06341113 -1.34196225 -1.28919034 -0.92486362 -1.72878298
  0.33691707  0.13523615  0.61584353 -0.01288723  0.        ]",[-0.17041092 -0.25395614],[-0.12374029  1.12594633]
7,-0.0356850074896,"[[ -1.88614728  -0.06077134  -0.10706976  -0.19899717]
 [-22.6348085    7.60035987   0.           0.        ]]",[ 0.66592801  1.07166517],-0.887163,"[-0.63324511  2.08117589 -1.2817855  -0.91407346 -0.92486249 -1.72877847
  0.33541502  0.67017383  0.01045732  0.08843352  0.        ]",[-0.17041092 -0.25395614],[ 0.57500665  0.88304928]
8,-0.0427657105387,"[[ -2.31154221   0.12479729  -0.10706976  -0.19899717]
 [-19.91377976  10.94530021   0.           0.        ]]",[ 0.54667783  0.89784634],-0.911605,"[-1.13568197  2.07322045 -0.96141572 -0.29615998 -0.92486137 -1.72877397
  0.42817132  1.13058833 -0.43518095  0.38341489  0.        ]",[-0.17041092 -0.25395614],[ 0.23827134  0.52832196]
9,-0.0966935081757,"[[ -2.69641859   0.36250981  -0.10706976  -0.19899717]
 [-18.57834547  12.81965607   0.           0.        ]]",[-0.00612658  0.62425429],-1.16648,"[-1.44938199  1.99654245 -0.49853258  0.471691   -0.92486025 -1.72876946
  0.47369434  1.38858238 -0.69865211  0.74143918  0.        ]",[-0.17041092 -0.25395614],[ 0.8944897   0.33422961]
