timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.07411478  1.33998702 -0.05355792 -1.12964248 -1.09766829  0.4041292
  0.2070898  -0.30255875  3.19943813 -0.70379659  0.        ]",[ 3.54152877  3.64670757],-0.339082470818,-0.339082470818,[ 3.31236792  2.87793565],"[[-0.00433876  0.09172992 -0.12744913  0.04643314]
 [ 0.00031441  0.00129661  0.          0.        ]]",[-0.92699361 -0.71330678]
1,"[ 1.07321808  1.33409486  0.00501797 -1.02843006 -1.09766755  0.40412905
  0.67959456  0.38110541  3.18706804 -0.533507    0.        ]",[ 2.59676456  1.97494238],-0.336763150026,-0.336763150026,[ 2.3130579   2.12119627],"[[ 0.03534268  0.13146802 -0.12744913  0.04643314]
 [ 3.95467468  3.95932673  0.          0.        ]]",[-0.92699361 -0.71330678]
2,"[ 1.05703732  1.30433479  0.17833921 -0.73134794 -1.09766681  0.40412891
  1.14277024  1.05123617  3.09826249 -0.03977889  0.        ]",[ 1.75257066  1.39384526],-0.327687830328,-0.327687830328,[ 1.72007513  1.69434512],"[[ 0.15332771  0.24958068 -0.12744913  0.04643314]
 [ 7.83096406  7.83900822  0.          0.        ]]",[-0.92699361 -0.71330678]
3,"[ 0.98676947  1.21621     0.45643838 -0.26224406 -1.09766607  0.40412876
  1.59683996  1.70808968  2.7935616   0.68916793  0.        ]",[ 1.49974817  1.40509603],-0.305883321403,-0.305883321403,[ 1.66117406  1.32426691],"[[  0.34807317   0.44451598  -0.12744913   0.04643314]
 [ 11.63105455  11.64183004   0.           0.        ]]",[-0.92699361 -0.71330678]
4,"[ 0.80462512  1.01976957  0.80839113  0.31549595 -1.09766533  0.40412862
  2.04206546  2.35190409  2.11850549  1.39593438  0.        ]",[ 0.10450411  0.12035545],-0.263042525932,-0.263042525932,[ 0.93599939  0.07028611],"[[  0.61807647   0.71475076  -0.12744913   0.04643314]
 [ 15.35714275  15.36918045   0.           0.        ]]",[-0.92699361 -0.71330678]
5,"[ 0.49254901  0.70669057  1.13314403  0.82475491 -1.09766459  0.40412848
  2.05544167  2.38151544  1.18626085  1.62893815  0.        ]",[ 0.23259976 -0.38723096],-0.199892494823,-0.199892494823,[ 0.17049329 -0.48774612],"[[  0.92634162   1.02385505  -0.12744913   0.04643314]
 [ 15.46911497  15.54064191   0.           0.        ]]",[-0.92699361 -0.71330678]
6,"[ 0.087898    0.3496422   1.35014571  1.1160286  -1.09766384  0.40412833
  2.12922038  2.0633306   0.35199472  1.2664271   0.        ]",[-1.17514855 -1.88866075],-0.128282566663,-0.128282566663,[-1.54274333 -1.68172753],"[[  1.24191944   1.3161858   -0.12744913   0.04643314]
 [ 16.0865952   13.6985448    0.           0.        ]]",[-0.92699361 -0.71330678]
7,"[-0.30976988  0.04508024  1.42742647  1.19797463 -1.0976631   0.40412819
  1.61865848  1.33255744 -0.12638327  0.62794838  0.        ]",[-2.18009573 -2.12919304],-0.0655432861804,-0.0655432861804,[-2.01507592 -2.03538942],"[[  1.52078372   1.54770752  -0.12744913   0.04643314]
 [ 11.81374039   9.46776984   0.           0.        ]]",[-0.92699361 -0.71330678]
8,"[-0.5919623  -0.15117607  1.41394227  1.17876731 -1.09766236  0.40412804
  1.11800597  0.61629389 -0.29264324  0.11312894  0.        ]",[-1.72845843 -2.22589358],-0.0243392571928,-0.0243392571928,[-1.88795936 -1.84810936],"[[ 1.71502181  1.69545658 -0.12744913  0.04643314]
 [ 7.62380619  5.32099161  0.          0.        ]]",[-0.92699361 -0.71330678]
9,"[-0.75072959 -0.23746016  1.38134603  1.15238646 -1.09766162  0.4041279
  0.62714779 -0.08575992 -0.3360381  -0.16220283  0.        ]",[-0.85835083 -1.30172717],-0.00411286822615,-0.00411286822615,[-1.07613766 -0.87010241],"[[ 1.8262824   1.76109561 -0.12744913  0.04643314]
 [ 3.51583574  1.25647929  0.          0.        ]]",[-0.92699361 -0.71330678]
