timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
32,"[-0.96250702 -0.74196444 -1.46076703 -0.61417156  0.07445013 -0.4120542
  0.00408546 -0.37512283 -0.28077994  0.3455329   0.        ]",[-0.27611245  0.9141176 ],-0.0539173827256,-0.0539173827256,[ 0.2113947   0.49303108],"[[-1.87060358  3.04105784  0.00973483 -0.0479642 ]
 [-5.03050015 -0.23688039  0.          0.        ]]",[-0.26997578 -0.13830787]
33,"[-1.11792646 -0.74035803 -1.40252363 -0.58149225  0.07445006 -0.41205376
 -0.07949192 -0.43852727 -0.26600943  0.32494564  0.        ]",[-0.40679539  0.45841855],-0.0518732834361,-0.0518732834361,[ 0.25349149  0.52520442],"[[-1.98118323  3.02940345  0.00973483 -0.0479642 ]
 [-6.02414152 -0.68568794  0.          0.        ]]",[-0.26997578 -0.13830787]
34,"[-1.29814876 -0.73846686 -1.30814233 -0.54694681  0.07444999 -0.41205332
 -0.20493298 -0.41317277 -0.25427439  0.2977025   0.        ]",[ 0.46569461  0.02010033],-0.0491526665355,-0.0491526665355,[ 0.293713    0.53751397],"[[-2.11662931  3.01706682  0.00973483 -0.0479642 ]
 [-7.51549487 -0.50622103  0.          0.        ]]",[-0.26997578 -0.13830787]
35,"[-1.45812072 -0.73692442 -1.19491342 -0.52114989  0.07444992 -0.41205288
 -0.0373298  -0.40050367 -0.24889978  0.27078398  0.        ]",[ 2.4642833  -0.02440466],-0.0464037442332,-0.0464037442332,[ 0.20993754  0.52163851],"[[-2.24694672  3.00784211  0.00973483 -0.0479642 ]
 [-5.5228866  -0.41654675  0.          0.        ]]",[-0.26997578 -0.13830787]
36,"[-1.53723738 -0.73527416 -1.12605324 -0.49540911  0.07444986 -0.41205244
  0.30489185 -0.41296605 -0.24524743  0.25237993  0.        ]",[-1.12081503  1.31588838],-0.0445389448822,-0.0445389448822,[ 0.08418486  0.47981969],"[[-2.31658264  2.99862605  0.00973483 -0.0479642 ]
 [-1.45426547 -0.50476381  0.          0.        ]]",[-0.26997578 -0.13830787]
37,"[-1.61027293 -0.73656157 -1.0530271  -0.51536662  0.07444979 -0.412052
 -0.02570824 -0.23772838 -0.24719796  0.24016412  0.        ]",[ 0.63280563 -0.27930693],-0.0432108301102,-0.0432108301102,[ 0.15580758  0.51223135],"[[-2.38510319  3.0057729   0.00973483 -0.0479642 ]
 [-5.38471313  0.73563918  0.          0.        ]]",[-0.26997578 -0.13830787]
38,"[-1.69043938 -0.73688273 -0.95985664 -0.52052544  0.07444972 -0.41205156
  0.19399439 -0.40853794 -0.25589667  0.23625659  0.        ]",[ 1.0871159   1.04277039],-0.0426226414169,-0.0426226414169,[ 0.09384099  0.52053851],"[[-2.46659039  3.0076193   0.00973483 -0.0479642 ]
 [-2.77270673 -0.47342344  0.          0.        ]]",[-0.26997578 -0.13830787]
39,"[-1.70452334 -0.73610134 -0.94178714 -0.50814891  0.07444965 -0.41205112
  0.5316389  -0.3511271  -0.25458853  0.22987118  0.        ]",[-1.74163712  0.0181785 ],-0.0419733582864,-0.0419733582864,[-0.05828007  0.40326002],"[[-2.48176873  3.00318954  0.00973483 -0.0479642 ]
 [ 1.24149076 -0.06704903  0.          0.        ]]",[-0.26997578 -0.13830787]
40,"[-1.71830104 -0.73586325 -0.92354817 -0.50446757  0.07444958 -0.41205068
  0.19654464 -0.34973759 -0.25490394  0.22652712  0.        ]",[ 0.14295668 -0.86464291],-0.0416141817184,-0.0416141817184,[ 0.08473134  0.51438981],"[[-2.49691034  3.00187155  0.00973483 -0.0479642 ]
 [-2.74237508 -0.05721609  0.          0.        ]]",[-0.26997578 -0.13830787]
41,"[-1.76068578 -0.72864286 -0.86358886 -0.40564997  0.07444951 -0.41205024
  0.24870759 -0.83324647 -0.24436647  0.18612211  0.        ]",[-0.60098184  1.26021976],-0.0376078540992,-0.0376078540992,[ 0.11813468  0.63701564],"[[-2.54553565  2.96638843  0.00973483 -0.0479642 ]
 [-2.12221792 -3.47968965  0.          0.        ]]",[-0.26997578 -0.13830787]
42,"[-1.81342541 -0.72150028 -0.77915328 -0.3248558   0.07444945 -0.4120498
  0.05211348 -0.26413758 -0.24196528  0.147159    0.        ]",[-0.37068957  0.09573529],-0.0336180569458,-0.0336180569458,[ 0.10160151  0.5325253 ],"[[-2.61143048  2.93721263  0.00973483 -0.0479642 ]
 [-4.45948111  0.54868217  0.          0.        ]]",[-0.26997578 -0.13830787]
43,"[-1.88455552 -0.72522506 -0.64061173 -0.36541546  0.07444938 -0.41204936
 -0.06390946 -0.21212973 -0.25848314  0.1453686   0.        ]",[ 0.39197817  0.48303575],-0.0329903142439,-0.0329903142439,[ 0.08702505  0.55419248],"[[-2.71445976  2.95187986  0.00973483 -0.0479642 ]
 [-5.83885142  0.91681213  0.          0.        ]]",[-0.26997578 -0.13830787]
44,"[-1.93977628 -0.73347113 -0.49969635 -0.46918195  0.07444931 -0.41204892
  0.07635818  0.05551952 -0.27684319  0.16918864  0.        ]",[-0.56073534  2.15635043],-0.0351721388274,-0.0351721388274,[-0.04269025  0.46766859],"[[-2.81450514  2.98922444  0.00973483 -0.0479642 ]
 [-4.17124284  2.81133453  0.          0.        ]]",[-0.26997578 -0.13830787]
45,"[-1.98240536 -0.7394056  -0.34677913 -0.56385048  0.07444924 -0.41204848
 -0.1034462  -0.27967191 -0.29123203  0.19310029  0.        ]",[-0.32305886  0.19529005],-0.0375720393622,-0.0375720393622,[ 0.01737303  0.60546112],"[[-2.91937767  3.02310754  0.00973483 -0.0479642 ]
 [-6.30889253  0.43872373  0.          0.        ]]",[-0.26997578 -0.13830787]
46,"[-2.01392729 -0.73898495 -0.14060526 -0.55627656  0.07444917 -0.41204804
 -0.2005318  -0.39935304 -0.30386247  0.17467267  0.        ]",[ 0.77456509  1.01341115],-0.0355467130115,-0.0355467130115,[-0.00333875  0.65755779],"[[-3.0571364   3.02040254  0.00973483 -0.0479642 ]
 [-7.46311966 -0.40842576  0.          0.        ]]",[-0.26997578 -0.13830787]
47,"[-2.01846895 -0.73779731  0.03657459 -0.53572965  0.0744491  -0.4120476
  0.06984872 -0.38420156 -0.3172372   0.15632489  0.        ]",[ 0.869314    0.72580314],-0.0335990276752,-0.0335990276752,[-0.20508328  0.5468232 ],"[[-3.17414688  3.01305931  0.00973483 -0.0479642 ]
 [-4.2486395  -0.301181    0.          0.        ]]",[-0.26997578 -0.13830787]
48,"[-2.01419652 -0.73696574  0.11161002 -0.52202765  0.07444904 -0.41204716
  0.36643055 -0.36800779 -0.32401506  0.14752219  0.        ]",[-0.65695802 -0.27790951],-0.0326975584565,-0.0326975584565,[-0.39374775  0.40412354],"[[-3.22374235  3.0081586   0.00973483 -0.0479642 ]
 [-0.7226586  -0.18655851  0.          0.        ]]",[-0.26997578 -0.13830787]
49,"[-2.00799575 -0.73428141  0.17252703 -0.48088384  0.07444897 -0.41204672
  0.14884355 -0.52296264 -0.33247788  0.13005527  0.        ]",[-0.63228219  1.20042046],-0.0309172914124,-0.0309172914124,[-0.27308962  0.53003818],"[[-3.26415     2.99342259  0.00973483 -0.0479642 ]
 [-3.30948436 -1.28338702  0.          0.        ]]",[-0.26997578 -0.13830787]
