timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.366810727112,[-0.52151871  0.04860611],[-1.93928111 -4.62330008],-2.67579,"[ 1.19055314  2.55834847  0.06313561  1.22965751 -1.23593045 -0.70008074
  0.12166055  0.38024461  2.45259815  0.99960643  0.        ]","[[ 0.09525868  0.0921002  -0.14195782 -0.08110453]
 [-0.00182493  0.00408963  0.          0.        ]]",[-2.80866943 -5.50519079]
1,-0.364720472422,[-0.52151871  0.04860611],[-1.82678306 -4.40229225],-2.73247,"[ 1.19470696  2.56269744  0.00473802  1.06395796 -1.23592962 -0.70008046
  0.04930161 -0.13762076  2.46455609  0.88810963  0.        ]","[[ 0.05554743  0.05246874 -0.14195782 -0.08110453]
 [-3.95613656 -3.95404928  0.          0.        ]]",[-2.90301373 -4.96166575]
2,-0.356096616867,[-0.52151871  0.04860611],[-1.41766834 -3.89507198],-2.81717,"[ 1.19413957  2.56151975 -0.16921047  0.56953906 -1.2359288  -0.70008019
 -0.02162673 -0.64523661  2.46229423  0.55414201  0.        ]","[[-0.06246554 -0.06553954 -0.14195782 -0.08110453]
 [-7.83226866 -7.83384974  0.          0.        ]]",[-1.11280068 -3.53741201]
3,-0.334262624526,[-0.52151871  0.04860611],[-0.80606282 -3.20336723],-2.7991,"[ 1.15114989  2.51350394 -0.45235293 -0.23515022 -1.23592798 -0.70007991
 -0.09115704 -1.14279871  2.33679181  0.02624105  0.        ]","[[ -0.2572339   -0.26037301  -0.14195782  -0.08110453]
 [-11.632      -11.63681049   0.           0.        ]]",[-1.09800196 -3.06680338]
4,-0.28976693906,[-0.52151871  0.04860611],[-0.24396947 -2.49790263],-2.77334,"[ 1.00822872  2.35567314 -0.81922376 -1.27704733 -1.23592715 -0.70007964
 -0.15932861 -1.63048822  1.94457672 -0.56103872  0.        ]","[[ -0.52725042  -0.53050898  -0.14195782  -0.08110453]
 [-15.35747823 -15.36432036   0.           0.        ]]",[-1.00007053 -1.65409952]
5,-0.214052214991,[-0.52151871  0.04860611],[-0.10529241 -2.21786022],-2.3957,"[ 0.70243351  2.01926209 -1.20541024 -2.37213139 -1.23592633 -0.70007936
 -0.22618785 -2.10847232  1.22552797 -0.90368276  0.        ]","[[ -0.87105488  -0.87445138  -0.14195782  -0.08110453]
 [-19.01123953 -19.01766265   0.           0.        ]]",[-0.56850547 -2.9118456 ]
6,-0.109212696926,[-0.52151871  0.04860611],[-1.1280793  -2.75914288],-2.11313,"[ 0.21932153  1.46398061 -1.48581264 -3.1847692  -1.23592551 -0.70007909
 -0.26053785 -2.57699528  0.41196622 -0.64711273  0.        ]","[[ -1.27010883  -1.29073525  -0.14195782  -0.08110453]
 [-20.88841979 -22.59871151   0.           0.        ]]",[-2.4961144  -3.60876691]
7,-0.0317321924755,[-0.52151871  0.04860611],[-2.25217462 -3.28723907],-1.38795,"[-0.40329382  0.73062124 -1.5348212  -3.25849104 -1.23592469 -0.70007882
 -0.32551393 -3.03613116 -0.00996287  0.20128224  0.        ]","[[ -1.72349827  -1.77792031  -0.14195782  -0.08110453]
 [-24.4392694  -26.10804122   0.           0.        ]]",[-2.26233437 -3.14769179]
8,-0.129672199704,[-0.52151871  0.04860611],[-2.56225467 -3.50730133],-1.59924,"[-1.06148955 -0.00876551 -1.22723974 -2.18356088 -1.23592386 -0.70007854
 -0.38924571 -3.48617316  0.30176653  1.00918075  0.        ]","[[ -2.24722696  -2.33459362  -0.14195782  -0.08110453]
 [-27.92212042 -29.54790186   0.           0.        ]]",[-2.74794564 -5.01789268]
9,-0.176667243098,[-0.52151871  0.04860611],[-2.22626877 -3.43672371],-1.70777,"[-1.51818636 -0.45264772 -0.51535333  0.08448998 -1.23592304 -0.70007827
 -0.45168193 -3.92744797  0.89748345  0.92396723  0.        ]","[[ -2.83991161  -2.95938988  -0.14195782  -0.08110453]
 [-31.33417164 -32.92080049   0.           0.        ]]",[-2.25994493 -6.22073432]
10,-0.159142497996,[-0.52151871  0.04860611],[-1.836285   -3.58064461],-1.57268,"[-1.49261405 -0.46791855  0.44032675  1.32185077 -1.23592222 -0.70007799
 -0.5127584   0.28648751  0.9096412   0.58735635  0.        ]","[[ -3.50008439  -3.25580334  -0.14195782  -0.08110453]
 [-34.67191548  -0.71256247   0.           0.        ]]",[-0.67404901 -2.90078764]
11,-0.157400674286,[-0.52151871  0.04860611],[-2.14867187 -3.97922277],-0.952687,"[-0.85664921 -0.47572072  1.21787671  1.06475794 -1.2359214  -0.70007772
 -0.54903045  0.98322161  0.87764301  0.63110943  0.        ]","[[ -4.21340982  -3.19425304  -0.14195782  -0.08110453]
 [-36.65413641   4.61276539   0.           0.        ]]",[-2.21560751 -6.56780191]
12,-0.159149608617,[-0.52151871  0.04860611],[-2.49072027 -4.43591881],-1.34355,"[ 0.17380615 -0.47707     1.34561798  0.71165026 -1.23592057 -0.70007744
 -0.60820383  0.83673072  0.88828884  0.64083588  0.        ]","[[ -4.97893779  -3.10999358  -0.14195782  -0.08110453]
 [-39.88788076   3.49309944   0.           0.        ]]",[-1.91369583 -3.82561604]
13,-0.153747494946,[-0.52151871  0.04860611],[-2.35808587 -4.63552427],-0.86275,"[ 1.04328846 -0.47229699  0.59695062  0.48690163 -1.23591975 -0.70007717
 -0.66620482  0.63451267  0.85109226  0.62102409  0.        ]","[[ -5.80849788  -3.05628415  -0.14195782  -0.08110453]
 [-43.05755706   1.94749507   0.           0.        ]]",[-1.66371692 -6.01979391]
14,-0.147945288222,[-0.52151871  0.04860611],[-2.0794456  -4.39864683],-1.46913,"[ 1.07747455 -0.46804985 -0.67533891  0.36952437 -1.23591893 -0.70007689
 -0.72305704  0.50544707  0.78080764  0.66624091  0.        ]","[[ -6.70082157  -3.02814539  -0.14195782  -0.08110453]
 [-46.16445656   0.96101388   0.           0.        ]]",[-2.10661003 -3.43660428]
15,-0.153687049886,[-0.52151871  0.04860611],[-2.40450072 -4.18503618],-1.70387,"[ 0.08296502 -0.46559733 -1.52278413  0.31355949 -1.23591811 -0.70007662
 -0.77878367  0.43779354  0.7663688   0.78852378  0.        ]","[[ -7.65466609  -3.01469854  -0.14195782  -0.08110453]
 [-49.20984643   0.44392124   0.           0.        ]]",[-2.2534216  -3.41174716]
16,-0.169629767851,[-0.52151871  0.04860611],[-2.3277235 -3.7058754],-1.70111,"[-1.20259345 -0.46439648 -1.0888678   0.28823933 -1.23591728 -0.70007634
 -0.83340712  0.4054546   0.857218    0.88273384  0.        ]","[[ -8.66881353  -3.00860736  -0.14195782  -0.08110453]
 [-52.19495066   0.19674719   0.           0.        ]]",[-2.98952542 -4.17045676]
17,-0.180590087744,[-0.52151871  0.04860611],[-2.11454844 -3.49137592],-1.76695,"[-1.51158093 -0.46385353  0.38300357  0.27717026 -1.23591646 -0.70007607
 -0.88694921  0.39080325  0.98286153  0.83419917  0.        ]","[[ -9.74207017  -3.00594298  -0.14195782  -0.08110453]
 [-55.12096277   0.08476406   0.           0.        ]]",[-3.07769604 -3.33576846]
18,-0.174429979956,[-0.52151871  0.04860611],[-2.43599033 -3.98984098],-1.75753,"[-0.36147777 -0.46361846  1.38668376  0.27244721 -1.23591564 -0.70007579
 -0.93943133  0.38439395  1.00403466  0.67112715  0.        ]","[[ -1.08732659e+01  -3.00480583e+00  -1.41957821e-01  -8.11045299e-02]
 [ -5.79890517e+01   3.57770257e-02   0.00000000e+00   0.00000000e+00]]",[-3.41050234 -3.12241188]
19,-0.155038873116,[-0.52151871  0.04860611],[-2.34991407 -4.45093966],-1.05508,"[ 1.02340333 -0.46351927  0.63654946  0.27046781 -1.23591482 -0.70007552
 -0.99087444  0.38165848  0.87897412  0.5786696   0.        ]","[[ -1.20612537e+01  -3.00432922e+00  -1.41957821e-01  -8.11045299e-02]
 [ -6.08003633e+01   1.48699604e-02   0.00000000e+00   0.00000000e+00]]",[-2.72916072 -5.02204703]
20,-0.146443142947,[-0.52151871  0.04860611],[-2.13032579 -4.20355654],-1.17326,"[ 0.83498081 -0.46347807 -1.07001633  0.26964945 -1.23591399 -0.70007524
 -1.0412991   0.3805121   0.75642367  0.68851251  0.        ]","[[ -1.33049094e+01  -3.00413217e+00  -1.41957821e-01  -8.11045299e-02]
 [ -6.35560214e+01   6.10881680e-03   0.00000000e+00   0.00000000e+00]]",[-1.85719058 -5.47791673]
21,-0.163563468755,[-0.52151871  0.04860611],[-2.43933988 -3.81574965],-1.54215,"[-0.81603164 -0.46346111 -1.39474712  0.26931451 -1.23591317 -0.70007497
 -1.09072547  0.38003837  0.81180278  0.86477026  0.        ]","[[ -1.46031309e+01  -3.00405153e+00  -1.41957821e-01  -8.11045299e-02]
 [ -6.62571273e+01   2.48880970e-03   0.00000000e+00   0.00000000e+00]]",[-0.76006306 -4.82452018]
22,-0.180427973656,[-0.52151871  0.04860611],[-2.13920283 -3.44291878],-1.8392,"[-1.54197243 -0.46345412  0.26962681  0.2691783  -1.23591235 -0.70007469
 -1.12178983  0.3798447   0.97586048  0.84504853  0.        ]","[[ -1.59453066e+01  -3.00401875e+00  -1.41957821e-01  -8.11045299e-02]
 [ -6.79547813e+01   1.00943800e-03   0.00000000e+00   0.00000000e+00]]",[-1.43110145 -2.71054512]
23,-0.172061846261,[-0.52151871  0.04860611],[-2.50500607 -4.03922892],-1.3319,"[-0.12002022 -0.4634512   1.39571766  0.26912308 -1.23591153 -0.70007442
 -1.16962264  0.37976607  0.99359163  0.64759902  0.        ]","[[ -1.73306296e+01  -3.00400547e+00  -1.41957821e-01  -8.11045299e-02]
 [ -7.05688075e+01   4.09338721e-04   0.00000000e+00   0.00000000e+00]]",[-2.1667871  -4.80736763]
24,-0.149314001944,[-0.52151871  0.04860611],[-2.15252995 -4.35245275],-1.35405,"[ 1.19220082 -0.46344992  0.0434287   0.2691005  -1.2359107  -0.70007414
 -1.21650845  0.37973453  0.82503892  0.59409423  0.        ]","[[ -1.87677139e+01  -3.00400005e+00  -1.41957821e-01  -8.11045299e-02]
 [ -7.31310854e+01   1.69154712e-04   0.00000000e+00   0.00000000e+00]]",[-1.18248918 -3.41095426]
25,-0.153059041518,[-0.52151871  0.04860611],[-2.44026017 -4.0871048 ],-1.63263,"[ 0.03584685 -0.4634493  -1.53199503  0.26909095 -1.23590988 -0.70007387
 -1.26246599  0.37972192  0.75960511  0.79018402  0.        ]","[[ -2.02555348e+01  -3.00399777e+00  -1.41957821e-01  -8.11045299e-02]
 [ -7.56426392e+01   7.36251416e-05   0.00000000e+00   0.00000000e+00]]",[-3.08765142 -4.03684258]
26,-0.17712918245,[-0.52151871  0.04860611],[-2.24981427 -3.4886961 ],-1.94114,"[-1.55375549 -0.46344894 -0.36734169  0.26908657 -1.23590906 -0.7000736
 -1.30751364  0.37971686  0.92717972  0.88048818  0.        ]","[[ -2.17930880e+01  -3.00399673e+00  -1.41957821e-01  -8.11045299e-02]
 [ -7.81044732e+01   3.58661962e-05   0.00000000e+00   0.00000000e+00]]",[-1.91943996 -2.2023838 ]
27,-0.175292066448,[-0.52151871  0.04860611],[-2.44140601 -3.8749938 ],-1.32474,"[-0.44417101 -0.46344867  1.37319373  0.26908422 -1.23590823 -0.70007332
 -1.35166941  0.37971481  1.00766282  0.68000922  0.        ]","[[ -2.33793889e+01  -3.00399619e+00  -1.41957821e-01  -8.11045299e-02]
 [ -8.05175717e+01   2.10511536e-05   0.00000000e+00   0.00000000e+00]]",[-2.53448395 -5.08288973]
28,-0.149729011414,[-0.52151871  0.04860611],[-2.15474701 -4.31056261],-1.44534,"[ 1.18698332 -0.46344845  0.09834551  0.26908268 -1.23590741 -0.70007305
 -1.39495095  0.37971395  0.82953895  0.59163534  0.        ]","[[ -2.50134724e+01  -3.00399583e+00  -1.41957821e-01  -8.11045299e-02]
 [ -8.28828993e+01   1.53011746e-05   0.00000000e+00   0.00000000e+00]]",[-2.14754605 -2.96870675]
29,-0.155441513558,[-0.52151871  0.04860611],[-2.47683978 -4.00589752],-1.73155,"[-0.17932824 -0.46344824 -1.55191952  0.26908144 -1.23590659 -0.70007277
 -1.43737556  0.37971354  0.76855386  0.81196476  0.        ]","[[ -2.66943927e+01  -3.00399555e+00  -1.41957821e-01  -8.11045299e-02]
 [ -8.52014019e+01   1.31130117e-05   0.00000000e+00   0.00000000e+00]]",[-2.91138846 -3.53144767]
30,-0.179971550653,[-0.52151871  0.04860611],[-2.19605541 -3.40992689],-1.60422,"[-1.56595097 -0.46344804  0.13871958  0.26908031 -1.23590577 -0.7000725
 -1.47896019  0.37971333  0.96690535  0.85442306  0.        ]","[[ -2.84212225e+01  -3.00399530e+00  -1.41957821e-01  -8.11045299e-02]
 [ -8.74740064e+01   1.23140934e-05   0.00000000e+00   0.00000000e+00]]",[-2.40358773 -4.32039888]
31,-0.167322624773,[-0.52151871  0.04860611],[-2.55054879 -4.12366772],-1.45459,"[ 0.28150411 -0.46344784  1.30933316  0.26907922 -1.23590494 -0.70007222
 -1.51972148  0.37971318  0.96733673  0.61360137  0.        ]","[[ -3.01930530e+01  -3.00399505e+00  -1.41957821e-01  -8.11045299e-02]
 [ -8.97016213e+01   1.20501904e-05   0.00000000e+00   0.00000000e+00]]",[-3.06043826 -3.81542343]
32,-0.146003488426,[-0.52151871  0.04860611],[-2.08345509 -4.12571144],-1.06551,"[ 0.95967225 -0.46344765 -0.90143891  0.26907815 -1.23590412 -0.70007195
 -1.55967571  0.37971305  0.76331017  0.66732544  0.        ]","[[ -3.20089934e+01  -3.00399481e+00  -1.41957821e-01  -8.11045299e-02]
 [ -9.18851374e+01   1.19867961e-05   0.00000000e+00   0.00000000e+00]]",[-1.89804075 -5.76907751]
33,-0.170556008569,[-0.52151871  0.04860611],[-2.40124393 -3.58973312],-1.40988,"[-1.26377137 -0.46344745 -1.01519013  0.26907708 -1.2359033  -0.70007167
 -1.59883886  0.37971294  0.86293821  0.88744881  0.        ]","[[ -3.38681703e+01  -3.00399458e+00  -1.41957821e-01  -8.11045299e-02]
 [ -9.40254277e+01   1.19935642e-05   0.00000000e+00   0.00000000e+00]]",[-3.0418189  -5.87001821]
