timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.183829612578,[-4.70421123 -0.1441207 ],-0.183829612578,"[ 1.0243145   1.45954004  0.05727667 -1.11151295  0.85838018 -1.1372256
  0.26470677 -0.33318405  0.67125328  1.57002623  0.        ]","[[ 0.04846758  0.04846617  0.09865932 -0.13126509]
 [ 0.00042073 -0.00391366  0.          0.        ]]",[-0.4322134  -0.35918596],[-4.16078949  0.15754202]
1,-0.177070719035,[-2.86144154  1.3360744 ],-0.177070719035,"[  1.02605982e+00   1.45987345e+00  -8.02142374e-04  -1.12680102e+00
   8.58379331e-01  -1.13722413e+00  -1.84983515e-01  -4.27505293e-01
   6.76019381e-01   1.46290722e+00   0.00000000e+00]","[[ 0.00878761  0.0426785   0.09865932 -0.13126509]
 [-3.9552467  -0.57296243  0.          0.        ]]",[-0.4322134  -0.35918596],[-3.58205056  0.3893263 ]
2,-0.160441916524,[-2.98650456  0.01363416],-0.160441916524,"[ 1.01695174  1.45781379 -0.17331863 -1.05182693  0.85837849 -1.13722265
 -0.62597949  0.23093634  0.67083714  1.20391655  0.        ]","[[-0.10923841  0.07107598  0.09865932 -0.13126509]
 [-7.83443658  3.39946346  0.          0.        ]]",[-0.4322134  -0.35918596],[-2.82801414 -0.08284381]
3,-0.134199461125,[-0.12148042 -1.78773542],-0.134199461125,"[ 0.95557407  1.44874739 -0.452104   -0.87336733  0.85837764 -1.13722117
 -1.05808007  0.22896494  0.61761039  0.80990587  0.        ]","[[ -0.30406311   0.13894609   0.09865932  -0.13126509]
 [-11.63538437   3.38757068   0.           0.        ]]",[-0.4322134  -0.35918596],[-0.90936899  0.28438133]
4,-0.0980440167654,[ 1.78948128  1.92683196],-0.0980440167654,"[ 0.80787661  1.44344623 -0.76563962 -0.80188092  0.8583768  -1.13721969
 -1.08637343 -0.43846566  0.46333474  0.29029231  0.        ]","[[ -0.53926803   0.16629681   0.09865932  -0.13126509]
 [-11.88427634  -0.63908288   0.           0.        ]]",[-0.4322134  -0.35918596],[ 1.21338034  1.60921216]
5,-0.0701876561238,[ 1.53185333  1.55197081],-0.0701876561238,"[ 0.62918138  1.43727722 -0.99557485 -0.73148663  0.85837595 -1.13721822
 -0.6101078   0.2196672   0.26838847 -0.096646    0.        ]","[[-0.73491979  0.1933529   0.09865932 -0.13126509]
 [-7.694849    3.33147402  0.          0.        ]]",[-0.4322134  -0.35918596],[ 0.65974808  0.89413536]
6,-0.0613833597082,[-2.03657542  0.52439576],-0.0613833597082,"[ 0.50598526  1.40446928 -1.11151709 -0.46057117  0.85837511 -1.13721674
 -0.14325631  0.86478388  0.18558171 -0.19930446  0.        ]","[[-0.84761407  0.29903227  0.09865932 -0.13126509]
 [-3.5882305   7.22350581  0.          0.        ]]",[-0.4322134  -0.35918596],[-0.66489607 -0.01969841]
7,-0.0556745112087,[ 0.37021638 -1.05542886],-0.0556745112087,"[ 0.37232444  1.32690233 -1.21189797 -0.0587076   0.85837426 -1.13721526
 -0.58500283  1.18547764  0.12875015 -0.22065117  0.        ]","[[-0.95836566  0.46291489  0.09865932 -0.13126509]
 [-7.47401776  9.1582795   0.          0.        ]]",[-0.4322134  -0.35918596],[ 0.54307032 -0.69359791]
8,-0.045538190625,[ 1.88215137 -1.1992378 ],-0.045538190625,"[ 0.19725954  1.23517035 -1.31313934  0.26342975  0.85837342 -1.13721379
 -0.40153652  0.4989969   0.02091233 -0.29374993  0.        ]","[[-1.09165382  0.60452658  0.09865932 -0.13126509]
 [-5.8601759   5.01670285  0.          0.        ]]",[-0.4322134  -0.35918596],[ 0.83886045 -0.0472773 ]
9,-0.0393816582505,[-0.35588985  0.31759627],-0.0393816582505,"[ 0.09112852  1.19016883 -1.36083595  0.39035199  0.85837258 -1.13721231
  0.06155037 -0.17402056 -0.05566335 -0.35213837  0.        ]","[[-1.16798684  0.66412156  0.09865932 -0.13126509]
 [-1.786677    0.95634995  0.          0.        ]]",[-0.4322134  -0.35918596],[ 0.25918874  0.75248075]
